gcc_code16,ag_frs_fsh_mgr,ag_frs_fsh_pfn,ag_frs_fsh_tch_trwk,ag_frs_fsh_co_pswk,ag_frs_fsh_cl_adwk,ag_frs_fsh_sal,ag_frs_fsh_mchop,ag_frs_fsh_lab,ag_frs_fsh_inad_ns,ag_frs_fsh_to,min_mgr,min_pfn,min_tch_trwk,min_co_pswk,min_cl_adwk,min_sal,min_mchop,min_lab,min_inad_ns,min_to,manf_mgr,manf_pfn,manf_tch_trwk,manf_co_pswk,manf_cl_adwk,manf_sal,manf_mchop,manf_lab,manf_inad_ns,manf_to,elecgwwsvc_mgr,elecgwwsvc_pfn,elecgwwsvc_tch_trwk,elecgwwsvc_co_pswk,elecgwwsvc_cl_adwk,elecgwwsvc_sal,elecgwwsvc_mchop,elecgwwsvc_lab,elecgwwsvc_inad_ns,elecgwwsvc_to,con_mgr,con_pfn,con_tch_trwk,con_co_pswk,con_cl_adwk,con_sal,con_mchop,con_lab,con_inad_ns,con_to,whltr_mgr,whltr_pfn,whltr_tch_trwk,whltr_co_pswk,whltr_cl_adwk,whltr_sal,whltr_mchop,whltr_lab,whltr_inad_ns,whltr_to,retr_mgr,retr_pfn,retr_tch_trwk,retr_co_pswk,retr_cl_adwk,retr_sal,retr_mchop,retr_lab,retr_inad_ns,retr_to,acc_fdsvc_mgr,acc_fdsvc_pfn,acc_fdsvc_tch_trwk,acc_fdsvc_co_pswk,acc_fdsvc_cl_adwk,acc_fdsvc_sal,acc_fdsvc_mchop,acc_fdsvc_lab,acc_fdsvc_inad_ns,acc_fdsvc_to,trpo_wh_mgr,trpo_wh_pfn,trpo_wh_tch_trwk,trpo_wh_co_pswk,trpo_wh_cl_adwk,trpo_wh_sal,trpo_wh_mchop,trpo_wh_lab,trpo_wh_inad_ns,trpo_wh_to,inme_telco_mgr,inme_telco_pfn,inme_telco_tch_trwk,inme_telco_co_pswk,inme_telco_cl_adwk,inme_telco_sal,inme_telco_mchop,inme_telco_lab,inme_telco_inad_ns,inme_telco_to,finin_mgr,finin_pfn,finin_tch_trwk,finin_co_pswk,finin_cl_adwk,finin_sal,finin_mchop,finin_lab,finin_inad_ns,finin_to,rest_mgr,rest_pfn,rest_tch_trwk,rest_co_pswk,rest_cl_adwk,rest_sal,rest_mchop,rest_lab,rest_inad_ns,rest_to,psc_tech_mgr,psc_tech_pfn,psc_tech_tch_trwk,psc_tech_co_pswk,psc_tech_cl_adwk,psc_tech_sal,psc_tech_mchop,psc_tech_lab,psc_tech_inad_ns,psc_tech_to,admsu_mgr,admsu_pfn,admsu_tch_trwk,admsu_co_pswk,admsu_cl_adwk,admsu_sal,admsu_mchop,admsu_lab,admsu_inad_ns,admsu_to,pubad_sf_mgr,pubad_sf_pfn,pubad_sf_tch_trwk,pubad_sf_co_pswk,pubad_sf_cl_adwk,pubad_sf_sal,pubad_sf_mchop,pubad_sf_lab,pubad_sf_inad_ns,pubad_sf_to,edtr_mgr,edtr_pfn,edtr_tch_trwk,edtr_co_pswk,edtr_cl_adwk,edtr_sal,edtr_mchop,edtr_lab,edtr_inad_ns,edtr_to,hlth_sass_mgr,hlth_sass_pfn,hlth_sass_tch_trwk,hlth_sass_co_pswk,hlth_sass_cl_adwk,hlth_sass_sal,hlth_sass_mchop,hlth_sass_lab,hlth_sass_inad_ns,hlth_sass_to,artrec_mgr,artrec_pfn,artrec_tch_trwk,artrec_co_pswk,artrec_cl_adwk,artrec_sal,artrec_mchop,artrec_lab,artrec_inad_ns,artrec_to,oths_mgr,oths_pfn,oths_tch_trwk,oths_co_pswk,oths_cl_adwk,oths_sal,oths_mchop,oths_lab,oths_inad_ns,oths_to,inad_ns_mgr,inad_ns_pfn,inad_ns_tch_trwk,inad_ns_co_pswk,inad_ns_cl_adwk,inad_ns_sal,inad_ns_mchop,inad_ns_lab,inad_ns_inad_ns,inad_ns_to,gcc_name16
1RNSW,36258,1419,3718,163,2377,708,3000,14138,644,62419,1877,2439,7612,92,1310,98,11992,910,313,26642,8818,4653,18555,707,5515,3959,9035,14796,773,66812,1456,1804,4630,50,2117,272,2388,1236,189,14137,10956,2505,46348,156,8258,1219,9865,16084,828,96222,4011,2187,2473,92,3290,5443,3128,1605,193,22419,16842,3121,7934,1067,5909,65729,3194,10093,537,114417,14470,644,11264,25452,3670,10397,1631,19252,590,87377,4349,1947,2390,912,8413,1687,21586,2425,400,44112,1378,3075,2084,88,1490,1410,133,321,123,10090,3026,5760,401,141,11653,938,177,243,366,22707,1622,1054,664,198,3027,7410,567,794,209,15530,4391,24374,6465,220,12990,802,333,1034,403,51009,2380,2849,3477,3104,5235,563,1214,16970,323,36107,9174,15936,6869,17714,20088,411,3750,4728,1578,80244,7059,58790,2605,16710,11001,307,453,2453,473,99841,7027,60474,5555,54539,20573,793,1159,8018,1040,159174,2001,2969,1810,3605,1303,654,321,1387,149,14188,2693,2880,22133,5706,4366,872,786,3857,298,43589,4425,3065,7076,2031,4391,2991,3916,5984,8829,42701,Rest of NSW
1GSYD,3819,525,951,60,776,341,591,2687,153,9905,856,1065,724,29,531,63,1060,189,66,4585,23459,16119,27994,1161,15456,7712,17611,19450,1624,130585,2822,3889,3427,73,2929,458,2692,1217,261,17765,26858,10646,85892,359,19068,2714,10276,28371,1970,186157,19642,16062,4944,208,15251,11201,9539,3288,883,81010,34984,14663,11367,2067,14589,108600,9739,14121,1442,211577,26044,3226,23016,45847,6339,18253,2734,25470,1106,152030,12163,8538,4178,3811,24792,5313,48428,5534,1539,114296,11750,29262,7326,331,7738,4451,594,990,765,63209,26551,55695,2121,658,49469,5219,902,1040,2675,144322,6585,6425,1347,412,8647,17861,832,1286,703,44114,31802,129838,14997,704,36181,4861,723,1641,2189,222950,10502,11716,4992,7389,11958,2483,2812,28623,809,81283,15285,30519,8576,26725,31618,740,3984,4183,2387,124022,15117,112935,4371,24786,20042,715,771,2794,1017,182537,14654,110173,8835,75358,37497,1980,2099,9944,1840,262379,6046,9603,3107,10025,4199,1807,369,2138,508,37802,7554,9111,31845,13028,9220,1843,1256,6172,692,80722,14756,15267,14475,4718,14304,7987,10943,12150,21591,116193,Greater Sydney
2RVIC,28730,987,2400,124,1486,488,2127,9867,433,46633,444,415,1114,28,239,22,1612,290,65,4240,6756,3123,12707,629,3639,2967,6671,13193,529,50212,1169,1238,2549,45,1546,150,1764,820,162,9433,6272,1051,27779,119,4145,703,5198,8458,484,54212,2372,1227,1332,55,1821,3508,1898,1394,105,13715,9802,1977,4475,562,3609,36528,2189,5706,283,65134,7613,254,5618,11424,1359,5932,477,10688,267,43637,2550,971,1230,527,4449,1094,12168,1223,229,24439,830,1835,1377,64,967,832,89,238,66,6298,1581,3440,146,72,5833,420,40,71,144,11750,679,504,317,139,1472,3126,211,297,91,6830,2215,12045,3649,97,6887,449,135,449,220,26145,1191,1395,2239,1386,2486,250,572,7885,153,17561,4115,6668,2500,12440,8346,168,1180,2038,793,38235,3680,31959,1569,9262,5072,168,197,1270,274,53437,3852,34310,3217,29203,11171,410,511,5359,470,88508,1369,1669,1285,2273,797,487,137,1115,125,9243,1365,1495,11443,2872,2044,420,369,2233,141,22388,2895,1645,4103,1170,2168,1703,2246,3616,5163,24708,Rest of Vic.
2GMEL,4850,807,1341,79,1115,482,934,3580,166,13351,810,1324,603,21,488,44,758,145,68,4264,28895,19226,34523,1574,17252,9399,22171,27010,1620,161672,3708,5214,2612,47,4532,1160,2566,1081,297,21216,21638,7646,89223,308,16050,2626,8844,24625,1567,172541,17322,12181,4965,229,13895,11743,9752,3750,590,74434,35854,13705,11043,1863,14583,113993,8781,13712,1106,214635,22650,1791,20890,39766,4462,18485,1708,26457,697,136894,11875,8807,4039,3027,22908,5063,43213,5019,1163,105106,8585,19084,5904,328,6306,3984,343,642,426,45606,15230,34491,1072,411,37306,3858,291,289,1509,94455,5269,4715,1177,584,7214,14661,656,1298,488,36054,25109,109778,14665,718,31712,3659,786,1573,1671,189674,8558,9867,6586,6604,12290,2020,2781,25957,745,75405,12889,25979,5415,28205,25552,518,1069,4026,2416,106061,14078,113460,4957,27553,17661,679,389,2453,930,182160,13406,106775,8387,75201,34658,1623,1816,8502,1316,251692,7234,9802,3336,13154,4094,2107,313,2417,549,43003,7032,7410,31484,12043,8241,1607,1179,6015,528,75546,13862,12501,13449,4319,11950,7217,10341,11589,18616,103839,Greater Melbourne
3GBRI,3736,557,654,38,718,263,595,3526,107,10203,2194,3695,1709,51,1465,72,1612,302,117,11226,10054,5568,16885,594,7534,3723,9540,14851,727,69477,1721,2630,2353,38,2096,207,1655,622,133,11457,10895,4127,42634,164,9735,1425,6525,14541,846,90888,6113,4030,2640,159,5714,5113,5137,2179,273,31346,15361,4906,5834,938,6479,54082,4828,8632,500,101559,10955,1155,8399,20235,2383,10147,1663,14211,408,69543,6170,5302,3286,1893,12493,2542,24130,3549,723,60094,2256,5032,2489,144,2454,1686,165,369,222,14808,4845,10874,487,117,15208,1807,145,130,582,34197,2777,2119,819,305,4040,9353,625,1016,283,21342,9814,45354,8163,321,15846,1404,425,1008,702,83038,3651,4376,2874,3498,5989,883,1125,14720,345,37472,8640,19078,4781,15442,21511,427,1335,2410,1319,74932,7615,55042,3100,16932,10571,490,284,3482,488,98011,7243,56574,5026,42423,21033,969,944,4966,869,140038,2495,3589,1521,4253,1929,792,220,1211,178,16188,3578,3824,16692,6493,4590,875,696,3467,285,40510,5409,4717,6596,1919,5523,3077,4736,5719,8159,45860,Greater Brisbane
3RQLD,25491,1380,2204,229,2310,521,3694,14894,456,51183,2393,3176,12029,217,1947,100,16238,1692,441,38239,8069,3345,18848,687,5483,3599,8048,11044,549,59668,1199,1372,4273,44,1902,198,2229,1077,188,12472,11281,2601,47039,177,10426,1362,9783,15880,903,99452,4685,2129,3014,130,3826,5696,3619,1955,211,25260,17047,3325,7360,1013,6236,62211,3280,9757,515,110744,15436,1119,11377,22866,4655,10865,1479,18824,552,87176,4655,3534,3398,1998,8651,1855,20552,2761,537,47944,1467,2881,2220,100,1782,1595,174,380,146,10747,2696,5894,299,78,9632,1329,158,158,381,20626,2558,1335,1001,260,3937,10125,702,1054,298,21271,4590,23310,6878,204,12671,1065,420,1186,374,50688,3099,2865,3449,3676,6110,1145,1207,16207,332,38084,6034,11463,6313,15939,16083,462,3078,4858,1011,65247,6547,51695,2921,18985,8853,372,384,4413,437,94598,6258,51971,4446,46673,19578,925,887,6731,868,138344,2416,3152,2269,4778,1703,1126,461,1585,217,17693,3085,2938,20580,6245,4526,888,674,3979,316,43224,5445,3457,7729,2091,5120,3489,3862,6053,8735,45991,Rest of Qld
4RSAU,12809,479,1182,41,980,183,1204,5836,170,22888,327,454,1562,47,210,6,2030,254,75,4965,1893,954,3478,188,1136,727,2278,4140,195,14992,159,78,631,3,189,47,344,274,44,1776,1262,173,5341,44,1000,139,1449,1856,95,11356,654,338,449,16,517,1001,551,723,50,4291,2387,370,1252,129,901,9064,490,1804,62,16455,2113,52,1320,2642,390,1109,108,2793,72,10603,652,238,371,108,1248,225,3322,368,56,6586,109,274,230,5,164,149,13,47,11,1002,250,467,13,19,1115,106,7,25,23,2019,145,83,66,34,364,706,55,103,25,1575,284,1620,718,32,1272,96,53,163,44,4273,318,394,571,423,453,68,273,2679,71,5247,810,1333,610,2251,1870,59,384,502,144,7966,733,6651,388,2635,1204,21,149,249,45,12081,795,5764,613,7935,2301,135,90,1498,139,19266,169,252,251,265,140,46,13,193,12,1349,325,369,3102,606,568,97,92,565,42,5761,601,284,783,220,466,314,514,971,1207,5350,Rest of SA
4GADE,2955,294,492,15,469,161,377,2044,93,6912,592,1142,843,28,394,28,837,141,41,4043,6881,4045,10642,562,4300,2855,5333,9213,474,44303,1027,1345,1403,16,1567,293,981,492,134,7254,5223,1652,22031,343,4417,820,3097,6762,479,44827,3340,2243,1736,42,2623,3032,2410,1226,146,16796,9249,2590,3395,629,3653,34398,2710,5939,292,62857,6347,370,5141,11536,1094,4904,594,8652,202,38851,2375,1315,1137,705,5616,992,10590,1165,238,24128,1132,2708,1564,48,1593,1086,85,300,109,8635,2385,5141,273,120,9108,800,52,53,269,18196,1076,782,346,190,1733,3444,178,448,133,8346,3865,20094,3875,133,7201,615,222,605,288,36896,1667,1946,2019,2392,2561,394,628,9541,202,21356,4860,11710,3185,9829,12094,264,599,1066,982,44594,3947,31568,1695,8145,5759,157,137,604,241,52253,4210,34958,3086,29668,12710,621,635,4244,513,90639,1424,1703,840,2708,941,439,92,532,107,8783,1876,2164,10063,3473,2620,521,426,1956,172,23270,2109,1881,2686,898,2122,1352,1722,2400,3734,18901,Greater Adelaide
5GPER,2564,439,619,23,602,207,435,2054,96,7030,5249,10288,8803,253,4176,138,6904,1686,609,38108,7832,4878,15658,727,5753,3205,6556,6199,647,51463,1623,2285,1963,30,2003,194,1200,538,178,10017,9867,4616,43180,206,9914,1431,5782,12077,975,88064,4623,2836,2433,71,4318,3980,4158,1746,245,24407,12865,3971,4875,760,5410,48908,3781,8383,455,89402,9123,729,8296,16916,1888,7917,1221,12163,348,58603,4106,2934,2213,1485,8859,1552,17714,2033,464,41363,1409,3074,1974,71,1440,1351,125,492,135,10063,3477,8234,438,98,10340,1062,203,120,389,24353,2231,1630,778,198,3726,6794,364,627,210,16562,7630,35402,7355,236,11821,974,453,901,525,65297,2750,3063,2904,2559,4242,650,982,12560,309,30020,6603,14210,4475,13490,14929,302,1061,2276,1146,58497,5954,45951,3215,14937,7381,269,169,2654,422,80949,5118,45184,4624,34283,16445,692,945,4559,675,112523,2369,2870,1479,5058,1654,774,131,1242,156,15715,3056,3309,15359,5918,3846,686,704,3145,275,36294,5237,5051,7159,1764,5271,2789,3825,4699,6447,42238,Greater Perth
5RWAU,12846,546,1309,58,823,172,1187,4705,203,21837,1994,3692,11755,309,1578,72,13059,2059,536,35051,1534,803,4351,174,1017,665,1949,2559,173,13222,301,239,1263,15,421,31,616,439,95,3419,2117,818,12572,51,2168,211,3521,4569,292,26317,812,437,801,24,680,1079,673,502,47,5041,3196,504,1408,150,1125,11225,564,2492,106,20773,3143,110,2269,3481,924,1479,229,4207,141,15978,1183,863,975,274,1991,327,5487,690,132,11922,165,394,339,8,177,204,20,72,22,1399,360,710,67,15,1462,132,55,30,45,2877,452,182,329,75,716,1385,181,190,46,3554,673,3532,1991,51,2084,113,230,487,83,9244,583,520,1083,585,1004,136,441,3556,76,7993,1549,2277,1176,3668,3131,73,716,1050,257,13894,1564,10298,918,4478,1456,48,51,1111,105,20028,1099,8471,934,8165,3280,138,168,1219,173,23643,433,674,318,590,320,102,30,247,30,2749,615,733,4648,1167,1064,182,223,850,90,9573,1131,729,2336,475,1045,590,1073,1686,1867,10936,Rest of WA
