gcc_code16,et_ns_35_39_hw_0,et_ns_35_39_hw_1_15,et_ns_35_39_hw_16_24,et_ns_35_39_hw_25_34,et_ns_35_39_hw_35_39,et_ns_35_39_hw_40,et_ns_35_39_hw_41_48,et_ns_35_39_hw_49mor,et_ns_35_39_hw_ns,et_ns_35_39_tot,et_ns_40_44_hw_0,et_ns_40_44_hw_1_15,et_ns_40_44_hw_16_24,et_ns_40_44_hw_25_34,et_ns_40_44_hw_35_39,et_ns_40_44_hw_40,et_ns_40_44_hw_41_48,et_ns_40_44_hw_49mor,et_ns_40_44_hw_ns,et_ns_40_44_tot,et_ns_45_49_hw_0,et_ns_45_49_hw_1_15,et_ns_45_49_hw_16_24,et_ns_45_49_hw_25_34,et_ns_45_49_hw_35_39,et_ns_45_49_hw_40,et_ns_45_49_hw_41_48,et_ns_45_49_hw_49mor,et_ns_45_49_hw_ns,et_ns_45_49_tot,et_ns_50_54_hw_0,et_ns_50_54_hw_1_15,et_ns_50_54_hw_16_24,et_ns_50_54_hw_25_34,et_ns_50_54_hw_35_39,et_ns_50_54_hw_40,et_ns_50_54_hw_41_48,et_ns_50_54_hw_49mor,et_ns_50_54_hw_ns,et_ns_50_54_tot,et_ns_55_59_hw_0,et_ns_55_59_hw_1_15,et_ns_55_59_hw_16_24,et_ns_55_59_hw_25_34,et_ns_55_59_hw_35_39,et_ns_55_59_hw_40,et_ns_55_59_hw_41_48,et_ns_55_59_hw_49mor,et_ns_55_59_hw_ns,et_ns_55_59_tot,et_ns_60_64_hw_0,et_ns_60_64_hw_1_15,et_ns_60_64_hw_16_24,et_ns_60_64_hw_25_34,et_ns_60_64_hw_35_39,et_ns_60_64_hw_40,et_ns_60_64_hw_41_48,et_ns_60_64_hw_49mor,et_ns_60_64_hw_ns,et_ns_60_64_tot,et_ns_65_69_hw_0,et_ns_65_69_hw_1_15,et_ns_65_69_hw_16_24,et_ns_65_69_hw_25_34,et_ns_65_69_hw_35_39,et_ns_65_69_hw_40,et_ns_65_69_hw_41_48,et_ns_65_69_hw_49mor,et_ns_65_69_hw_ns,et_ns_65_69_tot,et_ns_70_74_hw_0,et_ns_70_74_hw_1_15,et_ns_70_74_hw_16_24,et_ns_70_74_hw_25_34,et_ns_70_74_hw_35_39,et_ns_70_74_hw_40,et_ns_70_74_hw_41_48,et_ns_70_74_hw_49mor,et_ns_70_74_hw_ns,et_ns_70_74_tot,et_ns_75ov_hw_0,et_ns_75ov_hw_1_15,et_ns_75ov_hw_16_24,et_ns_75ov_hw_25_34,et_ns_75ov_hw_35_39,et_ns_75ov_hw_40,et_ns_75ov_hw_41_48,et_ns_75ov_hw_49mor,et_ns_75ov_hw_ns,et_ns_75ov_tot,et_ns_tot_hw_0,et_ns_tot_hw_1_15,et_ns_tot_hw_16_24,et_ns_tot_hw_25_34,et_ns_tot_hw_35_39,et_ns_tot_hw_40,et_ns_tot_hw_41_48,et_ns_tot_hw_49mor,et_ns_tot_hw_ns,et_ns_tot_tot,tot_15_19_hw_0,tot_15_19_hw_1_15,tot_15_19_hw_16_24,tot_15_19_hw_25_34,tot_15_19_hw_35_39,tot_15_19_hw_40,tot_15_19_hw_41_48,tot_15_19_hw_49mor,tot_15_19_hw_ns,tot_15_19_tot,tot_20_24_hw_0,tot_20_24_hw_1_15,tot_20_24_hw_16_24,tot_20_24_hw_25_34,tot_20_24_hw_35_39,tot_20_24_hw_40,tot_20_24_hw_41_48,tot_20_24_hw_49mor,tot_20_24_hw_ns,tot_20_24_tot,tot_25_29_hw_0,tot_25_29_hw_1_15,tot_25_29_hw_16_24,tot_25_29_hw_25_34,tot_25_29_hw_35_39,tot_25_29_hw_40,tot_25_29_hw_41_48,tot_25_29_hw_49mor,tot_25_29_hw_ns,tot_25_29_tot,tot_30_34_hw_0,tot_30_34_hw_1_15,tot_30_34_hw_16_24,tot_30_34_hw_25_34,tot_30_34_hw_35_39,tot_30_34_hw_40,tot_30_34_hw_41_48,tot_30_34_hw_49mor,tot_30_34_hw_ns,tot_30_34_tot,tot_35_39_hw_0,tot_35_39_hw_1_15,tot_35_39_hw_16_24,tot_35_39_hw_25_34,tot_35_39_hw_35_39,tot_35_39_hw_40,tot_35_39_hw_41_48,tot_35_39_hw_49mor,tot_35_39_hw_ns,tot_35_39_tot,tot_40_44_hw_0,tot_40_44_hw_1_15,tot_40_44_hw_16_24,tot_40_44_hw_25_34,tot_40_44_hw_35_39,tot_40_44_hw_40,tot_40_44_hw_41_48,tot_40_44_hw_49mor,tot_40_44_hw_ns,tot_40_44_tot,tot_45_49_hw_0,tot_45_49_hw_1_15,tot_45_49_hw_16_24,tot_45_49_hw_25_34,tot_45_49_hw_35_39,tot_45_49_hw_40,tot_45_49_hw_41_48,tot_45_49_hw_49mor,tot_45_49_hw_ns,tot_45_49_tot,tot_50_54_hw_0,tot_50_54_hw_1_15,tot_50_54_hw_16_24,tot_50_54_hw_25_34,tot_50_54_hw_35_39,tot_50_54_hw_40,tot_50_54_hw_41_48,tot_50_54_hw_49mor,tot_50_54_hw_ns,tot_50_54_tot,tot_55_59_hw_0,tot_55_59_hw_1_15,tot_55_59_hw_16_24,tot_55_59_hw_25_34,tot_55_59_hw_35_39,tot_55_59_hw_40,tot_55_59_hw_41_48,tot_55_59_hw_49mor,tot_55_59_hw_ns,tot_55_59_tot,tot_60_64_hw_0,tot_60_64_hw_1_15,tot_60_64_hw_16_24,tot_60_64_hw_25_34,tot_60_64_hw_35_39,tot_60_64_hw_40,tot_60_64_hw_41_48,tot_60_64_hw_49mor,tot_60_64_hw_ns,tot_60_64_tot,gcc_name16
1RNSW,54,71,79,97,119,141,43,136,167,899,48,99,88,114,143,170,53,202,215,1135,54,106,88,121,195,180,81,213,201,1241,84,136,107,145,189,193,83,251,209,1394,114,134,117,123,146,160,68,251,226,1336,101,150,108,113,103,126,46,184,245,1170,59,139,89,55,47,54,24,131,196,797,39,73,41,34,23,25,21,58,183,503,44,73,46,27,13,38,7,59,387,690,850,1600,1019,1187,1435,1489,605,1727,2818,12738,2584,32045,6708,4856,6623,4537,1744,1543,1956,62596,2897,13155,10292,11817,19867,14445,7049,6808,2388,88710,3944,7518,8079,10227,21097,17960,9954,12356,1807,92925,4822,8169,10010,10905,18636,16826,9634,14611,1703,95320,3204,8291,10742,11747,17458,16438,9063,15828,1611,94370,2650,8481,11429,14265,20285,19645,10536,18770,1775,107824,2776,8135,10886,15023,22733,20109,11236,20197,1829,112935,3448,8245,11150,15755,23786,19774,10750,20214,1768,114900,4446,9045,11375,14995,21128,17647,9381,18347,1615,107973,3575,9279,9667,10139,11959,10457,4980,11624,1237,72927,Rest of NSW
1GSYD,91,132,156,143,252,289,93,237,428,1816,81,119,128,155,269,385,99,260,391,1880,69,145,154,182,286,303,111,295,398,1939,73,155,123,165,290,313,108,317,349,1896,74,140,128,138,292,268,87,246,322,1696,81,107,106,124,160,159,70,150,279,1236,59,143,110,65,80,91,26,79,214,858,25,96,42,43,26,25,13,23,172,461,45,57,24,31,18,19,8,16,286,514,945,1822,1687,1560,2545,2783,878,2120,4526,18871,3588,48969,13020,6538,7333,6513,2166,1668,2656,92447,4989,36865,35310,21756,37501,36556,14799,14006,5842,207624,7393,15420,26879,19987,61687,67742,29338,35732,6052,270232,11969,14848,25029,21355,62487,72932,29924,43052,5553,287137,8787,15647,23324,22995,53522,63509,26316,43088,4576,261759,5227,15631,22183,25378,48110,60230,26303,46306,3995,253360,4133,14331,19316,24748,45721,53404,24721,45989,3896,236247,4577,12828,17423,22979,45302,47133,22168,41188,3615,217212,4967,12740,16017,19853,38475,37255,17674,31473,2735,181188,4023,12688,14573,13546,23510,21366,9160,16894,1921,117689,Greater Sydney
2RVIC,32,73,45,56,52,86,27,103,106,587,40,69,52,57,67,115,48,120,113,672,35,77,66,94,104,104,44,149,113,775,72,78,57,86,105,127,52,156,115,844,92,74,65,107,85,90,52,127,137,830,72,67,63,76,69,89,36,113,155,754,53,83,49,45,30,42,17,67,100,479,29,56,23,16,7,14,8,49,85,280,33,39,22,22,7,12,3,48,174,363,650,1050,615,712,765,930,384,1109,1536,7751,1406,20336,3206,2141,3098,2356,867,636,1191,35239,1738,8211,5674,6306,10655,8736,4008,3365,1397,50098,2252,4070,4275,5520,11691,10726,5812,6341,1009,51688,2886,5005,5546,5602,9344,9360,5624,7660,891,51927,2065,5213,6224,6213,8624,8802,5074,8380,868,51465,1715,5417,6634,8066,9741,10421,5891,9915,988,58789,1786,4956,6751,8969,11065,11419,6146,11051,1007,63159,2395,4714,6576,9290,11865,10873,6095,11567,1033,64406,2883,5419,6943,8801,10459,9800,5369,10443,1008,61124,2637,5651,5795,6603,6683,6042,3086,6629,821,43943,Rest of Vic.
2GMEL,99,130,130,150,248,285,106,228,383,1752,67,178,151,167,282,291,119,261,331,1850,90,177,119,190,260,329,120,257,355,1896,80,138,140,190,281,307,103,276,321,1830,107,134,120,156,246,233,84,227,292,1598,114,145,108,131,176,161,51,154,235,1264,81,132,95,90,68,89,29,78,194,850,41,82,60,32,24,31,19,38,165,490,47,74,19,24,3,11,8,17,326,535,1042,2134,1572,1621,2494,2619,940,1925,4142,18486,2667,54265,10158,4537,4730,3928,1384,867,2363,84903,4747,43912,32963,21736,33868,29971,12082,9431,5125,193831,7013,17676,23281,22707,60386,60548,27851,28370,5481,253308,11723,16250,22137,22785,59730,64604,28756,35720,4803,266488,8649,16668,22351,23469,48258,54576,24359,35377,3842,237556,5199,16548,22288,26445,43273,51357,24114,38253,3595,231064,4464,15241,20695,26970,43425,48153,24367,39899,3586,226813,4618,12788,17532,23883,40718,41819,20670,35592,3190,200809,4924,12378,15849,20916,33600,32327,16138,27747,2481,166361,4276,12092,13006,15656,21579,18123,8613,14868,1705,109905,Greater Melbourne
3GBRI,31,58,40,75,99,105,50,101,138,693,29,53,66,54,96,132,47,147,130,755,52,60,51,63,109,126,41,135,135,773,38,44,64,77,102,109,39,122,130,722,41,64,48,71,87,84,34,97,133,658,53,62,48,44,64,66,21,81,118,559,27,55,26,39,31,37,10,45,95,369,13,42,20,16,10,16,12,20,77,219,22,28,5,8,9,8,0,15,180,274,395,849,567,677,924,982,367,932,1759,7460,1706,31203,8297,5044,4844,3229,1355,1013,1427,58115,2737,18020,14938,14113,22333,16610,8245,7281,2305,106584,4018,7832,10390,12223,29322,24494,13105,14975,2242,118616,5961,7555,10447,12078,28262,26087,13258,18452,1948,124043,4086,7480,10092,12584,24424,24411,12127,18788,1700,115686,2646,7216,10148,13873,24208,25575,12773,21696,1726,119865,2486,6534,8985,13680,24239,24104,12759,22025,1657,116461,2783,5442,7530,12221,22617,20607,11324,19787,1350,103659,2983,5583,7155,10212,18846,15643,8477,15110,1082,85101,2338,5497,5689,7255,11591,9084,4545,8386,744,55135,Greater Brisbane
3RQLD,48,74,53,64,97,103,45,144,145,784,44,89,59,92,123,126,68,200,182,988,56,85,67,118,115,163,75,208,207,1091,77,83,77,112,150,141,47,250,180,1125,70,94,86,115,128,122,50,236,189,1091,76,97,75,90,85,82,38,193,172,909,57,81,39,59,45,53,26,83,137,573,23,53,30,27,18,17,16,58,116,348,24,51,9,24,5,15,7,55,264,469,656,1196,756,976,1157,1130,521,1709,2229,10329,2045,31673,7614,6316,6538,4001,1924,1825,1715,63651,2552,10837,9687,12818,20895,14136,8455,9298,2107,90780,4074,6909,7878,11151,21904,17131,11137,16344,1951,98476,4822,7852,9186,11342,19454,17021,10870,19633,1816,101994,3302,8121,9491,12354,18196,16598,9902,19794,1708,99471,2792,8177,9767,14633,19892,19367,11228,23013,1934,110802,2834,7364,9313,15276,21522,19610,11605,24528,1888,113926,3335,6827,8963,14653,21104,17933,10803,23436,1613,108679,3596,7130,8625,12986,18121,14962,8720,19608,1448,95195,2878,7135,6954,9213,11022,9128,5042,12015,1070,64452,Rest of Qld
4RSAU,10,26,13,18,14,20,9,29,28,168,17,23,12,16,31,27,12,36,39,209,14,22,20,17,25,40,17,61,36,250,18,14,17,28,24,28,11,55,47,249,26,26,10,21,27,29,19,43,41,242,29,20,20,15,6,30,11,43,35,210,11,21,12,10,11,12,3,14,29,118,8,20,13,11,0,7,3,4,28,90,3,20,3,5,3,3,0,14,72,131,181,287,150,189,231,259,127,361,473,2260,311,4291,850,675,884,540,245,199,269,8269,475,1293,1178,1722,2749,1982,1043,1084,259,11785,644,1072,984,1435,2620,2236,1476,2118,240,12832,689,1346,1376,1510,2172,2034,1400,2586,262,13381,485,1339,1436,1703,2041,1943,1281,2692,207,13128,475,1290,1540,2100,2566,2437,1511,3075,250,15242,532,1383,1656,2461,3016,2689,1753,3579,276,17337,650,1423,1710,2346,3029,2559,1756,3713,278,17464,771,1543,1689,2382,2750,2341,1555,3412,257,16699,702,1556,1507,1595,1732,1611,964,2381,192,12251,Rest of SA
4GADE,26,43,34,50,65,51,23,39,78,415,23,51,33,56,76,48,28,67,74,451,20,47,34,71,97,67,34,61,91,513,31,52,39,56,83,56,30,63,77,486,28,43,32,58,77,67,24,71,76,471,37,61,29,46,48,50,19,59,76,428,16,41,27,19,21,18,12,26,55,231,8,30,16,13,9,8,3,9,44,136,17,15,3,4,3,4,3,11,111,171,324,661,397,509,692,512,249,481,1044,4864,908,17257,3366,1962,1813,1012,449,243,612,27618,1585,12319,7306,7524,10708,6467,3287,2445,1112,52755,2320,5030,5234,6937,15792,10651,6393,5876,1065,59285,3424,4943,6088,7428,15704,11266,6609,7229,975,63656,2314,4775,6278,7583,13815,10171,6009,7301,782,59026,1535,4500,6157,8647,13817,10907,6543,8361,741,61219,1475,4246,5740,9139,14703,11423,6748,9517,827,63820,1783,3906,5270,8694,14816,10116,6452,8945,692,60682,1952,3984,5083,7750,12720,8408,5245,7841,532,53520,1536,4111,4316,5187,7658,5052,3038,4681,443,36022,Greater Adelaide
5GPER,35,51,46,62,97,72,30,73,113,578,25,56,60,49,65,100,26,70,103,554,29,55,62,59,90,96,40,105,112,642,38,49,45,66,66,109,44,95,101,616,42,58,47,74,80,66,28,83,100,564,36,45,46,55,61,62,24,41,79,454,27,54,47,29,22,26,13,29,72,321,11,46,24,11,7,5,3,12,57,175,15,30,17,3,3,0,0,8,93,170,384,775,573,558,768,838,302,684,1293,6188,1361,26180,5452,3061,3362,2633,812,647,1002,44502,2299,16654,12122,9552,15832,13581,5733,5000,1892,82678,3508,7549,8942,9040,22630,22184,10803,12397,1865,98911,4769,7947,9513,9296,21497,23140,11285,14923,1643,104020,3392,8061,9423,9367,17507,19678,9695,14084,1348,92551,2320,7639,9146,10942,17230,19675,9658,14984,1294,92886,2303,6670,8651,11397,18076,19485,10092,16036,1294,94015,2502,5574,7569,10669,17322,17278,9036,14610,1073,85632,2624,5734,7011,9118,14606,13241,7229,11461,888,71916,2213,5838,6448,6738,9227,8181,4003,6545,591,49780,Greater Perth
5RWAU,18,26,25,26,18,29,11,61,39,249,22,23,24,20,21,40,15,70,34,269,26,26,24,22,28,44,25,85,51,326,30,24,12,22,28,34,22,91,61,328,36,24,18,30,25,41,21,72,59,324,50,31,23,18,25,24,20,61,38,290,15,17,18,14,14,16,9,41,37,172,13,25,5,4,3,4,0,9,25,100,7,14,9,9,3,5,0,16,57,119,272,285,206,234,246,338,180,635,565,2962,407,5111,1012,1050,1345,1106,541,626,401,11592,766,1283,1244,1846,3292,2959,1935,3964,514,17799,1564,1490,1424,1859,3597,3666,3094,9277,489,26469,2038,2201,2028,2112,3256,3590,3236,10959,564,29983,1531,2212,2130,2346,3026,3443,2852,9756,488,27785,1365,2149,2292,2840,3397,3994,3143,10125,560,29859,1509,2022,2209,3015,3769,4311,3183,10558,595,31158,1637,1754,1990,2909,3787,4036,2888,9888,560,29441,1676,1841,2027,2667,3334,3369,2515,8024,455,25923,1238,1856,1768,1946,2105,2068,1481,4622,315,17407,Rest of WA
