gcc_code16,m_australia_e,m_australia_om_ie,m_australia_om_uie,m_australia_cfw,m_australia_es_ns,m_australia_tot,m_canada_e,m_canada_om_ie,m_canada_om_uie,m_canada_cfw,m_canada_es_ns,m_canada_tot,m_china_e,m_china_om_ie,m_china_om_uie,m_china_cfw,m_china_es_ns,m_china_tot,m_croatia_e,m_croatia_om_ie,m_croatia_om_uie,m_croatia_cfw,m_croatia_es_ns,m_croatia_tot,m_egypt_e,m_egypt_om_ie,m_egypt_om_uie,m_egypt_cfw,m_egypt_es_ns,m_egypt_tot,m_fiji_e,m_fiji_om_ie,m_fiji_om_uie,m_fiji_cfw,m_fiji_es_ns,m_fiji_tot,m_fyrom_e,m_fyrom_om_ie,m_fyrom_om_uie,m_fyrom_cfw,m_fyrom_es_ns,m_fyrom_tot,m_germany_e,m_germany_om_ie,m_germany_om_uie,m_germany_cfw,m_germany_es_ns,m_germany_tot,m_greece_e,m_greece_om_ie,m_greece_om_uie,m_greece_cfw,m_greece_es_ns,m_greece_tot,m_hongkong_e,m_hongkong_om_ie,m_hongkong_om_uie,m_hongkong_cfw,m_hongkong_es_ns,m_hongkong_tot,m_india_e,m_india_om_ie,m_india_om_uie,m_india_cfw,m_india_es_ns,m_india_tot,m_indonesia_e,m_indonesia_om_ie,m_indonesia_om_uie,m_indonesia_cfw,m_indonesia_es_ns,m_indonesia_tot,m_iran_e,m_iran_om_ie,m_iran_om_uie,m_iran_cfw,m_iran_es_ns,m_iran_tot,m_iraq_e,m_iraq_om_ie,m_iraq_om_uie,m_iraq_cfw,m_iraq_es_ns,m_iraq_tot,m_ireland_e,m_ireland_om_ie,m_ireland_om_uie,m_ireland_cfw,m_ireland_es_ns,m_ireland_tot,m_italy_e,m_italy_om_ie,m_italy_om_uie,m_italy_cfw,m_italy_es_ns,m_italy_tot,m_japan_e,m_japan_om_ie,m_japan_om_uie,m_japan_cfw,m_japan_es_ns,m_japan_tot,m_koreasouth_e,m_koreasouth_om_ie,m_koreasouth_om_uie,m_koreasouth_cfw,m_koreasouth_es_ns,m_koreasouth_tot,m_lebanon_e,m_lebanon_om_ie,m_lebanon_om_uie,m_lebanon_cfw,m_lebanon_es_ns,m_lebanon_tot,m_malaysia_e,m_malaysia_om_ie,m_malaysia_om_uie,m_malaysia_cfw,m_malaysia_es_ns,m_malaysia_tot,m_malta_e,m_malta_om_ie,m_malta_om_uie,m_malta_cfw,m_malta_es_ns,m_malta_tot,m_netherlands_e,m_netherlands_om_ie,m_netherlands_om_uie,m_netherlands_cfw,m_netherlands_es_ns,m_netherlands_tot,m_nz_e,m_nz_om_ie,m_nz_om_uie,m_nz_cfw,m_nz_es_ns,m_nz_tot,m_pakistan_e,m_pakistan_om_ie,m_pakistan_om_uie,m_pakistan_cfw,m_pakistan_es_ns,m_pakistan_tot,m_philippines_e,m_philippines_om_ie,m_philippines_om_uie,m_philippines_cfw,m_philippines_es_ns,m_philippines_tot,m_poland_e,m_poland_om_ie,m_poland_om_uie,m_poland_cfw,m_poland_es_ns,m_poland_tot,m_singapore_e,m_singapore_om_ie,m_singapore_om_uie,m_singapore_cfw,m_singapore_es_ns,m_singapore_tot,m_sthafrica_e,m_sthafrica_om_ie,m_sthafrica_om_uie,m_sthafrica_cfw,m_sthafrica_es_ns,m_sthafrica_tot,m_srilanka_e,m_srilanka_om_ie,m_srilanka_om_uie,m_srilanka_cfw,m_srilanka_es_ns,m_srilanka_tot,m_thailand_e,m_thailand_om_ie,m_thailand_om_uie,m_thailand_cfw,m_thailand_es_ns,m_thailand_tot,m_turkey_e,m_turkey_om_ie,m_turkey_om_uie,m_turkey_cfw,m_turkey_es_ns,m_turkey_tot,m_uk_e,m_uk_om_ie,m_uk_om_uie,m_uk_cfw,m_uk_es_ns,m_uk_tot,m_usa_e,m_usa_om_ie,m_usa_om_uie,m_usa_cfw,m_usa_es_ns,m_usa_tot,m_vietnam_e,m_vietnam_om_ie,gcc_name16
1RNSW,337093,33925,46849,11337,5717,434915,672,97,91,29,5,890,1480,271,324,92,34,2199,207,35,32,8,4,291,201,76,49,3,5,330,545,38,48,12,8,642,615,91,83,13,9,812,864,143,249,64,23,1337,163,32,70,20,8,301,336,72,91,7,7,514,3731,522,256,114,68,4688,239,14,28,9,0,282,324,46,31,8,3,410,110,31,14,3,0,163,740,115,112,16,16,1007,665,196,219,100,25,1204,158,15,23,5,3,216,667,87,37,7,9,808,161,51,90,20,8,330,604,82,114,10,6,821,158,14,36,22,5,243,538,112,177,60,17,900,6059,686,873,149,93,7857,522,72,33,4,11,646,1704,43,44,7,27,1831,211,26,41,5,3,295,172,24,27,3,4,235,1659,285,237,40,18,2244,674,65,32,10,4,798,368,26,45,10,8,456,161,45,64,7,3,283,11612,1541,2068,447,150,15825,1094,116,186,32,21,1445,504,71,Rest of NSW
1GSYD,521657,61121,41889,4852,5358,634878,2636,350,194,23,9,3218,35533,6895,4385,1232,308,48352,1782,318,215,27,33,2367,3189,802,469,70,65,4603,8376,739,429,81,111,9737,2237,337,189,36,26,2833,3529,486,369,70,32,4480,2143,573,484,82,72,3345,9883,1120,823,109,65,11998,45838,3322,1961,298,316,51742,8287,461,450,63,60,9320,4466,776,604,79,65,5994,4580,1006,762,72,103,6519,6185,972,399,29,47,7632,5672,1191,853,158,114,7990,2100,285,177,24,18,2605,9083,2061,1560,297,114,13123,7243,2847,2344,262,285,12984,6701,816,523,69,51,8155,1277,215,239,41,37,1807,1740,281,192,34,17,2266,24346,2570,1663,194,293,29073,6865,616,822,55,117,8477,20706,472,472,80,124,21853,2053,335,352,38,23,2805,2340,250,177,28,8,2799,9751,1979,909,99,78,12824,8233,576,369,58,73,9309,4916,236,237,67,74,5529,2160,434,450,71,48,3164,47235,6556,4164,498,376,58838,5706,538,423,53,36,6757,16678,1895,Greater Sydney
2RVIC,182628,22129,27289,7579,3438,243067,267,35,32,3,3,334,725,202,129,79,10,1140,163,43,35,10,3,251,116,33,26,0,6,177,173,17,11,6,0,204,103,25,21,3,3,151,481,81,118,40,15,727,101,40,52,21,6,216,171,30,24,3,3,238,3118,315,185,58,44,3719,119,9,16,3,0,149,185,16,17,3,3,220,106,24,12,0,3,154,408,54,50,9,8,528,521,167,159,122,35,1012,92,7,15,3,0,113,229,14,4,4,5,255,44,17,14,3,3,81,503,55,67,10,3,643,136,17,24,4,8,192,543,117,189,47,29,921,2908,315,389,96,40,3741,320,47,33,0,8,403,1088,13,14,9,14,1137,111,16,22,5,3,158,123,5,13,3,0,145,675,92,74,16,10,862,600,71,20,10,5,708,193,15,9,9,4,233,95,22,24,15,0,157,6102,776,979,227,85,8161,447,52,57,16,4,578,315,51,Rest of Vic.
2GMEL,525565,63564,42866,5270,5721,642987,1991,199,146,13,5,2360,20697,4717,2558,1400,195,29569,1843,336,231,46,41,2498,1927,483,289,40,25,2767,2722,195,160,47,34,3155,2946,441,250,54,70,3759,3258,511,393,80,39,4280,3821,955,689,141,93,5705,4833,526,369,73,20,5818,55034,4523,2606,471,603,63238,3831,268,166,50,27,4344,3018,396,366,59,48,3886,2117,398,419,69,55,3055,3862,389,242,25,37,4552,6713,1566,1048,286,180,9799,1165,118,92,13,17,1410,2935,357,324,79,34,3730,2052,703,784,98,96,3735,10640,1159,703,145,65,12707,1780,260,204,25,32,2308,1785,382,270,58,31,2526,22170,1726,1393,141,230,25664,6563,459,553,54,85,7711,11742,237,251,64,86,12381,2054,398,379,50,34,2915,2937,278,194,30,10,3448,6733,997,523,66,44,8365,16492,1263,796,163,177,18894,2065,130,124,33,16,2371,2378,624,509,94,76,3674,38732,4600,3466,430,303,47526,3942,360,304,38,29,4671,16629,1660,Greater Melbourne
3GBRI,300984,28321,22303,3291,2461,357355,1333,127,112,21,9,1603,4876,1065,495,277,28,6737,308,45,53,11,6,423,226,42,26,6,3,305,2320,283,183,43,13,2852,129,17,18,3,0,168,1631,196,198,24,11,2061,244,72,63,7,6,387,1698,231,161,24,4,2123,11660,1021,707,158,128,13670,746,66,56,11,10,887,1090,121,157,23,16,1407,223,41,42,4,5,316,1886,261,129,17,13,2310,895,188,131,58,30,1298,781,74,56,11,7,923,2523,385,310,78,36,3337,159,53,46,11,4,280,2303,279,193,27,7,2814,133,18,22,0,0,179,1003,176,118,23,6,1325,28645,2198,1881,230,286,33237,943,129,112,11,14,1213,4319,110,104,15,29,4580,583,70,68,3,7,728,915,77,50,14,7,1053,6488,757,458,72,30,7805,1932,157,123,20,10,2233,708,63,44,18,13,834,199,53,37,4,4,300,25479,2816,2231,296,204,31029,2117,179,152,32,4,2489,2913,317,Greater Brisbane
3RQLD,309671,33545,34926,9207,4213,391559,1081,127,119,25,4,1352,1621,415,207,122,13,2374,133,35,36,14,6,224,140,55,31,8,3,230,782,90,55,12,14,955,49,4,12,0,0,76,1216,197,283,59,28,1783,103,26,25,15,3,180,496,73,72,14,0,651,4565,520,311,64,76,5530,394,38,33,3,8,477,322,66,65,5,3,464,94,22,12,0,4,131,1005,131,117,13,19,1284,823,161,191,111,17,1308,1014,166,104,26,13,1322,1488,177,162,42,12,1891,66,32,27,6,3,136,831,122,114,21,9,1092,118,19,38,20,5,213,843,161,190,31,11,1237,20674,2482,2424,376,289,26244,348,69,30,5,3,465,3388,60,85,15,45,3598,251,46,44,6,4,356,371,40,32,4,0,453,4153,735,457,99,33,5481,835,70,36,10,3,964,491,29,49,17,8,599,130,38,28,9,0,200,16795,2517,2582,427,207,22520,1397,160,192,45,10,1814,607,77,Rest of Qld
4RSAU,48992,5221,9279,3079,1017,67592,42,10,7,0,0,59,262,21,9,14,3,303,21,7,7,3,3,32,16,5,0,0,0,26,44,0,3,0,0,46,4,0,0,0,0,5,137,22,43,13,5,227,29,16,20,30,3,102,47,3,0,0,0,48,427,51,30,23,6,537,25,0,3,0,0,25,26,4,0,0,0,37,9,3,0,0,0,14,74,4,10,3,4,97,113,18,40,17,4,191,11,0,0,0,0,17,46,0,3,0,3,48,11,0,4,0,0,15,61,11,16,0,0,95,3,0,10,0,3,13,116,16,50,15,11,205,729,55,88,23,8,900,72,5,5,0,3,84,468,3,0,0,9,483,17,5,3,0,0,35,16,4,3,0,3,26,280,21,25,3,0,330,123,11,4,0,3,142,37,6,4,3,0,42,13,3,0,3,0,22,2325,181,406,86,34,3023,97,10,24,3,0,133,107,14,Rest of SA
4GADE,168078,14462,15552,1813,1704,201604,447,55,47,4,3,558,2837,530,313,194,23,3900,255,51,63,10,8,385,207,38,32,5,3,288,261,18,21,6,3,305,38,8,10,0,0,66,942,129,151,20,23,1266,513,162,166,30,19,892,629,74,29,6,7,746,8017,564,565,79,90,9318,323,14,27,3,3,359,773,85,107,11,11,983,161,19,26,8,10,226,630,54,63,3,11,760,1407,409,455,93,38,2404,204,14,15,0,3,238,581,82,88,31,3,790,161,54,94,7,9,335,1391,171,149,23,15,1748,129,25,16,7,4,178,559,90,113,22,7,793,2455,231,239,27,21,2974,765,59,54,7,13,890,2164,25,52,10,21,2272,726,78,125,12,8,949,428,52,33,15,0,522,1439,107,119,12,10,1692,938,53,51,11,5,1051,411,29,21,9,3,467,88,20,16,3,0,126,18216,1582,2083,182,169,22242,849,69,72,6,7,1003,2231,265,Greater Adelaide
5GPER,194935,20753,17874,2310,1726,237600,1086,114,91,12,9,1314,4614,631,414,170,35,5868,600,83,97,11,5,805,355,46,49,9,3,464,242,8,10,3,4,262,517,75,87,8,7,702,1454,199,201,36,14,1897,204,44,52,7,3,305,1363,116,122,30,7,1635,14306,1015,966,131,128,16541,2006,204,127,34,15,2380,1240,137,146,33,15,1566,398,58,95,16,8,571,4231,419,340,28,37,5055,2231,533,483,119,48,3403,632,50,44,13,4,737,1392,225,135,27,18,1808,156,38,40,14,0,252,6014,633,564,97,42,7340,117,20,18,7,0,159,982,160,180,21,12,1350,15222,1096,1233,123,168,17841,1583,81,151,11,15,1850,6021,55,87,25,37,6222,808,97,172,16,10,1108,2940,284,240,37,20,3520,8858,1094,776,94,53,10873,2185,132,127,12,19,2475,752,41,42,12,5,855,182,62,62,10,4,325,43091,4402,5147,451,353,53446,1798,149,117,25,7,2099,2863,335,Greater Perth
5RWAU,89847,7222,9779,3125,1272,111250,235,14,7,7,3,262,515,28,25,14,0,580,75,10,16,4,4,102,66,3,4,0,0,77,150,3,3,0,3,164,46,0,3,3,0,55,416,31,63,8,3,525,27,3,8,0,0,47,121,4,4,3,0,132,1352,54,44,14,13,1479,233,8,3,3,4,255,126,3,7,3,0,139,39,0,4,0,4,49,1178,38,43,7,6,1275,312,46,47,35,11,446,64,4,3,0,3,78,318,10,11,0,9,346,28,8,6,0,0,42,437,21,16,0,3,474,30,3,0,0,0,39,308,25,57,17,7,414,9039,285,320,72,88,9801,132,12,12,3,4,160,2316,3,4,6,22,2359,115,9,3,5,0,128,227,8,10,11,0,258,2329,125,126,22,17,2613,245,12,4,0,0,268,144,0,4,3,3,154,29,0,7,0,0,34,9170,470,908,192,93,10832,390,32,34,20,3,474,168,27,Rest of WA
