gcc_code16,f_srilanka_es_ns,f_srilanka_tot,f_thailand_e,f_thailand_om_ie,f_thailand_om_uie,f_thailand_cfw,f_thailand_es_ns,f_thailand_tot,f_turkey_e,f_turkey_om_ie,f_turkey_om_uie,f_turkey_cfw,f_turkey_es_ns,f_turkey_tot,f_uk_e,f_uk_om_ie,f_uk_om_uie,f_uk_cfw,f_uk_es_ns,f_uk_tot,f_usa_e,f_usa_om_ie,f_usa_om_uie,f_usa_cfw,f_usa_es_ns,f_usa_tot,f_vietnam_e,f_vietnam_om_ie,f_vietnam_om_uie,f_vietnam_cfw,f_vietnam_es_ns,f_vietnam_tot,f_zimbabwe_e,f_zimbabwe_om_ie,f_zimbabwe_om_uie,f_zimbabwe_cfw,f_zimbabwe_es_ns,f_zimbabwe_tot,f_elsewhere_e,f_elsewhere_om_ie,f_elsewhere_om_uie,f_elsewhere_cfw,f_elsewhere_es_ns,f_elsewhere_tot,f_cob_ns_e,f_cob_ns_om_ie,f_cob_ns_om_uie,f_cob_ns_cfw,f_cob_ns_es_ns,f_cob_ns_tot,f_tot_e,f_tot_om_ie,f_tot_om_uie,f_tot_cfw,f_tot_es_ns,f_tot_tot,p_australia_e,p_australia_om_ie,p_australia_om_uie,p_australia_cfw,p_australia_es_ns,p_australia_tot,p_canada_e,p_canada_om_ie,p_canada_om_uie,p_canada_cfw,p_canada_es_ns,p_canada_tot,p_china_e,p_china_om_ie,p_china_om_uie,p_china_cfw,p_china_es_ns,p_china_tot,p_croatia_e,p_croatia_om_ie,p_croatia_om_uie,p_croatia_cfw,p_croatia_es_ns,p_croatia_tot,p_egypt_e,p_egypt_om_ie,p_egypt_om_uie,p_egypt_cfw,p_egypt_es_ns,p_egypt_tot,p_fiji_e,p_fiji_om_ie,p_fiji_om_uie,p_fiji_cfw,p_fiji_es_ns,p_fiji_tot,p_fyrom_e,p_fyrom_om_ie,p_fyrom_om_uie,p_fyrom_cfw,p_fyrom_es_ns,p_fyrom_tot,p_germany_e,p_germany_om_ie,p_germany_om_uie,p_germany_cfw,p_germany_es_ns,p_germany_tot,p_greece_e,p_greece_om_ie,p_greece_om_uie,p_greece_cfw,p_greece_es_ns,p_greece_tot,p_hongkong_e,p_hongkong_om_ie,p_hongkong_om_uie,p_hongkong_cfw,p_hongkong_es_ns,p_hongkong_tot,p_india_e,p_india_om_ie,p_india_om_uie,p_india_cfw,p_india_es_ns,p_india_tot,p_indonesia_e,p_indonesia_om_ie,p_indonesia_om_uie,p_indonesia_cfw,p_indonesia_es_ns,p_indonesia_tot,p_iran_e,p_iran_om_ie,p_iran_om_uie,p_iran_cfw,p_iran_es_ns,p_iran_tot,p_iraq_e,p_iraq_om_ie,p_iraq_om_uie,p_iraq_cfw,p_iraq_es_ns,p_iraq_tot,p_ireland_e,p_ireland_om_ie,p_ireland_om_uie,p_ireland_cfw,p_ireland_es_ns,p_ireland_tot,p_italy_e,p_italy_om_ie,p_italy_om_uie,p_italy_cfw,p_italy_es_ns,p_italy_tot,p_japan_e,p_japan_om_ie,p_japan_om_uie,p_japan_cfw,p_japan_es_ns,p_japan_tot,p_koreasouth_e,p_koreasouth_om_ie,p_koreasouth_om_uie,p_koreasouth_cfw,p_koreasouth_es_ns,p_koreasouth_tot,p_lebanon_e,p_lebanon_om_ie,p_lebanon_om_uie,p_lebanon_cfw,p_lebanon_es_ns,p_lebanon_tot,p_malaysia_e,p_malaysia_om_ie,p_malaysia_om_uie,p_malaysia_cfw,p_malaysia_es_ns,p_malaysia_tot,p_malta_e,p_malta_om_ie,p_malta_om_uie,p_malta_cfw,p_malta_es_ns,p_malta_tot,p_netherlands_e,p_netherlands_om_ie,p_netherlands_om_uie,p_netherlands_cfw,p_netherlands_es_ns,p_netherlands_tot,p_nz_e,p_nz_om_ie,p_nz_om_uie,p_nz_cfw,p_nz_es_ns,p_nz_tot,p_pakistan_e,p_pakistan_om_ie,p_pakistan_om_uie,p_pakistan_cfw,p_pakistan_es_ns,p_pakistan_tot,gcc_name16
1RNSW,3,509,926,77,169,47,27,1235,106,15,18,11,3,151,12480,819,1578,462,162,15503,1322,83,212,61,18,1693,589,78,155,42,13,880,530,9,32,5,5,584,7339,472,806,227,113,8949,7206,379,842,419,461,9302,425401,19282,36648,12695,5700,499719,706985,49643,77060,21920,10277,865894,1606,151,189,54,20,2011,2998,446,627,201,52,4317,421,50,58,9,5,548,319,108,59,4,9,495,1058,61,72,30,15,1235,1234,119,119,26,16,1521,2078,231,432,125,45,2910,297,49,93,28,13,483,675,118,174,17,6,994,6416,709,403,204,105,7823,591,29,65,12,8,701,533,53,45,9,3,647,173,56,26,3,4,262,1486,148,188,34,32,1885,1224,253,301,139,33,1951,512,42,91,13,7,668,1197,126,73,26,19,1444,267,61,115,26,17,487,1319,136,200,28,14,1700,281,32,55,36,11,416,1151,158,300,104,33,1740,12277,1021,1530,321,167,15317,642,100,45,12,11,820,Rest of NSW
1GSYD,50,6701,8347,322,455,144,100,9378,1569,132,156,34,25,1926,40264,2364,2768,460,272,46135,5700,302,401,76,37,6513,16325,1102,1508,418,209,19565,1528,51,74,7,13,1672,72502,3083,4391,908,785,81664,8666,487,588,219,609,10563,938695,45266,52820,11573,8169,1056525,1070122,85393,70843,10563,9463,1246377,5610,519,387,61,24,6601,79284,11012,7556,2453,615,100916,3691,423,321,53,67,4550,5583,1062,674,107,98,7528,17749,939,600,162,221,19669,4459,425,260,54,59,5261,7201,734,718,136,49,8839,4011,721,706,126,107,5668,20061,1586,1346,216,110,23323,75867,4405,2788,543,497,84099,16878,692,744,148,132,18600,8249,986,842,138,100,10311,7640,1228,1121,116,165,10271,11718,1198,607,61,84,13672,9741,1511,1158,286,180,12878,5938,442,504,88,59,7030,18429,3055,2764,644,218,25114,12377,3403,3045,449,390,19662,14397,1192,914,145,97,16749,2280,292,354,77,68,3065,3186,386,324,56,26,3985,47368,3630,2827,428,514,54768,8852,759,1039,95,158,10903,Greater Sydney
2RVIC,3,437,423,27,62,21,7,532,49,10,3,7,0,66,6707,343,687,247,96,8082,554,52,78,25,0,702,367,45,70,18,6,510,193,6,10,7,3,216,3779,215,340,117,72,4521,4705,278,496,253,272,6003,239775,11794,19333,7979,3496,282377,391914,32050,43735,14351,6254,488302,620,50,55,18,6,757,1650,358,243,155,25,2421,347,50,58,15,8,483,185,36,22,7,6,254,370,17,15,7,3,414,206,31,27,9,3,269,1067,126,217,77,27,1513,176,54,84,31,7,363,367,46,44,8,5,467,5144,431,253,99,76,6012,313,26,23,14,3,389,297,21,27,3,3,349,157,32,17,3,11,220,829,69,76,15,14,1000,904,220,220,166,52,1558,246,19,37,7,3,313,383,22,15,5,5,429,80,24,20,4,3,128,1064,95,102,22,10,1289,232,27,30,12,9,314,1065,183,275,97,40,1663,5898,492,667,191,85,7323,394,60,41,0,12,503,Rest of Vic.
2GMEL,113,13627,3870,226,353,76,44,4580,1675,159,117,56,32,2041,33832,1692,2226,432,253,38438,4032,253,328,66,28,4712,16492,982,1430,382,221,19502,1336,30,46,11,18,1442,50817,2475,3532,767,701,58289,9340,563,603,222,608,11343,874255,40797,48241,12421,7866,983586,1092254,87699,72288,11948,9984,1274175,4423,306,301,44,25,5101,46547,8253,4501,3002,365,62675,3739,466,333,70,69,4680,3518,639,400,79,46,4689,5689,279,215,79,70,6336,5585,579,348,94,118,6715,6476,734,687,133,88,8119,7054,1217,974,225,163,9632,9952,777,638,138,42,11547,90667,5637,3663,849,872,101685,8135,409,377,112,60,9094,5163,514,504,102,74,6358,3367,506,604,103,76,4656,7425,506,370,54,63,8411,11747,1981,1442,450,301,15915,3582,220,280,44,31,4166,5934,534,550,154,70,7248,3431,892,1080,170,133,5709,22573,1764,1276,292,138,26037,3185,349,281,70,66,3958,3305,492,428,96,49,4370,43466,2485,2462,336,427,49172,8019,564,788,80,100,9560,Greater Melbourne
3GBRI,14,1676,1650,110,167,43,19,1988,95,12,8,7,0,126,22698,1113,1431,360,169,25773,1979,100,142,26,15,2260,3170,248,572,139,58,4182,1434,70,64,20,3,1592,23347,1032,1539,360,233,26516,3787,180,235,97,227,4527,457060,19377,24284,6207,3417,510348,620325,41082,38218,7238,4480,711341,2836,206,223,30,17,3310,11564,1783,1009,554,70,14980,634,69,80,20,5,811,369,62,39,11,3,485,4952,394,287,92,36,5767,291,27,21,7,4,343,3363,306,355,55,32,4111,396,87,80,18,8,578,3513,342,265,51,17,4184,19111,1353,942,260,194,21859,1779,110,116,32,17,2050,1849,161,196,38,18,2266,337,53,58,7,4,456,3559,329,190,36,24,4132,1555,243,181,91,39,2110,2332,133,171,31,14,2676,4995,567,559,154,67,6338,269,68,61,14,3,419,4957,428,330,51,19,5789,240,32,32,5,4,313,1880,227,204,42,16,2370,56431,3112,3133,511,570,63754,1197,162,131,19,16,1537,Greater Brisbane
3RQLD,8,545,1350,89,221,54,19,1728,60,12,8,7,0,85,18810,1326,1837,497,167,22636,1633,114,188,68,9,2013,690,76,120,33,20,937,1196,84,89,15,11,1396,12535,755,1125,333,165,14915,5381,341,517,295,312,6860,419808,23190,32378,12275,4659,492314,635737,50544,59033,18829,7562,771696,2557,224,252,54,14,3105,3641,730,441,265,34,5120,332,57,60,20,12,478,236,68,43,7,4,359,1560,132,87,24,25,1829,101,4,16,4,0,136,2920,343,538,135,53,3988,184,40,47,27,11,304,1060,134,116,29,4,1350,7488,715,419,125,113,8860,977,67,65,27,17,1155,540,86,91,10,3,734,146,28,15,0,4,190,1930,186,176,43,25,2359,1382,207,281,166,35,2057,3274,310,307,87,43,4033,2759,283,290,91,27,3443,112,36,32,11,0,193,1858,204,190,37,21,2312,218,32,63,34,12,366,1666,251,313,70,26,2324,43076,3780,4199,863,532,52447,462,93,38,7,3,605,Rest of Qld
4RSAU,0,53,85,13,12,8,0,118,0,0,3,0,0,6,2573,122,303,104,55,3152,119,7,22,8,0,151,83,12,16,6,4,115,83,7,3,0,0,94,765,25,56,19,22,881,1116,58,135,74,80,1456,57585,2814,5832,2711,996,69948,98820,7639,14328,5430,1804,128021,113,17,13,6,0,152,495,29,13,20,5,564,38,10,8,6,3,59,20,11,0,0,0,31,77,0,3,0,0,87,6,0,0,0,0,10,309,39,72,28,4,463,61,23,39,36,3,159,75,5,4,0,0,90,697,77,44,48,10,877,62,0,5,0,3,74,38,8,0,0,0,46,15,3,0,0,0,20,135,10,19,3,4,167,179,26,51,28,12,283,44,0,6,0,0,48,97,4,6,3,3,116,12,0,4,0,0,22,159,16,16,3,0,206,11,0,9,0,3,24,233,33,88,33,10,398,1301,79,144,45,20,1584,87,13,4,0,3,102,Rest of SA
4GADE,12,786,639,25,80,25,3,771,75,4,9,0,0,84,18862,642,1226,259,137,21121,805,35,57,11,5,918,2527,191,506,127,48,3394,377,7,17,0,3,402,9234,311,613,171,112,10432,2553,133,175,44,168,3074,250652,8427,14077,3317,2197,278672,353961,20260,25173,3849,3147,406395,973,77,85,16,10,1161,6689,874,559,419,50,8589,580,73,96,15,17,783,326,49,45,8,5,440,562,23,26,12,6,634,88,15,16,5,0,124,2002,176,263,46,31,2522,1018,209,221,60,36,1541,1287,108,59,14,8,1476,13799,702,723,133,145,15502,723,19,50,3,10,808,1351,112,135,22,13,1631,272,25,46,15,7,363,1176,74,96,6,13,1371,2678,521,607,154,47,4002,625,21,48,0,7,702,1296,131,156,78,16,1678,327,78,128,12,17,567,3224,248,256,60,22,3807,234,26,31,8,6,307,1125,118,173,39,17,1477,4918,316,397,52,41,5720,958,72,70,8,13,1131,Greater Adelaide
5GPER,9,1584,1863,49,150,32,13,2111,106,15,12,7,3,144,44599,1868,2936,562,278,50238,1636,71,125,25,3,1869,3154,265,650,166,38,4280,2892,100,121,41,16,3173,22382,788,1377,306,202,25054,3417,126,244,72,198,4054,372700,15347,22167,5495,2733,418438,409167,29487,30010,5316,3125,477106,2426,166,190,26,14,2820,9770,1081,821,390,79,12148,1257,110,175,32,20,1595,563,64,68,12,10,727,483,17,19,3,4,525,1121,106,117,22,14,1382,3238,299,381,77,22,4014,371,60,63,12,7,507,2759,177,212,49,17,3222,23904,1330,1331,234,185,26986,4627,332,247,79,26,5310,2215,176,220,43,21,2678,612,67,110,16,17,823,8561,551,495,70,64,9742,3894,682,626,169,74,5450,1814,97,155,28,10,2104,2660,350,236,74,31,3350,271,55,47,13,4,394,12901,947,957,207,85,15092,223,24,26,9,3,282,1868,210,284,48,20,2427,29966,1531,1956,291,298,34032,1980,94,174,16,26,2295,Greater Perth
5RWAU,0,101,419,18,33,12,6,487,4,0,0,0,0,5,6334,306,645,268,78,7636,301,20,42,19,0,379,123,29,61,26,10,237,535,20,34,13,3,596,2369,75,159,79,31,2713,1595,88,172,92,98,2041,89929,4286,7578,3538,1203,106527,155812,10561,15492,5865,2092,189816,513,23,42,20,3,598,791,50,49,31,3,928,118,15,18,8,8,160,78,8,6,0,0,91,243,6,6,0,3,261,69,0,4,4,0,77,913,51,134,32,15,1144,40,4,13,3,3,68,222,13,9,10,4,247,1949,77,70,22,19,2134,462,16,25,17,4,523,160,9,7,6,0,180,52,0,4,0,4,57,1712,56,66,26,11,1865,466,64,67,60,14,673,180,6,10,4,4,202,482,10,16,3,9,517,36,13,7,0,0,56,709,33,37,10,3,786,51,3,3,0,0,55,548,41,97,30,10,730,13919,426,562,164,147,15216,167,12,19,3,4,198,Rest of WA
