gcc_code16,m_negnilinc_e,m_negnilinc_om_ie,m_negnilinc_om_uie,m_negnilinc_cfw,m_negnilinc_es_ns,m_negnilinc_tot,m_1_149_e,m_1_149_om_ie,m_1_149_om_uie,m_1_149_cfw,m_1_149_es_ns,m_1_149_tot,m_150_299_e,m_150_299_om_ie,m_150_299_om_uie,m_150_299_cfw,m_150_299_es_ns,m_150_299_tot,m_300_399_e,m_300_399_om_ie,m_300_399_om_uie,m_300_399_cfw,m_300_399_es_ns,m_300_399_tot,m_400_499_e,m_400_499_om_ie,m_400_499_om_uie,m_400_499_cfw,m_400_499_es_ns,m_400_499_tot,m_500_649_e,m_500_649_om_ie,m_500_649_om_uie,m_500_649_cfw,m_500_649_es_ns,m_500_649_tot,m_650_799_e,m_650_799_om_ie,m_650_799_om_uie,m_650_799_cfw,m_650_799_es_ns,m_650_799_tot,m_800_999_e,m_800_999_om_ie,m_800_999_om_uie,m_800_999_cfw,m_800_999_es_ns,m_800_999_tot,m_1000_1249_e,m_1000_1249_om_ie,m_1000_1249_om_uie,m_1000_1249_cfw,m_1000_1249_es_ns,m_1000_1249_tot,m_1250_1499_e,m_1250_1499_om_ie,m_1250_1499_om_uie,m_1250_1499_cfw,m_1250_1499_es_ns,m_1250_1499_tot,m_1500_1749_e,m_1500_1749_om_ie,m_1500_1749_om_uie,m_1500_1749_cfw,m_1500_1749_es_ns,m_1500_1749_tot,m_1750_1999_e,m_1750_1999_om_ie,m_1750_1999_om_uie,m_1750_1999_cfw,m_1750_1999_es_ns,m_1750_1999_tot,m_2000_2999_e,m_2000_2999_om_ie,m_2000_2999_om_uie,m_2000_2999_cfw,m_2000_2999_es_ns,m_2000_2999_tot,m_3000mor_e,m_3000mor_om_ie,m_3000mor_om_uie,m_3000mor_cfw,m_3000mor_es_ns,m_3000mor_tot,m_persinc_ns_e,m_persinc_ns_om_ie,m_persinc_ns_om_uie,m_persinc_ns_cfw,m_persinc_ns_es_ns,m_persinc_ns_tot,m_tot_e,m_tot_om_ie,m_tot_om_uie,m_tot_cfw,m_tot_es_ns,m_tot_tot,f_negnilinc_e,f_negnilinc_om_ie,f_negnilinc_om_uie,f_negnilinc_cfw,f_negnilinc_es_ns,f_negnilinc_tot,f_1_149_e,f_1_149_om_ie,f_1_149_om_uie,f_1_149_cfw,f_1_149_es_ns,f_1_149_tot,f_150_299_e,f_150_299_om_ie,f_150_299_om_uie,f_150_299_cfw,f_150_299_es_ns,f_150_299_tot,f_300_399_e,f_300_399_om_ie,f_300_399_om_uie,f_300_399_cfw,f_300_399_es_ns,f_300_399_tot,f_400_499_e,f_400_499_om_ie,f_400_499_om_uie,f_400_499_cfw,f_400_499_es_ns,f_400_499_tot,f_500_649_e,f_500_649_om_ie,f_500_649_om_uie,f_500_649_cfw,f_500_649_es_ns,f_500_649_tot,f_650_799_e,f_650_799_om_ie,f_650_799_om_uie,f_650_799_cfw,f_650_799_es_ns,f_650_799_tot,f_800_999_e,f_800_999_om_ie,f_800_999_om_uie,f_800_999_cfw,f_800_999_es_ns,f_800_999_tot,f_1000_1249_e,f_1000_1249_om_ie,f_1000_1249_om_uie,f_1000_1249_cfw,f_1000_1249_es_ns,f_1000_1249_tot,f_1250_1499_e,f_1250_1499_om_ie,f_1250_1499_om_uie,f_1250_1499_cfw,f_1250_1499_es_ns,f_1250_1499_tot,f_1500_1749_e,f_1500_1749_om_ie,f_1500_1749_om_uie,f_1500_1749_cfw,f_1500_1749_es_ns,f_1500_1749_tot,f_1750_1999_e,f_1750_1999_om_ie,f_1750_1999_om_uie,f_1750_1999_cfw,f_1750_1999_es_ns,f_1750_1999_tot,f_2000_2999_e,f_2000_2999_om_ie,f_2000_2999_om_uie,f_2000_2999_cfw,f_2000_2999_es_ns,f_2000_2999_tot,f_3000mor_e,f_3000mor_om_ie,f_3000mor_om_uie,f_3000mor_cfw,f_3000mor_es_ns,f_3000mor_tot,f_persinc_ns_e,f_persinc_ns_om_ie,f_persinc_ns_om_uie,f_persinc_ns_cfw,f_persinc_ns_es_ns,f_persinc_ns_tot,f_tot_e,f_tot_om_ie,f_tot_om_uie,f_tot_cfw,f_tot_es_ns,f_tot_tot,p_negnilinc_e,p_negnilinc_om_ie,p_negnilinc_om_uie,p_negnilinc_cfw,p_negnilinc_es_ns,p_negnilinc_tot,p_1_149_e,p_1_149_om_ie,gcc_name16
1RNSW,1141,248,837,1999,128,4351,13228,209,882,846,274,15443,9988,584,2434,1325,368,14700,11233,1124,3397,1417,504,17682,15603,1352,4092,1204,546,22793,26230,2628,6142,1369,694,37061,41939,3387,6288,1011,765,53391,55822,4473,7134,923,842,69192,56756,5856,7046,847,699,71213,38634,4191,4475,511,438,48241,33225,4419,3461,410,360,41885,26893,2409,2073,231,196,31798,39536,4115,2767,330,277,47027,13214,4920,3001,380,209,21726,6147,671,1123,526,727,9198,389597,40585,55172,13325,7036,505708,1540,141,538,2325,125,4666,21123,289,1562,1128,396,24502,22280,691,3287,1593,490,28338,26029,1088,3674,1368,572,32728,33476,1186,3891,1167,624,40346,55026,2043,5197,1179,689,64136,62315,2250,4451,840,661,70515,58403,2282,3880,711,551,65831,49741,2296,3206,608,429,56278,30850,1561,1911,324,216,34858,23498,1617,1350,279,180,26930,16545,818,756,168,101,18385,15051,1304,1136,236,106,17834,3407,1415,1097,254,80,6249,6104,308,707,517,484,8125,425401,19282,36648,12695,5700,499719,2683,385,1373,4323,259,9021,34354,495,Rest of NSW
1GSYD,3098,825,709,1906,207,6741,21108,521,1240,576,278,23721,23057,1058,2608,799,397,27913,25520,2198,3883,941,580,33125,31572,2915,5080,817,678,41064,46650,5771,7691,951,908,61967,71213,7855,8246,819,1051,89186,105754,10713,9479,831,1290,128071,125174,13778,10077,778,1222,151033,96241,10941,6734,435,741,115100,87020,11883,5611,407,597,105526,69608,7688,3657,256,425,81637,128825,14142,5420,351,543,149282,91630,20496,7922,550,569,121163,12639,1809,1302,281,1214,17245,939117,112606,79658,10686,10705,1152769,3741,356,615,2389,199,7299,34019,562,2602,1010,354,38550,42029,1301,4186,1286,560,49359,44644,2041,4517,1203,617,53019,51777,2169,4769,911,698,60316,81114,3754,6288,1058,932,93148,102146,4275,5741,758,952,113878,118477,4795,5514,664,891,130342,125951,5216,5043,563,766,137541,90105,3900,3348,327,457,98128,75362,4171,2558,266,300,82654,52521,2502,1623,184,216,57040,71129,4344,2455,274,271,78478,32979,5220,2760,380,216,41546,12714,654,798,301,740,15212,938695,45266,52820,11573,8169,1056525,6832,1180,1325,4293,411,14042,55124,1080,Greater Sydney
2RVIC,734,227,648,1505,80,3199,8496,187,612,609,210,10119,5741,416,1483,844,197,8685,6278,800,2098,915,255,10356,8709,1045,2572,797,304,13420,14538,1915,3606,920,403,21374,23611,2470,3672,713,481,30945,32654,3033,4021,648,519,40883,33162,3578,3863,498,457,41559,22019,2671,2419,275,261,27648,17971,2562,1822,220,213,22788,13044,1432,1033,162,165,15827,15980,2316,1389,163,172,20021,5573,2708,1453,232,117,10086,3728,505,705,343,416,5699,212244,25867,31399,8844,4250,282606,1004,114,342,1447,91,2987,13591,199,996,743,283,15814,14196,510,1768,980,306,17765,16056,731,2089,870,335,20090,20108,825,2106,728,352,24113,31857,1304,2645,786,470,37053,34832,1443,2246,554,428,39498,32720,1390,2038,417,329,36904,28139,1298,1586,364,267,31646,17558,905,949,230,93,19733,12037,907,681,134,99,13857,6896,445,389,80,55,7864,5318,704,576,117,41,6757,1669,792,527,186,59,3238,3801,224,413,341,292,5069,239775,11794,19333,7979,3496,282377,1734,340,989,2954,169,6189,22085,385,Rest of Vic.
2GMEL,3081,815,694,2122,185,6894,24942,629,1165,678,320,27735,24350,1205,2786,941,412,29695,24725,2348,3817,997,571,32462,28779,3045,4760,816,727,38126,44313,5667,7077,1038,892,58980,71953,7829,7470,871,1168,89292,106444,10121,8822,805,1376,127570,122865,12737,8935,701,1184,146419,91942,10017,6216,407,704,109279,80918,10998,4732,395,562,97603,62182,6825,3156,241,379,72780,104655,11986,4441,332,447,121868,62117,16618,6223,448,471,85879,13225,1829,1407,323,1219,18002,866482,102668,71697,11120,10619,1062579,3805,407,574,2714,205,7710,39471,644,2754,1174,507,44554,46303,1452,4582,1435,639,54402,45647,2321,4663,1285,690,54603,53184,2387,4688,1018,703,61976,83555,3682,5860,1014,881,94990,101629,4113,5176,838,878,112638,116687,4195,4780,638,822,127116,118853,4577,4245,531,660,128870,82552,3432,2723,309,369,89379,63028,3572,2113,326,295,69340,38692,2045,1266,172,154,42317,46853,3335,1975,242,177,52575,20163,3937,2139,313,201,26759,13833,703,707,407,699,16354,874255,40797,48241,12421,7866,983586,6892,1219,1266,4833,392,14604,64417,1272,Greater Melbourne
3GBRI,1377,304,359,1019,79,3131,12073,232,640,370,125,13441,11325,465,1296,454,165,13709,11406,917,1776,468,225,14800,13729,1132,2139,375,222,17596,22286,2025,3165,491,354,28324,37048,2761,3486,383,412,44092,55869,3816,4011,378,481,64554,64962,5120,4335,372,442,75242,48811,4221,2985,221,285,56519,43786,5211,2418,202,238,51849,32244,2911,1535,116,141,36948,52446,5612,2168,174,195,60594,28380,7452,2975,232,199,39240,5676,645,590,134,471,7510,441403,42830,33883,5396,4037,527553,1551,191,294,1367,59,3462,18909,279,1422,587,170,21365,21206,531,2231,721,260,24949,21700,870,2329,609,284,25790,26535,954,2340,530,324,30684,44908,1673,3103,554,435,50674,57239,1834,2712,416,416,62614,62759,2041,2499,324,399,68014,63771,2269,2261,290,282,68866,43606,1699,1337,166,150,46959,36405,1943,1010,143,135,39635,20733,1025,625,84,78,22542,24316,1779,873,116,76,27168,7745,1999,931,142,64,10876,5664,289,313,164,308,6736,457060,19377,24284,6207,3417,510348,2922,496,651,2390,135,6596,30983,510,Greater Brisbane
3RQLD,1265,338,759,2132,105,4607,12538,255,778,746,194,14509,9609,539,1875,1077,254,13359,10178,1148,2733,1072,355,15479,13788,1301,3254,918,351,19615,23823,2574,4810,1006,492,32706,39515,3389,5112,761,622,49404,55509,4451,5540,780,634,66909,58541,5921,5861,690,616,71626,41265,4808,3928,456,386,50838,35850,5365,3125,340,323,45013,26797,2885,1830,236,189,31939,42808,4889,2386,297,287,50668,16946,5822,2355,411,237,25768,6227,842,959,519,636,9185,394667,44522,45306,11446,5678,501616,1587,220,577,2579,116,5078,19391,317,1611,1103,258,22684,20928,687,3062,1412,353,26445,23682,1182,3128,1286,488,29760,31065,1212,3415,1003,490,37191,53834,2270,4445,1058,584,62183,63349,2571,3768,784,575,71044,59758,2604,3416,631,440,66854,51886,2915,2848,591,347,58582,32005,2133,1728,351,198,36406,25671,2201,1225,276,138,29510,13729,1051,681,152,70,15678,13312,1633,980,208,84,16211,3528,1754,899,324,69,6575,6088,449,592,522,450,8099,419808,23190,32378,12275,4659,492314,2855,559,1334,4708,225,9679,31937,571,Rest of Qld
4RSAU,165,65,204,495,24,954,1750,42,181,208,34,2205,1435,100,506,319,69,2419,1629,170,632,313,77,2818,2243,269,809,292,99,3709,3879,417,1206,329,120,5958,6428,561,1229,289,165,8671,8858,673,1313,251,169,11266,9066,891,1332,246,140,11677,5861,640,848,143,58,7554,4828,611,647,125,78,6281,3597,365,370,86,35,4448,5039,488,499,105,44,6169,1463,543,464,129,43,2641,867,93,220,132,106,1408,57108,5926,10441,3456,1260,78189,193,27,91,428,31,769,2902,48,249,223,66,3484,3403,122,539,303,90,4460,3938,156,568,255,88,5008,5253,207,591,253,117,6414,8314,301,808,238,123,9785,8567,327,701,203,103,9904,7841,294,595,187,118,9034,6336,340,515,147,74,7414,3824,248,315,94,39,4520,2755,221,256,88,32,3352,1794,114,129,47,12,2088,1330,160,205,68,8,1776,295,181,179,67,23,742,844,54,105,107,79,1193,57585,2814,5832,2711,996,69948,363,99,290,922,52,1727,4649,90,Rest of SA
4GADE,643,146,222,526,34,1574,7359,144,415,191,105,8218,7147,269,993,295,136,8851,6637,508,1302,292,148,8884,8264,619,1614,255,224,10972,13299,1066,2478,273,241,17364,21980,1513,2554,243,303,26591,32946,2006,2987,224,315,38472,36227,2673,2933,199,310,42342,24958,2117,1824,104,163,29162,21565,2380,1416,113,132,25603,16448,1390,833,55,77,18797,22617,2462,1301,95,105,26584,9434,3166,1787,119,104,14609,2694,276,328,64,259,3628,232221,20735,22988,3034,2669,281645,861,77,156,692,58,1836,11218,147,719,274,154,12514,13127,294,1313,403,188,15324,13388,406,1349,364,212,15715,17158,497,1479,280,230,19636,27925,742,1962,311,253,31189,32049,819,1558,233,227,34887,35176,933,1424,162,216,37915,34235,996,1238,156,185,36817,21864,790,671,77,112,23515,17393,806,616,98,77,18992,10688,404,304,45,33,11475,9760,657,572,76,42,11112,2886,737,522,70,26,4236,2940,135,183,78,182,3511,250652,8427,14077,3317,2197,278672,1499,216,378,1213,90,3409,18580,292,Greater Adelaide
5GPER,1162,276,296,871,62,2675,10916,164,464,258,117,11921,9690,305,1007,297,124,11419,9183,566,1402,295,184,11626,10757,701,1772,291,176,13698,15507,1334,2778,397,234,20260,21860,1775,2975,304,282,27200,35204,2575,3762,320,413,42269,48167,3920,4495,360,403,57344,38471,3415,3360,212,316,45771,35782,4351,2983,185,231,43523,29002,2878,1920,153,137,34088,52435,5519,2731,199,224,61118,31717,7578,3129,239,207,42875,4478,485,537,93,361,5950,354339,35841,33606,4484,3460,431724,1482,140,332,1254,66,3270,17342,219,1418,480,174,19635,20065,450,2064,567,182,23331,20004,660,1943,465,235,23314,23422,684,1909,369,236,26632,36209,1149,2529,445,292,40622,41483,1287,2281,388,308,45742,46853,1532,2295,280,270,51233,49662,1839,2045,307,239,54093,35237,1382,1341,212,137,38310,27667,1581,1126,168,102,30656,18673,868,601,109,94,20339,22710,1605,1000,150,71,25531,7247,1730,945,154,53,10135,4648,207,326,154,271,5605,372700,15347,22167,5495,2733,418438,2646,414,631,2122,128,5942,28258,385,Greater Perth
5RWAU,350,62,179,538,43,1175,2123,55,145,213,46,2585,1514,113,391,305,46,2375,1803,185,558,297,88,2926,2331,229,682,323,86,3648,4125,485,1071,366,135,6177,6053,552,1161,273,136,8173,9082,820,1454,278,172,11804,12063,1084,1673,304,194,15311,10234,950,1192,190,123,12691,11717,1101,1017,160,108,14100,12114,642,649,106,118,13630,31422,1102,887,132,191,33742,19955,1397,854,159,119,22479,2029,164,279,146,165,2779,126918,8936,12183,3778,1768,153587,417,44,137,666,36,1299,3894,55,372,298,70,4687,4351,129,617,316,98,5509,4989,175,644,302,108,6224,6275,212,637,276,100,7502,9825,357,838,320,151,11492,11120,403,753,232,142,12649,11160,406,771,220,114,12665,10913,546,803,221,105,12590,7406,438,489,156,60,8547,6056,440,432,129,54,7107,4550,237,231,64,20,5104,6013,340,355,82,33,6834,1598,416,333,113,20,2487,1361,82,171,137,79,1824,89929,4286,7578,3538,1203,106527,772,112,312,1199,75,2470,6020,116,Rest of WA
