gcc_code16,seo_agff_bf_91,seo_agff_91_95,seo_agff_96_00,seo_agff_01_05,seo_agff_06_10,seo_agff_11_15,seo_agff_2016,seo_agff_ns,seo_agff_tot,seo_min_bf_91,seo_min_91_95,seo_min_96_00,seo_min_01_05,seo_min_06_10,seo_min_11_15,seo_min_2016,seo_min_ns,seo_min_tot,seo_mnf_bf_91,seo_mnf_91_95,seo_mnf_96_00,seo_mnf_01_05,seo_mnf_06_10,seo_mnf_11_15,seo_mnf_2016,seo_mnf_ns,seo_mnf_tot,seo_egwws_bf_91,seo_egwws_91_95,seo_egwws_96_00,seo_egwws_01_05,seo_egwws_06_10,seo_egwws_11_15,seo_egwws_2016,seo_egwws_ns,seo_egwws_tot,seo_const_bf_91,seo_const_91_95,seo_const_96_00,seo_const_01_05,seo_const_06_10,seo_const_11_15,seo_const_2016,seo_const_ns,seo_const_tot,seo_wst_bf_91,seo_wst_91_95,seo_wst_96_00,seo_wst_01_05,seo_wst_06_10,seo_wst_11_15,seo_wst_2016,seo_wst_ns,seo_wst_tot,seo_rett_bf_91,seo_rett_91_95,seo_rett_96_00,seo_rett_01_05,seo_rett_06_10,seo_rett_11_15,seo_rett_2016,seo_rett_ns,seo_rett_tot,seo_acfd_bf_91,seo_acfd_91_95,seo_acfd_96_00,seo_acfd_01_05,seo_acfd_06_10,seo_acfd_11_15,seo_acfd_2016,seo_acfd_ns,seo_acfd_tot,seo_tpw_bf_91,seo_tpw_91_95,seo_tpw_96_00,seo_tpw_01_05,seo_tpw_06_10,seo_tpw_11_15,seo_tpw_2016,seo_tpw_ns,seo_tpw_tot,seo_imt_bf_91,seo_imt_91_95,seo_imt_96_00,seo_imt_01_05,seo_imt_06_10,seo_imt_11_15,seo_imt_2016,seo_imt_ns,seo_imt_tot,seo_finins_bf_91,seo_finins_91_95,seo_finins_96_00,seo_finins_01_05,seo_finins_06_10,seo_finins_11_15,seo_finins_2016,seo_finins_ns,seo_finins_tot,seo_rhre_bf_91,seo_rhre_91_95,seo_rhre_96_00,seo_rhre_01_05,seo_rhre_06_10,seo_rhre_11_15,seo_rhre_2016,seo_rhre_ns,seo_rhre_tot,seo_prosts_bf_91,seo_prosts_91_95,seo_prosts_96_00,seo_prosts_01_05,seo_prosts_06_10,seo_prosts_11_15,seo_prosts_2016,seo_prosts_ns,seo_prosts_tot,seo_adsup_bf_91,seo_adsup_91_95,seo_adsup_96_00,seo_adsup_01_05,seo_adsup_06_10,seo_adsup_11_15,seo_adsup_2016,seo_adsup_ns,seo_adsup_tot,seo_pubas_bf_91,seo_pubas_91_95,seo_pubas_96_00,seo_pubas_01_05,seo_pubas_06_10,seo_pubas_11_15,seo_pubas_2016,seo_pubas_ns,seo_pubas_tot,seo_edtrn_bf_91,seo_edtrn_91_95,seo_edtrn_96_00,seo_edtrn_01_05,seo_edtrn_06_10,seo_edtrn_11_15,seo_edtrn_2016,seo_edtrn_ns,seo_edtrn_tot,seo_hc_sa_bf_91,seo_hc_sa_91_95,seo_hc_sa_96_00,seo_hc_sa_01_05,seo_hc_sa_06_10,seo_hc_sa_11_15,seo_hc_sa_2016,seo_hc_sa_ns,seo_hc_sa_tot,seo_artsr_bf_91,seo_artsr_91_95,seo_artsr_96_00,seo_artsr_01_05,seo_artsr_06_10,seo_artsr_11_15,seo_artsr_2016,seo_artsr_ns,seo_artsr_tot,seo_othsvs_bf_91,seo_othsvs_91_95,seo_othsvs_96_00,seo_othsvs_01_05,seo_othsvs_06_10,seo_othsvs_11_15,seo_othsvs_2016,seo_othsvs_ns,seo_othsvs_tot,seo_idns_bf_91,seo_idns_91_95,seo_idns_96_00,seo_idns_01_05,seo_idns_06_10,seo_idns_11_15,seo_idns_2016,seo_idns_ns,seo_idns_tot,seo_tot_bf_91,seo_tot_91_95,seo_tot_96_00,seo_tot_01_05,seo_tot_06_10,seo_tot_11_15,seo_tot_2016,seo_tot_ns,seo_tot_tot,solsewvw_agff_bf_91,solsewvw_agff_91_95,solsewvw_agff_96_00,solsewvw_agff_01_05,solsewvw_agff_06_10,solsewvw_agff_11_15,solsewvw_agff_2016,solsewvw_agff_ns,solsewvw_agff_tot,solsewvw_min_bf_91,solsewvw_min_91_95,gcc_name16
1RNSW,1869,123,207,190,253,331,57,149,3182,771,100,105,139,195,100,0,44,1458,2595,261,366,403,421,444,25,147,4669,429,32,67,73,83,34,3,19,741,2591,247,382,334,487,388,25,186,4637,742,75,132,85,139,115,4,40,1333,3571,325,556,544,540,432,29,207,6195,2392,336,554,589,684,744,63,215,5580,1771,99,153,152,157,109,5,102,2552,366,39,66,67,55,39,7,22,654,847,101,113,128,124,93,7,32,1447,709,55,63,55,77,58,7,35,1046,2493,229,344,390,455,308,21,109,4356,1379,134,151,186,237,183,13,88,2366,3040,281,347,345,329,186,15,134,4690,4422,436,527,581,541,498,26,174,7202,8511,864,1025,1186,1329,1086,51,403,14454,570,62,80,106,112,92,14,39,1069,1496,156,168,195,252,172,11,79,2539,1585,150,194,200,243,218,20,208,2802,42149,4106,5606,5929,6711,5632,394,2427,72964,433,79,111,155,394,647,100,83,1999,88,17,Rest of NSW
1GSYD,469,55,77,66,72,64,4,29,831,314,49,63,82,72,66,5,13,667,8694,1193,1716,1610,1683,1713,139,343,17088,1179,153,257,246,225,219,28,50,2349,8408,1195,1918,1736,2504,3169,242,494,19674,5576,927,1408,1320,1421,1412,104,247,12412,9344,1608,2739,2426,2654,3007,278,512,22569,3708,905,1704,1741,2088,3152,397,441,14135,7322,1073,1443,1196,1240,1168,94,368,13904,4118,835,1250,1345,1579,1629,163,193,11107,10103,2107,3079,3300,3437,3471,299,429,26231,2804,415,559,575,617,610,58,115,5743,14927,3044,4606,4440,5566,6919,884,693,41086,4110,697,1162,1114,1516,2416,266,288,11577,8970,1231,1480,1282,1296,1048,74,301,15685,12191,1801,2481,2301,2420,2497,223,411,24318,18269,2973,3614,3576,3864,3726,297,694,37016,2141,360,589,548,605,760,59,128,5183,4468,680,922,840,1123,1340,116,233,9723,5909,929,1472,1520,1695,2001,229,909,14672,133030,22232,32535,31260,35669,40393,3958,6893,305967,672,171,158,150,275,261,14,40,1745,163,79,Greater Sydney
2RVIC,1259,85,230,260,292,354,28,97,2595,129,9,23,9,24,12,0,12,219,1770,138,264,266,331,270,25,106,3170,342,18,38,46,57,34,0,22,567,1018,89,157,147,187,153,4,67,1826,399,31,62,57,71,68,6,16,708,1864,133,250,265,350,317,7,107,3304,1122,124,232,279,355,325,33,96,2567,774,44,73,69,83,54,9,54,1167,199,25,28,37,33,33,6,11,366,374,37,54,52,74,50,4,10,658,251,12,30,28,43,23,0,15,406,1082,90,141,156,189,136,7,32,1831,583,36,61,72,68,80,5,45,948,1523,104,168,189,247,132,5,79,2444,2231,188,258,300,351,282,19,99,3741,4070,367,448,543,662,495,25,188,6798,367,28,44,59,46,75,5,25,643,682,42,63,81,116,93,3,40,1118,792,44,84,95,107,118,18,100,1363,20834,1651,2701,3011,3682,3097,218,1234,36420,466,60,102,173,502,552,89,98,2034,9,3,Rest of Vic.
2GMEL,628,52,115,89,123,147,20,33,1213,297,39,56,59,72,74,4,12,620,11248,1247,1615,1905,2301,2282,156,404,21159,1297,174,267,333,476,408,26,53,3031,7010,715,1134,1180,1853,1793,116,358,14160,4945,561,835,951,1142,1081,72,193,9780,9281,1243,2117,2299,2790,2870,229,487,21313,2824,612,1403,1748,2301,3370,453,410,13121,6505,756,1006,1203,1541,1327,92,318,12759,2814,412,611,749,957,882,66,109,6600,6344,973,1449,1801,2137,2042,140,242,15128,2087,227,298,395,513,534,44,93,4187,12109,1856,2587,3141,4076,4726,529,515,29542,3867,481,724,818,1154,1635,143,230,9041,7886,817,1022,1200,1294,886,56,244,13414,11563,1422,1949,2292,2817,2953,212,417,23626,17229,2115,2535,3338,3982,3779,304,660,33935,1972,311,488,547,707,792,64,100,4984,4095,482,634,752,1124,1249,100,205,8636,5438,641,893,1145,1428,1576,151,700,11982,119449,15139,21731,25953,32786,34394,2962,5807,258227,548,124,158,225,496,449,37,43,2084,178,49,Greater Melbourne
3GBRI,394,60,91,101,107,126,39,35,955,654,118,189,259,418,350,10,36,2023,5172,807,1438,1674,2197,1454,91,234,13074,850,121,215,303,367,192,9,32,2077,5084,833,1393,1573,2297,1549,99,314,13138,2380,361,633,704,994,676,38,95,5885,5088,870,1777,2042,2585,1743,95,322,14523,1787,439,1045,1559,1948,1672,170,230,8844,4712,669,1152,1243,1804,1247,53,252,11125,899,188,292,352,427,344,20,52,2572,2421,438,693,887,1085,781,35,117,6463,1557,265,382,485,516,390,16,81,3700,5513,1022,1664,2057,2634,1736,115,234,14973,2176,335,592,727,988,956,73,140,5986,5725,818,1123,1235,1339,661,34,188,11129,6840,930,1455,1691,2022,1532,82,272,14829,10295,1647,2409,3031,4135,2692,141,477,24821,892,165,282,325,353,287,26,62,2392,2535,401,646,800,1075,850,54,145,6510,2776,443,793,944,1242,977,75,456,7697,67766,10947,18278,21983,28525,20203,1264,3751,172714,202,70,78,89,215,306,91,70,1123,166,77,Greater Brisbane
3RQLD,1507,126,216,269,281,490,182,161,3232,1598,247,368,391,717,441,5,92,3866,3207,474,815,981,1393,939,51,195,8055,534,67,111,141,182,92,4,27,1163,4300,591,1071,1250,1717,1096,67,255,10356,1392,186,311,364,505,363,28,58,3202,5071,767,1364,1617,2181,1435,86,295,12813,3380,611,1281,1709,2447,2429,238,367,12462,2814,298,564,572,827,572,27,175,5846,579,99,175,196,244,174,8,36,1510,1150,147,279,380,497,337,18,58,2865,1629,207,399,388,479,349,19,67,3540,3117,434,743,953,1093,761,43,126,7274,2125,311,551,583,814,729,75,125,5316,3259,439,670,722,915,454,18,134,6614,5576,730,1146,1368,1680,1156,88,284,12036,9148,1352,2072,2503,3671,2464,147,458,21813,1035,169,286,345,483,380,31,71,2802,2049,335,518,637,1001,725,38,148,5444,2248,321,611,715,973,737,70,356,6038,55730,7907,13557,16081,22117,16132,1244,3490,136254,439,91,103,166,649,1103,256,251,3064,137,47,Rest of Qld
4RSAU,594,37,44,65,81,104,27,46,1001,246,18,31,38,59,38,4,12,444,747,43,78,86,97,90,7,34,1182,69,3,4,8,8,5,0,0,98,359,25,37,31,54,22,3,27,551,101,6,7,13,18,18,3,7,173,639,35,39,56,82,50,3,30,935,471,21,49,57,83,77,7,31,802,284,16,8,10,20,12,0,14,366,39,0,3,8,3,5,0,0,64,72,5,3,7,9,7,0,0,101,81,3,3,3,7,8,0,3,107,214,16,16,21,24,11,0,7,315,287,15,17,22,31,29,3,11,410,411,25,28,40,83,46,0,17,653,611,34,41,51,91,45,0,19,895,1166,55,90,116,128,110,4,56,1725,93,0,6,4,8,14,0,6,128,220,16,22,18,27,25,0,10,338,219,10,19,18,35,24,3,25,354,6934,375,551,669,954,733,60,354,10627,159,24,38,43,195,273,57,35,817,37,11,Rest of SA
4GADE,316,19,31,28,41,45,18,19,508,214,26,49,46,84,53,0,3,474,3740,299,315,432,644,345,16,122,5917,575,33,80,102,146,98,4,15,1057,2521,215,241,327,619,437,12,107,4485,1252,78,98,143,201,136,10,42,1965,3411,293,426,578,837,401,26,123,6098,1083,155,317,457,739,498,34,89,3371,1988,126,120,166,283,163,11,76,2938,565,61,59,90,148,91,6,19,1053,1338,121,158,203,292,143,10,31,2295,724,29,54,51,91,82,4,21,1052,2781,287,312,448,604,456,33,96,5012,1453,99,150,165,260,204,16,47,2391,4180,316,342,436,704,336,16,110,6449,4376,375,420,539,786,604,32,127,7259,8011,685,700,1045,1581,983,62,231,13316,499,45,79,87,136,100,9,22,976,1599,138,148,214,347,252,9,59,2768,1190,84,114,178,241,153,12,109,2088,41819,3499,4218,5740,8791,5577,334,1479,71457,364,68,50,71,220,231,11,31,1040,40,16,Greater Adelaide
5GPER,462,48,65,95,125,136,22,23,981,2617,479,651,823,1345,953,27,90,6978,5334,774,916,1191,1878,1671,46,201,12009,1071,167,195,305,563,421,17,44,2779,6594,1109,1464,1827,3764,3880,119,359,19121,2546,358,463,533,930,832,12,97,5772,6749,1072,1608,2193,3208,2635,99,356,17917,1872,460,901,1488,2466,2474,127,232,10021,4246,504,707,810,1424,1286,35,181,9197,980,143,197,245,376,310,9,43,2304,2807,443,516,672,996,882,28,83,6422,1951,264,284,368,568,524,18,70,4047,6836,1134,1512,1810,2668,2352,99,222,16634,2357,369,451,583,1000,1305,71,153,6290,7722,965,1082,1243,2066,1541,48,211,14894,9828,1326,1600,2004,2656,2000,80,284,19785,13481,2076,2388,3224,4841,4356,205,504,31075,1398,185,287,340,490,410,13,60,3186,3319,545,675,823,1496,1579,66,161,8668,3508,546,723,911,1610,1501,84,466,9352,85679,12975,16675,21487,34474,31078,1226,3838,207437,265,54,42,88,188,233,32,31,945,522,273,Greater Perth
5RWAU,1127,103,141,161,215,308,40,86,2178,3480,602,852,987,2055,1377,28,221,9612,917,99,155,178,352,292,25,57,2065,271,37,34,46,104,98,0,16,601,1733,248,362,457,947,814,14,110,4674,274,28,59,55,109,116,0,22,670,1269,115,190,227,405,384,27,90,2698,1011,113,208,260,543,648,54,79,2907,916,80,128,160,330,298,8,67,1987,93,17,16,20,31,14,0,14,200,205,25,24,28,72,55,3,7,418,271,24,25,45,68,103,0,11,551,802,85,139,167,282,244,6,44,1769,586,61,86,105,242,248,11,43,1382,1259,154,151,168,377,283,13,75,2470,1708,182,224,225,372,248,12,89,3060,2170,216,275,414,616,581,17,116,4399,193,22,23,37,60,40,0,24,400,508,64,91,123,178,229,3,39,1258,686,68,120,155,274,231,13,118,1670,19475,2351,3303,4002,7626,6620,279,1332,44992,184,22,41,61,190,336,78,78,981,404,152,Rest of WA
