gcc_code16,agff_agff_nfd_m,agff_agff_nfd_f,agff_agff_nfd_p,agff_agriculture_m,agff_agriculture_f,agff_agriculture_p,agff_aquaculture_m,agff_aquaculture_f,agff_aquaculture_p,agff_forestry_logging_m,agff_forestry_logging_f,agff_forestry_logging_p,agff_fishing_hunt_trap_m,agff_fishing_hunt_trap_f,agff_fishing_hunt_trap_p,agff_agff_support_svs_m,agff_agff_support_svs_f,agff_agff_support_svs_p,agff_tot_m,agff_tot_f,agff_tot_p,min_min_nfd_m,min_min_nfd_f,min_min_nfd_p,min_coal_min_m,min_coal_min_f,min_coal_min_p,min_oil_gas_extrac_m,min_oil_gas_extrac_f,min_oil_gas_extrac_p,min_metal_ore_min_m,min_metal_ore_min_f,min_metal_ore_min_p,min_nonmet_minral_min_quar_m,min_nonmet_minral_min_quar_f,min_nonmet_minral_min_quar_p,min_expl_oth_min_supt_svs_m,min_expl_oth_min_supt_svs_f,min_expl_oth_min_supt_svs_p,min_tot_m,min_tot_f,min_tot_p,mnf_mnf_nfd_m,mnf_mnf_nfd_f,mnf_mnf_nfd_p,mnf_food_pdt_m,mnf_food_pdt_f,mnf_food_pdt_p,mnf_beverag_tobac_pdt_mnf_m,mnf_beverag_tobac_pdt_mnf_f,mnf_beverag_tobac_pdt_mnf_p,mnf_tex_lther_clthing_footw_m,mnf_tex_lther_clthing_footw_f,mnf_tex_lther_clthing_footw_p,mnf_wood_pdt_mnf_m,mnf_wood_pdt_mnf_f,mnf_wood_pdt_mnf_p,mnf_pulp_paper_cvertd_paper_m,mnf_pulp_paper_cvertd_paper_f,mnf_pulp_paper_cvertd_paper_p,mnf_print_inc_repdtn_rm_m,mnf_print_inc_repdtn_rm_f,mnf_print_inc_repdtn_rm_p,mnf_petroleum_coal_pdt_mnf_m,mnf_petroleum_coal_pdt_mnf_f,mnf_petroleum_coal_pdt_mnf_p,mnf_basic_chem_and_chem_p_m_m,mnf_basic_chem_and_chem_p_m_f,mnf_basic_chem_and_chem_p_m_p,mnf_polym_pd_rubber_pd_mnf_m,mnf_polym_pd_rubber_pd_mnf_f,mnf_polym_pd_rubber_pd_mnf_p,mnf_nonmet_mineral_pdt_mnf_m,mnf_nonmet_mineral_pdt_mnf_f,mnf_nonmet_mineral_pdt_mnf_p,mnf_prim_met_and_met_p_m_m,mnf_prim_met_and_met_p_m_f,mnf_prim_met_and_met_p_m_p,mnf_fab_metal_pdt_mnf_m,mnf_fab_metal_pdt_mnf_f,mnf_fab_metal_pdt_mnf_p,mnf_transpt_equip_mnf_m,mnf_transpt_equip_mnf_f,mnf_transpt_equip_mnf_p,mnf_machin_and_equip_mnf_m,mnf_machin_and_equip_mnf_f,mnf_machin_and_equip_mnf_p,mnf_furnitur_and_oth_mnf_m,mnf_furnitur_and_oth_mnf_f,mnf_furnitur_and_oth_mnf_p,mnf_tot_m,mnf_tot_f,mnf_tot_p,egwws_egwws_nfd_m,egwws_egwws_nfd_f,egwws_egwws_nfd_p,egwws_elecsup_m,egwws_elecsup_f,egwws_elecsup_p,egwws_gassup_m,egwws_gassup_f,egwws_gassup_p,egwws_watsup_sds_m,egwws_watsup_sds_f,egwws_watsup_sds_p,egwws_wastectds_m,egwws_wastectds_f,egwws_wastectds_p,egwws_tot_m,egwws_tot_f,egwws_tot_p,const_const_nfd_m,const_const_nfd_f,const_const_nfd_p,const_blding_const_m,const_blding_const_f,const_blding_const_p,const_heavycivl_eng_const_m,const_heavycivl_eng_const_f,const_heavycivl_eng_const_p,const_const_svs_m,const_const_svs_f,const_const_svs_p,const_tot_m,const_tot_f,const_tot_p,wst_wst_nfd_m,wst_wst_nfd_f,wst_wst_nfd_p,wst_basic_matl_w_m,wst_basic_matl_w_f,wst_basic_matl_w_p,wst_machin_and_equip_w_m,wst_machin_and_equip_w_f,wst_machin_and_equip_w_p,wst_motv_and_motv_partsw_m,wst_motv_and_motv_partsw_f,wst_motv_and_motv_partsw_p,wst_grocliq_and_tob_pdtw_m,wst_grocliq_and_tob_pdtw_f,wst_grocliq_and_tob_pdtw_p,wst_oth_gds_w_m,wst_oth_gds_w_f,wst_oth_gds_w_p,wst_comm_based_w_m,wst_comm_based_w_f,wst_comm_based_w_p,wst_tot_m,wst_tot_f,wst_tot_p,rett_rett_nfd_m,rett_rett_nfd_f,rett_rett_nfd_p,rett_motv_and_motv_partsr_m,rett_motv_and_motv_partsr_f,rett_motv_and_motv_partsr_p,rett_fuel_ret_m,rett_fuel_ret_f,rett_fuel_ret_p,rett_food_ret_m,rett_food_ret_f,rett_food_ret_p,rett_oth_store_based_ret_m,rett_oth_store_based_ret_f,rett_oth_store_based_ret_p,rett_nonsr_and_rcb_buy_sell_m,rett_nonsr_and_rcb_buy_sell_f,rett_nonsr_and_rcb_buy_sell_p,rett_tot_m,rett_tot_f,rett_tot_p,acfd_acfd_nfd_m,acfd_acfd_nfd_f,acfd_acfd_nfd_p,acfd_accomm_m,acfd_accomm_f,acfd_accomm_p,acfd_foodbev_svs_m,acfd_foodbev_svs_f,acfd_foodbev_svs_p,acfd_tot_m,acfd_tot_f,acfd_tot_p,tpw_tpw_nfd_m,tpw_tpw_nfd_f,tpw_tpw_nfd_p,tpw_roadtspt_m,tpw_roadtspt_f,tpw_roadtspt_p,tpw_railtspt_m,tpw_railtspt_f,tpw_railtspt_p,tpw_watertspt_m,tpw_watertspt_f,tpw_watertspt_p,tpw_air_space_tspt_m,tpw_air_space_tspt_f,tpw_air_space_tspt_p,tpw_oth_tspt_m,tpw_oth_tspt_f,gcc_name16
1RNSW,514,243,754,38045,16007,54054,463,108,569,930,154,1086,514,94,607,2702,1016,3715,43167,17630,60794,991,165,1157,14539,1759,16302,108,17,125,3819,504,4329,1387,176,1564,939,172,1108,21784,2799,24581,3331,896,4222,12884,7133,20015,1904,972,2879,647,809,1462,3950,634,4581,509,101,607,707,499,1203,239,44,283,1351,558,1904,703,145,849,2120,283,2405,7450,902,8353,3519,571,4095,2831,389,3215,3845,821,4665,1612,419,2036,47600,15183,62785,68,13,79,5895,1152,7045,221,74,299,2163,560,2727,2306,525,2831,10653,2327,12981,2888,486,3372,14874,3048,17923,7334,1201,8536,35900,5212,41108,60993,9943,70936,485,223,707,4856,1714,6575,3632,984,4618,1443,297,1740,2145,1091,3242,1013,1084,2094,631,296,925,14203,5693,19899,1438,1821,3258,7222,2345,9560,2093,2125,4221,15565,22372,37934,17682,37252,54932,245,244,485,44242,66149,110395,130,158,288,6010,10907,16912,28834,40295,69135,34974,51363,86336,1320,585,1904,16600,3194,19799,2972,503,3471,194,73,263,864,313,1176,363,138,Rest of NSW
1GSYD,150,98,254,4330,3089,7423,65,16,82,115,33,149,187,45,233,618,321,938,5480,3607,9082,357,141,498,1974,223,2198,155,43,200,479,196,680,533,110,640,552,234,794,4055,946,5003,7199,2887,10086,15474,11506,26978,2563,1493,4058,1790,3147,4939,3921,856,4785,2582,999,3588,6541,3214,9762,576,249,824,5424,4614,10040,4296,1759,6058,4879,1114,5988,4513,900,5413,5548,1278,6830,5541,1167,6704,12752,5310,18065,5190,1773,6963,88800,42280,131078,142,55,192,5966,1591,7557,378,164,539,2828,1151,3981,4255,1158,5416,13570,4114,17686,6327,1229,7562,41079,10014,51094,10309,2707,13024,69381,11193,80570,127103,25144,152242,2540,1682,4225,7910,3404,11311,18260,9101,27357,3083,951,4035,7815,4705,12524,9542,11206,20751,1045,713,1759,50208,31763,81966,3252,3606,6850,11202,3403,14609,2639,1346,3985,33743,30878,64629,43740,73700,117438,1214,1882,3101,95796,114819,210614,289,225,520,7961,9344,17302,67383,65264,132649,75628,74834,150466,3615,1534,5150,30775,5272,36050,5452,1506,6950,1310,635,1948,9428,6320,15747,815,495,Greater Sydney
2RVIC,366,159,516,28973,12916,41883,141,46,191,750,143,897,241,67,301,1563,511,2070,32029,13831,45865,153,26,178,341,29,368,506,46,555,1025,153,1174,796,107,901,268,69,337,3094,421,3521,2127,540,2668,13214,7106,20317,1442,759,2197,812,779,1595,2723,324,3045,1074,108,1178,675,354,1027,573,93,668,701,248,951,483,110,595,1342,221,1563,1993,261,2251,2034,260,2295,3388,487,3871,1870,441,2308,1000,213,1212,35432,12314,47746,53,7,64,3077,497,3574,189,28,215,2288,920,3202,1336,280,1615,6946,1728,8670,1624,245,1867,7759,1565,9325,3473,464,3937,20983,2761,23746,33832,5041,38870,274,94,368,3386,1177,4561,1837,454,2290,717,159,874,1530,694,2218,685,635,1325,359,142,495,8792,3344,12135,893,1171,2066,4105,1222,5328,1119,1300,2418,9263,13308,22570,10718,20780,31499,90,124,218,26191,37914,64103,78,90,164,3102,5287,8391,14066,20456,34528,17243,25831,43077,919,332,1249,9029,1551,10578,723,120,841,102,43,147,248,97,344,360,206,Rest of Vic.
2GMEL,173,109,274,6444,4117,10561,61,24,89,181,69,254,118,32,152,714,339,1054,7695,4691,12391,237,82,322,98,44,140,577,243,822,908,456,1366,600,94,688,372,135,511,2789,1056,3853,10406,3483,13891,17318,13874,31191,3042,1742,4791,2900,3760,6660,3554,790,4345,3303,1116,4428,7239,3300,10538,803,242,1037,5991,4521,10508,7203,2610,9814,4611,941,5554,5941,1124,7073,7239,1664,8908,17072,3577,20651,11117,3624,14746,6641,1846,8483,114386,48217,162602,462,271,736,6883,3687,10571,726,309,1037,2398,1318,3714,4066,1017,5089,14543,6605,21148,5383,965,6352,35972,8454,44422,8859,1767,10622,66487,9797,76285,116695,20981,137679,2421,1619,4042,9486,3994,13482,12977,5646,18623,5260,1705,6962,6916,4150,11059,9053,10079,19131,703,388,1099,46819,27574,74395,3458,3852,7307,12282,3593,15881,2490,1398,3885,32474,32356,64833,42930,75375,118308,857,927,1784,94497,117510,212006,222,225,448,6111,7485,13596,60043,61374,121418,66377,69088,135458,3483,1374,4853,30648,5467,36112,5130,1384,6513,1120,458,1584,5144,3295,8438,647,258,Greater Melbourne
3GBRI,103,49,154,4660,3284,7939,77,49,133,106,26,137,177,49,220,512,292,808,5637,3755,9390,512,213,719,1974,879,2854,1896,904,2803,1075,377,1447,522,89,608,1082,366,1452,7065,2820,9884,4069,1285,5352,10701,7231,17933,1130,334,1460,652,1124,1779,1841,360,2195,823,242,1064,1939,984,2923,738,154,893,2141,1238,3383,2268,657,2923,2688,480,3170,3994,753,4749,4401,834,5237,5118,894,6012,4766,1607,6372,2390,742,3134,49659,18913,68570,83,42,131,3804,1366,5173,308,111,417,2016,897,2911,2200,680,2879,8414,3104,11518,2916,541,3459,18492,4254,22749,5938,1272,7212,35062,5799,40858,62417,11866,74279,1168,595,1766,4726,1766,6488,6552,2385,8932,2350,594,2942,3724,1985,5710,2532,2610,5142,333,170,502,21387,10102,31485,1471,1555,3023,6959,2263,9218,1520,1370,2888,15469,17244,32714,19087,34195,53281,249,371,626,44751,56997,101751,77,83,156,2887,3931,6820,28147,33914,62057,31108,37926,69041,1598,608,2208,17411,3331,20745,4490,1448,5937,424,224,642,4705,3254,7953,352,157,Greater Brisbane
3RQLD,429,190,623,28774,14629,43405,324,94,421,463,95,559,598,171,765,2210,780,2991,32797,15964,48764,1175,242,1416,18877,2603,21484,2257,301,2563,6105,1043,7153,1362,243,1605,1797,327,2118,31579,4761,36338,3321,986,4301,11631,5968,17596,918,342,1258,657,1018,1673,2852,508,3361,314,99,413,907,670,1573,124,19,150,1734,675,2408,946,262,1209,2000,352,2357,5057,829,5887,3396,629,4023,4468,662,5133,2983,734,3720,2189,545,2727,43488,14302,57791,76,16,89,4919,1277,6198,443,70,517,1656,459,2108,2241,465,2700,9328,2278,11606,3535,603,4138,15203,4044,19251,7602,1205,8809,36478,6717,43193,62819,12572,75389,546,362,907,5112,2146,7256,3950,1166,5111,1769,484,2253,2547,1422,3968,1329,1609,2940,369,197,565,15625,7380,23001,1390,1813,3206,6684,2375,9062,1862,2694,4554,14951,21027,35979,16880,36313,53192,291,433,721,42062,64655,106709,126,134,259,8734,13770,22508,27004,36666,63665,35862,50566,86427,1335,626,1962,15206,3238,18446,3673,662,4342,549,315,865,1591,944,2534,1215,620,Rest of Qld
4RSAU,196,83,272,14124,5321,19440,400,93,486,460,73,535,507,147,655,758,247,1006,16445,5962,22410,177,30,207,182,39,217,395,24,417,3071,390,3465,344,45,393,387,34,415,4561,558,5118,450,132,585,2549,1549,4097,2632,1292,3929,53,87,137,1079,126,1202,367,69,437,59,46,103,28,3,29,163,73,238,78,17,95,203,24,223,2087,191,2277,327,72,399,237,27,267,347,55,401,187,57,243,10834,3820,14653,21,3,23,358,42,394,32,5,42,445,58,501,400,86,483,1252,190,1439,352,48,404,1618,348,1962,790,132,920,4401,714,5112,7159,1244,8400,59,34,94,1208,446,1655,503,147,649,135,31,168,614,309,917,81,65,151,170,66,240,2777,1107,3876,241,286,525,1151,360,1506,402,679,1077,2414,4036,6451,1997,4313,6307,28,29,61,6226,9696,15922,12,15,23,994,2061,3054,2756,4867,7620,3754,6939,10695,301,131,430,2601,523,3126,244,7,253,106,61,169,54,24,77,84,45,Rest of SA
4GADE,101,36,141,3397,1723,5120,38,7,50,55,18,69,71,19,94,415,186,602,4080,1993,6076,243,51,297,36,7,44,734,326,1059,681,184,863,209,31,240,514,174,685,2419,764,3183,2448,668,3115,5373,3741,9115,1899,1012,2907,598,745,1344,1223,212,1438,837,278,1120,1154,488,1646,78,9,85,734,548,1287,1541,510,2058,1578,270,1849,1720,237,1958,2156,429,2585,5896,803,6697,3805,1157,4959,1401,410,1814,32458,11517,43978,82,25,108,2432,973,3401,266,129,401,1131,541,1671,1527,266,1790,5433,1938,7369,1456,240,1700,7825,2179,10001,2774,513,3285,17157,2752,19907,29207,5682,34892,535,224,761,2686,829,3516,3608,1224,4832,1207,218,1421,2307,1023,3331,1300,1108,2411,225,160,388,11865,4798,16664,980,993,1976,3711,898,4611,1199,924,2121,11294,11510,22804,10683,20119,30802,142,146,285,28013,34582,62598,47,50,95,1838,2497,4335,15650,18419,34071,17536,20967,38504,897,322,1218,8617,1244,9863,1093,354,1449,147,74,224,1182,758,1945,316,152,Greater Adelaide
5GPER,93,59,154,2703,1932,4632,50,34,81,51,29,84,247,85,328,338,203,538,3479,2345,5820,1282,351,1638,235,83,323,3624,1770,5393,9808,3501,13310,476,140,614,4124,1311,5437,19550,7155,26703,3596,1154,4745,4221,3867,8089,1469,689,2155,499,938,1437,1106,227,1331,351,121,472,1372,740,2119,555,137,686,1767,835,2604,1291,392,1678,2081,388,2473,4500,744,5245,3920,824,4748,3618,558,4181,4550,997,5548,2253,719,2972,37156,13326,50484,83,31,109,2694,1079,3773,840,342,1189,1629,896,2527,1659,548,2203,6899,2905,9803,2652,577,3234,15619,4443,20066,6280,1529,7812,33211,6252,39465,57763,12806,70570,814,481,1295,4172,1652,5825,4747,1549,6291,1748,453,2199,2837,1725,4562,1711,1695,3404,266,125,389,16293,7673,23967,983,1107,2091,5430,1688,7114,1568,1202,2768,13401,15914,29315,15240,31526,46770,149,289,444,36766,51728,88498,90,72,154,2366,3321,5694,24055,27749,51801,26508,31143,57653,1182,432,1610,12789,2753,15542,1350,325,1674,482,225,702,2470,1684,4156,404,190,Greater Perth
5RWAU,166,72,242,13125,5666,18795,112,47,157,446,79,533,437,101,536,824,358,1181,15119,6323,21445,1001,165,1167,1005,103,1105,2479,331,2805,29924,4694,34624,1502,281,1787,3295,397,3692,39209,5964,45177,633,153,785,1885,1058,2945,821,529,1347,64,102,163,717,117,841,9,12,26,63,56,123,84,8,96,963,198,1161,205,40,245,272,58,328,2261,341,2605,769,94,858,416,57,471,700,116,820,269,65,337,10131,3017,13150,43,6,44,1201,116,1320,288,52,341,677,161,836,664,169,835,2862,509,3369,1581,154,1736,3378,720,4100,5872,544,6409,10075,1652,11731,20905,3068,23976,101,39,133,1177,481,1659,1103,298,1397,285,75,361,471,228,694,124,109,233,158,86,240,3411,1305,4719,254,379,632,1205,451,1653,468,826,1298,2735,4967,7705,2550,6407,8951,28,47,77,7241,13074,20316,34,40,75,1897,3449,5349,4290,6598,10882,6215,10089,16302,435,149,587,4545,1139,5683,648,68,722,248,56,303,468,152,623,187,96,Rest of WA
