gcc_code16,m_tot_h_0,m_tot_h_1_15,m_tot_h_16_24,m_tot_h_25_34,m_tot_h_35_39,m_tot_h_40,m_tot_h_41_48,m_tot_h_49_more,m_tot_h_ns,m_tot_h_tot,f_agff_h_0,f_agff_h_1_15,f_agff_h_16_24,f_agff_h_25_34,f_agff_h_35_39,f_agff_h_40,f_agff_h_41_48,f_agff_h_49_more,f_agff_h_ns,f_agff_h_tot,f_min_h_0,f_min_h_1_15,f_min_h_16_24,f_min_h_25_34,f_min_h_35_39,f_min_h_40,f_min_h_41_48,f_min_h_49_more,f_min_h_ns,f_min_h_tot,f_mnf_h_0,f_mnf_h_1_15,f_mnf_h_16_24,f_mnf_h_25_34,f_mnf_h_35_39,f_mnf_h_40,f_mnf_h_41_48,f_mnf_h_49_more,f_mnf_h_ns,f_mnf_h_tot,f_egwws_h_0,f_egwws_h_1_15,f_egwws_h_16_24,f_egwws_h_25_34,f_egwws_h_35_39,f_egwws_h_40,f_egwws_h_41_48,f_egwws_h_49_more,f_egwws_h_ns,f_egwws_h_tot,f_const_h_0,f_const_h_1_15,f_const_h_16_24,f_const_h_25_34,f_const_h_35_39,f_const_h_40,f_const_h_41_48,f_const_h_49_more,f_const_h_ns,f_const_h_tot,f_wst_h_0,f_wst_h_1_15,f_wst_h_16_24,f_wst_h_25_34,f_wst_h_35_39,f_wst_h_40,f_wst_h_41_48,f_wst_h_49_more,f_wst_h_ns,f_wst_h_tot,f_rett_h_0,f_rett_h_1_15,f_rett_h_16_24,f_rett_h_25_34,f_rett_h_35_39,f_rett_h_40,f_rett_h_41_48,f_rett_h_49_more,f_rett_h_ns,f_rett_h_tot,f_acfd_h_0,f_acfd_h_1_15,f_acfd_h_16_24,f_acfd_h_25_34,f_acfd_h_35_39,f_acfd_h_40,f_acfd_h_41_48,f_acfd_h_49_more,f_acfd_h_ns,f_acfd_h_tot,f_tpw_h_0,f_tpw_h_1_15,f_tpw_h_16_24,f_tpw_h_25_34,f_tpw_h_35_39,f_tpw_h_40,f_tpw_h_41_48,f_tpw_h_49_more,f_tpw_h_ns,f_tpw_h_tot,f_imt_h_0,f_imt_h_1_15,f_imt_h_16_24,f_imt_h_25_34,f_imt_h_35_39,f_imt_h_40,f_imt_h_41_48,f_imt_h_49_more,f_imt_h_ns,f_imt_h_tot,f_finins_h_0,f_finins_h_1_15,f_finins_h_16_24,f_finins_h_25_34,f_finins_h_35_39,f_finins_h_40,f_finins_h_41_48,f_finins_h_49_more,f_finins_h_ns,f_finins_h_tot,f_rhre_h_0,f_rhre_h_1_15,f_rhre_h_16_24,f_rhre_h_25_34,f_rhre_h_35_39,f_rhre_h_40,f_rhre_h_41_48,f_rhre_h_49_more,f_rhre_h_ns,f_rhre_h_tot,f_prosts_h_0,f_prosts_h_1_15,f_prosts_h_16_24,f_prosts_h_25_34,f_prosts_h_35_39,f_prosts_h_40,f_prosts_h_41_48,f_prosts_h_49_more,f_prosts_h_ns,f_prosts_h_tot,f_adsup_h_0,f_adsup_h_1_15,f_adsup_h_16_24,f_adsup_h_25_34,f_adsup_h_35_39,f_adsup_h_40,f_adsup_h_41_48,f_adsup_h_49_more,f_adsup_h_ns,f_adsup_h_tot,f_pubas_h_0,f_pubas_h_1_15,f_pubas_h_16_24,f_pubas_h_25_34,f_pubas_h_35_39,f_pubas_h_40,f_pubas_h_41_48,f_pubas_h_49_more,f_pubas_h_ns,f_pubas_h_tot,f_edtrn_h_0,f_edtrn_h_1_15,f_edtrn_h_16_24,f_edtrn_h_25_34,f_edtrn_h_35_39,f_edtrn_h_40,f_edtrn_h_41_48,f_edtrn_h_49_more,f_edtrn_h_ns,f_edtrn_h_tot,f_hlthc_sa_h_0,f_hlthc_sa_h_1_15,f_hlthc_sa_h_16_24,f_hlthc_sa_h_25_34,f_hlthc_sa_h_35_39,f_hlthc_sa_h_40,f_hlthc_sa_h_41_48,f_hlthc_sa_h_49_more,f_hlthc_sa_h_ns,f_hlthc_sa_h_tot,f_artsr_h_0,f_artsr_h_1_15,f_artsr_h_16_24,f_artsr_h_25_34,f_artsr_h_35_39,f_artsr_h_40,f_artsr_h_41_48,f_artsr_h_49_more,f_artsr_h_ns,f_artsr_h_tot,f_othsvs_h_0,f_othsvs_h_1_15,f_othsvs_h_16_24,f_othsvs_h_25_34,f_othsvs_h_35_39,f_othsvs_h_40,f_othsvs_h_41_48,f_othsvs_h_49_more,f_othsvs_h_ns,f_othsvs_h_tot,gcc_name16
1RNSW,15016,41258,30133,38466,97600,102154,59437,110553,11092,505708,688,2742,2212,2414,1596,2538,940,4139,360,17630,180,135,175,258,376,445,467,725,27,2799,508,2288,1909,2277,3268,2489,1149,1152,156,15183,95,108,233,345,762,511,141,132,6,2327,291,1932,1508,1552,1573,1691,611,709,91,9943,173,701,776,899,1216,970,491,432,38,5693,2879,17144,11980,12061,10635,4622,2945,3126,759,66149,1895,17598,8598,8256,5170,3324,1958,3773,792,51363,323,1277,1272,1312,1504,1086,567,786,109,8237,145,583,435,461,986,499,246,252,30,3635,768,910,1898,2197,3800,2107,862,744,89,13382,258,898,907,1003,2152,1345,638,790,51,8041,831,3404,3315,3837,4776,3092,1421,1855,134,22672,601,3778,2767,2730,3064,2055,679,989,209,16868,1834,1730,3283,3893,10393,4213,2142,1719,199,29399,2866,9307,9715,11715,11519,8815,5113,8422,563,68038,6364,11422,22050,27015,22468,17920,5413,6680,1156,120487,263,1748,855,934,733,504,283,444,73,5846,556,3757,2940,2967,3230,2079,1015,1106,202,17849,Rest of NSW
1GSYD,23183,78838,76983,70586,223112,287307,132552,235499,24716,1152769,110,552,499,609,604,550,199,418,67,3607,34,59,93,91,200,254,92,117,10,946,1231,3859,4285,4241,12108,9012,3520,3712,315,42280,172,145,312,355,1230,1102,386,385,25,4114,681,3550,3644,3196,4118,5666,1732,2327,230,25144,955,1988,2897,3126,8459,7965,2982,3234,166,31763,3890,26085,20597,17414,20028,13144,5761,6608,1283,114819,2195,21543,15849,10296,8976,6643,3438,4870,1022,74834,1257,2057,3006,3573,7058,5948,2273,2208,293,27674,965,1837,2114,2140,5232,6301,2842,3793,146,25370,3475,2603,5788,6911,16303,18493,6447,7894,489,68405,660,2093,2353,2166,4159,5121,2030,2369,158,21111,3366,9502,11295,10786,17525,22878,9486,12983,579,98391,1154,5451,6161,4831,7637,7067,2646,3012,420,38374,3346,2912,5316,5852,18615,10784,5148,4174,420,56568,4976,19206,17857,17243,21944,19841,9739,15647,1048,127511,8378,20408,34633,34021,40538,35062,10150,12636,1950,197777,678,4061,2560,2326,2294,2548,1055,1501,179,17203,1053,6523,5748,5113,7310,5480,2551,2457,454,36696,Greater Sydney
2RVIC,9544,24535,15875,20968,50765,60283,34115,60136,6378,282606,604,2358,1713,1938,1288,1809,703,3120,295,13831,16,38,54,53,61,88,47,72,0,421,566,2029,1603,1583,2551,2095,945,809,122,12314,114,111,204,215,454,418,103,96,6,1728,186,1179,784,780,720,799,227,306,63,5041,135,510,468,502,701,536,252,215,22,3344,1753,10612,6408,6647,5443,3034,1775,1820,421,37914,1049,9838,4057,3617,2306,1474,990,2060,448,25831,204,775,641,771,777,554,317,388,54,4476,113,465,333,334,583,290,182,121,17,2441,427,488,994,1070,1617,1057,429,377,43,6497,130,436,446,430,908,541,289,345,15,3537,431,1906,1717,1952,2304,1580,766,845,91,11589,303,2122,1323,1213,1304,745,328,386,119,7846,1231,1607,2276,2495,3953,2754,1247,1091,139,16789,1605,5136,5942,6236,6084,3973,3004,4507,312,36807,4533,7668,14405,17703,11106,8070,2905,3264,657,70302,217,1292,608,644,466,299,191,311,62,4094,346,2125,1501,1648,1635,942,502,555,117,9377,Rest of Vic.
2GMEL,22468,82280,67188,70754,211593,262744,125991,197773,21792,1062579,189,744,693,745,844,694,329,398,60,4691,56,42,95,97,135,304,119,194,5,1056,1456,5428,5158,5602,13102,9743,3957,3378,394,48217,340,252,523,681,2053,1619,582,516,36,6605,564,3260,3050,2905,3568,4289,1433,1689,214,20981,915,2384,2986,3246,7178,6093,2332,2263,169,27574,3967,31567,20312,17971,18880,11628,5859,6023,1292,117510,1954,24276,12830,9279,7199,5168,3199,4142,1039,69088,1098,1955,2783,3583,6347,5119,2086,1916,234,25112,695,1675,1731,1858,3721,3932,1717,1869,131,17330,2422,2051,4635,5228,10359,12409,3984,4348,301,45734,587,1900,2007,1899,3793,3940,1731,1893,154,17914,3170,9219,9900,10422,15327,17728,7403,9215,513,82904,1126,5900,5722,4840,6879,5266,2118,2326,360,34532,3353,3485,6188,7085,14047,9292,4775,3757,349,52326,4710,19193,18860,18446,21876,16161,10300,15596,915,126053,9519,22405,34589,42596,36687,26378,9494,10677,1868,194211,734,5469,2823,2697,2484,2427,1220,1587,191,19628,1070,6747,5276,5363,6814,4234,2097,2087,358,34042,Greater Melbourne
3GBRI,12372,38121,30039,37198,107402,118364,64792,109654,9616,527553,87,518,550,650,580,529,230,544,64,3755,153,78,166,213,499,826,385,494,16,2820,548,1823,1695,2319,5417,3709,1770,1471,159,18913,163,100,249,312,740,903,343,285,8,3104,307,1602,1386,1585,2106,2568,1000,1214,97,11866,243,792,926,1223,2711,2262,977,903,56,10102,1861,14009,9447,9683,10368,4890,3017,3148,568,56997,1031,12684,6782,5862,4131,2741,1778,2406,507,37926,754,1057,1658,2068,3842,2893,1366,1430,155,15227,228,655,599,723,1538,1016,509,597,32,5904,999,862,1739,2330,5686,4082,1714,1705,119,19232,314,1136,1012,1195,2407,2397,1023,1501,73,11073,1363,4043,4343,4726,7416,7626,3358,4476,236,37579,556,2825,2830,2438,3552,2729,1231,1588,169,17921,2410,1472,3039,3842,12251,7265,3413,2468,263,36438,2926,10374,9375,12652,11653,8857,5142,8564,453,69997,5504,10282,17097,22758,25363,14828,5547,6421,968,108758,317,2029,1085,1086,1044,878,418,626,81,7555,579,3358,2785,3192,3924,2428,1295,1267,187,19015,Greater Brisbane
3RQLD,14643,36838,26231,38147,88905,93673,61328,131275,10576,501616,481,2090,1680,2150,1597,2268,940,4458,296,15964,344,202,213,265,452,524,873,1845,45,4761,373,1846,1574,2065,3200,2512,1279,1326,128,14302,102,138,180,271,543,630,203,213,12,2278,371,2141,1661,1831,2028,2157,885,1382,116,12572,222,727,786,1066,1805,1379,657,690,47,7380,2179,15396,10596,12449,11664,4669,3313,3762,619,64655,1495,13992,8112,9175,6078,3724,2612,4688,689,50566,367,1326,1293,1706,2062,1560,886,1164,126,10485,134,523,468,625,1103,577,342,457,27,4264,530,770,1213,1639,3153,2031,861,925,73,11195,282,1232,1124,1360,2768,1954,939,1448,81,11181,717,3307,2974,3580,5064,3653,1638,2313,162,23411,591,3576,2622,2972,3363,2230,946,1567,212,18080,1587,1516,2170,2586,8609,4499,2133,1823,232,25151,2901,9207,8864,14042,10716,7927,5024,9058,500,68243,5493,8996,16063,23872,23502,14120,5048,6367,1026,104493,333,2034,1199,1546,1231,866,493,615,103,8420,570,3802,2771,3332,3397,2211,1187,1318,210,18795,Rest of Qld
4RSAU,2941,5940,4027,5832,13257,14634,9600,20301,1645,78189,288,1083,741,901,601,822,346,1058,119,5962,40,20,41,28,41,68,76,237,7,558,165,596,449,562,772,645,316,293,31,3820,19,24,21,29,44,32,13,13,0,190,40,289,201,183,223,162,52,88,11,1244,50,132,120,160,227,211,100,86,13,1107,432,2450,1670,2035,1371,618,485,539,94,9696,267,2477,1226,1064,528,344,287,641,102,6939,49,260,224,231,172,138,84,131,14,1304,13,84,51,50,127,58,33,25,5,449,77,145,198,263,262,168,67,70,10,1256,40,134,111,112,242,101,53,68,0,862,86,356,293,389,383,202,123,146,13,1984,88,666,381,347,365,207,120,183,39,2392,229,209,446,516,1014,539,222,226,27,3423,430,1062,1442,1792,1220,880,786,1312,57,8992,913,1756,2976,3929,2827,1159,589,787,158,15095,28,178,94,107,77,57,29,51,12,632,79,548,318,431,332,219,115,130,22,2187,Rest of SA
4GADE,7387,24811,16784,23058,65894,56927,35190,47006,4579,281645,78,374,278,327,302,270,104,226,28,1993,46,36,50,87,160,175,93,112,5,764,360,1570,1276,1688,3224,1710,883,717,92,11517,107,99,176,231,665,373,177,98,11,1938,184,1122,774,879,975,929,426,344,52,5682,149,501,517,710,1356,828,401,318,18,4798,1352,10050,5857,6410,5463,2205,1615,1315,321,34582,634,7911,3606,3410,1992,1171,917,1062,266,20967,258,522,580,805,1092,722,368,425,46,4817,141,418,393,457,855,486,220,231,28,3227,574,611,1299,1745,3165,1694,827,641,50,10613,133,504,452,561,1093,697,358,391,39,4228,654,2134,2155,2530,3667,2531,1324,1370,94,16455,349,2057,1710,1536,2007,998,528,545,96,9824,1395,931,2207,2921,6871,3622,1736,1255,114,21065,1546,4984,5044,6074,6315,4140,2883,4315,225,35533,3828,7790,12165,16947,15538,6090,2978,3306,604,69251,158,1295,582,674,554,410,224,246,39,4179,350,2100,1651,1924,2177,1108,593,540,106,10549,Greater Adelaide
5GPER,11740,35555,26326,28147,79816,102550,54624,85394,7577,431724,79,382,377,409,385,329,138,219,32,2345,436,245,620,584,1029,2161,944,1104,41,7155,417,1997,1684,1792,2999,2526,1026,793,93,13326,137,132,262,294,951,640,278,204,14,2905,379,1974,1680,1596,2029,3057,922,1034,127,12806,234,804,879,1062,1913,1626,624,490,44,7673,1775,14460,9472,8734,8421,4239,2051,2075,509,51728,925,11027,5773,4383,3196,2389,1285,1713,460,31143,464,987,1116,1543,2026,1915,779,770,92,9700,131,621,503,471,780,681,266,253,33,3731,694,951,1713,1703,3269,2986,991,887,72,13272,265,1031,970,1008,1998,1974,751,873,59,8924,1092,3731,3572,3624,5153,5565,2242,2613,139,27733,415,2818,2380,1929,2307,1994,764,885,158,13637,1735,1842,2973,2930,8723,5030,2308,1749,162,27444,2359,8862,8927,9741,9758,7931,4348,5974,423,58327,4366,10567,15232,17993,19877,10300,3931,4630,798,87702,318,2244,1193,1069,1063,845,410,506,70,7721,475,3522,2602,2757,3339,2110,916,897,161,16782,Greater Perth
5RWAU,8899,7897,5661,7203,15249,20971,18418,65959,3323,153587,327,1079,757,785,403,952,369,1525,139,6323,593,165,193,181,260,513,824,3157,80,5964,156,456,378,451,480,473,301,285,32,3017,26,32,56,49,112,81,71,76,4,509,165,559,305,362,350,466,180,646,35,3068,48,139,142,154,237,257,178,140,8,1305,540,3108,2047,2405,2186,1065,752,815,159,13074,417,2549,1381,1620,984,777,538,1670,156,10089,140,419,344,402,367,397,250,427,26,2779,21,125,69,89,135,76,49,46,11,624,129,191,260,260,388,296,115,122,9,1780,79,211,159,226,519,321,149,184,17,1866,156,615,511,525,617,470,242,409,20,3574,185,790,539,604,502,391,215,656,49,3933,391,541,705,714,1719,1220,501,489,69,6349,765,1866,2201,2841,2285,1915,1256,1856,149,15125,1089,2077,2935,3904,3815,2246,859,1282,162,18375,77,376,198,211,186,133,59,107,18,1361,136,788,557,605,644,475,193,272,50,3729,Rest of WA
