gcc_code16,f_idns_h_0,f_idns_h_1_15,f_idns_h_16_24,f_idns_h_25_34,f_idns_h_35_39,f_idns_h_40,f_idns_h_41_48,f_idns_h_49_more,f_idns_h_ns,f_idns_h_tot,f_tot_h_0,f_tot_h_1_15,f_tot_h_16_24,f_tot_h_25_34,f_tot_h_35_39,f_tot_h_40,f_tot_h_41_48,f_tot_h_49_more,f_tot_h_ns,f_tot_h_tot,p_agff_h_0,p_agff_h_1_15,p_agff_h_16_24,p_agff_h_25_34,p_agff_h_35_39,p_agff_h_40,p_agff_h_41_48,p_agff_h_49_more,p_agff_h_ns,p_agff_h_tot,p_min_h_0,p_min_h_1_15,p_min_h_16_24,p_min_h_25_34,p_min_h_35_39,p_min_h_40,p_min_h_41_48,p_min_h_49_more,p_min_h_ns,p_min_h_tot,p_mnf_h_0,p_mnf_h_1_15,p_mnf_h_16_24,p_mnf_h_25_34,p_mnf_h_35_39,p_mnf_h_40,p_mnf_h_41_48,p_mnf_h_49_more,p_mnf_h_ns,p_mnf_h_tot,p_egwws_h_0,p_egwws_h_1_15,p_egwws_h_16_24,p_egwws_h_25_34,p_egwws_h_35_39,p_egwws_h_40,p_egwws_h_41_48,p_egwws_h_49_more,p_egwws_h_ns,p_egwws_h_tot,p_const_h_0,p_const_h_1_15,p_const_h_16_24,p_const_h_25_34,p_const_h_35_39,p_const_h_40,p_const_h_41_48,p_const_h_49_more,p_const_h_ns,p_const_h_tot,p_wst_h_0,p_wst_h_1_15,p_wst_h_16_24,p_wst_h_25_34,p_wst_h_35_39,p_wst_h_40,p_wst_h_41_48,p_wst_h_49_more,p_wst_h_ns,p_wst_h_tot,p_rett_h_0,p_rett_h_1_15,p_rett_h_16_24,p_rett_h_25_34,p_rett_h_35_39,p_rett_h_40,p_rett_h_41_48,p_rett_h_49_more,p_rett_h_ns,p_rett_h_tot,p_acfd_h_0,p_acfd_h_1_15,p_acfd_h_16_24,p_acfd_h_25_34,p_acfd_h_35_39,p_acfd_h_40,p_acfd_h_41_48,p_acfd_h_49_more,p_acfd_h_ns,p_acfd_h_tot,p_tpw_h_0,p_tpw_h_1_15,p_tpw_h_16_24,p_tpw_h_25_34,p_tpw_h_35_39,p_tpw_h_40,p_tpw_h_41_48,p_tpw_h_49_more,p_tpw_h_ns,p_tpw_h_tot,p_imt_h_0,p_imt_h_1_15,p_imt_h_16_24,p_imt_h_25_34,p_imt_h_35_39,p_imt_h_40,p_imt_h_41_48,p_imt_h_49_more,p_imt_h_ns,p_imt_h_tot,p_finins_h_0,p_finins_h_1_15,p_finins_h_16_24,p_finins_h_25_34,p_finins_h_35_39,p_finins_h_40,p_finins_h_41_48,p_finins_h_49_more,p_finins_h_ns,p_finins_h_tot,p_rhre_h_0,p_rhre_h_1_15,p_rhre_h_16_24,p_rhre_h_25_34,p_rhre_h_35_39,p_rhre_h_40,p_rhre_h_41_48,p_rhre_h_49_more,p_rhre_h_ns,p_rhre_h_tot,p_prosts_h_0,p_prosts_h_1_15,p_prosts_h_16_24,p_prosts_h_25_34,p_prosts_h_35_39,p_prosts_h_40,p_prosts_h_41_48,p_prosts_h_49_more,p_prosts_h_ns,p_prosts_h_tot,p_adsup_h_0,p_adsup_h_1_15,p_adsup_h_16_24,p_adsup_h_25_34,p_adsup_h_35_39,p_adsup_h_40,p_adsup_h_41_48,p_adsup_h_49_more,p_adsup_h_ns,p_adsup_h_tot,p_pubas_h_0,p_pubas_h_1_15,p_pubas_h_16_24,p_pubas_h_25_34,p_pubas_h_35_39,p_pubas_h_40,p_pubas_h_41_48,p_pubas_h_49_more,p_pubas_h_ns,p_pubas_h_tot,p_edtrn_h_0,p_edtrn_h_1_15,p_edtrn_h_16_24,p_edtrn_h_25_34,p_edtrn_h_35_39,p_edtrn_h_40,p_edtrn_h_41_48,p_edtrn_h_49_more,p_edtrn_h_ns,p_edtrn_h_tot,p_hlthc_sa_h_0,p_hlthc_sa_h_1_15,p_hlthc_sa_h_16_24,p_hlthc_sa_h_25_34,p_hlthc_sa_h_35_39,p_hlthc_sa_h_40,p_hlthc_sa_h_41_48,p_hlthc_sa_h_49_more,p_hlthc_sa_h_ns,p_hlthc_sa_h_tot,p_artsr_h_0,p_artsr_h_1_15,p_artsr_h_16_24,p_artsr_h_25_34,p_artsr_h_35_39,p_artsr_h_40,p_artsr_h_41_48,p_artsr_h_49_more,p_artsr_h_ns,p_artsr_h_tot,gcc_name16
1RNSW,658,2316,1575,1630,1652,1343,419,839,3745,14176,22195,83766,78405,87748,90862,61639,27490,38813,8802,499719,1866,5199,4523,5489,5599,9727,4612,22644,1137,60794,1083,387,573,813,3080,3775,5320,9199,353,24581,1713,3671,3419,4814,15454,14484,8817,9760,641,62785,422,285,442,806,4217,3418,1541,1734,116,12981,1850,4265,4312,5542,11406,19187,8180,15273,929,70936,468,1356,1293,1570,3968,4333,2798,3953,160,19899,4101,24575,16119,16665,19481,10890,7268,9994,1295,110395,2904,27074,12717,12397,9743,6842,4159,9156,1350,86336,1456,3309,3445,3837,6003,5885,4038,9653,611,38232,257,977,678,761,2011,1535,770,1017,53,8058,940,1233,2163,2576,5327,3906,1747,2231,141,20270,425,1400,1251,1420,2993,2592,1446,2753,110,14394,1248,4999,4570,5434,8220,8096,3921,6996,319,43804,973,5555,3987,4254,5300,4298,1568,2506,402,28847,3336,2954,4378,5508,23898,12031,8240,6695,581,67607,3623,12216,11552,14072,16680,13516,7704,13142,809,93312,7484,13522,24929,31269,29491,24481,7858,10881,1510,151425,506,2973,1382,1614,1963,1534,794,1427,173,12355,Rest of NSW
1GSYD,1346,5525,5114,4207,7258,6903,1929,2763,8899,43944,39927,139950,150111,138504,211596,190759,74418,93106,18160,1056525,218,1013,927,1071,1451,1641,737,1856,163,9082,170,146,177,186,1146,1107,703,1318,42,5003,2627,6481,7702,7598,36160,31545,16029,21811,1118,131078,468,384,613,713,4703,5226,2125,3302,159,17686,2862,8115,10191,10539,20675,43617,17945,36127,2177,152242,1657,3502,4736,4872,19969,22618,9869,14221,523,81966,5912,39481,31782,25847,38505,30347,14377,21887,2465,210614,3840,36393,30019,17762,19702,16173,8784,15687,2110,150466,3527,5683,7713,9947,23211,24891,12411,21354,1537,110271,1591,3371,3400,3546,13442,17851,7574,11641,412,62826,4944,4182,7575,9680,31134,42956,16745,27524,1041,145782,987,3330,3516,3302,7366,11111,4943,9114,354,44017,5194,14927,16665,16269,35763,62804,24942,44969,1443,222977,1805,8646,10461,8023,14530,14826,5648,8116,880,72934,5761,4810,7464,8483,40043,27227,16527,14196,1083,125599,6157,27714,21982,21030,32618,30464,14819,24881,1572,181229,9822,24564,39813,40047,54353,49546,15544,22595,2529,258809,1158,7054,4363,4256,5433,6552,2795,4712,417,36734,Greater Sydney
2RVIC,478,1393,904,923,910,727,231,455,2162,8186,14429,52101,46381,50762,45167,31792,15443,21138,5157,282377,1666,4324,3308,4269,4168,6943,3461,16827,906,45865,181,107,121,126,424,561,645,1322,38,3521,1621,3202,2784,3434,11111,11305,7046,6768,485,47746,452,289,402,500,2342,2232,1135,1246,74,8670,1233,2383,1986,2851,6061,11290,4806,7719,548,38870,396,988,881,984,2481,2552,1683,2067,96,12135,2529,15480,8552,9063,10495,7046,4509,5646,779,64103,1603,15161,5882,5339,4297,3139,2088,4835,731,43077,840,1718,1660,1985,2995,3338,2345,5065,323,20268,190,756,469,500,1278,801,583,524,48,5142,527,642,1116,1257,2430,2117,1013,1155,76,10332,209,622,588,577,1302,1075,651,1248,46,6324,696,2739,2345,2859,4088,4226,2190,3208,180,22544,505,3108,1989,1890,2439,1756,771,1179,228,13857,2139,2236,2833,3313,8388,7682,3913,3510,294,34307,1984,6552,6958,7473,9015,6540,4739,7290,445,50983,5193,8840,15751,20116,14263,11358,4406,5422,821,86177,371,2167,965,1024,1197,893,509,968,116,8213,Rest of Vic.
2GMEL,1305,5507,4303,4049,6149,5250,1514,2134,7872,38086,39233,153470,144466,148595,187443,151647,66255,76026,16453,983586,403,1319,1270,1363,2149,2345,1077,2276,194,12391,150,120,151,162,436,977,518,1305,36,3853,3504,8718,8846,10317,45764,39628,20953,23474,1404,162602,641,550,870,1126,5886,5901,2628,3365,171,21148,2886,6833,7458,9422,21361,41229,16909,29741,1836,137679,1668,4141,4811,5191,17892,19333,9105,11759,490,74395,5963,47425,30287,26445,37005,27675,14804,20047,2353,212006,3264,40777,24064,15843,15582,12682,7886,13272,2088,135458,3313,5151,7121,9716,21051,23582,12678,18426,1396,102441,1193,3003,2857,3141,10390,12376,5148,6825,355,45291,3407,3110,5967,7066,19698,29895,10365,15250,662,95422,872,2887,2854,2887,6611,8104,4116,7454,317,36097,4914,14417,14318,15940,32355,51597,20954,33915,1202,189618,1790,9386,9825,8206,13963,11726,4971,6546,795,67204,5354,5649,8158,9648,28723,24204,12896,10834,812,106291,5762,27389,22884,22613,32627,26676,15982,25581,1427,180940,10980,26258,39065,49569,48017,37362,15110,18848,2407,247621,1287,9785,4942,4956,6009,6703,3158,5066,431,42339,Greater Melbourne
3GBRI,522,2274,1709,1869,2548,2174,682,1123,3268,16167,20873,71979,68471,80728,107770,75611,35192,42229,7487,510348,195,899,930,1176,1311,1551,753,2422,150,9390,394,174,279,370,1356,2552,1460,3234,72,9884,1469,3043,3037,4556,19679,15628,9592,10977,597,68570,392,223,395,581,2462,3587,1617,2203,54,11518,1553,3483,3554,5075,10504,19388,10220,19619,870,74279,623,1484,1553,2135,7749,7807,4332,5580,215,31485,2818,21248,13920,14294,19124,11506,7292,10524,1030,101751,1673,21441,11648,9376,7806,5733,3779,6626,958,69041,2186,2577,3943,5723,12884,11797,7358,12295,799,59567,424,1168,972,1206,3896,3160,1610,2196,106,14743,1297,1238,2230,2952,9472,8627,3813,5498,201,35325,477,1763,1540,1935,3954,4601,2241,4940,155,21614,2127,6286,6262,6994,14466,21479,9549,16306,488,83956,895,4429,4756,4069,6549,5614,2620,3843,339,33108,4049,2453,4144,5497,24812,17889,9638,8040,623,77148,3573,13947,11156,15508,17321,14220,7917,13650,690,97997,6447,12314,19374,26393,33202,21444,8393,11230,1243,140031,535,3389,1775,1949,2448,2323,1076,1830,157,15487,Greater Brisbane
3RQLD,613,2559,1696,2010,2073,1810,549,1203,3608,16120,19685,75377,67249,88540,94406,61298,30821,46628,8315,492314,1220,3704,3064,4287,4491,7321,3655,20154,860,48764,2382,622,650,802,2573,2754,6772,19257,525,36338,1391,3133,2695,4109,13600,12245,9204,10837,582,57791,446,309,356,588,2749,3100,1600,2358,92,11606,1924,4415,3919,5949,10920,16976,9481,20882,926,75389,531,1319,1260,1780,5339,4830,3154,4611,166,23001,3219,22365,14293,17165,20005,10282,7339,10973,1068,106709,2305,22366,12355,13644,10922,7479,5288,10871,1196,86427,1536,2878,3051,4276,7420,6901,4823,10988,610,42476,260,908,718,1003,2350,1684,891,1613,74,9497,660,1063,1470,2048,4495,3844,1761,2822,123,18277,427,1853,1607,2051,3948,3669,2048,4414,181,20195,1145,4784,4045,5006,8344,8706,4145,8667,310,45148,945,5136,3871,4619,5983,4509,2114,3978,423,31574,2964,2541,3008,3938,18516,12909,7515,7366,618,59374,3535,11550,10305,16889,15090,12117,7404,13593,722,91210,6447,10546,18135,27428,29772,20012,7316,10527,1278,131455,556,3364,1936,2580,2991,2276,1205,1796,201,16907,Rest of Qld
4RSAU,99,326,191,214,180,159,51,120,507,1851,3431,12801,11195,13326,11023,6789,3923,6206,1241,69948,878,1948,1495,2096,2288,3770,2083,7477,374,22410,325,100,162,110,337,403,701,2910,69,5118,534,913,756,1099,3370,3463,2180,2205,134,14653,74,76,48,92,335,374,202,225,19,1439,258,605,521,733,1577,1931,990,1698,97,8400,141,249,211,292,703,1020,539,667,47,3876,620,3551,2174,2666,2486,1475,1214,1571,170,15922,412,3501,1613,1536,914,645,543,1358,174,10695,247,596,548,604,728,750,549,1553,108,5672,26,122,69,75,236,127,75,101,11,828,99,174,223,278,357,328,144,203,7,1804,61,175,136,151,342,184,128,224,4,1399,125,541,371,502,617,500,302,550,34,3542,154,930,564,569,693,542,308,460,59,4281,414,331,547,690,2298,1388,788,701,61,7220,518,1346,1614,2093,1700,1296,1127,1947,76,11722,1023,1992,3238,4383,3492,1523,810,1168,189,17823,51,289,149,178,190,135,74,141,28,1227,Rest of SA
4GADE,260,1123,716,845,968,621,235,358,1559,6685,12567,46154,41485,50764,58443,30774,16887,17802,3793,278672,190,734,538,744,1017,1018,542,1178,100,6076,175,85,100,155,479,698,442,1029,24,3183,989,2582,2288,3307,13841,8971,6130,5526,345,43978,267,235,302,437,2076,1820,1069,1115,51,7369,887,2375,1868,2974,6001,8825,4530,7043,389,34892,405,1030,913,1308,4539,3594,2292,2488,92,16664,2058,15453,8493,9610,11085,5703,4593,5002,603,62598,1037,13124,5987,5649,3979,2689,2289,3239,516,38504,870,1354,1664,2525,5029,4017,3163,4488,287,23394,273,763,631,724,2344,1871,777,916,61,8356,768,834,1536,2166,5282,3618,1911,2072,97,18280,265,828,724,846,1832,1461,893,1470,71,8387,1052,3452,3072,3714,7558,7771,3884,5745,208,36469,551,3125,2660,2614,3948,2294,1284,1457,175,18109,2260,1601,2838,4018,14753,9781,5245,3794,294,44584,1967,7072,6146,7337,9733,7080,4541,7203,339,51418,4492,9249,13888,19996,21169,9079,4698,5908,775,89263,271,2191,989,1222,1245,1096,559,792,90,8449,Greater Adelaide
5GPER,511,2584,1676,1564,2099,1992,590,859,2513,14387,17211,70773,63594,65180,81305,60283,25559,28540,5991,418438,189,696,658,730,898,1015,480,1095,58,5820,1434,649,957,991,2962,7104,4026,8356,238,26703,1205,3196,2805,3204,13042,11856,7261,7557,363,50484,357,259,388,507,2623,2429,1484,1689,59,9803,1771,4017,4007,5060,9909,19960,9137,15854,858,70570,576,1407,1433,1764,5496,6204,3180,3750,154,23967,2622,21508,13648,12171,15026,9681,5358,7601,887,88498,1616,18768,10037,6980,6347,5155,3059,4896,800,57653,1470,2301,2653,4131,7018,8135,5051,7542,536,38833,264,1141,794,813,2126,2383,951,1098,80,9653,916,1301,2041,2236,5305,6538,2491,3358,135,24307,408,1598,1362,1495,3107,3653,1702,3054,102,16482,1824,5627,5158,5536,10750,16919,7280,10737,327,64163,738,4309,4015,3144,4277,4432,1916,2638,282,25751,2963,2954,3961,4064,17070,13421,6895,6045,410,57791,2956,11770,10412,11427,13997,12443,6634,9715,593,79953,4994,12220,17088,20384,25405,15065,6104,7892,1012,110161,532,3772,1887,1882,2454,2130,1065,1508,153,15378,Greater Perth
5RWAU,209,590,354,380,387,400,121,362,878,3690,5658,16680,14085,16780,16578,12932,7218,14523,2069,106527,982,1847,1462,1667,1192,3266,1818,8836,379,21445,4032,872,857,562,1553,2289,6030,28295,692,45177,600,819,649,911,2128,2413,2356,3137,133,13150,198,87,99,142,680,568,538,1025,31,3369,1291,1185,902,1303,2131,3597,2021,11210,333,23976,159,277,219,272,670,985,745,1353,34,4719,764,4273,2566,3055,3441,2198,1532,2256,233,20316,670,3693,1868,2226,1708,1387,1007,3471,272,16302,727,852,780,933,1118,1633,1363,3890,174,11464,40,201,98,132,249,193,146,160,14,1236,155,222,290,306,491,533,302,369,11,2678,144,306,224,319,663,579,307,775,32,3351,413,867,685,766,1042,1156,641,2876,64,8513,340,1140,770,883,838,797,488,1760,89,7109,776,765,906,982,3276,3064,1658,1714,153,13280,906,2186,2445,3244,3127,2824,1791,2686,191,19393,1249,2363,3264,4389,4733,3079,1208,1908,193,22378,162,523,287,300,413,385,142,301,30,2541,Rest of WA
