gcc_code16,ng_nni_mng,ng_nni_pro,ng_nni_tectw,ng_nni_copsw,ng_nni_claw,ng_nni_swks,ng_nni_maopdv,ng_nni_lab,ng_nni_idns,ng_nni_tot,ng_1_149_mng,ng_1_149_pro,ng_1_149_tectw,ng_1_149_copsw,ng_1_149_claw,ng_1_149_swks,ng_1_149_maopdv,ng_1_149_lab,ng_1_149_idns,ng_1_149_tot,ng_150_299_mng,ng_150_299_pro,ng_150_299_tectw,ng_150_299_copsw,ng_150_299_claw,ng_150_299_swks,ng_150_299_maopdv,ng_150_299_lab,ng_150_299_idns,ng_150_299_tot,ng_300_399_mng,ng_300_399_pro,ng_300_399_tectw,ng_300_399_copsw,ng_300_399_claw,ng_300_399_swks,ng_300_399_maopdv,ng_300_399_lab,ng_300_399_idns,ng_300_399_tot,ng_400_499_mng,ng_400_499_pro,ng_400_499_tectw,ng_400_499_copsw,ng_400_499_claw,ng_400_499_swks,ng_400_499_maopdv,ng_400_499_lab,ng_400_499_idns,ng_400_499_tot,ng_500_649_mng,ng_500_649_pro,ng_500_649_tectw,ng_500_649_copsw,ng_500_649_claw,ng_500_649_swks,ng_500_649_maopdv,ng_500_649_lab,ng_500_649_idns,ng_500_649_tot,ng_650_799_mng,ng_650_799_pro,ng_650_799_tectw,ng_650_799_copsw,ng_650_799_claw,ng_650_799_swks,ng_650_799_maopdv,ng_650_799_lab,ng_650_799_idns,ng_650_799_tot,ng_800_999_mng,ng_800_999_pro,ng_800_999_tectw,ng_800_999_copsw,ng_800_999_claw,ng_800_999_swks,ng_800_999_maopdv,ng_800_999_lab,ng_800_999_idns,ng_800_999_tot,ng_1000_1249_mng,ng_1000_1249_pro,ng_1000_1249_tectw,ng_1000_1249_copsw,ng_1000_1249_claw,ng_1000_1249_swks,ng_1000_1249_maopdv,ng_1000_1249_lab,ng_1000_1249_idns,ng_1000_1249_tot,ng_1250_1499_mng,ng_1250_1499_pro,ng_1250_1499_tectw,ng_1250_1499_copsw,ng_1250_1499_claw,ng_1250_1499_swks,ng_1250_1499_maopdv,ng_1250_1499_lab,ng_1250_1499_idns,ng_1250_1499_tot,ng_1500_1749_mng,ng_1500_1749_pro,ng_1500_1749_tectw,ng_1500_1749_copsw,ng_1500_1749_claw,ng_1500_1749_swks,ng_1500_1749_maopdv,ng_1500_1749_lab,ng_1500_1749_idns,ng_1500_1749_tot,ng_1750_1999_mng,ng_1750_1999_pro,ng_1750_1999_tectw,ng_1750_1999_copsw,ng_1750_1999_claw,ng_1750_1999_swks,ng_1750_1999_maopdv,ng_1750_1999_lab,ng_1750_1999_idns,ng_1750_1999_tot,ng_2000_2999_mng,ng_2000_2999_pro,ng_2000_2999_tectw,ng_2000_2999_copsw,ng_2000_2999_claw,ng_2000_2999_swks,ng_2000_2999_maopdv,ng_2000_2999_lab,ng_2000_2999_idns,ng_2000_2999_tot,ng_3000mo_mng,ng_3000mo_pro,ng_3000mo_tectw,ng_3000mo_copsw,ng_3000mo_claw,ng_3000mo_swks,ng_3000mo_maopdv,ng_3000mo_lab,ng_3000mo_idns,ng_3000mo_tot,ng_pins_mng,ng_pins_pro,ng_pins_tectw,ng_pins_copsw,ng_pins_claw,ng_pins_swks,ng_pins_maopdv,ng_pins_lab,ng_pins_idns,ng_pins_tot,ng_tot_mng,ng_tot_pro,ng_tot_tectw,ng_tot_copsw,ng_tot_claw,ng_tot_swks,ng_tot_maopdv,ng_tot_lab,ng_tot_idns,ng_tot_tot,sg_nni_mng,sg_nni_pro,sg_nni_tectw,sg_nni_copsw,sg_nni_claw,sg_nni_swks,sg_nni_maopdv,sg_nni_lab,sg_nni_idns,sg_nni_tot,sg_1_149_mng,sg_1_149_pro,sg_1_149_tectw,sg_1_149_copsw,sg_1_149_claw,sg_1_149_swks,sg_1_149_maopdv,sg_1_149_lab,sg_1_149_idns,sg_1_149_tot,sg_150_299_mng,sg_150_299_pro,sg_150_299_tectw,sg_150_299_copsw,sg_150_299_claw,sg_150_299_swks,sg_150_299_maopdv,sg_150_299_lab,sg_150_299_idns,sg_150_299_tot,sg_300_399_mng,sg_300_399_pro,sg_300_399_tectw,sg_300_399_copsw,sg_300_399_claw,sg_300_399_swks,sg_300_399_maopdv,sg_300_399_lab,sg_300_399_idns,sg_300_399_tot,gcc_name16
1RNSW,8,22,0,3,54,3,0,0,3,95,6,177,17,46,172,10,3,10,12,456,19,259,18,85,301,16,8,36,20,762,13,201,25,78,294,24,12,28,20,692,23,296,38,98,412,50,16,44,9,981,39,491,55,227,672,97,22,44,24,1672,63,486,161,699,879,84,45,58,31,2507,115,606,246,361,1457,132,62,37,67,3085,230,946,527,406,2500,65,93,40,107,4915,384,1302,693,416,2371,33,55,26,107,5381,586,1699,588,323,982,16,37,19,92,4344,552,1379,285,197,371,7,16,10,39,2858,1089,2237,212,156,355,9,35,8,40,4132,405,630,12,20,52,3,4,0,5,1136,24,90,9,26,92,4,4,3,17,267,3554,10814,2886,3140,10976,557,397,354,598,33287,4,50,7,33,13,6,3,13,7,131,10,190,10,219,65,8,0,79,7,583,19,314,40,516,184,11,15,167,0,1270,20,518,56,652,272,16,21,213,12,1781,Rest of NSW
1GSYD,19,68,3,3,53,7,3,3,10,173,15,449,25,72,215,26,3,6,22,833,31,630,40,127,380,37,6,25,29,1290,26,527,30,131,324,31,12,26,12,1115,42,614,56,168,444,61,25,43,14,1465,70,1301,120,160,904,131,61,46,34,2834,140,1120,144,302,1446,147,118,54,37,3505,210,1499,310,420,2788,180,252,70,69,5803,437,2424,833,724,4731,186,309,66,180,9898,771,3281,1207,850,4484,72,193,46,187,11091,1249,4496,1118,795,2942,40,114,29,182,10965,1308,3959,660,497,1378,28,55,15,117,8021,3369,7691,681,629,1338,60,52,19,149,13979,2180,3358,72,76,355,26,8,3,40,6120,64,225,36,41,197,8,15,8,24,618,9916,31648,5340,4999,21968,1034,1223,459,1113,77709,26,138,11,56,57,5,8,15,15,332,21,281,23,331,169,10,6,60,9,923,41,534,40,716,313,30,32,200,13,1916,51,835,65,857,423,16,31,201,11,2489,Greater Sydney
2RVIC,3,10,3,3,42,0,0,0,3,62,3,64,11,10,97,10,0,6,4,200,7,83,11,33,195,8,3,8,6,351,11,75,20,32,185,15,6,15,3,365,10,135,13,39,192,29,0,22,4,445,37,205,34,97,360,52,21,25,17,852,53,217,151,230,475,55,79,29,19,1317,74,306,202,228,692,48,59,27,26,1661,138,465,213,262,1151,46,42,16,64,2404,174,629,176,238,916,11,43,8,61,2261,311,844,128,172,443,6,16,5,49,1969,313,583,59,78,154,0,9,6,15,1217,495,740,22,63,119,3,3,0,30,1475,121,152,7,9,9,0,0,0,0,300,10,25,9,15,49,0,5,5,8,123,1761,4535,1058,1500,5085,276,295,177,309,15000,0,42,0,27,15,0,0,3,3,90,12,133,24,172,46,8,0,84,8,479,14,358,49,375,140,4,11,87,3,1047,20,458,65,557,274,10,21,166,5,1582,Rest of Vic.
2GMEL,10,82,6,16,73,0,0,3,11,210,18,430,43,103,225,32,4,25,15,893,31,792,86,134,409,48,20,14,28,1560,23,688,58,123,386,37,23,30,13,1376,39,870,72,191,501,87,35,41,25,1868,81,1746,126,244,942,191,88,44,31,3495,146,1571,322,393,1412,173,153,55,58,4270,246,2040,467,416,2593,233,210,55,77,6344,507,3138,699,437,4741,152,203,42,190,10114,792,4090,749,408,4726,64,93,27,225,11180,1324,5877,547,344,2712,48,37,23,215,11132,1374,4368,308,238,1046,34,18,15,126,7523,3323,7467,349,309,1206,54,8,5,166,12893,1816,2844,49,41,290,34,0,0,38,5119,81,242,41,39,228,14,10,3,26,692,9814,36256,3922,3431,21500,1197,910,390,1247,78675,21,178,15,52,41,0,3,6,12,330,19,330,51,299,115,13,6,60,7,903,43,782,92,652,303,23,18,101,5,2017,35,922,163,976,502,20,12,129,16,2780,Greater Melbourne
3GBRI,3,47,6,7,36,0,0,3,8,110,15,283,15,52,175,15,4,10,13,578,13,435,21,81,219,17,6,8,20,825,23,348,21,44,183,19,5,20,14,669,15,430,26,76,285,37,11,26,10,917,32,829,45,96,557,59,32,33,18,1700,64,618,90,185,861,74,59,30,25,2006,115,920,203,416,1510,87,157,28,57,3503,290,1433,547,996,2963,82,299,30,119,6764,537,2207,864,898,2800,39,194,19,135,7691,836,2887,577,503,1564,20,88,6,104,6584,807,1932,277,238,614,8,32,4,54,3968,1717,3364,253,232,672,15,22,3,59,6340,568,1293,30,26,127,4,6,0,10,2056,32,118,10,32,105,3,7,4,10,322,5075,17149,2988,3882,12665,479,912,228,646,44023,11,83,7,29,39,0,3,15,0,192,15,117,21,269,68,17,3,154,3,663,38,270,25,621,132,22,5,191,9,1318,56,396,27,761,222,33,18,208,11,1739,Greater Brisbane
3RQLD,3,20,0,9,82,5,3,3,3,122,6,129,9,31,131,12,3,7,13,340,11,188,19,38,214,11,3,16,6,506,14,140,12,65,193,35,9,19,8,495,20,171,23,101,234,27,10,19,7,604,26,338,49,109,401,64,17,40,11,1052,50,306,67,152,607,70,55,41,28,1378,79,414,139,454,948,74,118,32,44,2320,173,696,423,874,1704,58,193,34,65,4210,302,941,618,756,1617,19,167,23,83,4534,465,1203,412,482,739,11,56,13,58,3425,484,921,189,251,298,3,15,3,31,2201,712,1454,122,214,230,3,12,3,24,2775,215,429,6,13,31,3,3,0,4,703,26,45,20,18,56,12,8,4,3,194,2576,7401,2118,3560,7487,396,669,256,390,24860,15,70,10,40,35,0,0,17,7,192,15,136,26,261,54,10,3,200,4,704,31,257,41,611,153,9,3,274,6,1391,49,405,77,822,196,13,15,330,8,1917,Rest of Qld
4RSAU,0,4,0,0,15,0,0,0,0,22,0,3,0,0,30,0,0,0,0,30,4,8,4,5,43,5,0,0,3,70,3,0,0,5,51,7,0,0,0,72,3,0,3,4,53,3,0,7,0,81,5,16,3,8,63,10,5,4,0,110,4,16,5,11,77,11,0,4,0,127,6,25,18,8,80,19,3,0,7,159,14,49,15,15,115,9,0,5,7,230,22,48,15,10,89,0,3,4,9,203,21,47,17,8,35,0,0,4,7,146,24,31,8,0,13,0,0,4,0,74,27,35,9,7,7,0,0,3,0,89,4,9,0,0,0,0,4,0,0,19,0,3,0,3,3,3,0,0,0,12,133,298,91,84,678,75,21,42,29,1449,0,7,0,8,0,0,0,0,0,20,3,21,9,29,6,0,4,13,0,79,6,47,10,93,17,0,10,24,0,207,5,50,11,155,28,3,6,37,0,300,Rest of SA
4GADE,0,24,0,3,30,0,0,0,7,63,7,133,8,17,60,13,0,6,5,250,13,162,16,24,121,7,3,5,3,351,4,144,14,30,103,9,3,9,6,320,7,172,18,54,163,19,5,18,3,462,20,370,41,44,389,42,14,19,9,948,24,331,66,57,512,46,23,9,16,1083,54,467,145,154,1009,44,48,23,35,1983,146,829,339,314,1861,38,77,33,94,3729,277,1229,589,340,1633,18,60,26,93,4270,453,1804,620,206,875,16,51,23,92,4142,462,1197,478,159,364,6,10,21,43,2740,1065,1989,383,135,345,10,32,9,51,4021,380,585,20,14,51,3,6,0,11,1073,20,66,23,9,65,4,0,0,13,202,2932,9511,2769,1564,7569,263,335,203,489,25629,0,26,0,22,21,0,0,5,8,86,7,77,9,132,38,6,5,26,4,300,17,194,20,300,85,11,5,25,4,660,28,248,24,344,173,7,8,63,3,913,Greater Adelaide
5GPER,0,31,3,0,33,0,3,0,3,74,9,116,11,31,77,8,0,7,18,271,17,184,19,54,138,13,4,14,15,459,10,169,16,60,141,23,3,17,6,441,15,214,34,69,196,33,8,11,10,587,24,409,57,78,413,62,19,33,7,1101,32,387,67,83,571,46,51,29,15,1281,72,502,130,129,957,79,81,23,32,2003,140,825,336,240,1861,55,80,25,48,3613,257,1143,459,272,1758,23,42,20,105,4073,411,1510,451,271,907,20,16,5,62,3663,416,1306,267,196,412,6,3,8,52,2664,1061,2354,330,292,432,8,3,9,59,4543,436,742,37,37,60,3,3,0,14,1333,16,70,13,13,63,0,0,0,13,195,2911,9969,2214,1836,8030,378,318,192,460,26311,6,58,6,50,28,0,3,15,4,172,21,175,24,204,78,8,5,76,3,596,36,323,69,424,171,16,7,206,3,1242,41,482,72,520,180,12,9,317,9,1642,Greater Perth
5RWAU,0,4,0,0,23,0,0,0,3,36,0,3,0,0,41,3,0,0,0,53,0,11,0,6,55,5,0,6,0,93,0,17,0,3,55,5,0,3,0,87,0,14,0,8,57,10,0,5,0,103,9,16,9,16,108,11,3,7,10,195,7,27,8,11,128,18,9,5,3,203,6,40,13,23,172,25,9,4,8,297,24,78,23,19,210,23,4,9,12,401,38,75,23,29,148,4,0,3,5,331,43,100,28,24,75,3,6,0,10,286,35,72,19,15,53,0,0,0,3,206,55,106,24,42,39,0,0,3,4,270,17,37,7,0,4,0,0,0,0,60,4,0,3,0,16,0,0,0,3,29,243,591,154,204,1194,109,45,43,62,2636,4,26,3,13,8,0,0,4,0,51,4,44,19,72,11,0,0,38,0,185,10,80,31,164,37,0,3,94,0,424,5,132,31,194,46,0,0,128,8,550,Rest of WA
