gcc_code16,pvte_2000_2999_mng,pvte_2000_2999_pro,pvte_2000_2999_tectw,pvte_2000_2999_copsw,pvte_2000_2999_claw,pvte_2000_2999_swks,pvte_2000_2999_maopdv,pvte_2000_2999_lab,pvte_2000_2999_idns,pvte_2000_2999_tot,pvte_3000mo_mng,pvte_3000mo_pro,pvte_3000mo_tectw,pvte_3000mo_copsw,pvte_3000mo_claw,pvte_3000mo_swks,pvte_3000mo_maopdv,pvte_3000mo_lab,pvte_3000mo_idns,pvte_3000mo_tot,pvte_pins_mng,pvte_pins_pro,pvte_pins_tectw,pvte_pins_copsw,pvte_pins_claw,pvte_pins_swks,pvte_pins_maopdv,pvte_pins_lab,pvte_pins_idns,pvte_pins_tot,pvte_tot_mng,pvte_tot_pro,pvte_tot_tectw,pvte_tot_copsw,pvte_tot_claw,pvte_tot_swks,pvte_tot_maopdv,pvte_tot_lab,pvte_tot_idns,pvte_tot_tot,ns_nni_mng,ns_nni_pro,ns_nni_tectw,ns_nni_copsw,ns_nni_claw,ns_nni_swks,ns_nni_maopdv,ns_nni_lab,ns_nni_idns,ns_nni_tot,ns_1_149_mng,ns_1_149_pro,ns_1_149_tectw,ns_1_149_copsw,ns_1_149_claw,ns_1_149_swks,ns_1_149_maopdv,ns_1_149_lab,ns_1_149_idns,ns_1_149_tot,ns_150_299_mng,ns_150_299_pro,ns_150_299_tectw,ns_150_299_copsw,ns_150_299_claw,ns_150_299_swks,ns_150_299_maopdv,ns_150_299_lab,ns_150_299_idns,ns_150_299_tot,ns_300_399_mng,ns_300_399_pro,ns_300_399_tectw,ns_300_399_copsw,ns_300_399_claw,ns_300_399_swks,ns_300_399_maopdv,ns_300_399_lab,ns_300_399_idns,ns_300_399_tot,ns_400_499_mng,ns_400_499_pro,ns_400_499_tectw,ns_400_499_copsw,ns_400_499_claw,ns_400_499_swks,ns_400_499_maopdv,ns_400_499_lab,ns_400_499_idns,ns_400_499_tot,ns_500_649_mng,ns_500_649_pro,ns_500_649_tectw,ns_500_649_copsw,ns_500_649_claw,ns_500_649_swks,ns_500_649_maopdv,ns_500_649_lab,ns_500_649_idns,ns_500_649_tot,ns_650_799_mng,ns_650_799_pro,ns_650_799_tectw,ns_650_799_copsw,ns_650_799_claw,ns_650_799_swks,ns_650_799_maopdv,ns_650_799_lab,ns_650_799_idns,ns_650_799_tot,ns_800_999_mng,ns_800_999_pro,ns_800_999_tectw,ns_800_999_copsw,ns_800_999_claw,ns_800_999_swks,ns_800_999_maopdv,ns_800_999_lab,ns_800_999_idns,ns_800_999_tot,ns_1000_1249_mng,ns_1000_1249_pro,ns_1000_1249_tectw,ns_1000_1249_copsw,ns_1000_1249_claw,ns_1000_1249_swks,ns_1000_1249_maopdv,ns_1000_1249_lab,ns_1000_1249_idns,ns_1000_1249_tot,ns_1250_1499_mng,ns_1250_1499_pro,ns_1250_1499_tectw,ns_1250_1499_copsw,ns_1250_1499_claw,ns_1250_1499_swks,ns_1250_1499_maopdv,ns_1250_1499_lab,ns_1250_1499_idns,ns_1250_1499_tot,ns_1500_1749_mng,ns_1500_1749_pro,ns_1500_1749_tectw,ns_1500_1749_copsw,ns_1500_1749_claw,ns_1500_1749_swks,ns_1500_1749_maopdv,ns_1500_1749_lab,ns_1500_1749_idns,ns_1500_1749_tot,ns_1750_1999_mng,ns_1750_1999_pro,ns_1750_1999_tectw,ns_1750_1999_copsw,ns_1750_1999_claw,ns_1750_1999_swks,ns_1750_1999_maopdv,ns_1750_1999_lab,ns_1750_1999_idns,ns_1750_1999_tot,ns_2000_2999_mng,ns_2000_2999_pro,ns_2000_2999_tectw,ns_2000_2999_copsw,ns_2000_2999_claw,ns_2000_2999_swks,ns_2000_2999_maopdv,ns_2000_2999_lab,ns_2000_2999_idns,ns_2000_2999_tot,ns_3000mo_mng,ns_3000mo_pro,ns_3000mo_tectw,ns_3000mo_copsw,ns_3000mo_claw,ns_3000mo_swks,ns_3000mo_maopdv,ns_3000mo_lab,ns_3000mo_idns,ns_3000mo_tot,ns_pins_mng,ns_pins_pro,ns_pins_tectw,ns_pins_copsw,ns_pins_claw,ns_pins_swks,ns_pins_maopdv,ns_pins_lab,ns_pins_idns,ns_pins_tot,ns_tot_mng,ns_tot_pro,ns_tot_tectw,ns_tot_copsw,ns_tot_claw,ns_tot_swks,ns_tot_maopdv,ns_tot_lab,ns_tot_idns,ns_tot_tot,gcc_name16
1RNSW,11365,13148,7591,576,2481,1428,6783,957,476,44796,8134,8562,2366,318,1226,932,1100,514,284,23432,2254,1234,2022,1370,1271,1613,1091,1925,601,13381,119174,115336,126976,96376,95093,99846,64833,103648,8289,829580,50,18,17,26,27,22,9,34,374,566,25,17,33,54,18,61,10,66,338,619,38,20,60,61,28,53,12,112,406,798,47,19,79,89,34,49,24,111,523,989,56,33,71,79,35,40,31,130,519,1000,51,41,124,90,55,73,33,177,549,1191,62,48,145,89,59,46,49,163,500,1162,62,49,127,71,42,23,77,92,480,1026,48,76,111,36,42,15,56,51,370,808,33,43,56,14,20,11,35,19,184,417,38,30,30,14,9,3,27,8,121,281,28,25,15,5,3,0,12,0,81,172,18,36,7,3,7,6,17,8,88,188,24,21,3,6,0,3,6,22,120,208,96,107,206,107,70,83,87,170,1597,2526,670,585,1080,750,466,496,483,1163,6256,11943,Rest of NSW
1GSYD,53777,80127,12969,1955,13690,8278,3549,2050,1661,178065,59465,60878,3915,993,9026,6162,789,678,1804,143721,3158,4436,3281,2250,3177,2605,1537,1939,1367,23750,279878,452121,218889,174213,271885,199037,111915,144131,23833,1875903,35,52,51,59,39,42,31,56,826,1187,8,69,55,124,58,82,25,83,554,1055,12,62,94,212,61,97,72,210,814,1648,37,72,192,205,98,97,93,277,965,2040,34,85,191,203,79,89,131,272,979,2074,57,154,277,234,171,126,204,348,1293,2866,89,184,333,210,222,121,280,433,1369,3248,118,263,351,187,210,106,274,299,1434,3241,149,351,296,121,203,87,177,166,1214,2758,79,263,154,52,123,50,72,79,640,1511,82,233,95,41,67,25,52,43,487,1137,72,182,36,12,38,24,22,21,310,712,116,204,37,16,31,15,21,17,383,840,97,143,29,11,28,16,24,13,343,700,189,409,404,233,244,160,186,252,3984,6066,1173,2734,2603,1919,1683,1144,1663,2567,15584,31074,Greater Sydney
2RVIC,6093,5464,3377,240,1123,802,1402,811,178,19492,4110,3811,1346,210,544,501,415,343,137,11420,1569,724,1287,792,687,991,655,1285,345,8332,76418,62373,70854,48676,48560,56493,32322,63917,4499,464129,24,12,16,13,3,4,5,30,260,354,18,8,13,58,12,44,0,63,226,437,26,11,32,44,19,26,11,60,269,489,29,16,43,34,27,25,21,74,270,535,32,18,49,55,18,26,15,76,301,602,64,12,75,52,40,34,25,78,314,705,53,23,83,64,30,18,40,76,295,684,55,25,72,25,32,19,47,67,256,587,36,32,61,20,20,14,35,25,207,440,18,18,23,9,14,9,23,12,92,218,9,18,21,3,4,3,9,7,75,150,18,13,4,3,3,0,3,4,36,91,12,7,6,3,3,0,3,6,47,95,15,9,6,8,3,3,4,10,71,125,105,67,118,75,32,53,53,104,948,1557,521,284,626,473,258,278,290,697,3657,7079,Rest of Vic.
2GMEL,44697,58265,12749,1368,9790,6684,3105,2568,1156,140388,42004,40363,3358,935,5781,4427,686,710,1090,99358,3274,4249,3858,2609,3210,3255,1710,2452,1312,25936,250031,384245,221617,170330,242222,199268,109443,147914,18851,1743926,33,42,74,53,39,38,23,58,757,1127,14,56,41,159,35,103,13,127,593,1152,20,73,95,166,66,123,55,174,709,1484,23,54,159,166,88,105,104,221,826,1753,43,76,160,206,74,88,100,230,886,1866,55,125,215,213,123,120,168,278,983,2285,73,147,279,179,183,116,240,383,1166,2770,106,220,327,132,200,92,244,254,1161,2729,99,285,262,82,151,51,141,105,913,2091,80,242,154,44,76,33,65,50,524,1274,72,159,73,16,60,27,25,25,369,822,54,109,46,17,23,14,18,22,242,544,70,152,34,10,26,9,13,12,280,608,75,93,20,14,17,11,5,21,276,527,189,378,421,233,270,190,184,242,3639,5741,1018,2213,2362,1691,1441,1116,1387,2218,13320,26770,Greater Melbourne
3GBRI,18798,24999,7046,637,4645,2774,1551,1066,578,62088,16612,18409,2019,362,2510,1837,388,349,462,42948,1188,1448,1517,1053,1334,1201,771,1185,562,10265,110433,164154,112043,89334,120247,97455,56893,84096,9093,843758,17,15,15,13,29,13,12,29,291,421,0,22,15,49,15,55,8,55,221,447,12,26,36,60,20,36,15,86,263,557,14,29,58,66,26,33,24,87,329,663,13,28,52,72,35,23,37,88,368,720,24,32,82,94,54,47,74,133,450,1001,41,48,104,78,74,45,102,156,530,1171,47,85,141,65,85,36,118,109,542,1217,54,101,117,48,78,27,72,74,440,1007,31,72,67,17,45,10,19,26,233,522,33,52,43,17,23,8,17,13,171,376,24,36,23,3,14,3,7,9,112,228,30,78,10,6,12,4,3,5,123,273,27,34,10,7,4,8,3,6,97,192,59,137,167,101,92,61,85,129,1687,2532,420,786,946,686,612,406,608,1000,5852,11310,Greater Brisbane
3RQLD,11297,11970,12159,613,2769,1789,8867,1618,548,51634,8542,8794,4654,372,1495,1120,2335,732,415,28462,2173,1098,2108,1306,1312,1574,1231,1775,634,13220,112634,108228,134431,92167,100751,102380,70627,102639,8333,832178,31,8,19,12,15,19,3,44,328,486,19,11,21,28,17,48,10,66,275,494,33,22,44,51,27,43,16,101,357,699,36,14,54,59,23,40,23,103,475,832,30,23,62,87,34,46,32,113,455,886,52,38,98,104,53,58,44,148,449,1045,48,37,107,80,74,48,63,155,523,1141,58,36,139,58,73,33,71,111,478,1063,56,61,136,26,55,19,57,60,381,847,35,48,80,22,25,4,36,28,215,495,25,37,40,7,19,13,15,16,145,315,20,32,20,7,4,7,16,9,78,197,19,22,20,4,7,3,17,15,95,209,21,30,8,3,11,10,9,8,101,196,91,96,187,121,82,77,107,169,1651,2597,577,506,1041,676,529,481,518,1149,6020,11495,Rest of Qld
4RSAU,1753,1398,1531,78,294,129,1057,250,82,6567,1230,835,473,48,165,102,180,140,31,3203,503,158,304,193,156,193,180,383,81,2144,24603,13766,18665,12291,12269,13359,11547,22059,1335,129888,8,0,7,3,3,0,3,9,59,91,5,3,3,3,0,7,3,15,52,87,6,3,12,5,5,8,3,29,77,147,6,3,4,10,0,3,4,9,89,141,3,3,10,16,4,3,4,14,84,145,11,3,13,10,9,8,7,26,74,154,11,8,13,5,3,3,6,13,70,129,16,7,20,8,3,8,7,24,49,134,6,7,7,9,3,0,11,13,56,105,4,3,8,3,0,0,4,5,17,41,4,0,8,0,0,0,0,0,20,37,3,3,3,0,0,0,0,0,12,23,0,0,0,0,0,0,0,4,19,20,0,0,0,0,0,0,0,3,17,22,17,8,20,19,11,14,9,31,172,300,105,55,125,90,47,53,64,187,860,1585,Rest of SA
4GADE,8524,10192,2416,367,1822,1045,735,415,228,25742,5692,6771,610,206,841,575,170,175,178,15224,574,743,762,624,646,704,342,697,266,5356,57046,86242,61332,54482,62731,55667,29008,49798,4664,460968,5,5,8,11,3,10,3,12,144,201,3,6,8,29,0,24,4,31,129,231,8,14,22,29,7,21,8,45,179,335,9,9,21,37,16,16,21,38,183,349,0,14,24,34,11,13,17,44,218,385,14,19,54,44,20,15,19,40,220,435,18,21,61,49,30,23,35,61,222,520,17,33,52,33,32,20,39,44,219,484,16,34,53,16,23,12,22,20,172,372,14,35,28,15,13,0,11,12,96,219,6,18,20,4,9,4,7,3,63,130,3,20,0,3,6,0,9,5,32,74,14,17,3,0,6,6,3,0,33,74,15,8,7,3,0,0,4,4,59,91,34,58,68,56,48,32,29,44,688,1049,176,322,420,376,227,192,219,390,2648,4969,Greater Adelaide
5GPER,16339,23905,9781,948,4685,2483,3413,1495,711,63771,16897,19256,3668,384,3006,1550,894,562,591,46809,929,1211,1529,860,1111,1061,597,963,462,8717,89067,137316,108053,74845,96865,81301,46821,65913,7961,708141,3,8,21,19,7,8,8,27,207,308,6,16,13,52,17,35,4,35,201,385,8,12,21,44,15,35,10,60,207,418,4,11,37,49,10,26,21,69,229,453,17,19,41,53,29,20,19,79,223,500,19,33,64,63,42,34,45,84,266,644,23,23,84,59,43,29,58,80,288,685,35,44,117,62,49,25,64,81,351,817,26,62,122,36,69,13,70,47,308,760,11,62,68,23,42,7,19,17,201,441,28,54,52,12,12,8,11,17,146,336,16,47,35,13,8,5,11,13,114,257,16,58,34,14,8,0,11,8,151,299,20,31,19,0,10,6,8,8,104,195,42,114,146,71,62,42,59,71,1196,1799,279,585,866,551,404,300,415,699,4202,8290,Greater Perth
5RWAU,3674,5239,11982,462,1436,336,9855,2514,460,35951,4091,3976,9217,155,808,253,3345,1798,367,24027,648,259,705,270,253,269,514,513,201,3639,32332,24633,49796,16073,20416,17417,32257,29525,2857,225293,7,0,0,7,3,0,3,16,89,127,3,8,0,14,5,10,3,12,68,128,4,8,3,12,3,9,0,22,89,160,7,0,4,13,4,7,4,20,102,159,11,3,11,16,6,10,4,29,78,160,12,6,23,11,11,7,12,32,107,220,7,8,26,16,6,0,6,36,108,205,15,8,30,9,17,5,11,31,83,210,10,8,25,7,9,3,13,20,90,197,10,12,9,3,15,3,11,21,50,133,0,9,15,0,7,0,8,6,47,92,6,0,3,3,0,0,3,0,29,51,7,5,17,0,0,0,8,5,42,90,9,0,7,3,3,0,3,4,53,87,38,12,48,30,16,22,33,46,386,635,147,83,234,145,107,82,128,307,1427,2652,Rest of WA
