gcc_code16,tot_nni_mng,tot_nni_pro,tot_nni_tectw,tot_nni_copsw,tot_nni_claw,tot_nni_swks,tot_nni_maopdv,tot_nni_lab,tot_nni_idns,tot_nni_tot,tot_1_149_mng,tot_1_149_pro,tot_1_149_tectw,tot_1_149_copsw,tot_1_149_claw,tot_1_149_swks,tot_1_149_maopdv,tot_1_149_lab,tot_1_149_idns,tot_1_149_tot,tot_150_299_mng,tot_150_299_pro,tot_150_299_tectw,tot_150_299_copsw,tot_150_299_claw,tot_150_299_swks,tot_150_299_maopdv,tot_150_299_lab,tot_150_299_idns,tot_150_299_tot,tot_300_399_mng,tot_300_399_pro,tot_300_399_tectw,tot_300_399_copsw,tot_300_399_claw,tot_300_399_swks,tot_300_399_maopdv,tot_300_399_lab,tot_300_399_idns,tot_300_399_tot,tot_400_499_mng,tot_400_499_pro,tot_400_499_tectw,tot_400_499_copsw,tot_400_499_claw,tot_400_499_swks,tot_400_499_maopdv,tot_400_499_lab,tot_400_499_idns,tot_400_499_tot,tot_500_649_mng,tot_500_649_pro,tot_500_649_tectw,tot_500_649_copsw,tot_500_649_claw,tot_500_649_swks,tot_500_649_maopdv,tot_500_649_lab,tot_500_649_idns,tot_500_649_tot,tot_650_799_mng,tot_650_799_pro,tot_650_799_tectw,tot_650_799_copsw,tot_650_799_claw,tot_650_799_swks,tot_650_799_maopdv,tot_650_799_lab,tot_650_799_idns,tot_650_799_tot,tot_800_999_mng,tot_800_999_pro,tot_800_999_tectw,tot_800_999_copsw,tot_800_999_claw,tot_800_999_swks,tot_800_999_maopdv,tot_800_999_lab,tot_800_999_idns,tot_800_999_tot,tot_1000_1249_mng,tot_1000_1249_pro,tot_1000_1249_tectw,tot_1000_1249_copsw,tot_1000_1249_claw,tot_1000_1249_swks,tot_1000_1249_maopdv,tot_1000_1249_lab,tot_1000_1249_idns,tot_1000_1249_tot,tot_1250_1499_mng,tot_1250_1499_pro,tot_1250_1499_tectw,tot_1250_1499_copsw,tot_1250_1499_claw,tot_1250_1499_swks,tot_1250_1499_maopdv,tot_1250_1499_lab,tot_1250_1499_idns,tot_1250_1499_tot,tot_1500_1749_mng,tot_1500_1749_pro,tot_1500_1749_tectw,tot_1500_1749_copsw,tot_1500_1749_claw,tot_1500_1749_swks,tot_1500_1749_maopdv,tot_1500_1749_lab,tot_1500_1749_idns,tot_1500_1749_tot,tot_1750_1999_mng,tot_1750_1999_pro,tot_1750_1999_tectw,tot_1750_1999_copsw,tot_1750_1999_claw,tot_1750_1999_swks,tot_1750_1999_maopdv,tot_1750_1999_lab,tot_1750_1999_idns,tot_1750_1999_tot,tot_2000_2999_mng,tot_2000_2999_pro,tot_2000_2999_tectw,tot_2000_2999_copsw,tot_2000_2999_claw,tot_2000_2999_swks,tot_2000_2999_maopdv,tot_2000_2999_lab,tot_2000_2999_idns,tot_2000_2999_tot,tot_3000mo_mng,tot_3000mo_pro,tot_3000mo_tectw,tot_3000mo_copsw,tot_3000mo_claw,tot_3000mo_swks,tot_3000mo_maopdv,tot_3000mo_lab,tot_3000mo_idns,tot_3000mo_tot,tot_pins_mng,tot_pins_pro,tot_pins_tectw,tot_pins_copsw,tot_pins_claw,tot_pins_swks,tot_pins_maopdv,tot_pins_lab,tot_pins_idns,tot_pins_tot,tot_tot_mng,tot_tot_pro,tot_tot_tectw,tot_tot_copsw,tot_tot_claw,tot_tot_swks,tot_tot_maopdv,tot_tot_lab,tot_tot_idns,tot_tot_tot,gcc_name16
1RNSW,3104,583,726,695,875,985,304,1154,590,9021,1907,1858,1504,6547,2053,15060,891,9474,654,39945,3661,3151,3405,8132,4190,9805,1345,8606,744,43037,4753,3926,5474,9304,5800,8882,1904,9405,962,50417,5648,5095,8548,11453,8000,10061,2505,10780,1056,63138,9101,9378,13624,18820,14604,14189,4699,15408,1369,101197,11497,12570,17764,20455,19134,14319,7991,18597,1573,123909,15143,17150,22202,16821,22494,10834,11782,16873,1744,135024,17327,25089,22162,11478,21113,6646,11853,10185,1640,127490,12207,23454,13560,5562,11848,3367,7634,4432,1032,83100,11480,24419,10354,4421,6805,2141,5901,2385,894,68812,8247,21588,6470,3482,3185,1120,4295,1240,561,50183,16596,22500,8539,3382,3606,1464,7008,1066,703,64860,9770,10672,2504,554,1414,940,1124,566,426,27980,2435,1849,2308,1714,1632,1715,1239,2187,2254,17319,132882,183276,139146,122830,126761,101526,70469,112346,16195,1005433,Rest of NSW
1GSYD,2183,2179,1254,1460,1684,1972,502,1343,1464,14042,1433,6209,2308,12575,4866,21435,1376,10908,1178,62272,2591,8431,5269,16615,9224,19599,2860,11061,1631,77271,3877,9296,8751,17353,11737,16684,4029,12513,1898,86142,4752,10724,13201,19063,14412,16932,5348,14890,2056,101384,8920,19006,20141,26607,25615,21834,9710,20345,2942,155116,13667,26894,25657,29400,36689,23082,18691,25239,3741,203062,22861,42838,35366,29310,52978,21709,25246,23432,4667,258418,32098,71425,40939,22520,61691,17596,21852,15491,4951,288573,27694,72285,27503,12078,39467,10887,12487,7480,3339,213227,29827,77661,20772,9163,26680,8338,8143,4844,2753,188182,25370,66538,12681,6101,13787,5276,4560,2603,1771,138679,65130,105958,14896,6443,17816,8467,4271,2309,2472,227764,66375,70314,4215,1498,10196,6249,874,728,2275,162717,3547,5973,3801,2843,3946,2795,1799,2302,5452,32459,310321,595723,236757,213041,330792,202837,121740,155481,42593,2209294,Greater Sydney
2RVIC,2529,347,471,420,474,626,146,760,406,6189,1580,1017,1142,4124,1225,9776,334,6267,458,25931,2785,1938,2171,4748,2394,5950,711,5277,485,26454,3677,2351,3352,5201,3483,5262,1026,5546,543,30443,4298,2919,5066,6607,4635,5701,1349,6378,585,37539,6477,5401,7885,10511,7922,7486,2597,9424,725,58433,7770,7443,10358,10403,10026,7463,4896,11222,855,70443,9989,11316,12951,8712,11568,5756,6930,9630,928,77787,10756,16593,12061,6476,10179,3527,6529,6204,884,73201,7545,15109,6697,3805,5430,1784,3689,2726,592,47373,6946,13556,4569,2618,3235,1132,2390,1728,456,36644,4995,9372,2761,1740,1399,677,1393,1066,284,23687,8558,8162,3532,1494,1592,818,1492,841,291,26776,4795,4660,1405,321,613,509,427,370,222,13325,1721,1091,1449,1045,874,1050,739,1467,1326,10765,84419,101273,75869,68231,65060,57511,34661,68914,9043,564981,Rest of Vic.
2GMEL,2541,2111,1321,1496,1786,2086,467,1423,1371,14604,1790,5802,2686,14734,4747,26916,1341,13047,1229,72287,3152,8651,5609,18155,9227,22591,2733,12577,1406,84097,4488,9139,8624,17448,11129,18100,3668,12828,1643,87062,5300,11050,12527,19124,14227,17091,4724,14306,1756,100100,9667,19323,19537,27638,24651,21399,9402,19856,2501,153966,14383,26627,26744,29583,35019,21847,19313,25295,3125,201926,23538,44148,37207,28271,50159,20275,25361,21985,3751,254687,30866,72122,41740,20793,54172,16224,21049,14523,3804,275285,26183,70799,26424,11485,33575,9854,10802,6931,2614,198666,27948,70864,19242,7428,21501,7125,6443,4227,2166,166942,22984,53187,11980,4861,10172,4514,3482,2508,1411,115096,53957,75047,13605,4459,12553,6809,3504,2639,1866,174445,46667,47355,3507,1220,6426,4488,733,754,1489,112638,3697,5701,4389,3277,4057,3470,1945,2784,5028,34361,277160,521915,235149,209956,293397,202783,114969,155687,35158,2046169,Greater Melbourne
3GBRI,1119,900,623,634,881,833,256,795,565,6596,833,2464,1463,6839,2322,12430,830,7082,542,34807,1397,3483,2396,8557,4083,10257,1339,6540,605,38660,1995,3913,3634,8359,5248,8230,1749,6784,683,40590,2345,4429,5525,9966,6800,8394,2230,7787,796,48282,4186,8149,9223,16427,12547,11255,4499,11611,1108,78997,6765,11525,13039,17868,18533,12281,9837,15343,1523,106702,11615,18608,18735,15194,27413,10798,13677,14604,1922,132571,15215,31196,22252,12012,31859,8214,12047,9358,1964,144107,12278,32749,15217,6811,19786,4840,6391,4080,1327,103485,13470,38601,11326,4768,12140,3696,3867,2507,1120,91488,10765,26721,7112,2896,5749,2041,2022,1432,748,59494,25254,37617,8138,2658,7128,2833,1970,1235,933,87761,18857,22436,2168,483,2927,1861,412,378,601,50112,1357,2118,1742,1392,1767,1277,907,1386,2295,14246,127449,244906,122606,114864,159172,99241,62035,90915,16720,1037906,Greater Brisbane
3RQLD,3200,727,836,683,1157,958,355,1165,604,9679,1684,1730,1825,6308,2205,13835,768,8254,576,37196,2952,2731,3094,7378,4094,9641,1376,7840,696,39804,3911,3206,4689,8277,5406,8451,1782,8629,885,45241,4233,3990,6905,11006,7303,9595,2533,10334,897,56804,7326,7443,11602,19020,13792,13972,4730,15820,1184,94886,10229,10460,16213,20282,19078,15263,8434,19005,1489,120450,14707,15572,21673,16241,23219,11871,11753,17069,1655,133770,17013,24030,23446,11866,22284,7743,11357,10879,1601,130211,12108,23616,15445,6351,12325,3932,7604,4774,1087,87246,11502,26984,11796,4394,7262,2627,6355,2786,814,74518,7949,16671,7944,2796,3220,1401,5551,1566,509,47622,14788,19383,13283,2397,3634,1814,9103,1717,756,66878,9579,10998,4815,484,1629,1144,2379,767,550,32344,2343,1649,2403,1695,1663,1663,1414,2115,2338,17283,123531,169190,145977,119190,128268,103913,75491,112717,15647,993929,Rest of Qld
4RSAU,777,67,128,93,145,133,53,235,96,1727,461,161,292,803,299,1812,132,1653,87,5690,928,365,558,967,623,1307,221,1789,126,6885,1126,389,797,1164,824,1179,286,1892,166,7824,1371,530,1241,1632,1105,1471,400,2191,185,10118,2194,890,1913,2745,1920,2059,751,3067,201,15737,2615,1332,2401,2626,2330,1951,1245,3841,237,18579,3175,1982,3044,2210,2641,1515,1929,3582,227,20302,3589,2916,3019,1598,2402,871,2110,2339,236,19095,2365,2929,1733,841,1212,412,1402,1002,178,12067,2022,2878,1285,511,695,274,1274,556,137,9637,1350,2173,958,355,336,131,909,251,76,6539,2147,1765,1561,562,338,129,1069,261,101,7946,1296,889,472,68,170,102,193,146,48,3383,532,210,332,248,181,215,202,421,255,2601,25947,19467,19739,16421,15237,13557,12171,23227,2372,148135,Rest of SA
4GADE,635,395,328,388,398,443,114,427,272,3409,469,1294,725,4055,1010,7468,401,5001,301,20727,947,1983,1586,5174,2141,6596,757,4624,361,24170,1219,2145,2379,5042,3004,5077,964,4389,390,24602,1606,2712,3633,6143,4208,5371,1262,5217,470,30610,2769,4926,5918,10009,7799,6961,2445,7092,634,48547,4196,6932,8387,10316,10605,6787,5031,8432,796,61480,6829,11329,11474,9441,15442,6193,7171,7527,978,76387,8548,17870,12489,7351,16826,4471,5904,4666,1032,79155,6851,17709,7919,3585,9068,2342,2689,1781,727,52673,7054,19846,5299,2417,5296,1580,1610,934,561,44594,5555,15006,2910,1728,2550,850,865,485,323,30273,11426,15691,2914,2277,2695,1073,798,438,384,37694,6809,8892,648,337,956,582,181,186,257,18847,649,1087,880,800,852,739,390,762,983,7140,65560,127823,67496,69061,82840,56532,30573,51970,8460,560314,Greater Adelaide
5GPER,1004,752,601,602,812,811,226,711,417,5942,724,2113,1196,6250,1787,11752,692,6558,478,31556,1026,3004,2280,7426,3549,9651,1211,6114,492,34746,1393,3130,3297,7168,4263,7481,1332,6321,544,34941,1732,3788,4915,8021,5567,7296,1687,6760,576,40333,3113,6459,7727,12015,10023,9113,2993,8658,781,60881,4680,8497,9808,12920,12725,8539,5397,9417,959,72947,7983,12823,14856,13166,18086,7568,8695,9068,1259,93499,10791,21730,20698,10006,23880,6245,9473,7099,1509,111435,9287,23908,15364,5291,15853,4054,5639,3437,1248,84076,10084,26989,12259,4441,10069,2937,4160,2216,1026,74171,8186,23615,7885,3190,4995,1808,2616,1351,777,54425,21458,35835,10865,3219,6535,2533,3540,1576,1078,86650,18936,22550,3877,546,3300,1566,914,585,733,53010,1046,1721,1738,1093,1395,1113,679,1086,1688,11555,101440,196907,117361,95355,122850,82462,49257,70952,13568,850156,Greater Perth
5RWAU,915,126,187,151,263,216,126,318,172,2470,502,305,340,1080,437,2618,162,1684,138,7273,887,580,656,1267,835,1388,247,1873,159,7882,1069,629,966,1479,1052,1380,328,2066,188,9148,1281,785,1440,1792,1446,1642,426,2164,182,11154,2154,1273,2299,2997,2468,2208,797,3211,262,17674,2407,1655,2809,3233,3046,2390,1284,3675,329,20821,3324,2304,3805,3133,3613,1978,2122,3846,345,24471,4193,3675,5192,2355,4193,1403,3093,3390,400,27897,3259,4025,4121,1354,2587,765,2795,2019,312,21240,3164,4723,4230,1258,1795,516,3773,1439,314,21205,2320,4332,4045,889,1055,304,4335,1178,273,18738,4835,7123,12307,1299,1661,342,9919,2555,537,40569,4398,4326,9297,241,852,254,3357,1813,420,24966,715,361,784,375,334,291,551,586,601,4604,35425,36219,52466,22905,25627,17712,33319,31816,4628,260110,Rest of WA
