gcc_code16,claw_150_299_a_65_74,claw_150_299_a_75ov,claw_150_299_tot,claw_300_399_a_15_19,claw_300_399_a_20_24,claw_300_399_a_25_34,claw_300_399_a_35_44,claw_300_399_a_45_54,claw_300_399_a_55_64,claw_300_399_a_65_74,claw_300_399_a_75ov,claw_300_399_tot,claw_400_499_a_15_19,claw_400_499_a_20_24,claw_400_499_a_25_34,claw_400_499_a_35_44,claw_400_499_a_45_54,claw_400_499_a_55_64,claw_400_499_a_65_74,claw_400_499_a_75ov,claw_400_499_tot,claw_500_649_a_15_19,claw_500_649_a_20_24,claw_500_649_a_25_34,claw_500_649_a_35_44,claw_500_649_a_45_54,claw_500_649_a_55_64,claw_500_649_a_65_74,claw_500_649_a_75ov,claw_500_649_tot,claw_650_799_a_15_19,claw_650_799_a_20_24,claw_650_799_a_25_34,claw_650_799_a_35_44,claw_650_799_a_45_54,claw_650_799_a_55_64,claw_650_799_a_65_74,claw_650_799_a_75ov,claw_650_799_tot,claw_800_999_a_15_19,claw_800_999_a_20_24,claw_800_999_a_25_34,claw_800_999_a_35_44,claw_800_999_a_45_54,claw_800_999_a_55_64,claw_800_999_a_65_74,claw_800_999_a_75ov,claw_800_999_tot,claw_1000_1249_a_15_19,claw_1000_1249_a_20_24,claw_1000_1249_a_25_34,claw_1000_1249_a_35_44,claw_1000_1249_a_45_54,claw_1000_1249_a_55_64,claw_1000_1249_a_65_74,claw_1000_1249_a_75ov,claw_1000_1249_tot,claw_1250_1499_a_15_19,claw_1250_1499_a_20_24,claw_1250_1499_a_25_34,claw_1250_1499_a_35_44,claw_1250_1499_a_45_54,claw_1250_1499_a_55_64,claw_1250_1499_a_65_74,claw_1250_1499_a_75ov,claw_1250_1499_tot,claw_1500_1749_a_15_19,claw_1500_1749_a_20_24,claw_1500_1749_a_25_34,claw_1500_1749_a_35_44,claw_1500_1749_a_45_54,claw_1500_1749_a_55_64,claw_1500_1749_a_65_74,claw_1500_1749_a_75ov,claw_1500_1749_tot,claw_1750_1999_a_15_19,claw_1750_1999_a_20_24,claw_1750_1999_a_25_34,claw_1750_1999_a_35_44,claw_1750_1999_a_45_54,claw_1750_1999_a_55_64,claw_1750_1999_a_65_74,claw_1750_1999_a_75ov,claw_1750_1999_tot,claw_2000_2999_a_15_19,claw_2000_2999_a_20_24,claw_2000_2999_a_25_34,claw_2000_2999_a_35_44,claw_2000_2999_a_45_54,claw_2000_2999_a_55_64,claw_2000_2999_a_65_74,claw_2000_2999_a_75ov,claw_2000_2999_tot,claw_3000mo_a_15_19,claw_3000mo_a_20_24,claw_3000mo_a_25_34,claw_3000mo_a_35_44,claw_3000mo_a_45_54,claw_3000mo_a_55_64,claw_3000mo_a_65_74,claw_3000mo_a_75ov,claw_3000mo_tot,claw_pins_a_15_19,claw_pins_a_20_24,claw_pins_a_25_34,claw_pins_a_35_44,claw_pins_a_45_54,claw_pins_a_55_64,claw_pins_a_65_74,claw_pins_a_75ov,claw_pins_tot,claw_tot_a_15_19,claw_tot_a_20_24,claw_tot_a_25_34,claw_tot_a_35_44,claw_tot_a_45_54,claw_tot_a_55_64,claw_tot_a_65_74,claw_tot_a_75ov,claw_tot_tot,sw_nni_a_15_19,sw_nni_a_20_24,sw_nni_a_25_34,sw_nni_a_35_44,sw_nni_a_45_54,sw_nni_a_55_64,sw_nni_a_65_74,sw_nni_a_75ov,sw_nni_tot,sw_1_149_a_15_19,sw_1_149_a_20_24,sw_1_149_a_25_34,sw_1_149_a_35_44,sw_1_149_a_45_54,sw_1_149_a_55_64,sw_1_149_a_65_74,sw_1_149_a_75ov,sw_1_149_tot,sw_150_299_a_15_19,sw_150_299_a_20_24,sw_150_299_a_25_34,sw_150_299_a_35_44,sw_150_299_a_45_54,sw_150_299_a_55_64,sw_150_299_a_65_74,sw_150_299_a_75ov,sw_150_299_tot,sw_300_399_a_15_19,sw_300_399_a_20_24,sw_300_399_a_25_34,sw_300_399_a_35_44,sw_300_399_a_45_54,sw_300_399_a_55_64,sw_300_399_a_65_74,sw_300_399_a_75ov,sw_300_399_tot,sw_400_499_a_15_19,sw_400_499_a_20_24,sw_400_499_a_25_34,sw_400_499_a_35_44,sw_400_499_a_45_54,sw_400_499_a_55_64,sw_400_499_a_65_74,sw_400_499_a_75ov,sw_400_499_tot,sw_500_649_a_15_19,sw_500_649_a_20_24,sw_500_649_a_25_34,sw_500_649_a_35_44,sw_500_649_a_45_54,sw_500_649_a_55_64,sw_500_649_a_65_74,sw_500_649_a_75ov,sw_500_649_tot,sw_650_799_a_15_19,sw_650_799_a_20_24,sw_650_799_a_25_34,sw_650_799_a_35_44,sw_650_799_a_45_54,sw_650_799_a_55_64,sw_650_799_a_65_74,sw_650_799_a_75ov,sw_650_799_tot,sw_800_999_a_15_19,sw_800_999_a_20_24,sw_800_999_a_25_34,sw_800_999_a_35_44,sw_800_999_a_45_54,sw_800_999_a_55_64,sw_800_999_a_65_74,sw_800_999_a_75ov,sw_800_999_tot,sw_1000_1249_a_15_19,sw_1000_1249_a_20_24,sw_1000_1249_a_25_34,sw_1000_1249_a_35_44,sw_1000_1249_a_45_54,sw_1000_1249_a_55_64,sw_1000_1249_a_65_74,sw_1000_1249_a_75ov,gcc_name16
1RNSW,317,38,4190,301,430,939,1257,1119,1189,498,69,5800,346,589,1249,1677,1801,1661,597,84,8000,390,1270,2389,3073,3560,2886,930,109,14604,260,2035,3573,3991,4910,3462,833,79,19134,130,1675,4271,4805,6267,4505,783,59,22494,39,859,3914,4538,6458,4552,700,55,21113,16,214,1874,2739,3929,2712,344,31,11848,4,63,881,1728,2325,1522,251,30,6805,0,29,369,849,1100,722,102,8,3185,0,20,403,974,1265,791,129,21,3606,3,12,102,363,462,351,95,20,1414,35,123,222,342,426,345,118,28,1632,2438,7888,21237,27692,34882,26108,5874,649,126761,519,70,85,91,92,88,32,3,985,13248,730,269,234,242,253,76,8,15060,4331,1953,942,752,820,788,193,23,9805,1718,2008,1279,1068,1296,1148,313,46,8882,1129,2145,1746,1417,1713,1440,410,56,10061,902,2720,2694,2309,2805,2141,554,58,14189,301,2517,3207,2492,3082,2185,476,56,14319,99,1276,2532,2084,2491,1915,392,38,10834,34,408,1445,1552,1633,1248,282,40,Rest of NSW
1GSYD,470,87,9224,834,2134,1940,2363,2025,1637,723,85,11737,673,2151,2568,2872,2767,2250,962,160,14412,797,3280,4797,5335,5489,4066,1646,209,25615,636,5103,8530,7538,7509,5507,1714,159,36689,380,6082,14359,10743,11238,8161,1869,153,52978,140,4008,16620,13686,14236,10689,2174,142,61691,44,1288,10057,9835,9908,6801,1442,94,39467,3,414,6171,7227,7123,4808,866,72,26680,8,100,2958,4071,3749,2370,472,53,13787,8,92,3403,5797,4966,2881,608,62,17816,3,55,1076,3632,3306,1667,392,64,10196,88,365,803,850,911,655,242,29,3946,6325,28497,75435,76562,75396,53291,13886,1405,330792,801,268,281,227,198,139,47,4,1972,17018,2744,541,410,352,277,75,8,21435,7666,6317,1940,1239,1176,957,260,36,19599,2897,5695,2780,1662,1779,1403,397,68,16684,1650,5102,3602,1995,2175,1790,556,60,16932,1115,5179,5247,3357,3415,2622,803,101,21834,548,4390,6641,3923,3913,2811,766,82,23082,232,3312,6843,4093,3866,2569,729,73,21709,69,1523,5859,3846,3353,2232,638,69,Greater Sydney
2RVIC,148,26,2394,170,230,577,740,759,704,268,34,3483,160,310,686,1014,1051,1007,365,44,4635,163,622,1204,1701,2028,1652,496,62,7922,113,969,1820,2035,2659,1955,426,51,10026,62,854,2264,2375,3179,2390,409,35,11568,26,416,1754,2164,3190,2267,345,32,10179,4,111,819,1282,1786,1246,167,14,5430,5,29,444,822,1097,744,94,11,3235,0,7,179,362,455,315,80,3,1399,0,3,159,418,546,391,63,10,1592,3,6,38,121,213,161,58,13,613,19,57,123,167,218,208,59,14,874,1220,3985,10646,14024,17918,13836,3063,368,65060,352,43,36,49,65,62,15,0,626,8480,560,173,166,186,164,40,9,9776,2414,1268,552,506,554,534,118,7,5950,826,1314,708,687,787,747,174,18,5262,511,1258,878,803,1049,895,265,42,5701,396,1455,1274,1172,1591,1251,320,24,7486,167,1294,1668,1272,1539,1217,283,24,7463,44,695,1350,1095,1350,1004,202,18,5756,21,201,767,837,910,621,149,10,Rest of Vic.
2GMEL,397,59,9227,496,1887,2008,2296,2082,1621,653,90,11129,346,1974,2610,2973,3095,2322,825,94,14227,391,2800,4780,5324,5647,4164,1368,158,24651,383,4255,8598,7029,7727,5383,1517,119,35019,204,5152,14608,10184,11066,7274,1554,112,50159,66,2747,15610,11900,13121,8979,1650,101,54172,9,707,8657,8436,8964,5723,1028,54,33575,13,230,4761,5826,6120,3851,648,51,21501,3,64,1979,2986,2931,1826,343,35,10172,0,54,2268,4027,3612,2160,386,46,12553,7,41,643,2110,2196,1087,295,46,6426,72,369,760,784,1023,790,228,30,4057,4194,23775,69702,66650,69939,46969,11141,1022,293397,899,307,273,204,207,135,51,6,2086,20835,3990,702,497,455,324,92,16,26916,7888,8163,2282,1518,1389,1018,285,50,22591,2380,6830,3164,1767,2006,1499,401,52,18100,1153,5499,3496,2026,2398,1900,537,78,17091,798,5367,5161,3064,3534,2604,778,93,21399,362,4402,6564,3585,3684,2474,694,77,21847,129,2907,6723,3776,3646,2375,660,53,20275,48,1180,5451,3640,3266,2043,545,38,Greater Melbourne
3GBRI,197,26,4083,496,965,876,960,869,759,285,34,5248,480,1062,1158,1341,1226,1046,426,52,6800,587,1751,2335,2601,2547,1965,683,69,12547,402,2926,4326,3670,3809,2671,694,41,18533,251,3292,7366,5647,6052,4018,758,30,27413,103,1933,8295,7246,8048,5368,819,42,31859,28,547,4772,5109,5494,3321,489,20,19786,13,180,2411,3484,3595,2150,292,21,12140,3,35,1048,1705,1800,1008,139,8,5749,4,31,1071,2249,2277,1275,210,15,7128,0,16,295,950,1007,517,123,18,2927,50,172,331,393,446,293,74,6,1767,3991,14254,35229,36506,38156,25325,5314,400,159172,361,94,70,92,100,75,33,3,833,10621,1073,242,159,168,136,35,3,12430,5268,2638,795,509,518,406,114,11,10257,2100,2676,1161,715,747,616,195,22,8230,1202,2669,1535,897,973,835,265,27,8394,833,3012,2462,1499,1682,1265,446,47,11255,366,2817,3189,1971,2071,1436,407,25,12281,140,1674,3126,2040,2015,1436,338,27,10798,31,630,2385,1863,1753,1227,291,33,Greater Brisbane
3RQLD,248,40,4094,383,430,1022,1117,1064,963,387,46,5406,451,571,1228,1571,1534,1339,520,73,7303,641,1449,2438,2978,3019,2376,817,80,13792,344,2596,3733,4064,4484,3075,709,69,19078,152,2102,4966,5097,6173,4010,670,45,23219,79,1061,4457,5025,6601,4368,654,39,22284,23,321,2208,3140,3792,2444,379,23,12325,6,97,1113,1891,2373,1532,229,19,7262,0,44,417,932,1060,648,112,9,3220,3,21,486,1005,1239,740,115,21,3634,7,13,149,434,547,343,102,22,1629,61,121,260,333,427,336,93,19,1663,3343,9403,23590,29039,33650,23488,5219,529,128268,426,46,82,106,118,135,39,5,958,12241,612,263,243,222,199,58,8,13835,4937,1680,796,730,678,618,178,28,9641,2205,1772,1095,951,1055,1013,341,34,8451,1458,1969,1483,1280,1622,1289,451,47,9595,1050,2805,2468,2166,2661,2068,691,57,13972,379,2835,3427,2720,3098,2166,577,56,15263,129,1552,2707,2280,2741,1966,466,37,11871,40,456,1728,1735,1948,1410,390,37,Rest of Qld
4RSAU,44,11,623,50,31,147,158,174,163,80,12,824,45,64,181,238,243,230,89,13,1105,41,151,297,446,469,394,117,13,1920,29,206,402,539,593,452,101,15,2330,11,179,475,519,783,584,82,13,2641,8,88,334,519,794,582,76,4,2402,0,17,168,260,410,302,48,0,1212,0,9,71,179,244,160,33,0,695,0,6,32,57,130,82,22,6,336,0,0,38,73,123,71,27,9,338,0,0,17,44,53,41,16,0,170,8,11,27,43,38,40,12,0,181,304,805,2389,3275,4253,3324,789,102,15237,65,7,6,11,22,15,4,0,133,1571,48,44,38,42,48,12,6,1812,522,181,143,137,149,138,31,8,1307,199,202,165,164,213,172,59,7,1179,152,258,215,237,288,254,58,11,1471,92,360,374,367,454,332,74,6,2059,42,331,406,340,476,281,65,5,1951,15,165,349,317,351,264,48,3,1515,7,50,172,183,235,186,33,4,Rest of SA
4GADE,131,19,2141,155,370,514,598,556,571,216,23,3004,173,450,708,830,914,806,294,38,4208,139,747,1348,1674,1811,1525,516,38,7799,117,1155,2237,2218,2485,1905,439,57,10605,72,1287,3746,3097,3880,2818,521,29,15442,13,615,3705,3644,4693,3583,545,25,16826,3,162,1823,2174,2665,1918,307,15,9068,0,45,862,1372,1632,1189,175,7,5296,0,12,353,675,829,581,81,8,2550,0,8,273,784,960,574,90,9,2695,8,7,46,238,349,226,81,9,956,8,65,144,166,235,173,54,9,852,1174,5552,16295,18043,21574,16408,3520,281,82840,191,58,47,57,47,33,13,0,443,6061,870,182,116,119,88,30,0,7468,2830,2080,593,328,381,305,75,5,6596,933,1761,778,480,565,408,129,21,5077,449,1571,1051,673,830,584,185,26,5371,299,1596,1547,1030,1225,949,279,32,6961,109,1260,1772,1123,1354,933,199,28,6787,39,720,1696,1237,1366,905,203,22,6193,11,250,1227,990,1097,732,147,19,Greater Adelaide
5GPER,199,20,3549,201,544,746,936,818,705,277,29,4263,216,589,1018,1210,1140,974,367,50,5567,339,1030,1812,2124,2264,1763,621,74,10023,261,1719,2715,2504,2754,2065,649,60,12725,120,2194,4620,3536,4103,2826,635,46,18086,59,1582,6386,4663,5849,4481,812,49,23880,14,531,4011,3474,4233,3029,543,21,15853,4,186,2210,2445,2886,1987,315,31,10069,0,45,958,1335,1470,1006,175,13,4995,0,34,1118,1756,2068,1300,231,27,6535,4,26,333,1015,1163,581,152,25,3300,34,115,251,269,392,234,82,12,1395,2124,9545,27188,26463,30077,21816,5165,469,122850,351,98,80,95,75,72,34,3,811,9622,1278,298,226,163,127,41,7,11752,4074,2943,896,605,558,436,122,6,9651,1431,2496,1152,737,794,650,190,27,7481,772,2199,1344,846,1006,842,252,38,7296,582,2207,1920,1250,1583,1152,376,49,9113,227,1941,2134,1304,1491,1058,356,29,8539,94,1239,2151,1255,1498,1023,272,26,7568,39,556,1841,1292,1290,950,253,28,Greater Perth
5RWAU,40,6,835,62,44,208,228,205,201,90,9,1052,76,75,252,317,315,296,105,14,1446,123,178,430,517,588,474,143,10,2468,75,376,570,635,708,523,134,20,3046,64,356,724,743,935,664,120,10,3613,31,274,916,846,1157,820,134,15,4193,8,136,509,615,741,499,75,5,2587,3,44,385,427,516,358,63,5,1795,0,30,245,290,278,187,27,3,1055,0,25,365,440,476,295,52,3,1661,3,3,132,241,281,145,34,8,852,16,25,48,77,83,66,19,4,334,607,1642,5082,5740,6561,4809,1057,125,25627,106,4,20,25,25,21,10,0,216,2306,42,76,81,48,49,5,3,2618,596,139,175,176,138,133,33,4,1388,272,176,212,196,224,232,55,6,1380,282,221,253,240,334,232,69,9,1642,230,348,342,361,491,335,94,4,2208,90,476,500,388,495,358,75,11,2390,28,253,461,355,488,328,60,6,1978,8,111,348,294,327,257,55,3,Rest of WA
