gcc_code16,maopd_tot_a_20_24,maopd_tot_a_25_34,maopd_tot_a_35_44,maopd_tot_a_45_54,maopd_tot_a_55_64,maopd_tot_a_65_74,maopd_tot_a_75ov,maopd_tot_tot,lab_nni_a_15_19,lab_nni_a_20_24,lab_nni_a_25_34,lab_nni_a_35_44,lab_nni_a_45_54,lab_nni_a_55_64,lab_nni_a_65_74,lab_nni_a_75ov,lab_nni_tot,lab_1_149_a_15_19,lab_1_149_a_20_24,lab_1_149_a_25_34,lab_1_149_a_35_44,lab_1_149_a_45_54,lab_1_149_a_55_64,lab_1_149_a_65_74,lab_1_149_a_75ov,lab_1_149_tot,lab_150_299_a_15_19,lab_150_299_a_20_24,lab_150_299_a_25_34,lab_150_299_a_35_44,lab_150_299_a_45_54,lab_150_299_a_55_64,lab_150_299_a_65_74,lab_150_299_a_75ov,lab_150_299_tot,lab_300_399_a_15_19,lab_300_399_a_20_24,lab_300_399_a_25_34,lab_300_399_a_35_44,lab_300_399_a_45_54,lab_300_399_a_55_64,lab_300_399_a_65_74,lab_300_399_a_75ov,lab_300_399_tot,lab_400_499_a_15_19,lab_400_499_a_20_24,lab_400_499_a_25_34,lab_400_499_a_35_44,lab_400_499_a_45_54,lab_400_499_a_55_64,lab_400_499_a_65_74,lab_400_499_a_75ov,lab_400_499_tot,lab_500_649_a_15_19,lab_500_649_a_20_24,lab_500_649_a_25_34,lab_500_649_a_35_44,lab_500_649_a_45_54,lab_500_649_a_55_64,lab_500_649_a_65_74,lab_500_649_a_75ov,lab_500_649_tot,lab_650_799_a_15_19,lab_650_799_a_20_24,lab_650_799_a_25_34,lab_650_799_a_35_44,lab_650_799_a_45_54,lab_650_799_a_55_64,lab_650_799_a_65_74,lab_650_799_a_75ov,lab_650_799_tot,lab_800_999_a_15_19,lab_800_999_a_20_24,lab_800_999_a_25_34,lab_800_999_a_35_44,lab_800_999_a_45_54,lab_800_999_a_55_64,lab_800_999_a_65_74,lab_800_999_a_75ov,lab_800_999_tot,lab_1000_1249_a_15_19,lab_1000_1249_a_20_24,lab_1000_1249_a_25_34,lab_1000_1249_a_35_44,lab_1000_1249_a_45_54,lab_1000_1249_a_55_64,lab_1000_1249_a_65_74,lab_1000_1249_a_75ov,lab_1000_1249_tot,lab_1250_1499_a_15_19,lab_1250_1499_a_20_24,lab_1250_1499_a_25_34,lab_1250_1499_a_35_44,lab_1250_1499_a_45_54,lab_1250_1499_a_55_64,lab_1250_1499_a_65_74,lab_1250_1499_a_75ov,lab_1250_1499_tot,lab_1500_1749_a_15_19,lab_1500_1749_a_20_24,lab_1500_1749_a_25_34,lab_1500_1749_a_35_44,lab_1500_1749_a_45_54,lab_1500_1749_a_55_64,lab_1500_1749_a_65_74,lab_1500_1749_a_75ov,lab_1500_1749_tot,lab_1750_1999_a_15_19,lab_1750_1999_a_20_24,lab_1750_1999_a_25_34,lab_1750_1999_a_35_44,lab_1750_1999_a_45_54,lab_1750_1999_a_55_64,lab_1750_1999_a_65_74,lab_1750_1999_a_75ov,lab_1750_1999_tot,lab_2000_2999_a_15_19,lab_2000_2999_a_20_24,lab_2000_2999_a_25_34,lab_2000_2999_a_35_44,lab_2000_2999_a_45_54,lab_2000_2999_a_55_64,lab_2000_2999_a_65_74,lab_2000_2999_a_75ov,lab_2000_2999_tot,lab_3000mo_a_15_19,lab_3000mo_a_20_24,lab_3000mo_a_25_34,lab_3000mo_a_35_44,lab_3000mo_a_45_54,lab_3000mo_a_55_64,lab_3000mo_a_65_74,lab_3000mo_a_75ov,lab_3000mo_tot,lab_pins_a_15_19,lab_pins_a_20_24,lab_pins_a_25_34,lab_pins_a_35_44,lab_pins_a_45_54,lab_pins_a_55_64,lab_pins_a_65_74,lab_pins_a_75ov,lab_pins_tot,lab_tot_a_15_19,lab_tot_a_20_24,lab_tot_a_25_34,lab_tot_a_35_44,lab_tot_a_45_54,lab_tot_a_55_64,lab_tot_a_65_74,lab_tot_a_75ov,lab_tot_tot,oidns_nni_a_15_19,oidns_nni_a_20_24,oidns_nni_a_25_34,oidns_nni_a_35_44,oidns_nni_a_45_54,oidns_nni_a_55_64,oidns_nni_a_65_74,oidns_nni_a_75ov,oidns_nni_t,oidns_1_149_a_15_19,oidns_1_149_a_20_24,oidns_1_149_a_25_34,oidns_1_149_a_35_44,oidns_1_149_a_45_54,oidns_1_149_a_55_64,oidns_1_149_a_65_74,oidns_1_149_a_75ov,oidns_1_149_t,oidns_150_299_a_15_19,oidns_150_299_a_20_24,oidns_150_299_a_25_34,oidns_150_299_a_35_44,oidns_150_299_a_45_54,oidns_150_299_a_55_64,oidns_150_299_a_65_74,oidns_150_299_a_75ov,oidns_150_299_t,oidns_300_399_a_15_19,oidns_300_399_a_20_24,oidns_300_399_a_25_34,oidns_300_399_a_35_44,oidns_300_399_a_45_54,oidns_300_399_a_55_64,oidns_300_399_a_65_74,oidns_300_399_a_75ov,oidns_300_399_t,oidns_400_499_a_15_19,oidns_400_499_a_20_24,oidns_400_499_a_25_34,oidns_400_499_a_35_44,oidns_400_499_a_45_54,oidns_400_499_a_55_64,oidns_400_499_a_65_74,oidns_400_499_a_75ov,oidns_400_499_t,oidns_500_649_a_15_19,oidns_500_649_a_20_24,oidns_500_649_a_25_34,gcc_name16
1RNSW,4044,11952,14518,18590,15648,3764,367,70469,441,88,114,140,161,144,54,14,1154,6904,567,365,403,530,542,121,40,9474,2213,1274,977,998,1341,1356,384,57,8606,1068,1338,1276,1320,1824,1876,588,124,9405,859,1465,1647,1567,2328,2108,697,96,10780,846,2124,2694,2426,3474,2945,783,112,15408,685,2543,3817,3289,4111,3432,629,88,18597,358,1874,3785,3159,3922,3212,503,63,16873,108,771,2360,2205,2494,1883,324,36,10185,29,288,1016,1024,1165,782,126,12,4432,12,101,505,576,633,475,74,10,2385,3,28,255,312,372,223,36,8,1240,3,30,211,286,290,205,34,12,1066,24,17,73,120,155,119,40,11,566,297,224,319,298,460,407,137,41,2187,13854,12730,19416,18126,23248,19708,4539,731,112346,122,37,56,99,93,110,49,24,590,323,50,51,54,58,68,24,25,654,104,96,80,98,100,113,84,60,744,69,103,94,133,136,157,121,146,962,67,119,154,128,163,147,139,130,1056,55,164,232,Rest of NSW
1GSYD,8890,24560,26654,30376,23236,5129,366,121740,455,152,206,160,177,140,32,5,1343,7856,1052,545,418,505,394,119,22,10908,2906,2362,1514,1098,1427,1338,371,55,11061,1242,2661,2703,1653,1896,1797,497,70,12513,901,2843,3773,2185,2431,2068,603,93,14890,809,2881,4533,3380,4172,3513,915,133,20345,576,2836,5776,4587,5733,4683,954,85,25239,351,2248,5569,4501,5477,4404,837,47,23432,140,1175,3733,3349,3706,2803,542,35,15491,42,450,1748,1758,1885,1309,256,33,7480,19,206,1166,1181,1278,814,167,14,4844,10,110,562,735,675,439,70,3,2603,8,61,463,654,669,378,61,14,2309,20,27,117,173,188,137,47,20,728,243,269,424,391,493,355,105,19,2302,15573,19331,32832,26221,30714,24586,5578,650,155481,207,168,335,326,207,126,62,34,1464,457,192,143,148,119,78,30,7,1178,227,363,308,237,199,172,75,55,1631,152,387,386,272,279,198,145,87,1898,124,330,513,328,304,234,130,96,2056,110,493,737,Greater Sydney
2RVIC,2177,5366,6529,9323,8430,2009,189,34661,304,70,60,63,102,118,33,9,760,4620,364,243,214,362,359,87,17,6267,1231,821,555,568,838,973,253,42,5277,525,828,690,782,1097,1150,404,69,5546,391,858,924,936,1354,1359,472,98,6378,423,1261,1651,1489,2074,1932,505,82,9424,314,1647,2406,1860,2474,2062,397,57,11222,166,1164,2146,1791,2216,1793,311,36,9630,68,459,1415,1319,1480,1259,180,29,6204,14,134,577,645,722,525,95,16,2726,5,76,316,435,490,343,58,12,1728,0,19,201,275,326,211,29,7,1066,4,21,147,219,263,157,22,9,841,14,27,59,69,95,78,25,11,370,215,139,166,208,305,315,98,21,1467,8294,7880,11556,10877,14194,12632,2964,512,68914,83,24,52,67,74,58,35,19,406,210,42,33,51,40,38,20,17,458,73,64,44,66,56,82,54,37,485,40,51,75,73,71,103,73,59,543,40,48,68,68,95,132,83,55,585,33,87,107,Rest of Vic.
2GMEL,8338,24232,24902,29240,21799,4420,310,114969,429,237,214,180,182,133,36,7,1423,9035,1571,651,475,565,517,212,34,13047,2975,3094,1864,1206,1411,1498,433,96,12577,1132,3123,2775,1544,1778,1746,600,137,12828,707,2886,3433,1961,2316,2137,732,131,14306,629,2961,4570,3182,3992,3305,1055,168,19856,470,2908,6060,4946,5695,4202,939,70,25295,221,1961,5539,4505,5219,3769,717,53,21985,98,860,3434,3309,3672,2624,483,43,14523,22,278,1594,1801,1822,1193,192,18,6931,15,138,967,1115,1147,712,128,9,4227,7,68,569,733,673,396,57,3,2508,12,66,610,777,710,389,68,11,2639,15,30,141,187,191,121,52,19,754,286,335,497,484,553,451,151,33,2784,16044,20516,32924,26411,29920,23188,5851,839,155687,157,155,278,298,253,141,61,30,1371,505,228,146,130,106,70,40,18,1229,198,337,249,194,186,133,85,35,1406,92,279,355,255,253,188,115,101,1643,71,283,406,288,280,198,141,96,1756,56,352,638,Greater Melbourne
3GBRI,5489,13208,13205,14673,10912,2525,158,62035,251,120,147,85,97,72,19,0,795,5172,647,343,251,286,277,87,16,7082,2265,1370,875,565,648,630,152,22,6540,1011,1425,1557,811,865,824,248,45,6784,727,1580,1953,1073,1098,941,358,60,7787,693,1954,2581,1872,2144,1801,505,64,11611,497,2326,3707,2674,3234,2416,456,41,15343,293,1681,3717,3091,3166,2219,407,20,14604,98,748,2295,2196,2247,1523,237,13,9358,31,254,1022,1054,969,625,120,3,4080,12,119,625,680,632,377,52,5,2507,3,54,310,402,402,229,40,0,1432,0,35,306,344,327,191,35,5,1235,6,22,68,96,89,67,14,6,378,181,148,276,243,261,205,54,14,1386,11246,12480,19796,15448,16473,12385,2776,313,90915,91,58,96,120,109,55,28,13,565,244,90,55,52,45,31,21,7,542,131,116,101,71,66,47,46,22,605,65,104,150,102,91,83,44,54,683,59,131,161,120,123,72,79,50,796,57,171,272,Greater Brisbane
3RQLD,4755,14250,16196,19586,15197,3534,271,75491,354,116,160,127,171,169,54,14,1165,6042,428,331,403,441,441,141,17,8254,2270,1071,995,939,1114,1133,273,43,7840,1192,1254,1408,1207,1504,1479,496,94,8629,962,1495,1894,1506,1905,1831,611,119,10334,980,2263,2947,2557,3311,2842,818,97,15820,701,2784,4144,3383,4058,3159,701,69,19005,438,2049,3814,3364,3858,2974,535,35,17069,144,951,2357,2364,2661,2044,337,30,10879,41,322,1092,1072,1164,901,156,19,4774,21,163,627,690,697,498,83,4,2786,9,83,375,396,398,259,35,7,1566,7,62,424,455,454,253,54,5,1717,16,33,175,170,194,133,37,6,767,276,229,323,327,416,397,121,18,2115,13453,13313,21079,18962,22353,18524,4457,583,112717,98,47,76,124,105,92,54,13,604,291,50,45,69,54,49,14,12,576,127,66,92,97,102,105,68,36,696,68,96,117,130,121,144,107,113,885,60,102,120,127,152,119,118,105,897,72,133,222,Rest of Qld
4RSAU,718,2195,2425,3220,2663,633,84,12171,78,22,25,28,34,33,10,3,235,1153,88,72,78,120,113,27,0,1653,359,227,200,224,357,314,95,13,1789,183,233,272,252,403,391,143,23,1892,155,282,305,308,460,486,166,27,2191,161,416,545,480,703,579,159,27,3067,139,604,838,695,808,597,129,19,3841,82,410,844,706,782,625,107,26,3582,26,191,526,497,568,440,76,10,2339,10,63,197,239,266,185,43,3,1002,0,19,106,141,153,108,15,3,556,0,10,51,57,86,36,9,0,251,0,3,59,69,57,52,13,4,261,3,5,18,25,38,34,11,3,146,56,48,50,58,88,96,24,12,421,2400,2619,4128,3852,4913,4101,1028,175,23227,20,0,15,9,9,19,9,4,96,35,3,10,4,9,8,7,3,87,16,5,15,23,23,22,14,9,126,9,11,23,16,20,38,30,19,166,10,14,25,30,31,36,26,30,185,12,26,32,Rest of SA
4GADE,2075,6166,6452,7934,6021,1187,91,30573,145,54,73,48,48,49,13,8,427,3518,613,242,187,211,180,45,13,5001,1363,1186,580,406,537,428,99,8,4624,499,1025,783,573,713,609,175,14,4389,310,949,1040,769,1000,826,285,33,5217,250,1058,1461,1263,1499,1222,315,24,7092,164,1011,2108,1739,1785,1314,292,19,8432,73,703,2009,1732,1728,1089,176,19,7527,26,274,1062,1183,1177,815,126,6,4666,4,84,422,449,467,300,51,4,1781,3,46,202,244,248,148,34,4,934,3,18,94,127,141,91,12,0,485,0,7,80,124,142,65,16,0,438,6,10,19,40,50,41,18,3,186,94,96,117,133,155,135,27,8,762,6455,7119,10294,9020,9918,7314,1677,166,51970,36,29,63,50,43,32,15,8,272,122,47,43,32,29,22,4,6,301,55,79,48,54,51,36,24,17,361,15,56,76,51,65,52,48,28,390,22,66,100,63,62,59,47,41,470,21,94,139,Greater Adelaide
5GPER,3956,11210,10326,11550,8739,2078,150,49257,226,99,110,95,97,72,20,5,711,4643,689,370,284,251,227,77,14,6558,1742,1393,873,694,649,548,186,26,6114,727,1396,1393,863,881,730,284,47,6321,447,1218,1630,1114,1053,894,318,83,6760,399,1316,1912,1567,1565,1353,452,98,8658,262,1270,2230,1805,1905,1498,395,54,9417,163,1076,2323,1787,1949,1416,323,22,9068,76,604,1871,1438,1629,1217,236,22,7099,20,209,838,831,843,554,133,13,3437,11,110,569,528,551,377,59,3,2216,3,70,369,357,333,183,40,4,1351,0,58,427,435,388,216,37,4,1576,0,19,118,166,147,98,28,4,585,164,130,205,162,200,139,70,10,1086,8881,9652,15253,12128,12441,9521,2661,407,70952,57,29,90,97,79,42,21,0,417,207,69,64,35,43,37,18,13,478,85,93,102,57,60,51,32,5,492,44,87,106,82,90,62,49,32,544,32,80,129,93,85,79,39,33,576,33,124,173,Greater Perth
5RWAU,1430,7034,7850,9093,6357,1197,96,33319,88,13,53,50,42,43,21,3,318,1032,72,132,130,150,115,38,11,1684,363,165,292,318,330,303,90,10,1873,221,230,350,331,384,369,147,31,2066,173,225,358,337,480,395,149,46,2164,219,402,612,527,677,539,201,30,3211,197,566,826,593,702,599,163,18,3675,133,515,961,662,803,614,132,19,3846,68,338,862,728,745,536,89,16,3390,20,196,540,436,435,312,62,5,2019,15,124,400,320,328,221,41,0,1439,6,85,352,296,257,163,15,3,1178,9,131,846,692,550,279,37,4,2555,5,78,599,524,384,189,28,7,1813,56,59,127,97,118,100,20,8,586,2613,3193,7326,6044,6388,4789,1255,209,31816,27,7,29,34,29,22,18,0,172,60,13,8,18,20,7,7,0,138,22,22,26,32,23,20,17,3,159,14,17,27,23,32,25,23,20,188,13,13,27,26,29,33,21,20,182,14,36,50,Rest of WA
