gcc_code16,pro_400_499_h_0,pro_400_499_h_1_15,pro_400_499_h_16_24,pro_400_499_h_25_34,pro_400_499_h_35_39,pro_400_499_h_40,pro_400_499_h_41_48,pro_400_499_h_49mo,pro_400_499_h_ns,pro_400_499_h_tot,pro_500_649_h_0,pro_500_649_h_1_15,pro_500_649_h_16_24,pro_500_649_h_25_34,pro_500_649_h_35_39,pro_500_649_h_40,pro_500_649_h_41_48,pro_500_649_h_49mo,pro_500_649_h_ns,pro_500_649_h_tot,pro_650_799_h_0,pro_650_799_h_1_15,pro_650_799_h_16_24,pro_650_799_h_25_34,pro_650_799_h_35_39,pro_650_799_h_40,pro_650_799_h_41_48,pro_650_799_h_49mo,pro_650_799_h_ns,pro_650_799_h_tot,pro_800_999_h_0,pro_800_999_h_1_15,pro_800_999_h_16_24,pro_800_999_h_25_34,pro_800_999_h_35_39,pro_800_999_h_40,pro_800_999_h_41_48,pro_800_999_h_49mo,pro_800_999_h_ns,pro_800_999_h_tot,pro_1000_1249_h_0,pro_1000_1249_h_1_15,pro_1000_1249_h_16_24,pro_1000_1249_h_25_34,pro_1000_1249_h_35_39,pro_1000_1249_h_40,pro_1000_1249_h_41_48,pro_1000_1249_h_49mo,pro_1000_1249_h_ns,pro_1000_1249_h_tot,pro_1250_1499_h_0,pro_1250_1499_h_1_15,pro_1250_1499_h_16_24,pro_1250_1499_h_25_34,pro_1250_1499_h_35_39,pro_1250_1499_h_40,pro_1250_1499_h_41_48,pro_1250_1499_h_49mo,pro_1250_1499_h_ns,pro_1250_1499_h_tot,pro_1500_1749_h_0,pro_1500_1749_h_1_15,pro_1500_1749_h_16_24,pro_1500_1749_h_25_34,pro_1500_1749_h_35_39,pro_1500_1749_h_40,pro_1500_1749_h_41_48,pro_1500_1749_h_49mo,pro_1500_1749_h_ns,pro_1500_1749_h_tot,pro_1750_1999_h_0,pro_1750_1999_h_1_15,pro_1750_1999_h_16_24,pro_1750_1999_h_25_34,pro_1750_1999_h_35_39,pro_1750_1999_h_40,pro_1750_1999_h_41_48,pro_1750_1999_h_49mo,pro_1750_1999_h_ns,pro_1750_1999_h_tot,pro_2000_2999_h_0,pro_2000_2999_h_1_15,pro_2000_2999_h_16_24,pro_2000_2999_h_25_34,pro_2000_2999_h_35_39,pro_2000_2999_h_40,pro_2000_2999_h_41_48,pro_2000_2999_h_49mo,pro_2000_2999_h_ns,pro_2000_2999_h_tot,pro_3000mo_h_0,pro_3000mo_h_1_15,pro_3000mo_h_16_24,pro_3000mo_h_25_34,pro_3000mo_h_35_39,pro_3000mo_h_40,pro_3000mo_h_41_48,pro_3000mo_h_49mo,pro_3000mo_h_ns,pro_3000mo_h_tot,pro_pins_h_0,pro_pins_h_1_15,pro_pins_h_16_24,pro_pins_h_25_34,pro_pins_h_35_39,pro_pins_h_40,pro_pins_h_41_48,pro_pins_h_49mo,pro_pins_h_ns,pro_pins_h_tot,pro_tot_h_0,pro_tot_h_1_15,pro_tot_h_16_24,pro_tot_h_25_34,pro_tot_h_35_39,pro_tot_h_40,pro_tot_h_41_48,pro_tot_h_49mo,pro_tot_h_ns,pro_tot_h_tot,tatw_nni_h_0,tatw_nni_h_1_15,tatw_nni_h_16_24,tatw_nni_h_25_34,tatw_nni_h_35_39,tatw_nni_h_40,tatw_nni_h_41_48,tatw_nni_h_49mo,tatw_nni_h_ns,tatw_nni_h_tot,tatw_1_149_h_0,tatw_1_149_h_1_15,tatw_1_149_h_16_24,tatw_1_149_h_25_34,tatw_1_149_h_35_39,tatw_1_149_h_40,tatw_1_149_h_41_48,tatw_1_149_h_49mo,tatw_1_149_h_ns,tatw_1_149_h_tot,tatw_150_299_h_0,tatw_150_299_h_1_15,tatw_150_299_h_16_24,tatw_150_299_h_25_34,tatw_150_299_h_35_39,tatw_150_299_h_40,tatw_150_299_h_41_48,tatw_150_299_h_49mo,tatw_150_299_h_ns,tatw_150_299_h_tot,tatw_300_399_h_0,tatw_300_399_h_1_15,tatw_300_399_h_16_24,tatw_300_399_h_25_34,tatw_300_399_h_35_39,tatw_300_399_h_40,tatw_300_399_h_41_48,tatw_300_399_h_49mo,tatw_300_399_h_ns,tatw_300_399_h_tot,tatw_400_499_h_0,tatw_400_499_h_1_15,tatw_400_499_h_16_24,tatw_400_499_h_25_34,tatw_400_499_h_35_39,tatw_400_499_h_40,tatw_400_499_h_41_48,tatw_400_499_h_49mo,tatw_400_499_h_ns,tatw_400_499_h_tot,tatw_500_649_h_0,tatw_500_649_h_1_15,tatw_500_649_h_16_24,tatw_500_649_h_25_34,tatw_500_649_h_35_39,tatw_500_649_h_40,tatw_500_649_h_41_48,tatw_500_649_h_49mo,tatw_500_649_h_ns,tatw_500_649_h_tot,tatw_650_799_h_0,tatw_650_799_h_1_15,tatw_650_799_h_16_24,tatw_650_799_h_25_34,tatw_650_799_h_35_39,tatw_650_799_h_40,tatw_650_799_h_41_48,tatw_650_799_h_49mo,tatw_650_799_h_ns,tatw_650_799_h_tot,tatw_800_999_h_0,tatw_800_999_h_1_15,tatw_800_999_h_16_24,tatw_800_999_h_25_34,tatw_800_999_h_35_39,tatw_800_999_h_40,tatw_800_999_h_41_48,tatw_800_999_h_49mo,tatw_800_999_h_ns,tatw_800_999_h_tot,gcc_name16
1RNSW,261,1783,1337,708,258,313,87,265,88,5095,516,2108,2808,1807,704,630,187,514,102,9378,630,1554,3446,2775,1706,1152,446,738,122,12570,730,1253,3513,3503,3350,2540,903,1193,165,17150,1001,1045,3158,4301,5933,5164,1920,2371,193,25089,1016,645,1756,3337,5661,5529,2331,3040,127,23454,1069,498,1107,2607,5696,6569,2845,3868,166,24419,890,349,562,1380,4763,5848,3148,4519,119,21588,807,347,632,1184,3906,5693,3653,6157,111,22500,299,265,420,734,968,2209,1502,4214,65,10672,89,171,218,195,270,328,134,245,190,1849,7913,14939,20524,23335,33578,36434,17299,27604,1642,183276,47,126,69,47,93,98,38,184,28,726,99,851,160,91,60,81,26,100,36,1504,132,1438,604,299,259,236,94,248,102,3405,190,1214,1085,634,859,739,224,418,113,5474,251,969,1458,1062,1878,1604,537,618,162,8548,364,937,1720,2305,3103,2710,974,1272,243,13624,420,577,1147,2335,5536,4141,1595,1727,273,17764,537,429,704,1629,6675,6359,2756,2810,303,22202,Rest of NSW
1GSYD,367,3623,3280,1238,595,763,210,490,151,10724,792,4553,5826,2864,1542,1764,460,940,270,19006,941,3496,6852,4542,4172,3964,1114,1487,328,26894,1306,2912,7388,6066,9236,9366,2913,3194,452,42838,2202,2732,7029,7932,17764,19630,6613,6897,632,71425,2358,1865,4210,6771,17800,21590,8010,9121,562,72285,2657,1569,3099,5913,18302,24895,9096,11625,509,77661,2162,1080,1773,3678,14662,21599,8889,12284,406,66538,3032,1573,2445,4919,18899,34938,15518,24119,514,105958,1648,1372,1897,3418,5269,17345,9539,29454,368,70314,193,396,444,462,867,1379,473,990,760,5973,18988,39856,48434,49416,110012,158643,63147,101785,5446,595723,104,220,142,98,125,196,61,215,99,1254,128,1401,257,110,85,120,41,104,67,2308,185,2415,1176,421,290,322,101,196,158,5269,218,1938,2781,974,1000,947,240,392,263,8751,247,1490,3506,1887,2019,2238,734,711,367,13201,392,1484,3208,3457,3909,4251,1422,1539,486,20141,463,999,2174,3250,7330,6376,2184,2343,536,25657,626,866,1609,2603,10671,10339,3957,4137,558,35366,Greater Sydney
2RVIC,168,1030,851,363,118,159,59,132,41,2919,342,1214,1935,905,325,271,113,241,49,5401,415,937,2342,1612,876,619,240,357,55,7443,540,686,2349,2784,2049,1554,586,688,82,11316,737,471,1836,3463,3734,3202,1497,1534,125,16593,705,308,947,2415,3540,3379,1854,1854,95,15109,629,243,454,1433,2921,3565,1891,2345,80,13556,375,127,205,524,1713,2431,1644,2282,68,9372,277,145,294,524,1185,1983,1475,2235,54,8162,157,142,182,362,534,923,654,1683,30,4660,60,95,141,138,168,174,75,130,105,1091,4831,8281,12520,14975,17354,18510,10174,13770,859,101273,25,90,42,32,41,60,26,129,25,471,58,688,117,56,49,55,12,62,35,1142,116,933,355,195,128,174,63,157,53,2171,113,813,661,364,486,433,145,248,86,3352,165,634,885,593,992,1035,266,392,103,5066,216,527,932,1363,1729,1658,553,762,142,7885,302,355,535,1249,3181,2612,992,967,161,10358,354,219,377,923,3814,3992,1596,1510,165,12951,Rest of Vic.
2GMEL,454,4063,3216,1326,504,665,194,493,135,11050,914,4992,6015,3109,1312,1417,422,901,244,19323,1159,3585,7396,5183,3489,3246,991,1306,270,26627,1519,2858,7971,8453,8758,8408,2875,2902,404,44148,2238,2481,6639,10858,17759,17995,6803,6841,505,72122,2528,1553,3518,8264,17923,19461,8226,8823,492,70799,2428,1219,2416,6039,16898,21632,9252,10535,445,70864,1673,867,1378,2903,10833,16285,8298,10645,306,53187,2098,1156,1867,3843,12148,24179,12224,17149,382,75047,1214,1030,1287,2884,3853,11554,6675,18615,244,47355,179,388,491,603,810,1249,441,837,703,5701,17867,38662,46297,55162,95170,127296,56714,80199,4547,521915,79,228,130,124,143,221,61,242,92,1321,141,1617,293,161,108,138,38,130,64,2686,209,2672,1167,444,310,375,99,220,124,5609,249,2051,2712,911,878,937,265,416,205,8624,276,1565,3185,1742,1988,2173,614,712,272,12527,442,1400,2883,3522,4243,4000,1257,1375,404,19537,501,946,1855,3519,8503,6515,2230,2150,517,26744,699,778,1256,2815,12151,10918,4188,3790,607,37207,Greater Melbourne
3GBRI,193,1695,1174,552,186,296,70,208,58,4429,401,2150,2300,1410,542,607,203,449,85,8149,510,1692,2876,2144,1655,1316,509,694,126,11525,701,1486,3371,3093,3893,3237,1284,1398,151,18608,1168,1184,3208,4902,7569,6930,2823,3199,215,31196,1302,713,1972,4522,8365,8027,3543,4138,169,32749,1554,641,1372,4368,9334,10269,4658,6218,196,38601,1013,361,627,2174,6232,7643,3633,4887,147,26721,1214,496,836,2023,6853,11607,5778,8639,170,37617,538,392,591,1219,1884,5513,3194,8992,108,22436,55,150,169,197,337,412,203,351,252,2118,9278,17061,20048,27420,47184,56392,26033,39690,1809,244906,41,115,69,50,61,84,39,134,31,623,70,967,151,58,42,56,25,60,29,1463,86,1083,479,202,131,146,63,144,59,2396,106,923,891,399,472,391,135,231,88,3634,139,713,1242,761,957,893,332,382,112,5525,225,666,1317,1732,1962,1655,703,812,151,9223,316,404,807,1780,4346,2826,1177,1209,178,13039,368,379,635,1389,6275,4925,2370,2152,234,18735,Greater Brisbane
3RQLD,173,1378,989,573,234,271,88,243,45,3990,368,1749,1970,1432,633,557,183,460,99,7443,525,1400,2342,2156,1626,1164,424,734,96,10460,593,1030,2493,3019,3399,2550,1003,1365,119,15572,961,954,2299,4095,5599,4751,2173,3021,166,24030,1029,524,1391,3724,5525,5052,2488,3723,146,23616,1211,466,817,3517,5627,6505,3380,5310,164,26984,630,225,387,1540,3129,4420,2372,3872,98,16671,695,285,479,1143,3072,5069,2916,5636,93,19383,370,239,353,694,947,2535,1448,4331,69,10998,63,121,130,187,255,308,100,282,198,1649,7103,12616,14922,22883,30372,33640,16734,29497,1432,169190,58,140,61,73,75,105,46,236,37,836,89,1132,193,90,52,79,34,121,41,1825,122,1274,584,301,203,222,66,249,74,3094,141,1171,985,575,617,516,170,395,111,4689,176,870,1348,983,1367,1061,404,569,131,6905,301,866,1355,2213,2547,2046,868,1210,201,11602,386,533,920,2364,5173,3288,1543,1763,237,16213,526,423,582,1697,6960,5443,2910,2866,270,21673,Rest of Qld
4RSAU,36,149,148,73,21,39,13,33,12,530,53,180,280,168,64,58,21,47,17,890,83,164,382,296,162,113,50,65,19,1332,124,128,395,470,343,253,115,128,28,1982,118,101,366,558,717,466,256,307,24,2916,125,54,140,441,707,592,379,467,24,2929,134,57,104,287,612,651,415,598,19,2878,107,31,38,100,325,451,440,670,8,2173,71,31,64,92,238,333,311,616,10,1765,37,26,29,55,86,165,109,369,13,889,10,14,16,36,36,30,10,35,16,210,966,1409,2124,2661,3342,3221,2135,3398,207,19467,13,14,11,8,10,10,13,45,5,128,16,169,34,19,7,14,0,20,10,292,36,225,84,59,44,41,15,54,16,558,25,199,159,85,122,100,21,59,19,797,39,178,203,183,239,209,68,94,26,1241,52,137,254,373,443,330,118,178,26,1913,79,79,169,367,778,477,207,214,29,2401,79,74,85,263,929,810,415,365,42,3044,Rest of SA
4GADE,109,1028,788,306,147,158,45,100,25,2712,264,1361,1488,819,350,322,97,199,36,4926,333,1098,2018,1340,884,629,250,321,65,6932,500,800,2323,2340,2476,1481,644,662,92,11329,712,644,2080,3419,4941,3175,1442,1355,106,17870,783,424,1042,2861,5332,3521,1825,1829,89,17709,916,380,681,2096,5977,4672,2396,2616,104,19846,599,195,373,906,3613,3857,2381,3016,62,15006,505,288,404,928,3121,4149,2703,3520,69,15691,251,219,338,664,915,1869,1197,3387,47,8892,56,91,97,128,208,188,77,135,119,1087,5373,9788,12436,16289,28179,24300,13153,17401,909,127823,22,72,28,31,27,42,23,65,20,328,51,428,67,39,32,36,14,40,18,725,56,762,296,145,101,84,39,86,29,1586,86,695,555,294,283,214,75,119,41,2379,98,538,803,547,686,506,176,217,57,3633,165,476,894,1255,1329,922,366,412,97,5918,185,287,596,1412,2959,1567,701,568,107,8387,275,239,385,994,4259,2702,1429,1052,141,11474,Greater Adelaide
5GPER,183,1646,961,429,132,208,60,128,32,3788,324,2007,1999,935,359,388,131,253,57,6459,379,1671,2489,1483,987,782,255,364,75,8497,529,1282,2967,2317,2273,1944,666,737,107,12823,755,1055,3059,3589,5047,4661,1695,1729,143,21730,875,676,1841,3143,6245,6011,2462,2502,146,23908,1081,636,1308,2955,6848,7474,3094,3413,185,26989,951,395,763,1704,5696,6884,3171,3920,124,23615,1236,609,935,1951,6733,11103,5704,7384,189,35835,647,489,695,1341,2013,6284,3564,7421,91,22550,54,127,157,141,277,368,154,225,221,1721,7591,15961,18381,20538,36876,46518,21081,28442,1507,196907,51,116,47,52,56,94,40,107,28,601,64,757,132,58,43,48,15,45,25,1196,115,1186,415,159,112,137,33,77,49,2280,115,905,865,335,419,363,91,146,69,3297,127,707,1256,601,822,822,248,232,91,4915,197,673,1410,1384,1511,1475,436,522,129,7727,240,471,921,1578,2792,2126,769,742,168,9808,334,468,651,1451,4853,3961,1514,1401,225,14856,Greater Perth
5RWAU,65,289,194,92,31,56,10,45,8,785,86,315,364,191,91,104,28,80,19,1273,79,266,463,315,191,138,76,117,13,1655,118,215,498,424,355,313,152,216,18,2304,168,163,467,636,808,668,297,432,30,3675,199,118,270,523,895,894,437,669,26,4025,254,103,205,522,967,1086,614,928,52,4723,237,82,91,283,802,1013,681,1123,26,4332,400,125,168,265,861,1385,1232,2629,59,7123,309,77,103,172,259,627,608,2151,22,4326,21,34,37,32,35,50,32,83,39,361,2065,2578,3099,3592,5361,6420,4194,8577,329,36219,15,29,10,24,15,25,6,59,7,187,22,183,45,13,13,9,10,41,9,340,36,263,112,59,48,42,15,59,18,656,33,225,151,116,146,114,55,101,26,966,62,189,266,176,241,255,98,129,20,1440,81,187,297,411,419,425,175,261,43,2299,78,150,230,415,677,595,271,341,52,2809,115,112,167,340,942,995,455,617,64,3805,Rest of WA
