gcc_code16,copsw_2000_2999_h_0,copsw_2000_2999_h_1_15,copsw_2000_2999_h_16_24,copsw_2000_2999_h_25_34,copsw_2000_2999_h_35_39,copsw_2000_2999_h_40,copsw_2000_2999_h_41_48,copsw_2000_2999_h_49mo,copsw_2000_2999_h_ns,copsw_2000_2999_h_tot,copsw_3000mo_h_0,copsw_3000mo_h_1_15,copsw_3000mo_h_16_24,copsw_3000mo_h_25_34,copsw_3000mo_h_35_39,copsw_3000mo_h_40,copsw_3000mo_h_41_48,copsw_3000mo_h_49mo,copsw_3000mo_h_ns,copsw_3000mo_h_tot,copsw_pins_h_0,copsw_pins_h_1_15,copsw_pins_h_16_24,copsw_pins_h_25_34,copsw_pins_h_35_39,copsw_pins_h_40,copsw_pins_h_41_48,copsw_pins_h_49mo,copsw_pins_h_ns,copsw_pins_h_tot,copsw_tot_h_0,copsw_tot_h_1_15,copsw_tot_h_16_24,copsw_tot_h_25_34,copsw_tot_h_35_39,copsw_tot_h_40,copsw_tot_h_41_48,copsw_tot_h_49mo,copsw_tot_h_ns,copsw_tot_h_tot,claw_nni_h_0,claw_nni_h_1_15,claw_nni_h_16_24,claw_nni_h_25_34,claw_nni_h_35_39,claw_nni_h_40,claw_nni_h_41_48,claw_nni_h_49mo,claw_nni_h_ns,claw_nni_h_tot,claw_1_149_h_0,claw_1_149_h_1_15,claw_1_149_h_16_24,claw_1_149_h_25_34,claw_1_149_h_35_39,claw_1_149_h_40,claw_1_149_h_41_48,claw_1_149_h_49mo,claw_1_149_h_ns,claw_1_149_h_tot,claw_150_299_h_0,claw_150_299_h_1_15,claw_150_299_h_16_24,claw_150_299_h_25_34,claw_150_299_h_35_39,claw_150_299_h_40,claw_150_299_h_41_48,claw_150_299_h_49mo,claw_150_299_h_ns,claw_150_299_h_tot,claw_300_399_h_0,claw_300_399_h_1_15,claw_300_399_h_16_24,claw_300_399_h_25_34,claw_300_399_h_35_39,claw_300_399_h_40,claw_300_399_h_41_48,claw_300_399_h_49mo,claw_300_399_h_ns,claw_300_399_h_tot,claw_400_499_h_0,claw_400_499_h_1_15,claw_400_499_h_16_24,claw_400_499_h_25_34,claw_400_499_h_35_39,claw_400_499_h_40,claw_400_499_h_41_48,claw_400_499_h_49mo,claw_400_499_h_ns,claw_400_499_h_tot,claw_500_649_h_0,claw_500_649_h_1_15,claw_500_649_h_16_24,claw_500_649_h_25_34,claw_500_649_h_35_39,claw_500_649_h_40,claw_500_649_h_41_48,claw_500_649_h_49mo,claw_500_649_h_ns,claw_500_649_h_tot,claw_650_799_h_0,claw_650_799_h_1_15,claw_650_799_h_16_24,claw_650_799_h_25_34,claw_650_799_h_35_39,claw_650_799_h_40,claw_650_799_h_41_48,claw_650_799_h_49mo,claw_650_799_h_ns,claw_650_799_h_tot,claw_800_999_h_0,claw_800_999_h_1_15,claw_800_999_h_16_24,claw_800_999_h_25_34,claw_800_999_h_35_39,claw_800_999_h_40,claw_800_999_h_41_48,claw_800_999_h_49mo,claw_800_999_h_ns,claw_800_999_h_tot,claw_1000_1249_h_0,claw_1000_1249_h_1_15,claw_1000_1249_h_16_24,claw_1000_1249_h_25_34,claw_1000_1249_h_35_39,claw_1000_1249_h_40,claw_1000_1249_h_41_48,claw_1000_1249_h_49mo,claw_1000_1249_h_ns,claw_1000_1249_h_tot,claw_1250_1499_h_0,claw_1250_1499_h_1_15,claw_1250_1499_h_16_24,claw_1250_1499_h_25_34,claw_1250_1499_h_35_39,claw_1250_1499_h_40,claw_1250_1499_h_41_48,claw_1250_1499_h_49mo,claw_1250_1499_h_ns,claw_1250_1499_h_tot,claw_1500_1749_h_0,claw_1500_1749_h_1_15,claw_1500_1749_h_16_24,claw_1500_1749_h_25_34,claw_1500_1749_h_35_39,claw_1500_1749_h_40,claw_1500_1749_h_41_48,claw_1500_1749_h_49mo,claw_1500_1749_h_ns,claw_1500_1749_h_tot,claw_1750_1999_h_0,claw_1750_1999_h_1_15,claw_1750_1999_h_16_24,claw_1750_1999_h_25_34,claw_1750_1999_h_35_39,claw_1750_1999_h_40,claw_1750_1999_h_41_48,claw_1750_1999_h_49mo,claw_1750_1999_h_ns,claw_1750_1999_h_tot,claw_2000_2999_h_0,claw_2000_2999_h_1_15,claw_2000_2999_h_16_24,claw_2000_2999_h_25_34,claw_2000_2999_h_35_39,claw_2000_2999_h_40,claw_2000_2999_h_41_48,claw_2000_2999_h_49mo,claw_2000_2999_h_ns,claw_2000_2999_h_tot,claw_3000mo_h_0,claw_3000mo_h_1_15,claw_3000mo_h_16_24,claw_3000mo_h_25_34,claw_3000mo_h_35_39,claw_3000mo_h_40,claw_3000mo_h_41_48,claw_3000mo_h_49mo,claw_3000mo_h_ns,claw_3000mo_h_tot,claw_pins_h_0,claw_pins_h_1_15,claw_pins_h_16_24,claw_pins_h_25_34,claw_pins_h_35_39,claw_pins_h_40,claw_pins_h_41_48,claw_pins_h_49mo,claw_pins_h_ns,claw_pins_h_tot,claw_tot_h_0,claw_tot_h_1_15,claw_tot_h_16_24,claw_tot_h_25_34,claw_tot_h_35_39,claw_tot_h_40,claw_tot_h_41_48,claw_tot_h_49mo,claw_tot_h_ns,claw_tot_h_tot,gcc_name16
1RNSW,215,45,77,98,1121,590,530,689,25,3382,29,67,50,49,97,67,47,135,21,554,59,293,249,312,234,159,61,98,241,1714,5390,22406,20155,25180,21191,11923,6511,7908,2165,122830,81,355,133,83,55,51,21,57,39,875,134,1481,179,74,39,50,9,37,38,2053,206,2624,673,259,122,124,36,86,64,4190,246,2577,1698,568,256,193,63,110,80,5800,323,2161,3116,1217,518,340,102,147,85,8000,574,2051,4568,4021,1806,848,260,340,135,14604,695,1253,2986,5276,5335,2224,693,524,149,19134,731,794,1835,4410,8019,4056,1501,1000,144,22494,787,654,1006,2500,8263,4550,1849,1380,122,21113,486,345,423,981,4712,2504,1251,1095,64,11848,227,280,311,521,2168,1566,808,877,59,6805,112,102,135,224,894,743,440,524,13,3185,113,152,168,237,741,789,576,814,23,3606,54,157,110,117,172,244,166,375,12,1414,71,222,214,221,341,246,72,114,131,1632,4848,15207,17548,20712,33436,18533,7846,7481,1147,126761,Rest of NSW
1GSYD,279,107,158,287,1880,1289,1002,1391,50,6443,62,107,110,124,205,276,142,440,27,1498,87,437,415,347,405,347,141,163,494,2843,7435,39299,38111,33841,36423,26368,13433,14316,3821,213041,185,590,276,116,150,165,42,102,69,1684,281,3624,455,146,107,96,21,40,99,4866,369,6024,1832,413,184,136,38,78,150,9224,379,5231,4091,952,404,326,67,114,170,11737,455,3862,6224,1974,871,591,113,169,167,14412,784,3658,9046,5960,3065,2035,361,434,273,25615,979,2484,6601,8044,10079,5884,1285,934,397,36689,1347,1823,4357,7654,19229,12833,3226,2024,483,52978,1832,1536,2809,5479,23466,17158,5269,3641,490,61691,1254,876,1454,2715,14129,10975,4295,3503,277,39467,894,628,909,1659,8334,7576,3138,3351,183,26680,448,331,456,697,3612,3969,1936,2247,82,13787,541,400,530,879,3507,5099,2772,3983,110,17816,259,397,373,425,851,2461,1474,3893,74,10196,106,394,457,431,837,767,225,320,413,3946,10102,31855,39870,37545,88825,70067,24264,24834,3434,330792,Greater Sydney
2RVIC,131,32,20,37,122,461,300,384,13,1494,18,32,34,43,29,41,31,92,12,321,44,208,146,185,137,86,41,49,133,1045,3844,13368,11485,13585,9799,7241,3625,4101,1170,68231,40,203,66,60,26,35,3,28,14,474,82,881,108,51,16,30,9,25,25,1225,122,1493,382,177,57,57,18,42,40,2394,166,1531,1069,331,155,82,33,69,42,3483,220,1200,1826,698,291,199,56,98,58,4635,386,1128,2527,2127,861,472,139,190,91,7922,419,717,1659,2680,2519,1301,381,274,77,10026,432,482,959,2167,3874,2283,805,500,74,11568,423,360,485,1219,3605,2388,949,680,73,10179,255,204,252,428,1821,1246,665,514,38,5430,126,140,152,270,907,798,415,408,17,3235,52,80,71,91,290,323,216,273,12,1399,72,74,74,106,260,315,271,397,12,1592,24,92,54,67,70,94,55,150,4,613,42,120,109,143,179,133,39,46,67,874,2853,8698,9806,10614,14932,9761,4060,3698,641,65060,Rest of Vic.
2GMEL,268,107,104,168,363,1319,845,1241,39,4459,47,95,75,114,125,220,113,399,24,1220,104,651,479,522,439,302,134,162,485,3277,7951,44231,36257,36768,32545,23836,11756,12927,3694,209956,178,695,225,168,158,164,38,95,65,1786,280,3541,441,148,106,65,27,41,98,4747,392,6109,1670,482,191,141,35,60,156,9227,418,5168,3665,921,353,269,71,111,148,11129,519,3840,6184,2031,721,445,143,156,186,14227,844,3571,8583,6311,2748,1548,371,401,271,24651,1050,2310,5961,8498,9553,5151,1245,898,352,35019,1359,1684,3746,7642,18225,11865,3304,1897,433,50159,1673,1321,2266,5178,20344,14775,5032,3217,354,54172,1060,773,1154,2531,11559,9439,3936,2929,200,33575,763,610,768,1389,6093,6175,2928,2637,141,21501,322,278,363,530,2313,3000,1622,1695,55,10172,393,355,437,586,2056,3606,2145,2904,73,12553,168,309,304,357,557,1535,899,2241,53,6426,104,418,479,497,884,786,242,283,369,4057,9532,30970,36234,37275,75865,58969,22033,19560,2953,293397,Greater Melbourne
3GBRI,134,30,52,80,403,739,435,767,13,2658,21,46,31,48,48,85,33,151,15,483,47,220,192,222,184,143,52,102,224,1392,4562,20877,18513,21908,19771,13013,6760,7724,1725,114864,67,349,119,86,77,66,11,65,31,881,146,1736,196,80,49,36,6,24,45,2322,179,2625,759,214,101,72,19,51,66,4083,190,2377,1682,472,226,134,21,77,66,5248,256,1808,2779,1055,430,248,60,93,64,6800,493,1755,3883,3385,1633,835,196,249,124,12547,580,1089,2775,4356,5602,2639,751,583,154,18533,814,760,1781,3769,11043,5743,2095,1199,212,27413,1113,636,1154,2763,13189,7450,3235,2123,191,31859,782,373,546,1338,7261,5023,2407,1929,130,19786,455,300,373,727,3798,3188,1553,1678,59,12140,228,124,159,280,1597,1525,817,987,27,5749,187,165,195,351,1414,1912,1128,1746,37,7128,65,158,125,162,257,637,425,1085,14,2927,52,143,167,200,454,324,114,139,163,1767,5608,14402,16705,19244,47124,29841,12842,12022,1378,159172,Greater Brisbane
3RQLD,124,37,50,84,329,659,383,701,14,2397,24,43,36,67,62,73,40,128,14,484,65,266,212,297,245,153,64,133,270,1695,4916,19716,18202,25810,20375,12373,6800,9089,1899,119190,81,426,172,116,79,94,29,124,32,1157,122,1558,195,108,47,54,16,54,49,2205,169,2550,692,283,122,81,28,102,62,4094,188,2444,1507,567,260,176,53,135,72,5406,277,1807,2774,1268,514,317,90,174,82,7303,448,1819,3759,3984,2046,901,290,408,144,13792,571,1136,2394,4726,5922,2577,863,744,162,19078,671,796,1436,3541,8880,4524,1940,1251,178,23219,727,586,875,2117,8501,5088,2385,1875,124,22284,512,393,438,940,4156,2908,1460,1434,86,12325,290,258,292,533,1952,1782,871,1221,54,7262,114,118,136,199,705,736,449,753,19,3220,118,148,152,202,566,767,545,1108,28,3634,52,170,118,163,162,251,148,547,14,1629,56,188,159,250,349,275,92,129,161,1663,4396,14388,15095,18990,34271,20536,9252,10071,1262,128268,Rest of Qld
4RSAU,37,10,12,12,39,205,124,130,0,562,8,6,3,11,10,10,4,14,4,68,9,54,32,39,32,7,4,19,37,248,848,3011,2869,3799,2405,1302,799,1133,254,16421,14,75,17,17,5,7,0,15,4,145,25,202,25,22,10,8,0,8,5,299,33,381,114,44,21,14,9,19,7,623,45,363,214,85,47,26,10,16,11,824,46,293,419,178,81,40,19,26,11,1105,76,276,568,566,226,98,38,50,17,1920,88,181,366,706,605,194,87,76,16,2330,109,159,187,512,944,406,192,119,15,2641,81,82,117,285,927,482,239,178,11,2402,57,71,54,105,388,252,150,125,10,1212,25,60,46,58,154,138,96,121,9,695,15,13,21,33,69,79,35,69,0,336,11,31,23,33,49,56,52,82,0,338,11,16,18,23,10,21,17,46,3,170,5,41,24,33,36,20,3,9,11,181,648,2250,2219,2685,3574,1838,945,945,128,15237,Rest of SA
4GADE,124,30,32,54,273,955,412,379,11,2277,13,26,18,38,23,62,43,96,9,337,35,155,105,142,113,53,31,37,127,800,3105,14095,11060,14343,11180,6743,3747,3792,997,69061,42,144,63,42,32,32,8,22,10,398,67,753,80,33,24,19,5,15,9,1010,101,1450,317,117,69,34,7,21,30,2141,145,1460,859,269,128,54,21,31,36,3004,165,1240,1651,641,263,117,33,49,39,4208,312,1159,2638,2162,912,328,102,111,74,7799,373,668,1778,3079,3066,978,356,241,72,10605,543,543,1035,2708,6612,2381,1007,524,95,15442,594,388,605,1715,7713,3279,1542,893,83,16826,319,198,274,743,3634,2007,1099,738,57,9068,190,156,187,417,1816,1186,751,560,23,5296,100,65,79,139,735,578,450,391,3,2550,96,95,81,148,498,660,495,615,15,2695,24,90,64,76,90,187,121,295,5,956,36,87,86,122,228,111,69,44,64,852,3118,8510,9789,12412,25827,11955,6065,4534,623,82840,Greater Adelaide
5GPER,178,51,61,94,257,1079,670,804,25,3219,19,57,41,58,42,84,62,175,5,546,33,191,162,166,152,100,42,60,189,1093,3887,19422,15875,16938,14848,11180,5304,6410,1492,95355,76,359,117,85,50,51,17,38,28,812,119,1378,148,41,20,25,7,13,34,1787,169,2445,572,167,83,46,11,29,37,3549,190,2166,1276,318,97,110,22,57,36,4263,188,1812,2300,715,241,153,40,51,64,5567,382,1700,3706,2337,977,558,130,140,93,10023,416,1058,2725,3252,2914,1573,404,289,97,12725,543,883,1798,3340,5999,3766,1042,592,132,18086,741,709,1180,2617,9350,5907,2010,1205,162,23880,525,453,537,1223,5833,4258,1744,1179,106,15853,380,338,397,725,2974,2766,1286,1142,63,10069,172,174,197,279,1239,1389,755,759,32,4995,171,250,236,316,1317,1804,1073,1331,33,6535,99,243,157,203,276,786,532,980,33,3300,55,152,157,154,330,231,101,82,130,1395,4222,14124,15493,15763,31705,23420,9172,7891,1064,122850,Greater Perth
5RWAU,106,14,18,21,87,297,322,422,19,1299,14,14,14,15,12,26,48,95,3,241,20,63,43,62,44,32,27,29,50,375,1220,3573,3218,4452,3420,2673,1520,2415,420,22905,23,112,34,19,17,16,4,23,10,263,34,294,37,29,13,10,6,12,6,437,37,522,132,57,21,17,12,12,8,835,44,494,281,108,50,32,7,21,17,1052,61,425,540,218,76,50,18,38,20,1446,107,396,711,620,306,167,59,83,20,2468,123,269,476,845,645,406,128,118,24,3046,112,188,313,676,1127,676,263,224,29,3613,162,178,205,442,1423,931,374,432,38,4193,115,102,111,205,760,584,274,397,27,2587,90,98,91,129,408,344,226,389,11,1795,70,39,34,54,178,182,148,337,8,1055,113,79,79,60,157,255,269,637,13,1661,45,71,40,54,45,75,90,421,11,852,11,45,27,44,57,62,26,41,22,334,1149,3315,3133,3567,5294,3813,1913,3192,261,25627,Rest of WA
