gcc_code16,sws_nni_h_0,sws_nni_h_1_15,sws_nni_h_16_24,sws_nni_h_25_34,sws_nni_h_35_39,sws_nni_h_40,sws_nni_h_41_48,sws_nni_h_49mo,sws_nni_h_ns,sws_nni_h_tot,sws_1_149_h_0,sws_1_149_h_1_15,sws_1_149_h_16_24,sws_1_149_h_25_34,sws_1_149_h_35_39,sws_1_149_h_40,sws_1_149_h_41_48,sws_1_149_h_49mo,sws_1_149_h_ns,sws_1_149_h_tot,sws_150_299_h_0,sws_150_299_h_1_15,sws_150_299_h_16_24,sws_150_299_h_25_34,sws_150_299_h_35_39,sws_150_299_h_40,sws_150_299_h_41_48,sws_150_299_h_49mo,sws_150_299_h_ns,sws_150_299_h_tot,sws_300_399_h_0,sws_300_399_h_1_15,sws_300_399_h_16_24,sws_300_399_h_25_34,sws_300_399_h_35_39,sws_300_399_h_40,sws_300_399_h_41_48,sws_300_399_h_49mo,sws_300_399_h_ns,sws_300_399_h_tot,sws_400_499_h_0,sws_400_499_h_1_15,sws_400_499_h_16_24,sws_400_499_h_25_34,sws_400_499_h_35_39,sws_400_499_h_40,sws_400_499_h_41_48,sws_400_499_h_49mo,sws_400_499_h_ns,sws_400_499_h_tot,sws_500_649_h_0,sws_500_649_h_1_15,sws_500_649_h_16_24,sws_500_649_h_25_34,sws_500_649_h_35_39,sws_500_649_h_40,sws_500_649_h_41_48,sws_500_649_h_49mo,sws_500_649_h_ns,sws_500_649_h_tot,sws_650_799_h_0,sws_650_799_h_1_15,sws_650_799_h_16_24,sws_650_799_h_25_34,sws_650_799_h_35_39,sws_650_799_h_40,sws_650_799_h_41_48,sws_650_799_h_49mo,sws_650_799_h_ns,sws_650_799_h_tot,sws_800_999_h_0,sws_800_999_h_1_15,sws_800_999_h_16_24,sws_800_999_h_25_34,sws_800_999_h_35_39,sws_800_999_h_40,sws_800_999_h_41_48,sws_800_999_h_49mo,sws_800_999_h_ns,sws_800_999_h_tot,sws_1000_1249_h_0,sws_1000_1249_h_1_15,sws_1000_1249_h_16_24,sws_1000_1249_h_25_34,sws_1000_1249_h_35_39,sws_1000_1249_h_40,sws_1000_1249_h_41_48,sws_1000_1249_h_49mo,sws_1000_1249_h_ns,sws_1000_1249_h_tot,sws_1250_1499_h_0,sws_1250_1499_h_1_15,sws_1250_1499_h_16_24,sws_1250_1499_h_25_34,sws_1250_1499_h_35_39,sws_1250_1499_h_40,sws_1250_1499_h_41_48,sws_1250_1499_h_49mo,sws_1250_1499_h_ns,sws_1250_1499_h_tot,sws_1500_1749_h_0,sws_1500_1749_h_1_15,sws_1500_1749_h_16_24,sws_1500_1749_h_25_34,sws_1500_1749_h_35_39,sws_1500_1749_h_40,sws_1500_1749_h_41_48,sws_1500_1749_h_49mo,sws_1500_1749_h_ns,sws_1500_1749_h_tot,sws_1750_1999_h_0,sws_1750_1999_h_1_15,sws_1750_1999_h_16_24,sws_1750_1999_h_25_34,sws_1750_1999_h_35_39,sws_1750_1999_h_40,sws_1750_1999_h_41_48,sws_1750_1999_h_49mo,sws_1750_1999_h_ns,sws_1750_1999_h_tot,sws_2000_2999_h_0,sws_2000_2999_h_1_15,sws_2000_2999_h_16_24,sws_2000_2999_h_25_34,sws_2000_2999_h_35_39,sws_2000_2999_h_40,sws_2000_2999_h_41_48,sws_2000_2999_h_49mo,sws_2000_2999_h_ns,sws_2000_2999_h_tot,sws_3000mo_h_0,sws_3000mo_h_1_15,sws_3000mo_h_16_24,sws_3000mo_h_25_34,sws_3000mo_h_35_39,sws_3000mo_h_40,sws_3000mo_h_41_48,sws_3000mo_h_49mo,sws_3000mo_h_ns,sws_3000mo_h_tot,sws_pins_h_0,sws_pins_h_1_15,sws_pins_h_16_24,sws_pins_h_25_34,sws_pins_h_35_39,sws_pins_h_40,sws_pins_h_41_48,sws_pins_h_49mo,sws_pins_h_ns,sws_pins_h_tot,sws_tot_h_0,sws_tot_h_1_15,sws_tot_h_16_24,sws_tot_h_25_34,sws_tot_h_35_39,sws_tot_h_40,sws_tot_h_41_48,sws_tot_h_49mo,sws_tot_h_ns,sws_tot_h_tot,maopd_nni_h_0,maopd_nni_h_1_15,maopd_nni_h_16_24,maopd_nni_h_25_34,maopd_nni_h_35_39,maopd_nni_h_40,maopd_nni_h_41_48,maopd_nni_h_49mo,maopd_nni_h_ns,maopd_nni_h_tot,maopd_1_149_h_0,maopd_1_149_h_1_15,maopd_1_149_h_16_24,maopd_1_149_h_25_34,maopd_1_149_h_35_39,maopd_1_149_h_40,maopd_1_149_h_41_48,maopd_1_149_h_49mo,maopd_1_149_h_ns,maopd_1_149_h_tot,maopd_150_299_h_0,maopd_150_299_h_1_15,maopd_150_299_h_16_24,maopd_150_299_h_25_34,maopd_150_299_h_35_39,maopd_150_299_h_40,maopd_150_299_h_41_48,maopd_150_299_h_49mo,maopd_150_299_h_ns,maopd_150_299_h_tot,maopd_300_399_h_0,maopd_300_399_h_1_15,maopd_300_399_h_16_24,maopd_300_399_h_25_34,maopd_300_399_h_35_39,maopd_300_399_h_40,maopd_300_399_h_41_48,maopd_300_399_h_49mo,maopd_300_399_h_ns,maopd_300_399_h_tot,gcc_name16
1RNSW,124,478,100,59,44,51,16,78,36,985,930,12726,810,162,44,38,26,55,274,15060,483,6081,2062,578,129,95,53,114,195,9805,358,3351,3105,1181,318,188,75,148,161,8882,364,2057,3942,2334,582,299,136,215,132,10061,489,1525,3131,5224,2190,704,311,424,184,14189,427,688,1255,3541,5091,1729,866,581,134,14319,294,356,497,1247,4000,2125,1344,895,76,10834,191,201,248,433,1595,1643,1060,1223,60,6646,88,73,100,150,616,845,572,903,21,3367,50,66,58,95,330,468,327,721,18,2141,21,24,33,39,130,255,187,441,0,1120,25,48,56,54,136,283,212,636,18,1464,24,61,51,64,62,147,87,427,10,940,71,534,229,211,194,126,59,94,191,1715,3950,28279,15665,15372,15450,8995,5329,6970,1513,101526,32,62,27,15,35,34,14,65,20,304,38,607,92,26,23,25,12,39,15,891,69,686,273,102,59,49,14,58,31,1345,95,659,502,222,115,110,25,130,37,1904,Rest of NSW
1GSYD,231,885,254,114,97,125,34,129,90,1972,1439,17750,1434,254,75,90,21,60,297,21435,726,12511,4575,968,188,124,55,111,338,19599,470,6200,6866,1829,423,335,100,181,284,16684,443,3377,7699,3275,866,571,160,266,271,16932,589,2356,5891,7042,3051,1504,481,570,349,21834,554,1102,2588,5271,7764,3420,1087,980,311,23082,450,694,1297,2504,7732,5231,1937,1645,220,21709,374,439,682,1154,4892,5302,2195,2374,174,17596,231,213,336,532,2394,3491,1563,2041,88,10887,180,162,194,375,1569,2712,1220,1859,70,8338,97,95,132,181,820,1660,793,1442,50,5276,201,167,155,246,992,2447,1390,2810,52,8467,101,199,148,222,411,1500,831,2782,47,6249,89,620,373,274,320,347,134,230,420,2795,6174,46773,32623,24265,31592,28848,11993,17492,3069,202837,44,121,57,34,65,62,15,52,50,502,62,952,183,49,39,35,4,27,30,1376,108,1430,701,238,122,79,34,63,92,2860,98,1053,1473,529,279,262,69,134,129,4029,Greater Sydney
2RVIC,73,330,37,36,20,33,18,50,27,626,540,8438,421,77,24,19,19,50,190,9776,326,3836,1131,295,66,53,40,76,126,5950,224,2127,1849,630,129,93,49,78,87,5262,229,1231,2256,1248,279,128,94,146,82,5701,281,847,1578,2761,1126,404,187,219,98,7486,215,434,650,1748,2541,966,472,360,74,7463,158,213,261,604,2023,1224,743,485,44,5756,111,101,128,228,796,925,600,612,23,3527,45,47,44,80,307,436,352,459,8,1784,34,36,16,36,185,301,193,330,14,1132,25,19,13,23,88,140,119,237,3,677,28,24,19,37,48,151,136,368,7,818,24,62,36,28,21,67,39,214,18,509,48,347,116,136,112,85,37,61,111,1050,2359,18086,8565,7968,7766,5017,3098,3749,901,57511,15,26,7,5,17,23,10,42,4,146,35,211,25,11,0,9,3,30,8,334,52,363,149,48,19,22,9,33,11,711,65,346,298,112,49,47,21,56,25,1026,Rest of Vic.
2GMEL,216,1025,221,126,115,118,33,137,88,2086,1309,23305,1383,251,65,82,28,74,413,26916,708,15180,4716,1019,199,168,68,170,372,22591,547,7492,6858,1839,422,307,111,222,294,18100,515,3829,7253,3606,742,466,165,274,242,17091,605,2549,5465,7328,2799,1307,436,616,294,21399,540,1139,2325,5167,7132,3025,1223,1031,271,21847,477,636,1070,2375,7437,4535,1996,1535,222,20275,390,381,526,1150,4710,4606,2163,2158,134,16224,230,210,234,476,2260,2968,1519,1888,72,9854,150,135,182,303,1287,2129,1181,1710,59,7125,101,77,93,173,654,1322,790,1278,29,4514,127,126,111,191,783,1826,1163,2430,51,6809,78,178,123,165,284,888,576,2159,44,4488,93,996,419,336,397,381,144,257,460,3470,6084,57245,30972,24500,29290,24127,11573,15942,3048,202783,38,103,60,37,60,70,13,50,29,467,75,901,160,58,40,36,7,32,35,1341,114,1316,704,246,100,81,20,54,94,2733,102,996,1376,478,224,186,49,129,125,3668,Greater Melbourne
3GBRI,107,348,78,66,33,59,20,83,32,833,548,10738,683,135,43,34,13,59,179,12430,311,6656,2280,587,88,98,28,80,137,10257,217,3276,3014,1057,225,126,58,116,130,8230,230,1823,3421,1996,414,193,78,149,100,8394,306,1230,2613,4227,1528,583,238,395,133,11255,306,526,1157,2999,4270,1526,721,647,130,12281,250,309,504,1227,3973,2227,1258,970,89,10798,200,177,259,562,2194,2170,1144,1445,75,8214,95,84,97,225,1013,1318,750,1234,31,4840,53,70,86,151,647,1034,499,1138,22,3696,40,36,46,75,266,544,320,708,10,2041,46,63,50,92,323,665,428,1145,15,2833,22,81,59,74,117,361,188,938,18,1861,28,335,147,172,152,105,58,101,166,1277,2753,25760,14479,13651,15288,11048,5793,9213,1257,99241,23,56,26,22,34,25,10,36,16,256,44,594,66,30,18,18,6,36,16,830,48,683,309,127,47,39,7,37,30,1339,65,489,598,241,107,90,35,91,43,1749,Greater Brisbane
3RQLD,89,450,73,68,39,72,26,111,31,958,673,11950,675,148,35,43,17,78,215,13835,346,5877,2153,665,143,90,38,161,172,9641,249,3072,3001,1290,303,163,69,183,130,8451,304,1909,3563,2500,550,255,119,251,141,9595,364,1349,2916,5473,2147,702,369,501,155,13972,383,664,1169,3902,5418,1856,955,793,121,15263,267,299,521,1432,4507,2254,1387,1109,98,11871,183,203,254,583,1921,1782,1231,1520,61,7743,86,81,95,212,686,931,607,1217,20,3932,45,61,89,123,370,617,357,952,15,2627,22,45,35,67,167,303,198,550,16,1401,22,53,50,91,160,360,222,833,16,1814,24,85,55,77,82,182,96,530,17,1144,47,450,209,214,195,150,77,123,191,1663,3100,26552,14866,16854,16712,9767,5767,8902,1392,103913,41,64,36,26,23,40,19,89,19,355,52,482,53,38,19,29,14,58,27,768,55,650,293,110,59,64,20,96,27,1376,73,548,480,240,111,81,46,155,47,1782,Rest of Qld
4RSAU,16,60,9,7,7,4,3,14,0,133,78,1581,61,27,10,3,5,13,31,1812,76,792,274,80,17,13,13,22,25,1307,57,458,397,156,31,22,12,26,20,1179,58,264,567,391,84,39,22,42,11,1471,83,233,424,819,290,85,38,67,20,2059,61,102,160,539,644,199,136,80,20,1951,53,57,50,193,504,288,232,121,8,1515,19,33,38,62,171,204,176,159,9,871,11,14,16,17,56,94,78,114,3,412,0,15,15,24,33,50,48,90,0,274,8,4,4,12,7,29,24,51,3,131,0,3,3,13,11,33,21,55,0,129,3,4,3,11,9,13,15,38,0,102,8,68,22,37,16,15,5,11,33,215,544,3684,2052,2389,1888,1084,827,905,180,13557,4,11,7,10,3,7,4,5,0,53,10,76,23,3,10,4,0,10,4,132,11,100,38,19,6,15,3,15,3,221,16,93,87,41,9,18,3,12,3,286,Rest of SA
4GADE,52,236,43,30,20,32,13,23,10,443,336,6534,346,79,8,17,12,30,108,7468,234,4606,1200,304,51,43,17,43,105,6596,191,2252,1687,617,110,62,26,59,67,5077,168,1229,2142,1319,196,111,58,88,58,5371,222,835,1542,2843,876,277,119,173,65,6961,184,384,639,1878,2264,677,395,287,84,6787,168,182,292,767,2427,1104,769,439,42,6193,134,114,148,277,1339,1045,708,683,36,4471,76,53,55,98,567,560,419,509,7,2342,32,49,36,83,297,395,281,399,7,1580,19,28,20,34,110,230,126,274,10,850,25,37,21,39,139,252,163,399,0,1073,12,32,40,34,39,115,65,240,3,582,15,206,99,107,77,55,35,63,90,739,1853,16775,8301,8501,8520,4966,3216,3711,693,56532,10,28,14,10,10,11,4,14,7,114,22,285,50,16,9,11,0,13,0,401,37,374,186,78,26,15,3,22,15,757,26,294,319,130,66,52,14,35,24,964,Greater Adelaide
5GPER,71,415,87,61,31,51,16,60,28,811,547,10278,597,103,26,27,16,22,128,11752,334,6541,1992,433,90,64,17,45,137,9651,246,2972,2963,854,154,91,27,53,100,7481,201,1592,3127,1621,317,157,70,109,91,7296,280,1053,2302,3368,1146,460,172,214,118,9113,214,474,876,2228,2898,1045,355,363,99,8539,192,299,424,989,2793,1572,694,554,53,7568,136,179,258,490,1744,1742,830,829,41,6245,97,102,134,194,905,1190,626,764,35,4054,63,77,80,130,469,840,471,794,13,2937,36,67,48,77,229,481,277,576,16,1808,63,78,80,83,264,623,351,984,9,2533,19,74,62,95,104,289,191,727,7,1566,46,323,148,136,110,92,35,79,142,1113,2557,24524,13183,10866,11271,8709,4151,6170,1028,82462,23,66,21,27,22,15,6,35,14,226,34,507,78,29,5,14,0,17,12,692,54,698,237,75,29,34,14,29,32,1211,53,449,443,149,60,59,24,70,33,1332,Greater Perth
5RWAU,16,112,22,9,5,16,12,19,6,216,150,2245,118,18,6,10,10,9,45,2618,50,845,284,107,21,20,14,16,29,1388,58,478,482,194,41,33,20,22,44,1380,57,272,603,428,111,57,29,58,24,1642,77,208,415,882,339,123,76,62,27,2208,91,111,185,573,852,301,139,113,30,2390,77,71,75,246,713,408,231,134,22,1978,47,44,46,100,305,369,253,218,16,1403,27,27,14,45,115,190,125,213,14,765,14,19,23,31,72,113,75,169,5,516,6,9,10,21,27,65,59,107,4,304,13,12,14,10,20,66,55,157,8,342,12,17,12,9,14,30,25,131,5,254,3,79,30,34,40,24,19,30,35,291,706,4535,2334,2719,2696,1819,1131,1461,313,17712,20,14,10,7,6,15,8,46,7,126,11,92,17,7,0,3,3,21,5,162,23,110,45,11,10,9,3,26,6,247,20,97,85,44,17,20,5,27,10,328,Rest of WA
