gcc_code16,fts_none_mng,fts_none_pro,fts_none_tectw,fts_none_copsw,fts_none_claw,fts_none_swks,fts_none_maopdv,fts_none_lab,fts_none_idns,fts_none_tot,fts_1_15_mng,fts_1_15_pro,fts_1_15_tectw,fts_1_15_copsw,fts_1_15_claw,fts_1_15_swks,fts_1_15_maopdv,fts_1_15_lab,fts_1_15_idns,fts_1_15_tot,fts_16_24_mng,fts_16_24_pro,fts_16_24_tectw,fts_16_24_copsw,fts_16_24_claw,fts_16_24_swks,fts_16_24_maopdv,fts_16_24_lab,fts_16_24_idns,fts_16_24_tot,fts_25_34_mng,fts_25_34_pro,fts_25_34_tectw,fts_25_34_copsw,fts_25_34_claw,fts_25_34_swks,fts_25_34_maopdv,fts_25_34_lab,fts_25_34_idns,fts_25_34_tot,fts_35_39_mng,fts_35_39_pro,fts_35_39_tectw,fts_35_39_copsw,fts_35_39_claw,fts_35_39_swks,fts_35_39_maopdv,fts_35_39_lab,fts_35_39_idns,fts_35_39_tot,fts_40_mng,fts_40_pro,fts_40_tectw,fts_40_copsw,fts_40_claw,fts_40_swks,fts_40_maopdv,fts_40_lab,fts_40_idns,fts_40_tot,fts_41_48_mng,fts_41_48_pro,fts_41_48_tectw,fts_41_48_copsw,fts_41_48_claw,fts_41_48_swks,fts_41_48_maopdv,fts_41_48_lab,fts_41_48_idns,fts_41_48_tot,fts_49mo_mng,fts_49mo_pro,fts_49mo_tectw,fts_49mo_copsw,fts_49mo_claw,fts_49mo_swks,fts_49mo_maopdv,fts_49mo_lab,fts_49mo_idns,fts_49mo_tot,fts_ns_mng,fts_ns_pro,fts_ns_tectw,fts_ns_copsw,fts_ns_claw,fts_ns_swks,fts_ns_maopdv,fts_ns_lab,fts_ns_idns,fts_ns_tot,fts_tot_mng,fts_tot_pro,fts_tot_tectw,fts_tot_copsw,fts_tot_claw,fts_tot_swks,fts_tot_maopdv,fts_tot_lab,fts_tot_inad_des_tot,fts_tot_tot,pts_none_mng,pts_none_pro,pts_none_tectw,pts_none_copsw,pts_none_claw,pts_none_swks,pts_none_maopdv,pts_none_lab,pts_none_idns,pts_none_tot,pts_1_15_mng,pts_1_15_pro,pts_1_15_tectw,pts_1_15_copsw,pts_1_15_claw,pts_1_15_swks,pts_1_15_maopdv,pts_1_15_lab,pts_1_15_idns,pts_1_15_tot,pts_16_24_mng,pts_16_24_pro,pts_16_24_tectw,pts_16_24_copsw,pts_16_24_claw,pts_16_24_swks,pts_16_24_maopdv,pts_16_24_lab,pts_16_24_idns,pts_16_24_tot,pts_25_34_mng,pts_25_34_pro,pts_25_34_tectw,pts_25_34_copsw,pts_25_34_claw,pts_25_34_swks,pts_25_34_maopdv,pts_25_34_lab,pts_25_34_idns,pts_25_34_tot,pts_35_39_mng,pts_35_39_pro,pts_35_39_tectw,pts_35_39_copsw,pts_35_39_claw,pts_35_39_swks,pts_35_39_maopdv,pts_35_39_lab,pts_35_39_idns,pts_35_39_tot,pts_40_mng,pts_40_pro,pts_40_tectw,pts_40_copsw,pts_40_claw,pts_40_swks,pts_40_maopdv,pts_40_lab,pts_40_idns,pts_40_tot,pts_41_48_mng,pts_41_48_pro,pts_41_48_tectw,pts_41_48_copsw,pts_41_48_claw,pts_41_48_swks,pts_41_48_maopdv,pts_41_48_lab,pts_41_48_idns,pts_41_48_tot,pts_49mo_mng,pts_49mo_pro,pts_49mo_tectw,pts_49mo_copsw,pts_49mo_claw,pts_49mo_swks,pts_49mo_maopdv,pts_49mo_lab,pts_49mo_idns,pts_49mo_tot,pts_ns_mng,pts_ns_pro,pts_ns_tectw,pts_ns_copsw,pts_ns_claw,pts_ns_swks,pts_ns_maopdv,pts_ns_lab,pts_ns_idns,pts_ns_tot,pts_tot_mng,pts_tot_pro,pts_tot_tectw,pts_tot_copsw,pts_tot_claw,pts_tot_swks,pts_tot_maopdv,pts_tot_lab,pts_tot_inad_des_tot,pts_tot_tot,gcc_name16
1RNSW,39,85,76,647,95,1201,48,630,42,2857,285,1060,632,6949,1141,15902,686,7773,228,34667,125,240,250,1801,348,2439,152,1088,33,6473,90,142,113,780,140,692,47,283,10,2293,42,130,316,229,129,130,15,66,16,1060,32,89,244,133,55,27,4,37,6,639,19,39,153,60,20,29,4,21,3,352,22,40,73,153,18,33,3,22,3,381,29,68,39,286,48,436,22,212,360,1499,682,1892,1894,11046,1989,20887,984,10139,698,50216,11,23,98,113,23,61,11,42,0,385,27,95,104,638,139,735,55,411,16,2219,34,118,153,605,143,544,47,296,9,1943,49,210,305,637,190,412,29,205,9,2039,125,435,2347,611,524,294,51,166,26,4575,117,287,2142,293,230,105,30,111,9,3330,66,102,952,141,108,66,26,58,4,1512,81,98,510,91,40,47,22,58,6,952,4,19,108,60,16,33,10,26,68,336,515,1373,6717,3178,1402,2293,277,1384,152,17286,Rest of NSW
1GSYD,72,298,143,1140,419,2119,110,863,88,5257,703,5976,1597,16176,5374,28283,1409,10972,634,71132,728,1930,1546,6829,3379,9431,1016,4650,340,29851,343,628,341,2151,1051,2268,198,702,71,7759,180,435,423,504,518,391,59,155,45,2714,144,366,434,308,333,183,38,95,30,1937,69,140,208,160,106,66,19,48,9,819,98,127,144,174,97,71,13,33,11,780,44,218,115,595,199,757,71,304,961,3264,2381,10124,4950,28039,11485,43579,2936,17825,2196,123515,20,55,129,121,79,97,12,52,18,590,66,363,282,1229,425,1481,137,627,45,4655,158,447,555,1501,683,1426,227,968,70,6031,176,469,846,982,545,823,99,333,45,4325,296,910,2694,866,986,468,97,187,60,6566,307,950,3445,660,811,304,78,152,67,6772,140,427,1376,231,232,115,31,62,15,2620,157,445,969,163,173,79,25,55,19,2093,11,53,252,118,64,95,10,64,222,885,1345,4114,10556,5869,3992,4887,710,2498,569,34533,Greater Sydney
2RVIC,21,31,33,392,64,706,43,368,29,1687,243,428,553,4332,683,10506,227,5502,153,22633,92,116,141,832,193,1298,86,646,25,3431,44,65,59,336,76,288,27,130,8,1028,25,44,219,112,73,52,3,41,12,573,14,39,163,66,28,19,7,26,7,367,13,19,91,51,13,25,5,15,4,243,15,18,34,52,9,24,15,17,0,190,17,24,43,196,18,324,14,168,232,1036,489,786,1341,6373,1155,13249,422,6900,468,31185,12,12,60,33,10,30,6,18,3,175,30,37,100,310,57,407,26,222,10,1195,21,34,120,228,57,264,10,145,5,879,24,81,147,252,70,152,8,102,10,845,57,132,1037,214,161,99,9,88,19,1823,68,84,1085,94,108,36,11,50,8,1544,28,55,377,46,23,21,5,44,0,608,52,38,203,46,12,8,4,29,3,397,9,3,62,34,6,20,0,15,37,180,304,487,3187,1247,502,1031,84,720,88,7651,Rest of Vic.
2GMEL,62,232,123,1013,317,1836,97,717,56,4464,932,4394,1595,18496,4985,35927,1303,13711,615,81954,669,1209,1423,5568,2482,8603,1034,4752,220,25958,308,358,287,1545,755,2069,129,643,58,6152,139,311,361,390,312,360,48,116,19,2069,88,299,357,193,191,106,23,73,25,1362,61,110,149,117,66,73,5,25,9,600,46,112,121,124,43,71,13,32,16,568,57,138,112,553,183,854,48,392,872,3216,2365,7166,4533,27999,9326,49899,2706,20459,1888,126345,15,33,125,73,45,106,8,50,13,464,72,245,221,1143,351,1639,123,661,43,4501,134,304,409,994,494,1211,196,713,47,4495,131,329,425,703,397,622,80,237,22,2943,194,489,2341,493,601,289,72,139,46,4658,166,576,2865,305,386,155,37,108,29,4630,100,243,961,121,150,84,18,39,4,1722,91,212,526,129,90,56,19,40,15,1175,17,20,152,78,38,111,10,43,188,661,918,2445,8034,4040,2549,4264,571,2019,416,25250,Greater Melbourne
3GBRI,42,116,86,512,194,774,48,390,24,2180,341,2270,1139,8684,2605,16302,846,7031,304,39510,299,719,653,2969,1542,4094,430,2019,81,12819,165,310,174,1154,586,1269,94,468,22,4242,94,168,238,283,253,216,27,86,16,1379,59,120,182,111,144,61,14,38,3,745,30,65,110,62,59,51,13,21,3,421,43,63,88,61,46,37,9,21,10,382,19,59,49,244,73,355,27,169,327,1328,1106,3884,2713,14085,5505,23157,1507,10249,796,63007,6,24,64,67,37,56,10,16,7,283,19,128,87,587,172,738,77,358,20,2195,54,146,155,544,275,564,74,324,13,2140,86,184,194,591,265,424,47,180,18,1994,112,349,853,476,578,208,46,76,23,2730,94,333,872,188,354,92,25,56,21,2038,63,174,451,80,122,53,21,32,9,1002,68,159,331,81,63,41,17,23,4,789,9,9,39,43,12,39,10,24,52,236,511,1514,3044,2656,1876,2212,321,1093,173,13406,Greater Brisbane
3RQLD,42,55,97,451,84,782,44,405,33,1987,246,878,979,6230,1311,15158,545,6805,210,32356,156,236,356,1655,465,2556,172,1136,50,6783,95,122,137,746,205,767,50,313,13,2445,38,106,300,222,168,139,14,83,11,1087,31,91,210,112,72,47,5,45,3,608,20,26,157,50,30,24,3,33,0,334,25,32,110,76,28,34,9,28,12,352,14,34,50,206,40,349,28,184,280,1186,661,1589,2389,9754,2397,19852,868,9025,610,47142,10,12,75,72,28,49,3,34,5,279,21,72,124,490,112,683,52,309,14,1878,36,89,152,498,167,505,43,268,0,1766,56,121,225,607,211,454,36,179,7,1889,105,309,1122,493,472,244,47,136,11,2948,90,229,940,187,232,70,34,53,14,1846,57,116,537,102,83,58,23,44,3,1024,53,105,407,95,57,26,27,55,3,830,8,17,49,44,16,52,3,22,65,271,436,1073,3631,2586,1379,2138,274,1089,129,12731,Rest of Qld
4RSAU,0,4,9,64,5,119,6,87,3,299,43,52,100,696,90,1795,64,1205,23,4055,10,9,22,129,27,195,17,127,3,528,8,0,15,64,13,54,3,32,0,186,3,13,39,25,16,19,4,13,0,127,5,10,17,4,7,4,0,11,0,59,3,3,11,3,0,3,0,3,0,31,0,0,7,8,0,9,0,3,0,20,3,0,8,22,0,40,5,43,41,153,77,86,227,1007,154,2229,97,1512,72,5466,0,3,13,17,8,6,0,5,0,51,3,8,22,58,15,65,12,74,3,253,12,6,39,61,13,38,4,34,4,214,11,15,31,62,29,41,3,35,0,224,12,38,204,42,52,25,5,31,0,408,13,12,170,15,20,10,3,25,3,276,6,14,90,12,11,6,0,8,3,144,4,6,40,10,0,0,6,12,0,83,0,0,10,5,4,6,0,5,6,40,52,104,610,284,141,204,33,232,21,1689,Rest of SA
4GADE,15,49,36,369,71,472,31,260,17,1322,230,845,377,5334,959,9960,400,5103,140,23349,114,221,188,1404,342,1792,170,986,25,5245,65,92,67,526,174,527,30,180,10,1670,27,74,92,104,92,69,6,36,14,514,14,47,63,41,32,16,4,15,8,244,15,16,39,34,12,22,0,9,0,145,7,6,33,43,10,13,0,15,0,129,8,18,21,116,30,212,13,106,149,666,492,1368,918,7980,1725,13095,656,6702,355,33290,0,17,36,50,14,32,0,27,0,186,18,63,65,358,108,563,37,326,13,1562,27,54,89,246,107,343,25,148,13,1048,47,80,111,300,113,266,19,112,10,1062,53,202,652,188,251,103,16,64,6,1533,46,100,488,98,97,33,5,29,3,897,27,53,223,34,54,30,3,11,0,431,14,36,100,27,19,19,4,10,4,228,0,8,23,17,0,31,3,10,29,135,237,619,1780,1334,753,1423,110,737,85,7076,Greater Adelaide
5GPER,14,75,71,453,103,741,46,327,14,1853,335,1438,693,7470,1501,14804,803,6741,230,34018,249,321,428,2244,715,3197,349,1729,71,9295,97,111,124,768,231,811,62,275,26,2501,47,74,190,164,112,134,25,51,7,798,39,66,180,88,59,53,10,21,5,517,20,27,65,36,26,27,5,14,0,219,11,17,47,58,17,23,3,23,7,200,15,38,34,203,40,299,16,132,243,1029,821,2168,1834,11489,2804,20083,1326,9311,598,50425,5,16,69,49,16,55,7,27,3,258,23,109,95,610,162,895,78,442,13,2431,45,96,167,497,195,633,65,312,12,2021,41,116,227,384,161,376,44,129,15,1499,81,186,995,266,269,148,37,67,15,2064,66,171,1108,122,171,40,30,34,15,1759,44,89,405,58,67,37,12,23,6,738,37,72,246,56,42,12,8,17,6,509,0,9,59,47,16,48,8,15,51,260,347,868,3368,2099,1094,2248,302,1068,142,11536,Greater Perth
5RWAU,5,4,13,67,11,121,4,82,7,325,39,53,87,674,126,2409,55,1078,43,4580,12,14,26,109,33,215,12,107,5,534,5,9,13,49,7,37,3,28,3,155,8,7,40,29,24,11,0,11,0,126,3,10,54,12,12,4,4,18,0,115,3,5,32,11,4,0,0,7,0,68,7,8,50,14,3,4,3,14,0,107,4,7,12,17,0,57,3,37,54,188,92,110,319,983,219,2875,87,1391,115,6187,3,4,36,3,5,6,0,5,0,68,4,8,22,70,20,83,3,54,3,269,5,14,25,58,33,52,7,30,0,221,3,9,42,95,23,45,3,30,0,256,15,29,269,72,77,35,4,20,3,525,13,41,305,26,42,15,7,12,0,466,9,18,173,16,22,6,14,8,3,262,11,25,170,17,19,5,22,26,3,298,0,0,20,5,8,10,0,3,12,59,63,143,1060,371,240,273,54,193,32,2423,Rest of WA
