gcc_code16,m1_train_mng,m1_train_pro,m1_train_tectw,m1_train_copsw,m1_train_claw,m1_train_swks,m1_train_maopdv,m1_train_lab,m1_train_idns,m1_train_tot,m1_bus_mng,m1_bus_pro,m1_bus_tectw,m1_bus_copsw,m1_bus_claw,m1_bus_swks,m1_bus_maopdv,m1_bus_lab,m1_bus_idns,m1_bus_tot,m1_ferry_mng,m1_ferry_pro,m1_ferry_tectw,m1_ferry_copsw,m1_ferry_claw,m1_ferry_swks,m1_ferry_maopdv,m1_ferry_lab,m1_ferry_idns,m1_ferry_tot,m1_tram_inc_lr_mng,m1_tram_inc_lr_pro,m1_tram_inc_lr_tectw,m1_tram_inc_lr_copsw,m1_tram_inc_lr_claw,m1_tram_inc_lr_swks,m1_tram_inc_lr_maopdv,m1_tram_inc_lr_lab,m1_tram_inc_lr_idns,m1_tram_inc_lr_tot,m1_taxi_mng,m1_taxi_pro,m1_taxi_tectw,m1_taxi_copsw,m1_taxi_claw,m1_taxi_swks,m1_taxi_maopdv,m1_taxi_lab,m1_taxi_idns,m1_taxi_tot,m1_carasdriv_mng,m1_carasdriv_pro,m1_carasdriv_tectw,m1_carasdriv_copsw,m1_carasdriv_claw,m1_carasdriv_swks,m1_carasdriv_maopdv,m1_carasdriv_lab,m1_carasdriv_idns,m1_carasdriv_tot,m1_caraspas_mng,m1_caraspas_pro,m1_caraspas_tectw,m1_caraspas_copsw,m1_caraspas_claw,m1_caraspas_swks,m1_caraspas_maopdv,m1_caraspas_lab,m1_caraspas_idns,m1_caraspas_tot,m1_truck_mng,m1_truck_pro,m1_truck_tectw,m1_truck_copsw,m1_truck_claw,m1_truck_swks,m1_truck_maopdv,m1_truck_lab,m1_truck_idns,m1_truck_tot,m1_mbikescoot_mng,m1_mbikescoot_pro,m1_mbikescoot_tectw,m1_mbikescoot_copsw,m1_mbikescoot_claw,m1_mbikescoot_swks,m1_mbikescoot_maopdv,m1_mbikescoot_lab,m1_mbikescoot_idns,m1_mbikescoot_tot,m1_bicycle_mng,m1_bicycle_pro,m1_bicycle_tectw,m1_bicycle_copsw,m1_bicycle_claw,m1_bicycle_swks,m1_bicycle_maopdv,m1_bicycle_lab,m1_bicycle_idns,m1_bicycle_tot,m1_oth_mng,m1_oth_pro,m1_oth_tectw,m1_oth_copsw,m1_oth_claw,m1_oth_swks,m1_oth_maopdv,m1_oth_lab,m1_oth_idns,m1_oth_tot,m1_wlkonly_mng,m1_wlkonly_pro,m1_wlkonly_tectw,m1_wlkonly_copsw,m1_wlkonly_claw,m1_wlkonly_swks,m1_wlkonly_maopdv,m1_wlkonly_lab,m1_wlkonly_idns,m1_wlkonly_tot,m1_tot_m1_mng,m1_tot_m1_pro,m1_tot_m1_tectw,m1_tot_m1_copsw,m1_tot_m1_claw,m1_tot_m1_swks,m1_tot_m1_maopdv,m1_tot_m1_lab,m1_tot_m1_idns,m1_tot_m1_tot,m2_trnbus_mng,m2_trnbus_pro,m2_trnbus_tectw,m2_trnbus_copsw,m2_trnbus_claw,m2_trnbus_swks,m2_trnbus_maopdv,m2_trnbus_lab,m2_trnbus_idns,m2_trnbus_tot,m2_trnfer_mng,m2_trnfer_pro,m2_trnfer_tectw,m2_trnfer_copsw,m2_trnfer_claw,m2_trnfer_swks,m2_trnfer_maopdv,m2_trnfer_lab,m2_trnfer_idns,m2_trnfer_tot,m2_trntrm_inc_lr_mng,m2_trntrm_inc_lr_pro,m2_trntrm_inc_lr_tectw,m2_trntrm_inc_lr_copsw,m2_trntrm_inc_lr_claw,m2_trntrm_inc_lr_swks,m2_trntrm_inc_lr_maopdv,m2_trntrm_inc_lr_lab,m2_trntrm_inc_lr_idns,m2_trntrm_inc_lr_tot,m2_trncarasdriv_mng,m2_trncarasdriv_pro,m2_trncarasdriv_tectw,m2_trncarasdriv_copsw,m2_trncarasdriv_claw,m2_trncarasdriv_swks,m2_trncarasdriv_maopdv,m2_trncarasdriv_lab,m2_trncarasdriv_idns,m2_trncarasdriv_tot,m2_trncaraspa_mng,m2_trncaraspa_pro,m2_trncaraspa_tectw,m2_trncaraspa_copsw,m2_trncaraspa_claw,m2_trncaraspa_swks,m2_trncaraspa_maopdv,m2_trncaraspa_lab,m2_trncaraspa_idns,m2_trncaraspa_tot,m2_trnoth_mng,m2_trnoth_pro,m2_trnoth_tectw,m2_trnoth_copsw,m2_trnoth_claw,m2_trnoth_swks,m2_trnoth_maopdv,m2_trnoth_lab,m2_trnoth_idns,m2_trnoth_tot,m2_trn_and_tot_mng,m2_trn_and_tot_pro,m2_trn_and_tot_tectw,m2_trn_and_tot_copsw,m2_trn_and_tot_claw,m2_trn_and_tot_swks,m2_trn_and_tot_maopdv,m2_trn_and_tot_lab,m2_trn_and_tot_idns,m2_trn_and_tot_tot,gcc_name16
1RNSW,180,557,250,211,251,197,78,314,55,2088,277,1013,605,936,860,1136,571,1369,131,6899,27,45,41,18,24,7,20,21,21,227,17,10,9,3,8,8,0,8,7,76,124,155,102,177,100,153,188,215,25,1237,81126,133057,106418,82880,90864,63587,51659,70946,8113,688647,3163,5349,6421,5710,4466,9668,2798,12273,670,50519,1987,106,2355,45,247,279,3395,1533,154,10097,1082,808,1052,494,425,389,594,793,87,5720,642,1840,1036,693,479,461,397,881,100,6529,1881,666,615,996,481,228,407,679,172,6124,7941,6107,4175,5735,3379,4034,1404,5313,457,38544,98434,149699,123079,97890,101581,80147,61517,94345,10001,816699,40,139,50,91,103,58,23,76,9,593,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,5,79,189,65,82,74,38,50,41,15,642,18,43,12,24,16,21,35,34,0,203,19,42,19,10,12,6,7,16,0,137,156,421,152,210,203,133,111,172,20,1584,Rest of NSW
1GSYD,31024,90348,18093,17332,48102,19015,3733,15201,5021,247856,17663,43539,6807,10531,21563,12412,2272,7255,2035,124086,1989,3643,164,137,961,353,20,47,167,7465,454,1034,150,239,378,159,23,93,53,2581,985,1528,203,478,349,232,853,298,97,5022,176081,269956,153899,110159,157498,99974,86231,80670,17561,1152022,7677,13078,9426,9409,10884,13320,4912,14621,1471,84798,1612,141,3975,49,651,302,5734,2122,231,14819,2578,4182,2178,1366,1431,787,1149,758,239,14666,2584,7107,1486,1212,1291,689,714,967,267,16309,1781,2243,1544,1287,1313,540,722,654,527,10603,12220,26847,7333,13161,10529,10193,2220,7044,1303,90850,256658,463637,205249,165363,254937,157965,108589,129721,28959,1771079,6144,18921,4253,5396,10295,5177,1919,5306,1074,58482,350,749,77,56,211,83,12,40,25,1611,148,524,128,197,236,96,6,119,14,1469,5418,12115,2472,1576,7940,1739,437,798,495,32993,1180,3311,599,577,2361,758,156,455,143,9533,520,1369,273,209,427,134,112,162,51,3260,13768,36994,7795,8004,21472,7998,2641,6875,1798,107350,Greater Sydney
2RVIC,156,449,135,95,163,114,28,93,27,1260,143,343,271,480,348,678,218,668,57,3196,18,13,28,11,8,15,12,17,14,120,10,30,5,12,13,11,3,3,0,79,70,59,70,91,43,85,140,183,17,762,48877,73516,58184,46125,46436,34405,26122,44484,4418,382565,1784,2450,3139,2931,1980,6076,955,6883,353,26554,677,33,635,8,72,90,1368,438,49,3386,840,241,255,111,109,81,192,299,34,2174,364,1061,621,403,264,314,288,732,54,4106,1193,284,406,323,221,130,306,368,126,3360,6011,3963,2483,2988,1910,2593,902,3348,301,24501,60142,82446,66237,53589,51564,44586,30538,57511,5457,452064,10,52,21,26,18,23,9,27,0,182,0,0,0,0,0,0,0,0,0,0,6,28,6,4,11,4,0,0,0,53,67,183,39,33,43,27,8,16,5,428,9,28,13,12,8,14,4,20,4,111,15,42,10,6,4,0,5,9,3,98,99,323,83,84,92,65,22,77,15,865,Rest of Vic.
2GMEL,20534,57710,10130,10225,33418,9948,1685,8038,2985,154676,1776,5164,1851,3250,2975,4214,995,3418,443,24089,37,62,79,36,26,36,22,38,81,410,6712,19495,2985,5183,8495,4521,263,2394,686,50732,564,747,183,327,266,188,961,291,74,3595,179693,274793,170287,122210,162104,113607,89117,93971,16203,1221978,6548,10560,8327,8762,8668,15866,4051,13820,1160,77765,1102,80,2016,28,431,204,3571,1336,157,8923,1066,2194,1119,735,749,388,572,532,129,7482,4278,13728,2215,2546,2571,1399,745,1408,387,29282,1527,1929,1135,949,1205,557,756,553,434,9042,8355,18852,5247,9241,6549,7015,1091,4795,868,62014,232185,405309,205577,163488,227449,157938,103839,130595,23596,1649986,1763,6314,1541,1995,3689,2050,632,2179,370,20519,3,3,0,3,3,0,0,7,3,17,1827,6692,1039,1265,2845,1123,125,924,221,16063,4212,10960,1776,1282,6682,1276,304,668,400,27563,651,2141,320,360,1508,431,65,269,95,5840,395,1402,280,236,399,135,87,146,46,3127,8847,27518,4959,5140,15124,5010,1217,4182,1127,73133,Greater Melbourne
3GBRI,4111,13767,2643,2801,11531,2398,593,2217,829,40887,4305,16025,2776,4657,10597,5052,616,3412,729,48174,354,998,104,153,461,124,30,65,47,2335,18,32,13,7,9,5,3,5,13,105,281,437,102,188,159,148,291,153,34,1794,84799,137508,87890,70288,87627,56990,45702,54326,8081,633212,3918,7718,4871,5970,6538,8406,2683,10300,758,51163,763,74,1899,20,229,161,2794,1045,110,7088,1177,2524,1998,1113,1132,523,1257,818,188,10721,1535,5186,1149,936,1043,430,449,885,160,11766,856,975,611,497,674,270,379,414,240,4909,3612,7699,2507,4917,3442,3214,774,3396,430,29997,105738,192934,106555,91547,123430,77717,55570,77040,11617,842148,469,1969,476,709,1355,581,177,708,100,6542,7,19,6,9,13,4,0,3,0,64,3,0,0,0,3,0,0,0,0,9,1444,4211,716,577,3536,466,93,231,166,11439,231,694,166,148,618,160,34,155,34,2234,117,340,101,59,110,30,50,86,10,900,2274,7225,1470,1491,5633,1236,353,1182,312,21180,Greater Brisbane
3RQLD,77,162,109,93,93,93,39,150,26,835,453,834,2004,1256,633,1351,2997,2441,180,12144,50,80,137,55,38,26,35,76,32,539,119,349,141,309,144,258,22,296,30,1661,157,192,148,245,116,164,195,276,30,1524,78355,121773,106603,79650,90896,65268,49854,68293,7777,668467,3506,5722,6820,6694,5188,10480,3430,13106,732,55681,1156,92,1975,33,185,203,3049,1233,109,8036,1031,1064,1913,920,642,584,1187,1060,110,8520,736,2013,1579,1353,734,797,603,1626,150,9601,1784,955,1219,716,656,348,923,1061,257,7919,6969,5522,4317,6220,3285,3914,1652,6325,525,38725,94394,138750,126963,97551,102612,83481,63987,95939,9969,813648,16,85,47,73,64,76,19,82,7,469,0,0,0,0,0,0,0,0,0,3,0,4,3,6,3,7,3,7,0,32,33,99,40,30,41,27,22,35,3,323,6,10,15,10,9,14,3,19,0,81,6,6,7,4,3,0,11,10,0,59,58,208,107,119,122,121,57,156,15,962,Rest of Qld
4RSAU,0,5,0,0,0,3,0,7,4,28,41,97,286,33,30,28,430,145,17,1114,7,0,7,0,0,9,12,12,0,36,3,3,0,0,0,0,0,0,3,12,22,13,32,23,13,16,37,54,6,204,13586,14225,14284,11331,10680,8787,7981,14817,1107,96795,565,515,797,619,396,1131,508,2378,91,7006,275,10,154,4,21,25,448,120,11,1064,147,34,92,31,30,46,92,147,12,643,72,113,166,50,44,48,85,171,18,769,506,96,277,67,77,32,187,194,32,1487,2194,858,865,850,522,664,380,1297,101,7727,17422,15965,16966,13017,11818,10789,10162,19340,1399,116886,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,6,3,3,5,6,3,0,0,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,15,3,6,3,9,3,3,0,43,Rest of SA
4GADE,817,2769,535,683,2590,682,115,523,160,8872,2092,7524,1808,2778,7188,2878,439,2643,427,27779,4,12,12,14,4,5,13,12,26,94,300,865,139,257,754,222,13,103,60,2712,138,160,62,89,85,58,300,145,14,1050,47661,81919,50965,44771,49832,34104,23729,32896,4375,370252,2016,4145,2309,2902,3542,4229,856,4779,347,25118,244,20,574,7,124,79,906,355,38,2346,280,594,499,339,278,158,254,274,48,2726,744,2714,715,624,674,296,255,465,90,6572,353,398,567,213,352,124,273,224,118,2621,1585,3007,1089,1855,1320,1482,337,1486,121,12285,56234,104125,59278,54530,66740,44322,27485,43901,5823,462438,71,327,142,178,255,164,39,268,38,1486,0,0,0,0,0,0,0,0,0,3,19,46,10,18,61,17,3,12,5,189,188,581,128,154,568,116,25,54,26,1841,25,70,20,23,55,39,3,33,4,282,23,69,22,22,19,9,6,16,0,189,332,1093,329,398,964,340,72,389,69,3980,Greater Adelaide
5GPER,2777,8623,1937,1971,6276,1667,269,1331,507,25363,2279,7773,2409,2683,4257,2935,798,2909,375,26417,20,26,39,16,18,12,14,22,26,190,23,33,9,3,6,11,0,4,8,96,206,247,117,117,121,92,358,114,27,1403,72977,123559,86572,62072,75740,49871,36952,42952,7228,557927,2817,5276,4749,4363,4335,6885,1684,7177,532,37813,405,68,1261,23,235,94,1533,683,74,4367,464,1069,832,453,430,202,368,327,71,4218,1243,3918,959,811,752,414,361,651,111,9219,686,974,1422,525,589,196,716,661,229,5997,2113,4021,1535,2505,1621,2176,396,2039,214,16617,86001,155571,101834,75552,94377,64559,43455,58875,9399,689618,1242,4268,1183,1318,2929,1328,255,1229,209,13956,0,3,0,0,0,3,0,3,0,15,0,3,0,0,0,0,0,0,0,9,1151,3558,724,491,2755,376,88,196,132,9472,149,517,115,95,451,118,22,91,22,1585,70,328,84,54,90,39,22,50,14,752,2617,8676,2104,1964,6225,1871,390,1572,374,25790,Greater Perth
5RWAU,7,26,14,7,7,6,13,8,3,102,374,1307,7660,172,585,132,6462,2800,269,19760,3,11,16,0,0,0,10,7,10,59,3,0,3,0,0,0,0,0,3,13,42,44,75,61,19,35,83,69,11,443,18763,22896,26145,14729,16865,10626,13508,15519,1916,140956,986,1727,3160,1182,1006,2043,1843,3372,242,15563,305,24,604,16,46,30,691,348,36,2095,189,132,315,127,92,151,159,234,18,1411,192,447,421,327,139,232,199,386,44,2379,1037,831,2349,239,271,65,2032,1102,195,8123,3289,1918,2009,1788,1068,1074,900,2474,194,14714,25180,29361,42770,18651,20098,14391,25909,26311,2951,205620,0,4,7,3,9,0,3,5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,9,8,3,3,6,10,0,49,0,0,3,0,0,0,0,5,0,14,0,0,7,0,0,0,0,0,0,14,3,20,28,11,11,3,12,15,4,108,Rest of WA
