gcc_code16,m_m1_train_15_24,m_m1_train_25_34,m_m1_train_35_44,m_m1_train_45_54,m_m1_train_55_64,m_m1_train_65_74,m_m1_train_75ov,m_m1_train_tot,m_m1_bus_15_24,m_m1_bus_25_34,m_m1_bus_35_44,m_m1_bus_45_54,m_m1_bus_55_64,m_m1_bus_65_74,m_m1_bus_75ov,m_m1_bus_tot,m_m1_ferry_15_24,m_m1_ferry_25_34,m_m1_ferry_35_44,m_m1_ferry_45_54,m_m1_ferry_55_64,m_m1_ferry_65_74,m_m1_ferry_75ov,m_m1_ferry_tot,m_m1_tram_inc_lr_15_24,m_m1_tram_inc_lr_25_34,m_m1_tram_inc_lr_35_44,m_m1_tram_inc_lr_45_54,m_m1_tram_inc_lr_55_64,m_m1_tram_inc_lr_65_74,m_m1_tram_inc_lr_75ov,m_m1_tram_inc_lr_tot,m_m1_taxi_15_24,m_m1_taxi_25_34,m_m1_taxi_35_44,m_m1_taxi_45_54,m_m1_taxi_55_64,m_m1_taxi_65_74,m_m1_taxi_75ov,m_m1_taxi_tot,m_m1_carasdriv_15_24,m_m1_carasdriv_25_34,m_m1_carasdriv_35_44,m_m1_carasdriv_45_54,m_m1_carasdriv_55_64,m_m1_carasdriv_65_74,m_m1_carasdriv_75ov,m_m1_carasdriv_tot,m_m1_caraspas_15_24,m_m1_caraspas_25_34,m_m1_caraspas_35_44,m_m1_caraspas_45_54,m_m1_caraspas_55_64,m_m1_caraspas_65_74,m_m1_caraspas_75ov,m_m1_caraspas_tot,m_m1_truck_15_24,m_m1_truck_25_34,m_m1_truck_35_44,m_m1_truck_45_54,m_m1_truck_55_64,m_m1_truck_65_74,m_m1_truck_75ov,m_m1_truck_tot,m_m1_mbikescoot_15_24,m_m1_mbikescoot_25_34,m_m1_mbikescoot_35_44,m_m1_mbikescoot_45_54,m_m1_mbikescoot_55_64,m_m1_mbikescoot_65_74,m_m1_mbikescoot_75ov,m_m1_mbikescoot_tot,m_m1_bicycle_15_24,m_m1_bicycle_25_34,m_m1_bicycle_35_44,m_m1_bicycle_45_54,m_m1_bicycle_55_64,m_m1_bicycle_65_74,m_m1_bicycle_75ov,m_m1_bicycle_tot,m_m1_other_15_24,m_m1_other_25_34,m_m1_other_35_44,m_m1_other_45_54,m_m1_other_55_64,m_m1_other_65_74,m_m1_other_75ov,m_m1_other_tot,m_m1_wlkonly_15_24,m_m1_wlkonly_25_34,m_m1_wlkonly_35_44,m_m1_wlkonly_45_54,m_m1_wlkonly_55_64,m_m1_wlkonly_65_74,m_m1_wlkonly_75ov,m_m1_wlkonly_tot,m_m1_tot_m1_15_24,m_m1_tot_m1_25_34,m_m1_tot_m1_35_44,m_m1_tot_m1_45_54,m_m1_tot_m1_55_64,m_m1_tot_m1_65_74,m_m1_tot_m1_75ov,m_m1_tot_m1_tot,m_m2_trnbus_15_24,m_m2_trnbus_25_34,m_m2_trnbus_35_44,m_m2_trnbus_45_54,m_m2_trnbus_55_64,m_m2_trnbus_65_74,m_m2_trnbus_75ov,m_m2_trnbus_tot,m_m2_trnfer_15_24,m_m2_trnfer_25_34,m_m2_trnfer_35_44,m_m2_trnfer_45_54,m_m2_trnfer_55_64,m_m2_trnfer_65_74,m_m2_trnfer_75ov,m_m2_trnfer_tot,m_m2_trntrm_inc_lr_15_24,m_m2_trntrm_inc_lr_25_34,m_m2_trntrm_inc_lr_35_44,m_m2_trntrm_inc_lr_45_54,m_m2_trntrm_inc_lr_55_64,m_m2_trntrm_inc_lr_65_74,m_m2_trntrm_inc_lr_75ov,m_m2_trntrm_inc_lr_tot,m_m2_trncarasdriv_15_24,m_m2_trncarasdriv_25_34,m_m2_trncarasdriv_35_44,m_m2_trncarasdriv_45_54,m_m2_trncarasdriv_55_64,m_m2_trncarasdriv_65_74,m_m2_trncarasdriv_75ov,m_m2_trncarasdriv_tot,m_m2_trncaraspas_15_24,m_m2_trncaraspas_25_34,m_m2_trncaraspas_35_44,m_m2_trncaraspas_45_54,m_m2_trncaraspas_55_64,m_m2_trncaraspas_65_74,m_m2_trncaraspas_75ov,m_m2_trncaraspas_tot,m_m2_trnoth_15_24,m_m2_trnoth_25_34,m_m2_trnoth_35_44,m_m2_trnoth_45_54,m_m2_trnoth_55_64,m_m2_trnoth_65_74,m_m2_trnoth_75ov,m_m2_trnoth_tot,m_m2_train_and_tot_15_24,m_m2_train_and_tot_25_34,m_m2_train_and_tot_35_44,m_m2_train_and_tot_45_54,m_m2_train_and_tot_55_64,m_m2_train_and_tot_65_74,m_m2_train_and_tot_75ov,m_m2_train_and_tot_tot,m_m2_busfer_15_24,m_m2_busfer_25_34,m_m2_busfer_35_44,m_m2_busfer_45_54,m_m2_busfer_55_64,m_m2_busfer_65_74,m_m2_busfer_75ov,m_m2_busfer_tot,m_m2_bustrm_inc_lr_15_24,m_m2_bustrm_inc_lr_25_34,m_m2_bustrm_inc_lr_35_44,m_m2_bustrm_inc_lr_45_54,m_m2_bustrm_inc_lr_55_64,m_m2_bustrm_inc_lr_65_74,m_m2_bustrm_inc_lr_75ov,m_m2_bustrm_inc_lr_tot,m_m2_buscarasdriv_15_24,m_m2_buscarasdriv_25_34,m_m2_buscarasdriv_35_44,m_m2_buscarasdriv_45_54,m_m2_buscarasdriv_55_64,m_m2_buscarasdriv_65_74,m_m2_buscarasdriv_75ov,m_m2_buscarasdriv_tot,m_m2_buscaraspas_15_24,m_m2_buscaraspas_25_34,m_m2_buscaraspas_35_44,m_m2_buscaraspas_45_54,m_m2_buscaraspas_55_64,m_m2_buscaraspas_65_74,m_m2_buscaraspas_75ov,m_m2_buscaraspas_tot,m_m2_busoth_15_24,m_m2_busoth_25_34,m_m2_busoth_35_44,m_m2_busoth_45_54,m_m2_busoth_55_64,m_m2_busoth_65_74,m_m2_busoth_75ov,m_m2_busoth_tot,gcc_name16
1RNSW,281,302,225,212,155,32,3,1221,875,783,560,494,359,103,12,3178,26,39,34,28,20,0,3,147,7,15,7,0,6,3,0,37,66,132,100,105,107,51,5,571,44003,72960,76354,81739,63494,13951,1802,354303,10705,4657,2921,2598,1771,385,83,23122,395,1217,1707,2533,2513,1056,298,9722,836,938,866,1165,1046,202,51,5094,648,954,1113,1263,884,118,15,4997,664,561,603,828,816,454,133,4064,3622,3635,3006,3703,3839,1551,432,19787,62127,86179,87507,94666,75015,17906,2836,426235,78,82,54,54,31,8,0,304,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,5,59,66,87,96,59,13,0,385,53,17,13,17,7,0,0,103,15,17,32,19,17,3,0,107,208,189,186,184,110,30,3,910,5,0,0,8,0,0,0,13,0,0,0,0,0,0,0,0,48,50,43,46,26,4,0,218,105,57,28,19,20,0,0,228,18,30,18,16,7,0,0,85,Rest of NSW
1GSYD,16454,47015,32877,19222,10885,2199,210,128862,8644,17700,14983,9139,4950,1177,138,56729,186,1218,1402,933,461,139,19,4358,140,399,371,231,108,20,0,1271,171,698,854,754,415,130,28,3052,63351,146973,156653,147761,100973,25240,2744,643683,14297,7395,4328,3589,2373,680,157,32819,882,2684,3606,3827,2707,795,80,14574,1403,3736,3486,2710,1452,188,4,12979,1061,3491,3921,2922,1216,135,13,12750,641,1541,1553,1463,1027,370,72,6670,7584,14450,9155,6503,4556,1434,255,43931,114792,247287,233180,199054,131127,32505,3730,961676,4945,9528,6789,4034,2512,700,74,28583,56,285,247,145,107,35,0,877,107,320,184,89,53,14,4,774,1860,4795,5203,4120,2347,444,32,18788,819,947,590,516,336,55,10,3273,199,644,674,444,236,35,4,2237,7989,16515,13687,9343,5584,1289,125,54526,30,171,259,170,89,31,5,756,30,67,65,23,16,3,0,204,305,629,791,552,302,64,9,2655,452,207,140,98,66,8,0,978,93,258,237,125,66,12,0,792,Greater Sydney
2RVIC,105,196,158,113,88,24,4,686,565,283,202,219,156,47,3,1467,18,25,12,12,9,4,0,79,11,9,4,10,0,3,0,35,68,113,78,61,69,24,4,412,23243,40405,41720,45502,36726,8573,1213,197381,6591,2026,1225,1059,790,174,50,11915,119,400,612,823,870,328,108,3268,229,350,333,450,390,87,32,1869,530,542,665,737,576,84,10,3152,270,354,359,457,518,275,65,2312,2791,2202,1851,2316,2638,1011,280,13086,34532,46902,47224,51773,42831,10640,1772,235672,22,28,15,16,10,4,0,95,0,0,0,0,0,0,0,0,7,8,6,3,3,0,0,25,27,73,58,50,30,9,0,243,20,7,11,8,5,3,0,57,0,21,12,15,15,0,0,66,84,140,98,94,54,20,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,23,17,18,7,0,101,76,15,4,6,4,0,0,106,17,12,11,6,4,0,0,55,Rest of Vic.
2GMEL,9713,26749,22670,13600,7330,1411,116,81591,3172,2851,2030,1508,1028,253,31,10864,50,107,56,72,14,7,3,298,3347,10286,4751,2516,1406,458,72,22844,172,736,605,442,265,59,11,2290,64724,162890,161970,154427,102186,24651,2747,673586,14902,6417,3765,2993,1987,592,123,30769,384,1643,1899,2311,1840,579,79,8734,692,1815,1759,1485,876,91,12,6735,1942,6185,6085,4207,1928,242,27,20618,491,1254,1359,1274,931,306,79,5695,6273,10439,5508,3926,2861,1003,205,30213,105863,231387,212450,188746,122641,29654,3491,894228,1878,3299,2874,1698,991,233,19,10992,3,3,4,3,0,0,0,12,1144,3175,1865,999,564,161,11,7914,1294,4168,4850,3390,1823,268,22,15823,469,660,423,287,186,47,4,2075,207,637,642,445,226,32,3,2198,4990,11954,10665,6824,3793,734,52,39015,0,0,0,3,0,0,0,7,204,355,231,176,136,36,8,1144,110,179,177,143,84,17,3,715,380,69,65,24,20,11,0,561,40,63,47,19,17,4,0,197,Greater Melbourne
3GBRI,2837,5479,5097,3709,2095,299,22,19523,4371,6309,4633,3131,1853,363,38,20704,127,397,272,177,128,32,0,1127,11,17,21,8,8,0,0,62,144,268,221,219,130,55,11,1047,40998,79961,81863,76087,48574,10811,998,339293,9615,4634,2624,1870,1254,291,47,20332,344,1090,1495,1900,1542,482,45,6900,1117,2487,2384,2326,1267,120,5,9713,1036,2509,2700,2069,822,78,3,9205,270,626,690,754,553,193,28,3118,3572,4604,2495,2102,1603,477,85,14933,64442,108381,104487,94355,59826,13202,1281,445963,663,928,767,503,307,58,5,3226,3,10,3,4,0,0,0,23,0,0,3,0,0,0,0,3,502,1153,1664,1451,774,121,6,5669,232,233,176,145,103,9,3,899,81,162,203,153,99,12,0,706,1484,2484,2810,2258,1278,203,15,10529,27,78,71,55,24,6,0,264,3,3,0,0,0,0,0,6,254,425,446,315,156,32,3,1629,283,167,96,64,24,12,0,645,54,137,98,54,21,3,0,370,Greater Brisbane
3RQLD,109,119,102,77,39,8,3,464,1269,1884,1657,1522,886,152,11,7380,40,114,98,89,43,4,0,385,206,261,100,66,57,20,3,722,155,160,138,128,111,39,9,735,43391,73330,76562,77520,55253,12900,1382,340351,11536,5397,3353,2727,1665,395,75,25139,308,1119,1581,2145,1883,626,105,7770,806,1554,1595,1938,1443,212,41,7585,1324,1467,1516,1561,956,153,18,6987,542,1059,1089,1205,954,397,104,5349,3824,4216,3222,3591,3410,1204,286,19749,63515,90663,91008,92562,66708,16122,2031,422610,66,55,28,34,15,8,0,201,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,14,24,43,35,41,26,3,0,182,22,14,3,3,0,0,0,48,5,4,17,10,7,0,0,48,124,131,86,90,52,14,0,492,12,56,58,43,27,4,0,194,75,66,25,22,22,10,0,223,67,134,156,128,66,5,0,556,140,48,41,40,10,0,0,284,30,63,41,33,22,0,0,185,Rest of Qld
4RSAU,3,0,3,3,0,3,0,15,58,285,255,219,114,7,4,934,8,11,5,0,0,0,0,27,0,3,0,3,0,0,0,5,15,13,28,24,24,10,0,112,6210,10152,10361,12066,9926,2385,390,51490,1302,769,507,437,276,54,15,3356,39,130,171,280,247,138,34,1038,116,79,78,143,121,24,3,569,75,110,119,165,129,24,3,621,77,185,232,264,255,101,23,1137,572,673,683,929,964,353,80,4258,8468,12411,12451,14522,12065,3090,557,63569,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,0,0,13,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,4,4,4,8,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,26,16,10,0,0,85,6,5,4,3,0,0,0,21,4,5,6,7,0,0,0,22,Rest of SA
4GADE,612,1095,1007,785,533,100,7,4151,1836,3404,2747,2032,1461,302,29,11812,9,27,21,14,0,3,0,68,160,379,303,175,120,24,0,1157,55,187,159,131,94,18,3,655,22094,44584,45490,45852,32465,7256,827,198566,3762,2063,1251,1107,774,187,32,9167,90,344,413,700,569,146,10,2279,328,565,518,589,400,39,4,2442,390,1087,1305,1296,803,75,3,4959,125,364,343,464,399,131,19,1851,1300,1444,1146,1064,878,317,52,6192,30765,55553,54704,54206,38492,8600,980,243294,175,230,151,136,82,12,3,786,0,0,0,0,0,0,0,0,15,22,13,14,13,0,0,80,115,195,224,161,97,20,3,811,34,32,20,9,9,3,0,109,17,42,42,31,16,0,0,138,354,520,442,350,216,39,4,1927,0,0,0,0,0,0,0,0,26,36,26,29,18,0,0,137,138,275,305,230,122,19,3,1085,136,92,49,39,20,4,0,347,29,48,43,28,23,0,0,179,Greater Adelaide
5GPER,1555,3595,3215,2302,1219,230,14,12139,2314,4123,3013,1902,1151,271,26,12811,21,36,27,25,8,8,0,125,11,16,12,12,8,3,0,61,87,256,214,187,104,39,9,896,34290,72278,68339,64322,44065,11231,1188,295715,6906,3684,1993,1544,954,246,36,15358,192,730,866,1154,946,306,33,4223,466,838,838,1026,537,79,7,3796,814,1525,1954,1848,868,143,9,7161,348,1201,1063,961,637,181,34,4411,2000,2203,1356,1212,966,372,77,8196,49009,90486,82896,76490,51462,13110,1442,364890,1172,1855,1862,1328,798,164,16,7199,0,4,0,0,0,0,0,5,0,3,0,0,0,0,0,3,374,1218,1357,1019,506,75,8,4561,141,149,122,93,67,5,0,584,52,145,158,130,59,13,0,561,1745,3367,3501,2582,1437,263,21,12916,0,3,5,3,0,0,0,16,3,0,0,3,0,0,0,9,96,218,167,105,73,13,3,682,227,82,45,23,20,7,0,411,46,90,47,43,18,7,0,251,Greater Perth
5RWAU,17,18,12,12,12,0,0,68,874,5182,4827,4218,2182,214,5,17496,6,24,10,15,0,0,0,50,0,0,0,0,0,0,0,3,37,49,60,49,45,7,0,248,7604,16401,17451,18264,13354,3256,425,76756,2421,2332,1743,1468,816,116,26,8927,121,380,412,499,419,150,39,2020,272,171,203,241,173,36,13,1101,336,332,312,334,231,40,0,1580,362,1937,1752,1578,854,188,37,6704,938,1510,1413,1651,1542,538,102,7697,12990,28325,28199,28327,19627,4552,643,122656,5,7,6,3,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,3,4,0,3,0,23,0,3,0,0,0,0,0,10,0,5,3,3,0,0,0,18,13,25,15,13,6,3,0,75,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,21,88,65,58,34,3,3,268,22,32,16,7,6,3,0,88,19,105,81,61,30,6,0,304,Rest of WA
