gcc_code16,f_m2_trnfer_15_24,f_m2_trnfer_25_34,f_m2_trnfer_35_44,f_m2_trnfer_45_54,f_m2_trnfer_55_64,f_m2_trnfer_65_74,f_m2_trnfer_75ov,f_m2_trnfer_tot,f_m2_trntrm_inc_lr_15_24,f_m2_trntrm_inc_lr_25_34,f_m2_trntrm_inc_lr_35_44,f_m2_trntrm_inc_lr_45_54,f_m2_trntrm_inc_lr_55_64,f_m2_trntrm_inc_lr_65_74,f_m2_trntrm_inc_lr_75ov,f_m2_trntrm_inc_lr_tot,f_m2_trncarasdriv_15_24,f_m2_trncarasdriv_25_34,f_m2_trncarasdriv_35_44,f_m2_trncarasdriv_45_54,f_m2_trncarasdriv_55_64,f_m2_trncarasdriv_65_74,f_m2_trncarasdriv_75ov,f_m2_trncarasdriv_tot,f_m2_trncaraspas_15_24,f_m2_trncaraspas_25_34,f_m2_trncaraspas_35_44,f_m2_trncaraspas_45_54,f_m2_trncaraspas_55_64,f_m2_trncaraspas_65_74,f_m2_trncaraspas_75ov,f_m2_trncaraspas_tot,f_m2_trnoth_15_24,f_m2_trnoth_25_34,f_m2_trnoth_35_44,f_m2_trnoth_45_54,f_m2_trnoth_55_64,f_m2_trnoth_65_74,f_m2_trnoth_75ov,f_m2_trnoth_tot,f_m2_train_and_tot_15_24,f_m2_train_and_tot_25_34,f_m2_train_and_tot_35_44,f_m2_train_and_tot_45_54,f_m2_train_and_tot_55_64,f_m2_train_and_tot_65_74,f_m2_train_and_tot_75ov,f_m2_train_and_tot_tot,f_m2_busfer_15_24,f_m2_busfer_25_34,f_m2_busfer_35_44,f_m2_busfer_45_54,f_m2_busfer_55_64,f_m2_busfer_65_74,f_m2_busfer_75ov,f_m2_busfer_tot,f_m2_bustrm_inc_lr_15_24,f_m2_bustrm_inc_lr_25_34,f_m2_bustrm_inc_lr_35_44,f_m2_bustrm_inc_lr_45_54,f_m2_bustrm_inc_lr_55_64,f_m2_bustrm_inc_lr_65_74,f_m2_bustrm_inc_lr_75ov,f_m2_bustrm_inc_lr_tot,f_m2_buscarasdriv_15_24,f_m2_buscarasdriv_25_34,f_m2_buscarasdriv_35_44,f_m2_buscarasdriv_45_54,f_m2_buscarasdriv_55_64,f_m2_buscarasdriv_65_74,f_m2_buscarasdriv_75ov,f_m2_buscarasdriv_tot,f_m2_buscaraspas_15_24,f_m2_buscaraspas_25_34,f_m2_buscaraspas_35_44,f_m2_buscaraspas_45_54,f_m2_buscaraspas_55_64,f_m2_buscaraspas_65_74,f_m2_buscaraspas_75ov,f_m2_buscaraspas_tot,f_m2_busoth_15_24,f_m2_busoth_25_34,f_m2_busoth_35_44,f_m2_busoth_45_54,f_m2_busoth_55_64,f_m2_busoth_65_74,f_m2_busoth_75ov,f_m2_busoth_tot,f_m2_bustot_15_24,f_m2_bustot_25_34,f_m2_bustot_35_44,f_m2_bustot_45_54,f_m2_bustot_55_64,f_m2_bustot_65_74,f_m2_bustot_75ov,f_m2_bustot_tot,f_m2_other_m2_15_24,f_m2_other_m2_25_34,f_m2_other_m2_35_44,f_m2_other_m2_45_54,f_m2_other_m2_55_64,f_m2_other_m2_65_74,f_m2_other_m2_75ov,f_m2_other_m2_tot,f_m2_tot_m2_15_24,f_m2_tot_m2_25_34,f_m2_tot_m2_35_44,f_m2_tot_m2_45_54,f_m2_tot_m2_55_64,f_m2_tot_m2_65_74,f_m2_tot_m2_75ov,f_m2_tot_m2_tot,f_m3_trn_and_2_oth_ms_15_24,f_m3_trn_and_2_oth_ms_25_34,f_m3_trn_and_2_oth_ms_35_44,f_m3_trn_and_2_oth_ms_45_54,f_m3_trn_and_2_oth_ms_55_64,f_m3_trn_and_2_oth_ms_65_74,f_m3_trn_and_2_oth_ms_75ov,f_m3_trn_and_2_oth_ms_tot,f_m3_bus2othms_ex_tn_15_24,f_m3_bus2othms_ex_tn_25_34,f_m3_bus2othms_ex_tn_35_44,f_m3_bus2othms_ex_tn_45_54,f_m3_bus2othms_ex_tn_55_64,f_m3_bus2othms_ex_tn_65_74,f_m3_bus2othms_ex_tn_75ov,f_m3_bus2othms_ex_tn_tot,f_m3_other_m3_15_24,f_m3_other_m3_25_34,f_m3_other_m3_35_44,f_m3_other_m3_45_54,f_m3_other_m3_55_64,f_m3_other_m3_65_74,f_m3_other_m3_75ov,f_m3_other_m3_tot,f_m3_tot_m3_15_24,f_m3_tot_m3_25_34,f_m3_tot_m3_35_44,f_m3_tot_m3_45_54,f_m3_tot_m3_55_64,f_m3_tot_m3_65_74,f_m3_tot_m3_75ov,f_m3_tot_m3_tot,f_wkd_at_home_15_24,f_wkd_at_home_25_34,f_wkd_at_home_35_44,f_wkd_at_home_45_54,f_wkd_at_home_55_64,f_wkd_at_home_65_74,f_wkd_at_home_75ov,f_wkd_at_home_tot,f_did_not_go_to_work_15_24,f_did_not_go_to_work_25_34,f_did_not_go_to_work_35_44,f_did_not_go_to_work_45_54,f_did_not_go_to_work_55_64,f_did_not_go_to_work_65_74,f_did_not_go_to_work_75ov,f_did_not_go_to_work_tot,f_mt_ns_15_24,f_mt_ns_25_34,f_mt_ns_35_44,f_mt_ns_45_54,f_mt_ns_55_64,f_mt_ns_65_74,f_mt_ns_75ov,f_mt_ns_tot,f_tot_15_24,f_tot_25_34,f_tot_35_44,f_tot_45_54,f_tot_55_64,f_tot_65_74,f_tot_75ov,f_tot_tot,p_m1_train_15_24,p_m1_train_25_34,p_m1_train_35_44,p_m1_train_45_54,p_m1_train_55_64,p_m1_train_65_74,p_m1_train_75ov,p_m1_train_tot,p_m1_bus_15_24,p_m1_bus_25_34,p_m1_bus_35_44,p_m1_bus_45_54,p_m1_bus_55_64,p_m1_bus_65_74,p_m1_bus_75ov,p_m1_bus_tot,p_m1_ferry_15_24,p_m1_ferry_25_34,p_m1_ferry_35_44,p_m1_ferry_45_54,p_m1_ferry_55_64,p_m1_ferry_65_74,p_m1_ferry_75ov,p_m1_ferry_tot,gcc_name16
1RNSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,46,55,60,41,5,0,253,42,15,20,18,7,0,0,98,4,7,3,9,5,0,0,25,167,142,120,139,92,11,0,672,3,0,4,3,4,0,0,17,3,0,0,0,0,0,0,7,33,37,46,66,29,6,0,224,188,61,29,36,26,6,0,349,19,14,11,18,8,0,0,70,249,114,92,123,74,11,3,664,384,429,338,449,302,49,11,1961,802,688,556,708,469,76,10,3302,49,55,43,48,21,4,0,222,16,18,9,21,13,0,0,75,19,12,9,18,14,7,0,86,81,89,65,90,47,9,0,377,733,4011,7612,8169,7851,4323,1153,33849,14142,14202,11777,11398,11421,2868,314,66125,1125,746,902,1094,920,478,343,5605,76611,91479,102563,118191,89008,18965,2893,499719,494,528,375,370,254,52,7,2088,2160,1468,1081,1149,837,187,22,6899,34,55,54,47,29,3,3,227,Rest of NSW
1GSYD,64,315,161,106,71,18,3,733,137,276,141,76,57,4,3,699,1903,3736,3630,3066,1623,227,10,14201,1210,2012,1159,1006,761,106,7,6259,109,363,235,189,104,14,4,1022,8968,17783,10954,8614,5438,1001,64,52819,52,183,167,117,64,21,0,602,42,88,54,28,15,0,0,240,379,559,746,612,259,53,3,2604,811,490,331,313,219,36,3,2201,88,224,143,107,69,19,7,645,1367,1547,1438,1176,632,128,10,6300,680,989,1047,980,530,86,9,4325,11015,20321,13443,10767,6590,1219,85,63437,1436,2188,1301,1099,728,135,8,6896,90,141,105,75,50,4,3,469,10,29,42,36,18,3,0,146,1543,2357,1448,1211,801,142,9,7513,1593,9159,17599,15132,9607,4023,714,57823,24085,27649,23352,15304,13834,4568,471,109261,1804,2042,1613,1640,1170,546,267,9081,153970,268102,240677,219260,140307,31069,3145,1056525,35024,93524,58354,36578,20420,3642,325,247856,20740,40256,29264,19643,11329,2615,235,124086,362,2346,2368,1477,699,195,18,7465,Greater Sydney
2RVIC,0,0,0,0,0,0,0,0,7,11,7,0,4,3,0,29,27,36,44,45,25,6,0,183,28,3,8,5,9,0,0,51,3,9,7,4,3,0,0,29,84,98,84,63,47,7,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,24,25,26,18,3,0,115,131,19,6,15,6,0,0,185,10,9,7,11,7,0,0,35,164,54,35,49,35,5,0,341,190,201,190,233,144,39,5,1004,437,345,307,346,225,53,5,1716,20,24,14,15,17,3,0,94,17,8,3,3,0,0,0,32,4,3,7,5,3,0,0,20,35,32,22,31,23,3,0,147,377,2116,4012,4509,4557,2634,679,18887,9097,8712,7497,7280,7179,1877,217,41856,702,431,495,661,595,310,174,3371,43201,51097,56279,67151,51717,11223,1710,282377,184,388,288,204,158,36,3,1260,1287,601,403,469,352,78,10,3196,23,33,22,30,10,4,0,120,Rest of Vic.
2GMEL,0,3,0,0,0,0,0,7,1362,3623,1488,955,579,118,15,8146,1359,3252,3311,2421,1206,186,12,11748,681,1379,765,535,354,51,0,3758,115,334,245,158,67,12,0,928,5508,11972,7615,5371,3069,541,32,34117,0,0,0,0,0,0,0,0,313,565,300,208,158,39,4,1594,142,160,114,169,86,11,0,676,591,189,102,110,54,11,3,1064,44,75,29,29,15,8,0,195,1086,990,549,513,319,64,9,3525,1014,1644,1199,1131,606,109,8,5705,7610,14605,9365,7013,3988,717,51,43347,1714,3320,1951,1426,889,148,7,9460,90,99,61,50,30,7,0,340,49,102,65,43,24,7,0,286,1848,3523,2073,1520,950,164,8,10091,1273,8339,15597,13390,8543,3483,561,51187,26017,28968,25050,16608,13801,4169,399,115015,1570,1773,1416,1557,1104,492,274,8195,143850,250879,220165,209111,129948,26970,2657,983586,19976,54420,39458,24944,13359,2340,186,154676,7139,6648,4031,3438,2288,499,51,24089,63,138,75,86,25,11,9,410,Greater Melbourne
3GBRI,12,11,0,4,6,0,0,35,0,0,0,0,0,0,0,5,692,1454,1598,1280,656,87,3,5769,268,372,280,268,137,21,0,1331,33,60,42,34,15,3,0,192,1818,2908,2502,2081,1171,174,3,10651,52,78,73,61,35,0,0,297,0,3,0,3,0,0,0,8,371,565,625,457,256,33,0,2314,573,360,225,190,139,27,0,1514,64,106,71,35,31,5,0,317,1069,1113,989,754,464,66,3,4451,505,669,572,529,353,68,3,2703,3389,4688,4068,3365,1980,307,11,17805,377,452,315,320,180,23,0,1666,110,99,64,56,34,3,0,366,21,35,22,20,23,0,0,124,504,585,401,400,231,29,0,2153,854,4477,8311,7526,5318,1927,293,28710,14405,15597,12359,9562,7823,2037,171,61961,731,693,607,678,492,197,144,3543,85817,118767,114412,109821,67442,12998,1093,510348,6518,12026,9883,7624,4221,582,34,40887,11049,14920,9608,7337,4416,783,62,48174,314,838,508,377,243,48,3,2335,Greater Brisbane
3RQLD,0,0,0,0,0,0,0,3,3,5,4,0,0,0,0,17,20,35,31,39,17,3,0,144,20,4,0,5,0,0,0,33,0,5,0,3,3,0,0,10,133,129,73,83,41,6,0,469,8,11,8,7,7,0,0,41,116,89,42,51,39,10,0,346,35,42,36,43,40,5,0,211,249,80,45,54,17,7,0,452,35,35,15,19,7,3,0,112,436,251,153,180,108,29,0,1160,492,578,480,526,306,52,3,2434,1066,957,705,792,457,86,10,4064,64,43,13,23,15,5,0,166,81,81,60,56,26,0,0,306,22,33,28,46,14,8,0,138,166,161,99,125,55,13,0,614,889,4866,8661,8765,7561,3607,778,35123,12263,12930,10184,9877,8940,2336,255,56781,887,712,892,875,704,380,242,4697,79114,97414,105305,114014,77619,16753,2097,492314,195,239,166,132,81,12,10,835,2868,3071,2367,2255,1338,225,15,12144,64,162,124,115,61,8,4,539,Rest of Qld
4RSAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,14,8,0,0,0,0,0,0,8,0,0,3,3,0,0,0,9,14,6,4,3,0,0,0,27,33,50,31,47,50,9,0,217,55,57,39,55,53,13,0,268,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,4,0,0,3,4,3,0,0,10,5,3,3,7,3,3,0,23,108,610,1037,1292,1449,807,215,5513,1854,2106,1691,1925,1819,516,67,9984,144,114,141,165,135,84,58,839,9714,12062,13680,17200,13512,3225,553,69948,9,9,3,3,0,3,0,28,107,317,288,249,133,17,4,1114,5,11,10,3,0,0,0,36,Rest of SA
4GADE,0,0,0,0,0,0,0,0,26,26,15,25,21,6,0,109,166,270,209,213,153,10,0,1033,51,46,21,31,15,8,0,172,0,13,4,16,9,0,0,48,391,559,372,397,297,42,4,2051,0,0,0,0,0,0,0,0,30,64,33,20,27,0,0,175,222,382,463,432,257,31,0,1789,251,232,136,111,95,20,0,844,26,44,30,19,25,0,0,143,529,724,664,582,404,57,0,2958,311,444,408,396,274,32,3,1870,1236,1723,1435,1373,973,129,4,6885,115,106,98,73,50,12,0,459,66,61,49,31,17,3,0,221,7,24,10,21,5,0,0,74,181,192,162,125,71,17,0,752,295,1664,2965,3049,2447,1183,192,11802,8437,9213,7355,5945,5497,1410,115,37969,409,401,341,395,309,150,116,2128,42361,60367,58569,63218,44577,8746,825,278672,1352,2406,2030,1748,1153,174,9,8872,4722,7754,5812,5164,3645,636,48,27779,13,29,21,22,8,8,0,94,Greater Adelaide
5GPER,3,0,3,0,0,0,0,6,0,0,0,0,0,0,0,3,558,1451,1202,1060,583,59,3,4909,183,327,189,171,113,22,0,1004,15,60,43,36,19,7,0,189,2340,3826,2661,2337,1451,242,16,12874,3,3,4,4,0,0,0,14,0,3,0,0,0,0,0,3,104,215,177,185,101,21,3,808,353,191,119,89,41,12,0,793,22,55,24,19,12,3,0,137,480,468,321,296,150,33,4,1761,347,390,291,312,204,41,4,1577,3167,4678,3277,2948,1804,323,22,16212,530,706,459,462,288,43,4,2488,46,31,25,11,8,0,0,118,13,13,13,17,8,0,0,54,586,752,497,490,296,43,4,2664,549,3633,5972,5615,3836,1523,244,21367,11104,12298,9994,7739,6759,1969,157,50022,681,743,581,638,483,215,92,3439,66151,98872,89367,90707,59832,12396,1109,418438,3633,8034,5994,4626,2617,434,24,25363,5633,8718,5297,3773,2428,521,41,26417,31,58,41,35,17,7,0,190,Greater Perth
5RWAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,3,4,0,0,23,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,6,4,5,7,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,14,19,4,0,0,63,36,7,10,7,4,0,0,67,5,19,11,6,5,0,0,47,55,53,34,30,16,0,0,181,77,127,95,86,73,10,0,470,141,181,132,122,93,12,0,681,0,4,0,3,0,0,0,8,3,11,8,15,3,0,0,44,3,11,0,4,7,0,0,31,13,28,7,24,7,0,0,76,160,1074,1762,1777,1626,888,213,7507,2074,3178,2620,2615,2457,654,62,13659,267,311,308,353,247,94,62,1640,13812,21884,22834,25179,18205,4022,594,106527,19,31,22,16,11,0,0,102,1171,5938,5256,4727,2436,228,11,19760,12,21,10,15,0,0,0,59,Rest of WA
