gcc_code16,p_m1_tram_inc_lr_15_24,p_m1_tram_inc_lr_25_34,p_m1_tram_inc_lr_35_44,p_m1_tram_inc_lr_45_54,p_m1_tram_inc_lr_55_64,p_m1_tram_inc_lr_65_74,p_m1_tram_inc_lr_75ov,p_m1_tram_inc_lr_tot,p_m1_taxi_15_24,p_m1_taxi_25_34,p_m1_taxi_35_44,p_m1_taxi_45_54,p_m1_taxi_55_64,p_m1_taxi_65_74,p_m1_taxi_75ov,p_m1_taxi_tot,p_m1_carasdriv_15_24,p_m1_carasdriv_25_34,p_m1_carasdriv_35_44,p_m1_carasdriv_45_54,p_m1_carasdriv_55_64,p_m1_carasdriv_65_74,p_m1_carasdriv_75ov,p_m1_carasdriv_tot,p_m1_caraspas_15_24,p_m1_caraspas_25_34,p_m1_caraspas_35_44,p_m1_caraspas_45_54,p_m1_caraspas_55_64,p_m1_caraspas_65_74,p_m1_caraspas_75ov,p_m1_caraspas_tot,p_m1_truck_15_24,p_m1_truck_25_34,p_m1_truck_35_44,p_m1_truck_45_54,p_m1_truck_55_64,p_m1_truck_65_74,p_m1_truck_75ov,p_m1_truck_tot,p_m1_mbikescoot_15_24,p_m1_mbikescoot_25_34,p_m1_mbikescoot_35_44,p_m1_mbikescoot_45_54,p_m1_mbikescoot_55_64,p_m1_mbikescoot_65_74,p_m1_mbikescoot_75ov,p_m1_mbikescoot_tot,p_m1_bicycle_15_24,p_m1_bicycle_25_34,p_m1_bicycle_35_44,p_m1_bicycle_45_54,p_m1_bicycle_55_64,p_m1_bicycle_65_74,p_m1_bicycle_75ov,p_m1_bicycle_tot,p_m1_other_15_24,p_m1_other_25_34,p_m1_other_35_44,p_m1_other_45_54,p_m1_other_55_64,p_m1_other_65_74,p_m1_other_75ov,p_m1_other_tot,p_m1_wlkonly_15_24,p_m1_wlkonly_25_34,p_m1_wlkonly_35_44,p_m1_wlkonly_45_54,p_m1_wlkonly_55_64,p_m1_wlkonly_65_74,p_m1_wlkonly_75ov,p_m1_wlkonly_tot,p_m1_tot_m1_15_24,p_m1_tot_m1_25_34,p_m1_tot_m1_35_44,p_m1_tot_m1_45_54,p_m1_tot_m1_55_64,p_m1_tot_m1_65_74,p_m1_tot_m1_75ov,p_m1_tot_m1_tot,p_m2_trnbus_15_24,p_m2_trnbus_25_34,p_m2_trnbus_35_44,p_m2_trnbus_45_54,p_m2_trnbus_55_64,p_m2_trnbus_65_74,p_m2_trnbus_75ov,p_m2_trnbus_tot,p_m2_trnfer_15_24,p_m2_trnfer_25_34,p_m2_trnfer_35_44,p_m2_trnfer_45_54,p_m2_trnfer_55_64,p_m2_trnfer_65_74,p_m2_trnfer_75ov,p_m2_trnfer_tot,p_m2_trntrm_inc_lr_15_24,p_m2_trntrm_inc_lr_25_34,p_m2_trntrm_inc_lr_35_44,p_m2_trntrm_inc_lr_45_54,p_m2_trntrm_inc_lr_55_64,p_m2_trntrm_inc_lr_65_74,p_m2_trntrm_inc_lr_75ov,p_m2_trntrm_inc_lr_tot,p_m2_trncarasdriv_15_24,p_m2_trncarasdriv_25_34,p_m2_trncarasdriv_35_44,p_m2_trncarasdriv_45_54,p_m2_trncarasdriv_55_64,p_m2_trncarasdriv_65_74,p_m2_trncarasdriv_75ov,p_m2_trncarasdriv_tot,p_m2_trncaraspas_15_24,p_m2_trncaraspas_25_34,p_m2_trncaraspas_35_44,p_m2_trncaraspas_45_54,p_m2_trncaraspas_55_64,p_m2_trncaraspas_65_74,p_m2_trncaraspas_75ov,p_m2_trncaraspas_tot,p_m2_trnoth_15_24,p_m2_trnoth_25_34,p_m2_trnoth_35_44,p_m2_trnoth_45_54,p_m2_trnoth_55_64,p_m2_trnoth_65_74,p_m2_trnoth_75ov,p_m2_trnoth_tot,p_m2_train_and_tot_15_24,p_m2_train_and_tot_25_34,p_m2_train_and_tot_35_44,p_m2_train_and_tot_45_54,p_m2_train_and_tot_55_64,p_m2_train_and_tot_65_74,p_m2_train_and_tot_75ov,p_m2_train_and_tot_tot,p_m2_busfer_15_24,p_m2_busfer_25_34,p_m2_busfer_35_44,p_m2_busfer_45_54,p_m2_busfer_55_64,p_m2_busfer_65_74,p_m2_busfer_75ov,p_m2_busfer_tot,p_m2_bustrm_inc_lr_15_24,p_m2_bustrm_inc_lr_25_34,p_m2_bustrm_inc_lr_35_44,p_m2_bustrm_inc_lr_45_54,p_m2_bustrm_inc_lr_55_64,p_m2_bustrm_inc_lr_65_74,p_m2_bustrm_inc_lr_75ov,p_m2_bustrm_inc_lr_tot,p_m2_buscarasdriv_15_24,p_m2_buscarasdriv_25_34,p_m2_buscarasdriv_35_44,p_m2_buscarasdriv_45_54,p_m2_buscarasdriv_55_64,p_m2_buscarasdriv_65_74,p_m2_buscarasdriv_75ov,p_m2_buscarasdriv_tot,p_m2_buscaraspas_15_24,p_m2_buscaraspas_25_34,p_m2_buscaraspas_35_44,p_m2_buscaraspas_45_54,p_m2_buscaraspas_55_64,p_m2_buscaraspas_65_74,p_m2_buscaraspas_75ov,p_m2_buscaraspas_tot,p_m2_busoth_15_24,p_m2_busoth_25_34,p_m2_busoth_35_44,p_m2_busoth_45_54,p_m2_busoth_55_64,p_m2_busoth_65_74,p_m2_busoth_75ov,p_m2_busoth_tot,p_m2_bustot_15_24,p_m2_bustot_25_34,p_m2_bustot_35_44,p_m2_bustot_45_54,p_m2_bustot_55_64,p_m2_bustot_65_74,p_m2_bustot_75ov,p_m2_bustot_tot,p_m2_other_m2_15_24,p_m2_other_m2_25_34,p_m2_other_m2_35_44,p_m2_other_m2_45_54,p_m2_other_m2_55_64,p_m2_other_m2_65_74,p_m2_other_m2_75ov,p_m2_other_m2_tot,p_m2_tot_m2_15_24,p_m2_tot_m2_25_34,p_m2_tot_m2_35_44,p_m2_tot_m2_45_54,p_m2_tot_m2_55_64,p_m2_tot_m2_65_74,p_m2_tot_m2_75ov,p_m2_tot_m2_tot,gcc_name16
1RNSW,9,21,16,10,10,10,0,76,199,272,215,239,225,75,9,1237,87212,135408,150073,167790,122754,22927,2492,688647,21533,8907,6199,7094,5422,1167,187,50519,409,1243,1747,2628,2611,1136,325,10097,954,1028,986,1302,1159,227,61,5720,860,1263,1473,1657,1118,141,23,6529,867,863,1001,1275,1280,661,174,6124,7118,6884,5952,7831,7612,2532,605,38544,121860,157934,169168,191394,143319,29114,3904,816699,144,158,102,106,67,18,0,593,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,5,111,115,142,156,98,20,0,642,90,32,28,29,9,5,0,203,20,26,40,26,19,3,0,137,374,329,314,322,197,44,4,1584,10,0,5,12,4,0,0,34,3,0,0,0,0,0,0,8,83,94,90,105,62,11,0,442,291,117,62,55,48,5,0,578,37,48,28,28,19,0,0,155,420,255,187,204,129,17,4,1218,1033,1336,1076,1195,836,206,57,5744,1822,1912,1571,1725,1160,269,63,8538,Rest of NSW
1GSYD,330,867,712,435,197,30,3,2581,372,1271,1358,1165,634,189,37,5022,120636,254016,279585,275370,179092,39578,3750,1152022,29854,17643,11891,12704,9910,2449,347,84798,890,2733,3661,3890,2753,803,91,14819,1589,4338,3967,3017,1552,200,9,14666,1410,4748,4847,3653,1477,160,16,16309,998,2453,2476,2392,1605,566,110,10603,16525,29678,17912,13935,9769,2647,389,90850,228731,453862,416398,374252,239436,53081,5325,1771079,10486,20607,12413,8208,5321,1334,116,58482,126,602,406,244,176,54,3,1611,245,594,330,161,110,22,4,1469,3765,8528,8834,7183,3971,666,42,32993,2030,2960,1750,1521,1096,164,16,9533,312,1013,908,634,341,45,8,3260,16957,34303,24638,17959,11023,2285,185,107350,87,356,427,285,150,54,10,1360,67,162,120,56,36,4,0,446,688,1190,1532,1162,562,112,18,5258,1261,698,471,406,290,43,8,3176,179,484,382,232,132,27,7,1436,2282,2879,2926,2142,1165,249,38,11675,1790,2897,2914,2583,1411,284,39,11917,21031,40079,30487,22679,13597,2819,255,130945,Greater Sydney
2RVIC,24,15,10,19,8,8,0,79,138,189,145,129,138,26,3,762,45201,74808,81743,94465,71014,13686,1648,382565,13696,4180,2660,2946,2405,552,113,26554,130,413,620,853,907,339,119,3386,262,377,403,541,441,108,41,2174,644,722,862,993,755,111,15,4106,399,527,542,665,750,390,88,3360,5101,4111,3460,4793,5020,1640,382,24501,67078,86367,91158,106104,81969,16979,2410,452064,46,63,34,24,13,5,0,182,0,0,0,0,0,0,0,0,14,14,9,4,4,0,0,53,60,107,104,94,54,11,0,428,51,17,19,16,11,3,0,111,3,33,23,24,18,0,0,98,168,232,180,158,101,21,0,865,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,36,41,44,47,35,11,0,218,208,37,18,16,9,6,0,292,24,16,17,16,10,0,0,91,270,94,77,77,64,20,0,601,549,601,511,574,423,119,26,2800,986,927,772,816,580,157,31,4270,Rest of Vic.
2GMEL,8503,22661,9652,5688,3245,879,116,50732,343,1158,873,689,416,90,23,3595,124992,287190,290270,292682,184537,38644,3663,1221978,32317,16199,9929,9937,7305,1822,264,77765,401,1672,1930,2373,1870,593,76,8923,773,2039,1956,1663,937,100,16,7482,2935,9709,8176,5613,2506,303,33,29282,750,2025,2202,2060,1438,466,99,9042,13197,21186,10573,8607,6287,1850,308,62014,211401,425050,379116,357766,224204,47605,4841,1649986,3870,6688,4668,3004,1853,406,31,20519,4,8,8,3,0,0,0,17,2503,6803,3360,1952,1147,279,22,16063,2655,7422,8167,5812,3023,455,31,27563,1148,2037,1189,817,541,93,3,5840,323,968,893,601,290,41,3,3127,10500,23924,18281,12197,6863,1277,84,73133,0,0,0,3,0,0,0,10,520,919,534,383,293,74,9,2734,250,335,292,308,167,31,5,1390,969,262,167,135,71,23,3,1627,82,136,74,49,37,10,0,386,1826,1661,1068,881,567,129,21,6145,2219,3909,2974,2635,1438,302,27,13510,14545,29499,22322,15712,8867,1712,131,92793,Greater Melbourne
3GBRI,22,28,28,15,19,0,0,105,287,491,353,368,215,70,11,1794,81027,144259,152095,147502,89673,17348,1308,633212,20596,11182,7027,6651,4591,999,118,51163,354,1115,1539,1960,1582,494,49,7088,1218,2785,2638,2575,1357,130,4,10721,1346,3364,3351,2589,1020,88,5,11766,443,1008,1077,1198,839,294,48,4909,7200,9085,5039,4463,3239,852,117,29997,130377,201105,193150,182651,111414,21701,1750,842148,1474,1933,1347,998,659,116,10,6542,15,21,12,7,7,0,0,64,0,3,4,0,0,0,0,9,1195,2608,3257,2731,1424,207,15,11439,498,602,450,411,237,27,3,2234,115,221,243,189,117,18,0,900,3302,5388,5308,4338,2448,374,20,21180,78,154,145,114,61,8,0,559,3,4,0,3,0,0,0,17,626,992,1067,776,414,65,0,3944,858,525,320,259,158,34,0,2157,119,246,173,86,54,5,0,685,1679,1929,1702,1244,688,114,4,7363,1263,1781,1657,1495,921,176,14,7307,6245,9100,8670,7085,4050,662,42,35852,Greater Brisbane
3RQLD,487,619,204,189,136,27,3,1661,354,330,271,281,214,67,10,1524,87858,138713,152164,159825,106761,21237,1914,668467,24079,10498,7140,7460,5109,1225,168,55681,333,1143,1629,2221,1947,656,112,8036,905,1753,1784,2211,1576,248,45,8520,1722,2162,2055,2185,1272,186,20,9601,779,1547,1606,1787,1472,579,145,7919,7723,8221,6265,7493,6653,1976,405,38725,127359,168459,175770,186152,126613,26444,2841,813648,152,137,67,66,34,10,0,469,3,0,0,0,0,0,0,3,7,14,3,3,0,0,0,32,52,80,67,82,45,6,0,323,38,17,6,7,0,0,0,81,12,9,14,13,11,0,0,59,262,257,156,178,93,16,0,962,13,65,67,49,38,4,0,233,189,159,68,73,63,18,0,564,105,175,192,175,103,19,3,770,391,124,86,91,30,6,0,738,60,90,59,53,28,5,0,294,754,616,473,451,259,50,7,2600,1252,1772,1498,1502,953,185,25,7196,2274,2649,2130,2123,1305,254,34,10757,Rest of Qld
4RSAU,0,3,4,3,0,0,0,12,25,29,45,41,48,15,0,204,11778,18010,20012,24153,18545,3799,504,96795,2653,1383,947,1050,755,174,44,7006,44,128,174,284,260,143,38,1064,125,90,94,160,140,22,3,643,86,131,152,209,162,26,3,769,116,241,294,338,332,134,35,1487,1074,1231,1201,1783,1739,558,136,7727,16020,21582,23224,28277,22125,4891,767,116886,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,8,4,8,0,0,29,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,11,7,5,5,10,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,27,18,10,0,0,98,18,5,4,3,0,0,0,32,9,4,6,5,0,0,0,33,32,38,40,32,11,0,0,165,117,176,157,180,174,45,5,854,163,221,204,215,196,47,5,1053,Rest of SA
4GADE,417,862,632,451,305,47,5,2712,98,288,239,225,161,34,11,1050,43559,80158,83285,89066,61204,11884,1094,370252,8598,5329,3653,3885,2938,641,71,25118,94,358,428,718,580,150,10,2346,377,639,588,656,424,39,8,2726,588,1515,1684,1674,1000,98,9,6572,178,518,500,662,551,177,33,2621,2562,2855,2137,2263,1806,577,80,12285,62564,102723,101022,106531,73764,14456,1377,462438,324,429,270,247,180,28,3,1486,0,0,0,0,3,0,0,3,36,51,28,43,25,3,0,189,281,468,434,371,251,29,3,1841,85,77,41,41,31,12,0,282,19,57,47,44,21,3,0,189,750,1078,815,744,511,73,8,3980,0,0,0,0,0,0,0,3,58,102,65,46,47,4,0,316,360,660,774,657,378,44,4,2877,392,322,181,152,112,23,0,1192,58,90,70,49,47,3,0,322,873,1170,1092,909,589,79,6,4710,653,1082,957,915,601,88,10,4304,2274,3330,2854,2569,1701,240,23,13000,Greater Adelaide
5GPER,19,17,22,23,20,4,0,96,199,415,307,273,152,47,7,1403,68090,131699,126902,127543,83882,18165,1642,557927,15086,8547,5041,4796,3437,793,105,37813,199,758,894,1201,971,309,33,4367,529,950,913,1148,577,84,11,4218,1074,2144,2439,2301,1075,174,16,9219,518,1558,1395,1344,876,257,45,5997,4061,4349,2706,2685,2058,643,107,16617,99078,167257,151948,149762,98113,21436,2038,689618,2759,3837,3091,2399,1527,323,26,13956,4,3,3,0,0,0,0,15,0,0,0,0,0,0,0,9,933,2665,2556,2081,1087,135,6,9472,323,476,312,270,178,27,3,1585,69,206,202,170,81,19,3,752,4084,7197,6168,4920,2882,502,33,25790,4,9,9,4,6,0,0,35,3,3,0,3,0,0,0,9,201,437,347,294,176,32,5,1487,580,276,162,109,58,13,0,1208,63,150,71,65,26,6,0,388,851,870,591,473,270,57,7,3122,878,1211,905,933,578,109,7,4624,5817,9272,7662,6328,3737,672,54,33536,Greater Perth
5RWAU,0,3,6,0,3,0,0,13,88,92,92,86,71,6,0,443,14477,29049,32481,34890,24412,5055,596,140956,4940,3706,2616,2459,1524,267,50,15563,126,382,422,525,436,154,44,2095,375,223,264,296,205,41,12,1411,442,544,482,518,351,53,0,2379,493,2337,2023,1891,1061,274,48,8123,2017,3101,2535,3184,2893,841,136,14714,24155,45438,46203,48605,33396,6924,894,205620,7,8,3,9,3,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,10,7,7,3,0,49,3,3,0,0,7,0,0,14,0,5,9,3,0,0,0,14,24,27,21,15,15,3,0,108,0,0,3,0,6,0,0,9,0,0,0,0,0,0,0,0,25,102,76,70,43,3,3,329,57,44,20,12,11,3,0,150,24,127,90,68,35,6,0,348,110,271,198,160,91,9,3,841,210,499,430,381,245,57,6,1832,341,803,647,556,347,75,12,2781,Rest of WA
