gcc_code16,p_m3_trn_and_2_oth_ms_15_24,p_m3_trn_and_2_oth_ms_25_34,p_m3_trn_and_2_oth_ms_35_44,p_m3_trn_and_2_oth_ms_45_54,p_m3_trn_and_2_oth_ms_55_64,p_m3_trn_and_2_oth_ms_65_74,p_m3_trn_and_2_oth_ms_75ov,p_m3_trn_and_2_oth_ms_tot,p_m3_bus2othms_ex_tn_15_24,p_m3_bus2othms_ex_tn_25_34,p_m3_bus2othms_ex_tn_35_44,p_m3_bus2othms_ex_tn_45_54,p_m3_bus2othms_ex_tn_55_64,p_m3_bus2othms_ex_tn_65_74,p_m3_bus2othms_ex_tn_75ov,p_m3_bus2othms_ex_tn_tot,p_m3_other_m3_15_24,p_m3_other_m3_25_34,p_m3_other_m3_35_44,p_m3_other_m3_45_54,p_m3_other_m3_55_64,p_m3_other_m3_65_74,p_m3_other_m3_75ov,p_m3_other_m3_tot,p_m3_tot_m3_15_24,p_m3_tot_m3_25_34,p_m3_tot_m3_35_44,p_m3_tot_m3_45_54,p_m3_tot_m3_55_64,p_m3_tot_m3_65_74,p_m3_tot_m3_75ov,p_m3_tot_m3_tot,p_wkd_at_home_15_24,p_wkd_at_home_25_34,p_wkd_at_home_35_44,p_wkd_at_home_45_54,p_wkd_at_home_55_64,p_wkd_at_home_65_74,p_wkd_at_home_75ov,p_wkd_at_home_tot,p_did_not_go_to_work_15_24,p_did_not_go_to_work_25_34,p_did_not_go_to_work_35_44,p_did_not_go_to_work_45_54,p_did_not_go_to_work_55_64,p_did_not_go_to_work_65_74,p_did_not_go_to_work_75ov,p_did_not_go_to_work_tot,p_mt_ns_15_24,p_mt_ns_25_34,p_mt_ns_35_44,p_mt_ns_45_54,p_mt_ns_55_64,p_mt_ns_65_74,p_mt_ns_75ov,p_mt_ns_tot,p_tot_15_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75ov,p_tot_tot,gcc_name16
9OTER,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,5,4,0,5,3,0,0,0,11,3,10,25,17,29,14,9,105,13,48,46,53,73,21,3,257,7,9,6,6,11,4,0,46,240,468,562,617,551,220,35,2692,Other Territories
8ACTE,0,10,12,6,3,0,0,45,43,46,45,31,12,0,0,170,8,30,29,16,12,0,0,92,51,88,79,56,34,0,0,307,322,930,1551,1438,1279,750,166,6436,5106,5420,4279,3110,2613,833,104,21465,286,294,263,234,163,69,50,1349,32752,54877,51950,46795,27483,6119,665,220648,Australian Capital Territory
7RNTE,0,4,3,3,0,0,0,13,8,14,16,17,3,0,0,55,0,13,7,7,3,0,0,37,12,26,29,30,6,0,0,100,78,180,196,209,173,94,21,951,341,681,539,551,495,108,14,2719,140,180,141,111,82,21,6,677,4146,8444,7157,7331,5401,1254,134,33860,Rest of NT
7GDAR,4,0,0,3,0,0,0,3,11,25,21,11,6,0,0,78,6,12,16,8,9,0,0,44,23,32,35,17,13,3,0,126,47,266,449,432,363,177,33,1776,1001,1514,1167,933,769,210,17,5610,151,223,144,156,101,34,14,827,9774,19490,16593,14668,9341,2064,196,72120,Greater Darwin
6RTAS,0,0,0,0,0,0,0,7,3,3,3,7,0,0,0,18,4,5,11,9,10,0,0,35,4,13,11,16,13,0,0,57,160,551,988,1414,1680,960,291,6052,2510,2240,2118,2324,2340,688,92,12311,217,175,163,212,234,127,67,1202,15534,18564,20853,25717,20492,4825,828,106812,Rest of Tas.
6GHOB,3,4,0,4,0,0,0,12,14,19,20,9,10,0,0,79,4,8,5,13,3,3,0,33,22,28,24,22,19,3,0,118,92,430,864,929,893,538,105,3850,2632,2393,2055,1935,1910,534,56,11516,174,158,123,173,160,57,48,899,14078,20195,21168,22810,17029,3629,453,99359,Greater Hobart
5RWAU,6,20,18,22,6,0,0,74,19,76,63,54,23,0,0,232,9,42,28,32,21,3,0,133,34,139,105,108,49,5,0,442,374,1570,2652,3255,3257,2072,650,13828,3837,7459,7007,6995,5541,1490,189,32519,642,1042,1032,1079,733,264,128,4921,29391,56446,57637,60604,43329,10831,1873,260110,Rest of WA
5GPER,971,1268,969,789,489,68,3,4558,94,83,66,37,14,0,0,290,32,49,45,52,20,3,0,195,1094,1397,1079,875,521,76,3,5050,962,5065,8483,8904,7159,3451,740,34767,18804,18204,14883,12393,11213,3786,392,79670,1428,1740,1374,1393,958,437,188,7514,127179,202930,185435,179644,121702,29855,3420,850156,Greater Perth
4RSAU,4,6,6,3,0,0,0,18,5,7,6,6,3,0,0,29,5,16,21,14,14,4,0,76,11,31,31,23,16,10,0,128,317,984,1843,2647,3095,1921,568,11367,3193,3157,2799,3287,3213,1049,176,16873,353,234,271,351,307,175,137,1830,20058,26212,28369,34799,28948,8100,1643,148135,Rest of SA
4GADE,178,200,181,119,86,18,0,781,110,94,86,53,28,4,0,383,20,60,40,49,24,3,0,206,312,354,304,226,135,29,0,1366,566,2537,4601,5149,4637,2623,535,20653,13813,13125,10672,9216,8713,2654,286,58487,846,874,790,800,585,300,189,4378,80371,122943,120245,124498,89541,20306,2404,560314,Greater Adelaide
