gcc_code16,eafw_18_techfei_ns,eafw_18_techfei_tot,eafw_18_uniotis_ft,eafw_18_uniotis_pt,eafw_18_uniotis_ns,eafw_18_uniotis_tot,eafw_18_other,eafw_18_ns,eafw_18_tot,eafw_19_techfei_ft,eafw_19_techfei_pt,eafw_19_techfei_ns,eafw_19_techfei_tot,eafw_19_uniotis_ft,eafw_19_uniotis_pt,eafw_19_uniotis_ns,eafw_19_uniotis_tot,eafw_19_other,eafw_19_ns,eafw_19_tot,eafw_20_24_techfei_ft,eafw_20_24_techfei_pt,eafw_20_24_techfei_ns,eafw_20_24_techfei_tot,eafw_20_24_uniotis_ft,eafw_20_24_uniotis_pt,eafw_20_24_uniotis_ns,eafw_20_24_uniotis_tot,eafw_20_24_other,eafw_20_24_ns,eafw_20_24_tot,eafw_25_29_techfei_ft,eafw_25_29_techfei_pt,eafw_25_29_techfei_ns,eafw_25_29_techfei_tot,eafw_25_29_uniotis_ft,eafw_25_29_uniotis_pt,eafw_25_29_uniotis_ns,eafw_25_29_uniotis_tot,eafw_25_29_other,eafw_25_29_ns,eafw_25_29_tot,eafw_30over_techfei_ft,eafw_30over_techfei_pt,eafw_30over_techfei_ns,eafw_30over_techfei_tot,eafw_30over_uniotis_ft,eafw_30over_uniotis_pt,eafw_30over_uniotis_ns,eafw_30over_uniotis_tot,eafw_30over_other,eafw_30over_ns,eafw_30over_tot,eafw_tot_techfei_ft,eafw_tot_techfei_pt,eafw_tot_techfei_ns,eafw_tot_techfei_tot,eafw_tot_uniotis_ft,eafw_tot_uniotis_pt,eafw_tot_uniotis_ns,eafw_tot_uniotis_tot,eafw_tot_other,eafw_tot_ns,eafw_tot_tot,tot_16_techfei_ft,tot_16_techfei_pt,tot_16_techfei_ns,tot_16_techfei_tot,tot_16_uniotis_ft,tot_16_uniotis_pt,tot_16_uniotis_ns,tot_16_uniotis_tot,tot_16_other,tot_16_ns,tot_16_tot,tot_17_techfei_ft,tot_17_techfei_pt,tot_17_techfei_ns,tot_17_techfei_tot,tot_17_uniotis_ft,tot_17_uniotis_pt,tot_17_uniotis_ns,tot_17_uniotis_tot,tot_17_other,tot_17_ns,tot_17_tot,tot_18_techfei_ft,tot_18_techfei_pt,tot_18_techfei_ns,tot_18_techfei_tot,tot_18_uniotis_ft,tot_18_uniotis_pt,tot_18_uniotis_ns,tot_18_uniotis_tot,tot_18_other,tot_18_ns,tot_18_tot,tot_19_techfei_ft,tot_19_techfei_pt,tot_19_techfei_ns,tot_19_techfei_tot,tot_19_uniotis_ft,tot_19_uniotis_pt,tot_19_uniotis_ns,tot_19_uniotis_tot,tot_19_other,tot_19_ns,tot_19_tot,tot_20_24_techfei_ft,tot_20_24_techfei_pt,tot_20_24_techfei_ns,tot_20_24_techfei_tot,tot_20_24_uniotis_ft,tot_20_24_uniotis_pt,tot_20_24_uniotis_ns,tot_20_24_uniotis_tot,tot_20_24_other,tot_20_24_ns,tot_20_24_tot,tot_25_29_techfei_ft,tot_25_29_techfei_pt,tot_25_29_techfei_ns,tot_25_29_techfei_tot,tot_25_29_uniotis_ft,tot_25_29_uniotis_pt,tot_25_29_uniotis_ns,tot_25_29_uniotis_tot,tot_25_29_other,tot_25_29_ns,tot_25_29_tot,tot_30over_techfei_ft,tot_30over_techfei_pt,tot_30over_techfei_ns,tot_30over_techfei_tot,tot_30over_uniotis_ft,tot_30over_uniotis_pt,tot_30over_uniotis_ns,tot_30over_uniotis_tot,tot_30over_other,tot_30over_ns,tot_30over_tot,tot_tot_techfei_ft,tot_tot_techfei_pt,tot_tot_techfei_ns,tot_tot_techfei_tot,tot_tot_uniotis_ft,tot_tot_uniotis_pt,tot_tot_uniotis_ns,tot_tot_uniotis_tot,tot_tot_other,tot_tot_ns,tot_tot_tot,gcc_name16
1RNSW,3,92,160,11,0,171,389,38,684,34,76,3,108,358,24,0,389,24,20,540,59,235,0,296,1167,179,5,1346,57,138,1841,39,164,4,214,259,235,3,496,52,86,847,84,475,11,571,256,682,7,945,252,950,2715,275,1064,18,1357,2204,1129,16,3350,2271,1284,8264,162,314,4,483,8,5,0,14,8779,256,9525,273,853,11,1135,44,12,0,55,9214,297,10695,403,1778,23,2200,1721,228,3,1956,3937,245,8340,473,2124,22,2618,3423,484,7,3915,345,170,7048,1424,5894,58,7374,12883,4134,39,17065,1078,820,26336,756,3343,19,4117,3281,4411,24,7716,989,667,13494,1322,10489,95,11910,3559,14235,105,17900,4442,8334,42593,4812,24792,237,29832,24928,23506,183,48613,28790,10795,118030,Rest of NSW
1GSYD,4,153,465,23,0,488,473,27,1140,62,107,3,171,826,65,3,891,45,42,1151,238,371,18,623,3552,570,13,4138,229,256,5245,149,268,8,424,848,512,6,1370,246,246,2284,268,675,26,961,673,1360,28,2059,764,1316,5094,820,1571,55,2436,6389,2524,59,8969,3721,1944,17070,189,479,0,663,34,4,0,40,11171,214,12091,285,1035,4,1324,158,22,0,181,10948,251,12706,874,2202,25,3106,8769,620,14,9397,3918,223,16645,1126,2759,37,3917,14779,1340,48,16163,818,283,21183,4256,9137,83,13475,55250,13179,175,68603,5012,1522,88611,3236,6407,49,9693,15465,13247,101,28813,6108,1543,46163,5254,16292,246,21795,13376,33377,347,47094,15441,10242,94574,15214,38314,449,53971,107827,61791,684,170298,53414,14282,291968,Greater Sydney
2RVIC,0,39,110,6,0,117,255,27,431,34,40,0,80,244,6,3,254,13,22,366,63,133,0,197,730,80,4,812,52,90,1149,38,75,0,115,109,109,0,221,48,54,443,51,214,4,270,138,318,3,451,151,633,1510,235,491,11,733,1339,519,12,1869,1412,870,4888,63,75,4,143,11,3,0,15,5541,184,5875,186,278,7,469,22,11,0,29,6007,190,6694,287,671,7,966,870,89,3,965,3148,167,5254,396,924,16,1336,1992,199,12,2203,272,120,3927,1117,2734,22,3875,7553,1684,33,9267,732,553,14431,409,1363,16,1787,1517,1811,12,3343,588,415,6140,711,4147,40,4904,1837,6437,43,8314,2785,5310,21316,3166,10195,116,13478,13802,10232,98,24132,19075,6950,63633,Rest of Vic.
2GMEL,0,121,361,18,0,385,430,26,960,84,79,0,166,768,59,5,828,65,40,1095,296,286,12,602,3394,442,20,3856,196,231,4876,174,195,8,377,890,398,16,1303,240,245,2168,208,503,17,723,638,1276,19,1931,672,1316,4643,867,1143,43,2054,6066,2192,59,8313,3135,1911,15416,167,117,5,291,35,7,0,36,11925,220,12471,323,416,10,750,170,21,0,188,12800,261,14006,1002,1166,14,2184,6904,390,13,7306,6204,230,15923,1494,1883,23,3399,13772,938,47,14751,789,277,19212,5490,7469,88,13049,56432,9644,185,66267,3822,1539,84670,3370,5159,44,8570,15858,10921,92,26868,4332,1418,41194,4437,12412,195,17041,11574,28221,262,40054,14082,10168,81347,16283,28624,377,45276,104739,50138,601,155481,53945,14124,268827,Greater Melbourne
3GBRI,0,54,309,21,3,325,43,21,441,20,24,0,48,410,22,0,434,8,21,516,99,118,4,222,1257,206,5,1465,88,70,1849,80,134,3,214,339,245,5,587,75,85,969,134,314,3,449,303,774,6,1088,287,561,2390,391,621,8,1027,2689,1271,24,3977,1376,789,7173,105,73,0,176,24,0,0,24,7454,107,7762,255,266,3,520,1598,96,7,1698,6431,118,8770,591,707,8,1311,6050,424,20,6495,677,115,8598,566,844,16,1420,7305,614,23,7941,300,129,9780,2044,3512,21,5578,23844,5224,51,29117,1734,602,37035,1504,2827,24,4359,6576,5644,34,12254,2025,552,19183,2172,7658,63,9899,5737,17374,111,23227,6156,4410,43694,7240,15884,143,23262,51123,29377,246,80749,24773,6036,134819,Greater Brisbane
3RQLD,3,61,211,33,4,246,63,22,394,23,37,0,63,222,24,0,251,19,18,347,71,139,3,221,753,147,5,906,65,85,1279,46,112,4,163,281,229,0,512,72,90,841,114,367,3,483,291,655,8,960,253,783,2472,288,730,15,1035,1815,1094,23,2926,1631,1063,6658,97,116,3,213,15,4,0,21,9824,224,10279,221,384,0,604,742,124,3,865,8047,256,9781,371,973,15,1357,3069,457,11,3538,863,142,5896,358,1025,12,1396,3484,557,14,4062,261,131,5844,1390,3607,42,5027,10856,3855,37,14752,1276,683,21738,892,2697,13,3606,3462,4156,31,7643,1367,611,13241,1823,8422,103,10352,4236,13885,96,18220,5489,6653,40709,5160,17215,190,22567,25872,23041,191,49097,27131,8698,107495,Rest of Qld
4RSAU,0,15,19,0,0,19,37,8,75,4,19,0,24,30,3,0,32,3,3,55,18,27,0,45,84,12,0,98,5,14,161,13,13,0,21,9,19,0,28,8,12,68,24,66,0,90,28,59,0,84,49,168,391,59,132,0,195,168,86,0,258,303,214,967,9,10,0,18,3,0,0,3,1263,45,1331,17,54,0,76,4,0,0,4,1459,59,1598,43,179,0,223,146,15,0,156,470,45,895,43,205,7,258,224,32,0,260,52,23,587,216,629,3,853,711,244,0,959,131,122,2064,109,416,6,532,197,288,0,492,87,120,1231,254,1370,21,1646,354,1282,9,1650,614,1582,5493,698,2868,37,3599,1639,1870,14,3522,4075,1997,13189,Rest of SA
4GADE,0,27,114,9,0,131,94,3,255,15,13,0,32,194,15,0,207,15,12,263,69,91,0,158,827,106,3,941,43,48,1189,40,69,0,112,199,140,0,340,51,56,560,71,196,8,275,216,367,3,584,159,356,1382,220,395,11,627,1553,645,8,2207,843,494,4165,40,20,0,58,8,4,0,16,3773,83,3926,79,104,0,179,67,15,0,79,4466,101,4833,210,375,3,588,2252,183,9,2441,1446,64,4543,273,493,4,763,3525,311,19,3851,228,92,4935,1146,2124,12,3281,13279,2493,42,15812,786,362,20247,700,1611,11,2317,3416,2512,18,5953,780,290,9339,1206,5259,48,6509,3410,8292,58,11762,2934,3000,24209,3651,9979,74,13706,25962,13814,141,39917,14419,3991,72033,Greater Adelaide
5GPER,0,69,216,16,0,230,61,8,373,37,39,0,78,312,31,3,342,22,12,449,107,126,0,228,1140,189,6,1333,53,73,1690,72,92,0,163,313,161,4,483,66,61,770,120,242,6,366,271,516,4,793,203,452,1814,386,554,13,953,2270,909,21,3198,1027,640,5820,149,131,0,279,13,0,0,13,5470,99,5864,283,291,3,569,112,12,0,123,6131,113,6933,640,811,10,1462,4141,396,10,4552,1081,96,7189,651,998,12,1654,5819,627,15,6457,241,108,8462,2217,2946,25,5186,18875,4206,61,23144,1280,506,30119,1516,2148,14,3673,5241,3962,35,9243,1533,478,14925,2225,5770,71,8069,4640,11926,108,16676,4859,3845,33451,7664,13089,134,20890,38841,21136,234,60209,20599,5245,106949,Greater Perth
5RWAU,0,4,21,0,0,21,24,5,56,4,14,0,26,3,4,0,11,0,3,34,11,47,0,61,70,21,0,89,7,23,178,13,49,3,66,26,41,0,68,19,21,174,27,182,3,212,36,150,5,193,77,289,768,72,315,9,393,160,222,5,382,379,344,1497,72,68,0,141,3,0,0,3,1567,38,1750,89,176,3,268,0,3,0,3,1574,56,1906,105,316,4,428,117,39,0,158,230,41,855,94,330,7,428,138,48,0,188,39,33,690,244,831,10,1080,582,341,3,923,184,134,2319,157,747,8,911,268,640,3,909,209,157,2192,367,2641,39,3049,603,2808,17,3431,1086,2217,9786,1134,5101,69,6304,1709,3882,29,5620,4892,2676,19490,Rest of WA
