gcc_code16,nfans_75ov_ewft,nfans_75ov_ewpt,nfans_75ov_eafw,nfans_75ov_ehw_ns,nfans_75ov_tot,nfans_tot_ewft,nfans_tot_ewpt,nfans_tot_eafw,nfans_tot_ehw_ns,nfans_tot_tot,tot_15_19_ewft,tot_15_19_ewpt,tot_15_19_eafw,tot_15_19_ehw_ns,tot_15_19_tot,tot_20_24_ewft,tot_20_24_ewpt,tot_20_24_eafw,tot_20_24_ehw_ns,tot_20_24_tot,tot_25_29_ewft,tot_25_29_ewpt,tot_25_29_eafw,tot_25_29_ehw_ns,tot_25_29_tot,tot_30_34_ewft,tot_30_34_ewpt,tot_30_34_eafw,tot_30_34_ehw_ns,tot_30_34_tot,tot_35_39_ewft,tot_35_39_ewpt,tot_35_39_eafw,tot_35_39_ehw_ns,tot_35_39_tot,tot_40_44_ewft,tot_40_44_ewpt,tot_40_44_eafw,tot_40_44_ehw_ns,tot_40_44_tot,tot_45_49_ewft,tot_45_49_ewpt,tot_45_49_eafw,tot_45_49_ehw_ns,tot_45_49_tot,tot_50_54_ewft,tot_50_54_ewpt,tot_50_54_eafw,tot_50_54_ehw_ns,tot_50_54_tot,tot_55_59_ewft,tot_55_59_ewpt,tot_55_59_eafw,tot_55_59_ehw_ns,tot_55_59_tot,tot_60_64_ewft,tot_60_64_ewpt,tot_60_64_eafw,tot_60_64_ehw_ns,tot_60_64_tot,tot_65_69_ewft,tot_65_69_ewpt,tot_65_69_eafw,tot_65_69_ehw_ns,tot_65_69_tot,tot_70_74_ewft,tot_70_74_ewpt,tot_70_74_eafw,tot_70_74_ehw_ns,tot_70_74_tot,tot_75ov_ewft,tot_75ov_ewpt,tot_75ov_eafw,tot_75ov_ehw_ns,tot_75ov_tot,tot_tot_ewft,tot_tot_ewpt,tot_tot_eafw,tot_tot_ehw_ns,tot_tot_tot,gcc_name16
1RNSW,81,86,11,61,236,7758,5073,536,827,14201,14446,43617,2584,1956,62596,48171,35258,2897,2388,88710,61359,25815,3944,1807,92925,59707,29083,4822,1703,95320,58782,30773,3204,1611,94370,69230,34177,2650,1775,107824,74276,34045,2776,1829,112935,74530,35153,3448,1768,114900,66501,35410,4446,1615,107973,39026,29082,3575,1237,72927,14417,16031,1718,784,32947,4889,7118,669,535,13210,3214,4211,471,894,8796,588547,359780,37214,19900,1005433,Rest of NSW
1GSYD,40,96,18,41,191,14808,6945,636,1688,24084,17682,68525,3588,2656,92447,102867,93931,4989,5842,207624,194506,62284,7393,6052,270232,208389,61230,11969,5553,287137,186426,61974,8787,4576,261759,180944,63193,5227,3995,253360,169829,58394,4133,3896,236247,155789,53224,4577,3615,217212,124880,48608,4967,2735,181188,70933,40810,4023,1921,117689,26571,25600,2207,978,55355,6945,11397,800,479,19621,2582,5807,452,571,9410,1448345,654965,63108,42877,2209294,Greater Sydney
2RVIC,38,58,10,35,142,4376,3066,339,499,8284,6959,25680,1406,1191,35239,26764,20190,1738,1397,50098,34567,13862,2252,1009,51688,31996,16155,2886,891,51927,30886,17639,2065,868,51465,35971,20116,1715,988,58789,39682,20680,1786,1007,63159,40399,20573,2395,1033,64406,36068,21170,2883,1008,61124,22436,18049,2637,821,43943,8345,9874,1366,477,20066,2814,4051,469,333,7664,1956,2584,361,511,5409,318846,210626,23975,11544,564981,Rest of Vic.
2GMEL,54,97,15,49,211,13600,7225,661,1520,23007,10916,68959,2667,2363,84903,85351,98606,4747,5125,193831,177159,63658,7013,5481,253308,188800,61164,11723,4803,266488,162572,62491,8649,3842,237556,157001,65277,5199,3595,231064,155854,62908,4464,3586,226813,138809,54201,4618,3190,200809,109814,49140,4924,2481,166361,63180,40748,4276,1705,109905,22148,24482,2177,925,49734,5631,10138,818,504,17088,2242,4972,438,638,8290,1279472,666757,61696,38241,2046169,Greater Melbourne
3GBRI,18,42,4,20,93,6798,3456,330,740,11328,10435,44543,1706,1427,58115,54471,47068,2737,2305,106584,81905,30453,4018,2242,118616,86059,30074,5961,1948,124043,79744,30153,4086,1700,115686,84257,31236,2646,1726,119865,83127,29196,2486,1657,116461,74335,25195,2783,1350,103659,58080,22948,2983,1082,85101,33611,18435,2338,744,55135,11316,10896,1059,388,23661,2707,4380,302,213,7599,965,1963,146,312,3393,661012,326539,33245,17105,1037906,Greater Brisbane
3RQLD,40,55,6,30,137,7523,4292,473,766,13046,14285,45604,2045,1715,63651,52781,33341,2552,2107,90780,66519,25939,4074,1951,98476,66973,28379,4822,1816,101994,64499,29963,3302,1708,99471,73499,32581,2792,1934,110802,77268,31948,2834,1888,113926,73279,30440,3335,1613,108679,61409,28741,3596,1448,95195,37205,23296,2878,1070,64452,13896,13337,1315,666,29216,4398,5836,485,392,11110,2328,2981,290,578,6175,608327,332386,34323,18887,993929,Rest of Qld
4RSAU,12,15,3,12,42,1291,871,112,117,2389,1871,5820,311,269,8269,6860,4191,475,259,11785,8458,3490,644,240,12832,8195,4229,689,262,13381,7949,4480,485,207,13128,9595,4927,475,250,15242,11033,5497,532,276,17337,11053,5481,650,278,17464,10053,5610,771,257,16699,6694,4657,702,192,12251,2544,2680,372,128,5725,868,1262,143,100,2375,573,799,109,162,1643,85739,53128,6372,2889,148135,Rest of SA
4GADE,12,47,6,16,83,3687,2339,200,354,6579,3518,22584,908,612,27618,22913,27144,1585,1112,52755,38708,17195,2320,1065,59285,40804,18454,3424,975,63656,37302,18633,2314,782,59026,39636,19305,1535,741,61219,42388,19132,1475,827,63820,40335,17873,1783,692,60682,34212,16817,1952,532,53520,20435,13613,1536,443,36022,6560,7770,754,243,15333,1502,3089,233,147,4975,632,1446,136,192,2404,328932,203055,19955,8370,560314,Greater Adelaide
5GPER,10,41,4,11,62,5169,2907,294,474,8839,7453,34692,1361,1002,44502,40154,38333,2299,1892,82678,68005,25537,3508,1865,98911,70847,26759,4769,1643,104020,60955,26847,3392,1348,92551,61543,27729,2320,1294,92886,63696,26724,2303,1294,94015,58246,23812,2502,1073,85632,46542,21862,2624,888,71916,27958,19023,2213,591,49780,9709,11371,1120,315,22505,2169,4632,358,181,7342,797,2261,178,187,3420,518078,289570,28950,13567,850156,Greater Perth
5RWAU,20,18,9,10,53,2103,986,173,206,3469,3614,7177,407,401,11592,12152,4371,766,514,17799,19638,4771,1564,489,26469,21041,6336,2038,564,29983,19078,6690,1531,488,27785,20657,7286,1365,560,29859,21819,7242,1509,595,31158,20599,6650,1637,560,29441,17252,6541,1676,455,25923,10280,5576,1238,315,17407,3858,3211,519,179,7772,1203,1532,210,114,3060,675,931,120,150,1873,171856,68305,14558,5392,260110,Rest of WA
6GHOB,6,8,0,3,16,719,518,49,59,1347,868,4018,236,132,5252,4133,4209,327,159,8823,6179,3003,418,171,9765,6374,3301,598,158,10430,6035,3443,435,122,10027,6925,3757,338,122,11137,7492,3539,310,126,11478,7383,3398,397,149,11336,6419,3461,442,112,10440,3432,2755,328,78,6594,1068,1514,122,55,2761,231,559,62,20,872,87,289,24,51,453,56617,37246,4036,1459,99359,Greater Hobart
6RTAS,5,14,3,3,27,943,656,89,92,1780,1444,4456,256,191,6348,4994,3653,356,187,9187,5716,2697,405,154,8976,5744,3153,527,168,9583,5631,3462,374,158,9627,6763,3944,343,180,11227,7970,4218,412,221,12826,8006,4207,502,173,12887,7060,4249,626,212,12141,4193,3498,521,136,8348,1370,1808,236,85,3501,431,766,65,64,1325,250,465,49,70,828,59567,40565,4661,2013,106812,Rest of Tas.
7RNTE,3,0,0,3,3,379,149,38,112,676,573,678,52,88,1399,1993,524,102,132,2743,3183,663,196,145,4185,3060,836,223,142,4256,2531,750,206,112,3598,2604,705,153,91,3552,2795,665,156,85,3700,2791,571,177,98,3631,2448,506,173,74,3204,1600,424,120,50,2196,606,265,56,25,958,165,106,11,14,297,62,47,6,14,134,24420,6746,1624,1066,33860,Rest of NT
7GDAR,3,0,0,0,3,634,193,42,98,965,941,1984,103,120,3151,4474,1665,275,216,6627,7324,1654,395,224,9596,7487,1652,539,207,9891,6565,1505,353,149,8581,6260,1336,282,135,8012,6194,1200,274,143,7812,5422,997,292,140,6859,4281,986,298,92,5658,2672,764,178,67,3681,990,493,85,35,1601,235,184,24,18,464,77,90,9,10,196,52917,14518,3120,1567,72120,Greater Darwin
8ACTE,3,13,3,3,20,1420,569,84,110,2183,2063,8350,416,365,11188,11302,9041,684,539,21565,19690,5079,1140,374,26283,20367,5972,1887,368,28594,18553,6136,1309,367,26365,18942,5565,797,285,25586,19002,4806,667,283,24759,16919,4061,820,234,22031,12502,3703,755,192,17153,6462,3226,531,116,10337,2257,2086,273,65,4678,505,814,76,38,1437,168,395,46,54,665,148735,59238,9400,3274,220648,Australian Capital Territory
9OTER,0,0,0,0,0,36,17,5,0,57,26,41,3,10,75,108,39,11,3,161,153,37,19,5,212,172,61,22,3,250,197,60,21,9,289,195,53,20,5,271,210,55,16,7,289,233,76,9,10,335,222,60,24,7,320,147,62,17,6,234,98,58,7,6,167,33,23,0,0,54,8,17,0,3,35,1801,645,168,75,2692,Other Territories
