lga_code,lga_name,new_houses_num,new_oth_resial_building_num,tot_dwl_num,value_new_houses_aud000,value_new_oth_resial_building_aud000,value_alterations_additions_conversions_resial_building_aud000,value_tot_resial_building_aud000,value_non_resial_building_aud000,value_tot_building_aud000
10050,Albury (C),310,18,330,100749.7,3125.5,18213.8,122088.9,67909.3,189998.3
10130,Armidale Regional (A),34,3,40,10547.9,670.0,3022.6,14240.6,45815.9,60056.5
10250,Ballina (A),255,79,338,88215.8,21156.7,10988.3,120360.9,14488.0,134848.8
10300,Balranald (A),0,0,0,0.0,0.0,32.2,32.2,2327.0,2359.2
10470,Bathurst Regional (A),310,90,411,82656.4,19400.7,6722.1,108779.2,53452.5,162231.7
10550,Bega Valley (A),186,18,210,62038.0,4887.1,13676.4,80601.5,11279.1,91880.7
10600,Bellingen (A),20,0,20,5473.1,0.0,2237.0,7710.1,1809.0,9519.1
10650,Berrigan (A),46,10,56,13282.4,2494.0,1962.9,17739.3,7501.4,25240.7
10750,Blacktown (C),2995,1307,4322,778668.7,308235.9,22993.3,1109897.9,851079.8,1960977.8
10800,Bland (A),9,2,11,2768.0,260.0,571.1,3599.2,2165.0,5764.2
10850,Blayney (A),7,0,7,2168.0,0.0,1374.0,3542.0,1391.3,4933.3
10900,Blue Mountains (C),240,62,320,84850.7,10140.9,36893.3,131884.9,29034.2,160919.1
10950,Bogan (A),9,0,9,2291.1,0.0,213.2,2504.3,810.0,3314.3
11100,Botany Bay (C),55,1781,1840,18663.9,561462.5,8083.1,588209.5,244173.7,832383.2
11150,Bourke (A),3,3,6,1245.0,999.5,1220.0,3464.5,60490.2,63954.7
11200,Brewarrina (A),4,2,6,1071.7,384.0,438.8,1894.5,1326.5,3221.0
11250,Broken Hill (C),9,0,10,1627.6,0.0,1157.1,2784.7,4829.6,7614.3
13910,Hilltops (A),48,8,56,14940.0,1401.0,2823.8,19164.7,2824.8,21989.6
14000,Hornsby (A),321,862,1185,111131.2,246657.9,48351.0,406140.2,79744.2,485884.4
14100,Hunters Hill (A),12,4,25,7381.2,1000.0,21102.8,29484.0,1842.9,31326.9
14170,Inner West (A),98,634,795,40063.6,209440.3,168028.4,417532.3,170769.8,588302.1
14200,Inverell (A),38,6,48,11241.1,1320.0,3311.6,15872.7,5386.0,21258.7
14300,Junee (A),28,4,32,8561.0,700.0,1869.4,11130.4,153330.1,164460.5
14350,Kempsey (A),106,18,125,28222.8,2222.1,4287.4,34732.3,6504.7,41237.0
14400,Kiama (A),168,114,284,75431.3,32078.0,20552.4,128061.6,31759.0,159820.6
14500,Ku-ring-gai (A),242,649,900,151729.7,238459.3,122867.9,513056.9,86698.3,599755.2
14550,Kyogle (A),25,0,26,4054.6,0.0,1611.3,5665.9,13578.4,19244.2
14600,Lachlan (A),4,2,6,798.9,683.2,1136.4,2618.4,3392.5,6010.9
14650,Lake Macquarie (C),884,336,1226,271542.7,68580.2,53347.5,393470.5,139091.5,532562.0
14700,Lane Cove (A),26,1228,1257,19982.4,465131.9,30591.4,515705.7,11765.6,527471.3
14750,Leeton (A),21,6,27,6311.0,875.0,1508.3,8694.3,8781.1,17475.4
14850,Lismore (C),114,241,357,32263.1,28415.2,3588.8,64267.1,102616.9,166884.0
14870,Lithgow (C),113,11,126,35612.3,1409.5,5834.0,42855.8,26739.0,69594.7
14900,Liverpool (C),1617,2770,4406,468162.8,779138.3,15956.8,1263257.9,267908.8,1531166.8
14920,Liverpool Plains (A),6,0,6,1397.3,0.0,1347.7,2745.0,4346.5,7091.5
14950,Lockhart (A),4,0,4,1756.0,0.0,839.1,2595.1,360.0,2955.1
15050,Maitland (C),613,167,782,183287.3,32604.2,11866.0,227757.4,70887.1,298644.5
15240,Mid-Coast (A),358,35,394,101782.2,10093.9,17959.3,129835.3,42773.4,172608.8
15270,Mid-Western Regional (A),23,0,23,6354.3,0.0,2534.9,8889.2,13317.9,22207.1
15300,Moree Plains (A),8,0,8,2843.5,0.0,1096.7,3940.2,5921.5,9861.7
15350,Mosman (A),17,9,30,34161.5,9816.3,59181.9,103159.7,969.4,104129.1
15520,Murray River (A),91,0,91,29162.4,0.0,2091.6,31254.0,2932.9,34186.9
15560,Murrumbidgee (A),4,0,4,2436.1,0.0,204.7,2640.8,671.9,3312.7
