yr,priv_hlth_taxpayers_report_having_priv_hlth_insur_num,core_activity_need_asst_p_need_asst_core_activ_pr100,lga_code18,lga_name18,ogc_fid
2016,4663.0,8.0,11250,Broken Hill (C),1
2015,4749.0,,11250,Broken Hill (C),2
2014,4545.0,,11250,Broken Hill (C),3
2011,48121.0,5.0,36910,Toowoomba (R),18
2016,385.0,3.8,58890,West Arthur (S),19
2015,392.0,,58890,West Arthur (S),20
2014,374.0,,58890,West Arthur (S),21
2013,357.0,,58890,West Arthur (S),22
2012,345.0,,58890,West Arthur (S),23
2011,353.0,2.4,58890,West Arthur (S),24
2016,117586.0,5.6,35010,Moreton Bay (R),25
2015,115014.0,,35010,Moreton Bay (R),26
2014,109421.0,,35010,Moreton Bay (R),27
2013,102422.0,,35010,Moreton Bay (R),28
2013,4294.0,,11250,Broken Hill (C),4
2012,4269.0,,11250,Broken Hill (C),5
2011,4059.0,7.5,11250,Broken Hill (C),6
2016,1550.0,5.2,58820,Waroona (S),7
2015,1519.0,,58820,Waroona (S),8
2014,1470.0,,58820,Waroona (S),9
2013,1374.0,,58820,Waroona (S),10
2012,1332.0,,58820,Waroona (S),11
2011,1274.0,6.1,58820,Waroona (S),12
2016,54228.0,5.9,36910,Toowoomba (R),13
2015,54638.0,,36910,Toowoomba (R),14
2014,52769.0,,36910,Toowoomba (R),15
2013,50531.0,,36910,Toowoomba (R),16
2012,50098.0,,36910,Toowoomba (R),17
2012,97673.0,,35010,Moreton Bay (R),29
2011,93195.0,4.8,35010,Moreton Bay (R),30
2016,204.0,3.6,33100,Etheridge (S),31
2015,217.0,,33100,Etheridge (S),32
2014,214.0,,33100,Etheridge (S),33
2013,200.0,,33100,Etheridge (S),34
2012,211.0,,33100,Etheridge (S),35
2011,204.0,2.8,33100,Etheridge (S),36
2016,371.0,3.5,58540,Victoria Plains (S),37
2015,3514.0,,48830,Yorke Peninsula (DC),62
2014,3458.0,,48830,Yorke Peninsula (DC),63
2013,3292.0,,48830,Yorke Peninsula (DC),64
2012,3332.0,,48830,Yorke Peninsula (DC),65
2011,3218.0,7.5,48830,Yorke Peninsula (DC),66
2016,39812.0,1.7,24600,Melbourne (C),67
2015,37141.0,,24600,Melbourne (C),68
2014,34260.0,,24600,Melbourne (C),69
2013,31608.0,,24600,Melbourne (C),70
2012,30086.0,,24600,Melbourne (C),71
2011,28039.0,2.0,24600,Melbourne (C),72
2016,3260.0,5.9,48340,Wattle Range (DC),73
2015,3419.0,,48340,Wattle Range (DC),74
2014,3415.0,,48340,Wattle Range (DC),75
2013,3191.0,,48340,Wattle Range (DC),76
2012,3197.0,,48340,Wattle Range (DC),77
2011,3118.0,5.3,48340,Wattle Range (DC),78
2016,1482.0,7.0,13660,Gwydir (A),79
2015,1512.0,,13660,Gwydir (A),80
2014,1427.0,,13660,Gwydir (A),81
2013,1302.0,,13660,Gwydir (A),82
2012,1277.0,,13660,Gwydir (A),83
2011,1201.0,7.1,13660,Gwydir (A),84
2016,33575.0,8.5,12850,Fairfield (C),85
2015,31915.0,,12850,Fairfield (C),86
2015,419.0,,58540,Victoria Plains (S),38
2014,30228.0,,12850,Fairfield (C),87
2013,26896.0,,12850,Fairfield (C),88
