yr,est_p_inc_emply_inc_num,est_p_inc_emply_inc_med_age_yrs,est_p_inc_tot_emply_inc_aud,est_p_inc_med_emply_inc_aud,est_p_inc_avg_emply_inc_aud,est_p_inc_emply_inc_mn_src_inc_pr100,est_p_inc_own_unincorportd_bsns_inc_num,est_p_inc_own_unincorportd_bsns_inc_med_age_yrs,est_p_inc_tot_own_unincorportd_bsns_inc_aud,est_p_inc_med_own_unincorportd_bsns_inc_aud,est_p_inc_avg_own_unincorportd_bsns_inc_aud,est_p_inc_own_unincorportd_bsns_inc_mn_src_inc_pr100,est_p_inc_investment_inc_num,est_p_inc_investment_inc_med_age_yrs,est_p_inc_tot_investment_inc_aud,est_p_inc_med_investment_inc_aud,est_p_inc_avg_investment_inc_aud,est_p_inc_investment_inc_mn_src_inc_pr100,est_p_inc_super_annuity_inc_num,est_p_inc_super_annuity_inc_med_age_yrs,est_p_inc_tot_super_annuity_inc_aud,est_p_inc_med_super_annuity_inc_aud,est_p_inc_avg_super_annuity_inc_aud,est_p_inc_super_annuity_inc_mn_src_inc_pr100,est_p_inc_tot_inc_excl_gov_pnsn_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_med_age_yrs,est_p_inc_tot_inc_excl_gov_pnsn_aud,est_p_inc_med_tot_inc_excl_gov_pnsn_aud,est_p_inc_avg_tot_inc_excl_gov_pnsn_aud,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p20_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p20_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p10_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_gini_coefficient_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_1_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_5_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_10_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_loest_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_second_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_third_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_hi_quartile_pr100,gcg_rptd_by_taxpayers_gcg_p_num,gcg_rptd_by_taxpayers_gcg_amount_audm,gcg_rptd_by_taxpayers_gcg_med_aud,gcg_rptd_by_taxpayers_gcg_avg_aud,slct_gov_pnsn_alwn_age_pension_centrelink_num,slct_gov_pnsn_alwn_age_pension_dva_num,slct_gov_pnsn_alwn_pension_dva_num,slct_gov_pnsn_alwn_inc_supp_supplement_dva_num,slct_gov_pnsn_alwn_carer_payment_num,slct_gov_pnsn_alwn_carer_alloance_num,slct_gov_pnsn_alwn_dsblty_supp_pension_num,slct_gov_pnsn_alwn_newstart_alloance_num,slct_gov_pnsn_alwn_prnting_payment_single_num,slct_gov_pnsn_alwn_prnting_payment_prtred_num,slct_gov_pnsn_alwn_yth_alloance_full_time_studts_aprtc_num,slct_gov_pnsn_alwn_yth_alloance_oth_num,slct_gov_pnsn_alwn_fam_tax_bft_num,slct_gov_pnsn_alwn_fam_tax_bft_b_num,slct_gov_pnsn_alwn_commonwealth_rent_asst_num,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1_aud499wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud500_aud999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1000_aud1999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud2000_aud2999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud3000_plswk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_nil_inc_pr100,tot_p_inc_wk_p_ov_15_yrs_p_negative_inc_pr100,eq_t_hs_inc_fam_lone_grp_hslds_med_eq_t_hs_inc_wk_aud,lga_code18,lga_name18,ogc_fid
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2988.0,,,,348.0,734.0,1302.0,983.0,394.0,64.0,32.0,132.0,1329.0,1134.0,1399.0,,,,,,,,,11250.0,Broken Hill (C),1.0
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3003.0,4.0,79.0,92.0,341.0,,1289.0,1002.0,408.0,69.0,38.0,168.0,1358.0,1182.0,,,,,,,,,,11250.0,Broken Hill (C),2.0
2016,8228.0,42.0,452361192.0,47574.0,54978.0,83.2,890.0,51.0,20947334.0,9171.0,23536.0,5.5,5155.0,49.0,19986633.0,138.0,3877.0,9.9,231.0,57.0,5435437.0,10000.0,23530.0,1.2,8341.0,45.0,473523244.0,48050.0,56771.0,4.85,1.86,0.38,0.17,0.424,5.1,15.9,26.6,24.2,25.4,24.7,25.7,378.0,6.9,1121.0,18260.0,3021.0,4.0,95.0,95.0,347.0,,1334.0,1062.0,438.0,,49.0,202.0,1431.0,1273.0,,35.9,21.8,18.0,4.1,1.2,5.9,0.4,648.0,11250.0,Broken Hill (C),3.0
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18797.0,74.0,1013.0,467.0,1718.0,,6299.0,5016.0,2398.0,699.0,992.0,1080.0,11813.0,9306.0,,,,,,,,,,36910.0,Toowoomba (R),18.0
2015,305.0,34.0,12474185.0,33781.0,40899.0,51.2,253.0,50.0,-5088048.0,13005.0,-20111.0,32.0,312.0,48.0,1508415.0,260.0,4835.0,14.6,,,,,,,458.0,46.0,11650451.0,31499.0,25438.0,7.97,2.21,0.28,0.01,,,44.1,69.4,37.3,28.5,18.7,15.5,34.0,0.9,2554.0,25848.0,85.0,,,,,,35.0,,,,,,58.0,52.0,,,,,,,,,,33100.0,Etheridge (S),44.0
2015,8506.0,42.0,449384456.0,45029.0,52831.0,83.4,924.0,51.0,23657695.0,9319.0,25604.0,5.7,5247.0,49.0,21285583.0,191.0,4057.0,9.6,223.0,57.0,5233395.0,10000.0,23468.0,1.1,8548.0,45.0,473775080.0,46595.0,55425.0,4.69,1.88,0.4,0.18,0.426,5.1,16.2,27.1,24.2,26.1,24.6,25.1,408.0,6.6,1748.0,16122.0,2988.0,4.0,112.0,105.0,325.0,,1419.0,1070.0,468.0,,51.0,210.0,1486.0,1373.0,,,,,,,,,,11250.0,Broken Hill (C),4.0
2014,8310.0,42.0,424712845.0,43597.0,51109.0,83.5,902.0,52.0,16973358.0,7603.0,18817.0,5.3,5038.0,49.0,23348715.0,226.0,4635.0,9.9,200.0,57.0,3991181.0,10314.0,19956.0,0.9,8402.0,45.0,450678203.0,45514.0,53639.0,4.8,1.88,0.39,0.16,0.429,5.2,16.2,27.0,24.5,25.9,25.0,24.5,400.0,5.3,1185.0,13183.0,2970.0,5.0,116.0,112.0,326.0,,1481.0,982.0,474.0,,48.0,218.0,1529.0,1411.0,,,,,,,,,,11250.0,Broken Hill (C),5.0
2013,8136.0,41.0,412716247.0,43691.0,50727.0,83.1,903.0,51.0,17818458.0,6746.0,19733.0,5.2,5005.0,49.0,25049144.0,271.0,5005.0,10.3,207.0,57.0,4189017.0,10000.0,20237.0,1.0,8355.0,44.0,443730526.0,44581.0,53110.0,4.64,1.88,0.41,0.16,0.43,5.5,16.6,27.3,23.7,26.5,24.8,25.0,352.0,4.4,633.0,12463.0,2982.0,4.0,130.0,112.0,308.0,,1568.0,873.0,469.0,,65.0,184.0,1542.0,1422.0,,,,,,,,,,11250.0,Broken Hill (C),6.0
2012,8086.0,41.0,392600250.0,41540.0,48553.0,83.3,950.0,51.0,21156912.0,8768.0,22270.0,5.6,5190.0,49.0,21746281.0,251.0,4190.0,9.9,209.0,57.0,4132092.0,10000.0,19771.0,0.9,8465.0,44.0,426926474.0,42240.0,50434.0,5.09,1.91,0.38,0.15,0.43700000000000006,5.5,16.9,27.7,24.5,26.5,24.3,24.8,319.0,5.6,1245.0,17598.0,,,,,,,,,,,,,,,,,,,,,,,,11250.0,Broken Hill (C),7.0
2011,7759.0,41.0,351380211.0,38050.0,45287.0,82.8,956.0,51.0,16367056.0,6042.0,17120.0,5.5,4938.0,49.0,18823268.0,248.0,3812.0,10.4,189.0,57.0,3541568.0,10000.0,18738.0,1.0,8234.0,44.0,382088991.0,38290.0,46404.0,5.41,1.96,0.36,0.14,0.45399999999999996,5.5,17.1,28.4,26.4,26.7,23.1,23.7,411.0,6.5,1669.0,15815.0,,,,,,,,,,,,,,,,,,,,,,,549.0,11250.0,Broken Hill (C),8.0
