lga_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,lga_name16
10050,26948.0,43.0,1331182577.0,41383.0,49398.0,4.45,1.74,0.39,0.18,0.44,7.8,19.7,30.0,24.5,27.5,28.0,20.0,Albury (C)
10130,14679.0,45.0,652575155.0,36245.0,44456.0,5.58,1.88,0.34,0.13,0.48700000000000004,7.6,20.6,31.9,30.4,28.6,23.3,17.8,Armidale Regional (A)
10250,22308.0,48.0,973881845.0,34565.0,43656.0,5.95,1.94,0.33,0.12,0.495,8.0,21.4,32.9,31.8,29.3,21.5,17.4,Ballina (A)
10300,1105.0,46.0,49187688.0,36824.0,44514.0,4.11,1.78,0.43,0.2,0.445,7.2,19.6,30.2,26.6,31.8,25.0,16.5,Balranald (A)
10470,20398.0,43.0,1044946854.0,43341.0,51228.0,4.85,1.83,0.38,0.17,0.43700000000000006,6.0,17.6,28.2,24.4,25.2,25.6,24.8,Bathurst Regional (A)
10550,17845.0,50.0,728254207.0,33355.0,40810.0,5.62,1.87,0.33,0.13,0.48200000000000004,7.8,20.4,31.6,32.5,29.9,23.2,14.5,Bega Valley (A)
10600,6434.0,50.0,242739279.0,30259.0,37728.0,6.91,1.98,0.29,0.09,0.503,6.6,19.6,31.6,36.4,28.6,21.1,13.9,Bellingen (A)
10650,4535.0,49.0,177955357.0,32456.0,39240.0,6.47,1.9,0.29,0.09,0.527,7.6,20.6,32.3,34.6,27.9,22.9,14.5,Berrigan (A)
10750,153738.0,39.0,7674591959.0,45630.0,49920.0,3.83,1.63,0.43,0.21,0.384,4.5,14.9,25.0,21.0,25.5,31.7,21.8,Blacktown (C)
10800,3156.0,47.0,141049914.0,35516.0,44693.0,6.56,2.1,0.32,0.1,0.534,6.5,20.2,32.4,30.9,27.3,20.7,21.1,Bland (A)
10850,3698.0,46.0,185477580.0,40934.0,50156.0,5.5,1.95,0.35,0.13,0.47700000000000004,6.9,19.2,30.5,26.8,25.4,24.0,23.9,Blayney (A)
10900,42648.0,47.0,2288597765.0,43302.0,53662.0,5.54,1.94,0.35,0.15,0.45899999999999996,6.8,19.0,29.9,25.9,23.8,23.1,27.2,Blue Mountains (C)
10950,1494.0,44.0,68059600.0,37968.0,45555.0,6.13,1.94,0.32,0.11,0.526,5.8,19.2,31.4,30.5,24.8,23.8,20.8,Bogan (A)
11100,21836.0,40.0,1157859347.0,44741.0,53025.0,4.24,1.76,0.42,0.21,0.425,6.2,18.0,28.6,22.0,25.8,28.1,24.0,Botany Bay (C)
11150,1372.0,42.0,65714334.0,41968.0,47897.0,4.65,1.77,0.38,0.15,0.45899999999999996,6.9,18.0,28.7,24.6,26.4,26.7,22.3,Bourke (A)
11200,613.0,46.0,28516907.0,39389.0,46520.0,4.67,1.85,0.4,0.18,0.46399999999999997,5.4,18.0,29.5,28.2,24.8,26.4,20.7,Brewarrina (A)
11250,8465.0,44.0,426926474.0,42240.0,50434.0,5.09,1.91,0.38,0.15,0.43700000000000006,5.5,16.9,27.7,24.5,26.5,24.3,24.8,Broken Hill (C)
13910,9253.0,46.0,391619369.0,35543.0,42324.0,5.48,1.83,0.33,0.12,0.49,7.3,20.2,31.6,30.2,30.2,23.6,15.9,Hilltops (A)
14000,83168.0,45.0,5302143333.0,47436.0,63752.0,6.11,2.03,0.33,0.14,0.496,8.1,22.0,33.7,24.8,21.3,21.4,32.4,Hornsby (A)
14100,7788.0,48.0,910216481.0,59844.0,116874.0,7.83,2.52,0.32,0.14,0.631,17.3,37.3,49.8,21.0,18.3,17.5,43.1,Hunters Hill (A)
14170,102758.0,39.0,7186569765.0,52199.0,69937.0,4.79,1.89,0.39,0.2,0.48100000000000004,9.4,23.4,34.6,19.8,21.5,24.1,34.5,Inner West (A)
14200,7856.0,45.0,304797640.0,34485.0,38798.0,5.42,1.71,0.32,0.1,0.49200000000000005,7.6,19.8,31.0,31.7,31.1,24.8,12.4,Inverell (A)
14300,2629.0,44.0,126017658.0,39029.0,47934.0,5.47,1.82,0.33,0.12,0.47700000000000004,7.2,19.8,31.5,27.6,27.2,25.8,19.3,Junee (A)
14350,12433.0,48.0,465047817.0,31341.0,37404.0,6.15,1.89,0.31,0.1,0.483,6.1,18.6,30.3,34.6,31.2,21.0,13.2,Kempsey (A)
14400,11984.0,48.0,652079581.0,40553.0,54413.0,6.23,2.07,0.33,0.14,0.499,9.0,22.0,33.3,28.1,24.4,20.8,26.8,Kiama (A)
14500,70303.0,48.0,6726264607.0,52142.0,95675.0,8.5,2.53,0.3,0.13,0.604,13.2,32.2,45.3,24.9,19.1,16.2,39.8,Ku-ring-gai (A)
14550,4233.0,50.0,140605793.0,27318.0,33217.0,8.26,2.0,0.24,0.03,0.552,7.6,20.8,33.0,40.2,29.3,20.2,10.4,Kyogle (A)
14600,3382.0,45.0,145093233.0,35597.0,42902.0,6.16,1.89,0.31,0.08,0.53,6.6,20.7,32.8,30.4,28.8,23.3,17.5,Lachlan (A)
14650,102871.0,44.0,5496898600.0,42817.0,53435.0,5.31,1.9,0.36,0.14,0.46299999999999997,7.1,19.6,30.8,25.4,24.8,24.3,25.5,Lake Macquarie (C)
14700,20187.0,43.0,1930305877.0,59780.0,95621.0,6.19,2.09,0.34,0.16,0.569,13.8,31.5,43.5,20.3,17.7,20.0,42.0,Lane Cove (A)
14750,5814.0,44.0,239461846.0,36987.0,41187.0,5.28,1.77,0.34,0.11,0.456,5.4,16.7,27.7,29.0,28.4,26.9,15.7,Leeton (A)
14850,22078.0,46.0,916701641.0,35576.0,41521.0,5.35,1.77,0.33,0.12,0.466,7.1,19.2,30.2,30.5,30.3,24.3,15.0,Lismore (C)
14870,9523.0,46.0,516349520.0,41715.0,54221.0,5.84,2.1,0.36,0.14,0.473,5.9,18.2,30.3,26.1,25.3,21.5,27.1,Lithgow (C)
14900,86750.0,40.0,4288202678.0,44048.0,49432.0,3.96,1.67,0.42,0.21,0.39799999999999996,5.4,16.1,26.3,21.9,26.7,30.3,21.1,Liverpool (C)
14920,3901.0,47.0,161134299.0,34365.0,41306.0,6.12,1.87,0.31,0.08,0.55,9.0,21.9,34.1,31.9,28.6,23.1,16.3,Liverpool Plains (A)
14950,1699.0,48.0,77809298.0,38791.0,45797.0,5.43,1.85,0.34,0.12,0.475,5.9,18.5,30.2,28.1,28.1,23.9,20.0,Lockhart (A)
15050,37214.0,41.0,2137697127.0,46294.0,57443.0,4.95,1.9,0.38,0.16,0.451,6.8,18.6,29.7,22.6,24.0,24.3,29.1,Maitland (C)
15240,40977.0,50.0,1614419529.0,31462.0,39398.0,6.75,1.95,0.29,0.08,0.499,7.6,20.7,32.6,34.9,30.0,20.9,14.2,Mid-Coast (A)
15270,11686.0,45.0,593536166.0,38100.0,50790.0,6.51,2.17,0.33,0.12,0.506,6.5,19.7,32.4,28.8,26.2,20.6,24.4,Mid-Western Regional (A)
15300,6916.0,42.0,367728063.0,41550.0,53171.0,4.81,1.78,0.37,0.16,0.5529999999999999,13.4,27.2,38.1,25.3,26.7,27.2,20.8,Moree Plains (A)
15350,18322.0,46.0,2488097947.0,64649.0,135798.0,7.87,2.49,0.32,0.14,0.652,18.0,40.0,53.0,20.1,16.5,17.3,46.1,Mosman (A)
15520,5679.0,47.0,230636911.0,33541.0,40612.0,6.36,1.88,0.3,0.1,0.519,8.1,21.3,32.7,32.8,29.1,23.3,14.8,Murray River (A)
15560,2203.0,45.0,84430278.0,32868.0,38325.0,5.86,1.83,0.31,0.08,0.5589999999999999,6.8,21.9,33.9,32.9,29.5,24.5,13.2,Murrumbidgee (A)
