lga_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,lga_name16
10050,18604.0,19035.0,19297.0,19603.0,20067.0,47.0,47.0,47.0,47.0,47.0,135312253.0,141159449.0,145921348.0,151636908.0,168507390.0,307.0,303.0,299.0,304.0,277.0,7273.0,7416.0,7562.0,7735.0,8397.0,13.4,13.3,13.3,13.6,13.9,Albury (C)
10130,10814.0,11068.0,10856.0,11088.0,10955.0,48.0,48.0,49.0,49.0,49.0,73212860.0,78810568.0,81156159.0,82177322.0,88782252.0,398.0,364.0,438.0,453.0,487.0,6770.0,7121.0,7476.0,7411.0,8104.0,14.7,15.1,15.2,15.8,15.6,Armidale Regional (A)
10250,16474.0,16850.0,16691.0,17339.0,18017.0,51.0,51.0,52.0,52.0,52.0,138226320.0,137374613.0,149888187.0,152993038.0,165668170.0,627.0,550.0,577.0,555.0,525.0,8391.0,8153.0,8980.0,8824.0,9195.0,19.9,19.9,19.7,19.3,19.5,Ballina (A)
10300,725.0,726.0,732.0,771.0,764.0,49.0,49.0,50.0,49.0,50.0,4357743.0,5248517.0,5743399.0,4963832.0,5114328.0,401.0,468.0,429.0,348.0,291.0,6011.0,7229.0,7846.0,6438.0,6694.0,12.7,11.1,12.2,10.3,11.9,Balranald (A)
10470,13629.0,14166.0,14491.0,14426.0,14931.0,47.0,47.0,47.0,47.0,47.0,77979982.0,82493015.0,86752057.0,92214945.0,98054992.0,275.0,270.0,272.0,270.0,247.0,5722.0,5823.0,5987.0,6392.0,6567.0,11.2,11.3,11.7,11.5,11.6,Bathurst Regional (A)
10550,12739.0,13301.0,13272.0,13453.0,14076.0,53.0,53.0,54.0,54.0,54.0,95931233.0,103636671.0,101720123.0,104247473.0,111179519.0,653.0,614.0,564.0,608.0,542.0,7531.0,7792.0,7664.0,7749.0,7899.0,18.5,18.5,18.6,18.3,18.2,Bega Valley (A)
10600,4714.0,4720.0,4694.0,4712.0,4856.0,52.0,53.0,53.0,54.0,54.0,26811822.0,28726946.0,29181167.0,29382091.0,30403407.0,588.0,543.0,515.0,576.0,527.0,5688.0,6086.0,6217.0,6236.0,6261.0,18.7,18.1,18.0,17.5,17.4,Bellingen (A)
10650,3155.0,3250.0,3233.0,3278.0,3391.0,53.0,54.0,53.0,53.0,53.0,24042893.0,28321905.0,27579476.0,26405531.0,29268352.0,852.0,776.0,825.0,755.0,640.0,7621.0,8714.0,8531.0,8055.0,8631.0,20.0,20.6,19.4,18.4,18.2,Berrigan (A)
10750,82086.0,87657.0,90747.0,94983.0,103921.0,42.0,42.0,42.0,42.0,41.0,102661486.0,122839001.0,144685477.0,165939180.0,164617249.0,167.0,164.0,164.0,153.0,130.0,1251.0,1401.0,1594.0,1747.0,1584.0,5.2,5.2,5.3,5.3,5.7,Blacktown (C)
10800,2098.0,2255.0,2272.0,2274.0,2348.0,50.0,50.0,51.0,52.0,51.0,11089200.0,13399585.0,12530610.0,15240578.0,16681463.0,681.0,604.0,554.0,576.0,543.0,5286.0,5942.0,5515.0,6702.0,7105.0,11.9,14.3,13.6,12.3,12.3,Bland (A)
10850,2486.0,2593.0,2527.0,2566.0,2598.0,48.0,48.0,49.0,50.0,50.0,13867945.0,16235192.0,15546996.0,17906166.0,19296026.0,316.0,342.0,313.0,359.0,324.0,5578.0,6261.0,6152.0,6978.0,7427.0,11.5,11.9,11.8,12.1,11.9,Blayney (A)
10900,30235.0,31035.0,31106.0,31681.0,32806.0,50.0,50.0,50.0,50.0,50.0,149421151.0,164383812.0,171449066.0,184910221.0,190005532.0,334.0,324.0,334.0,384.0,355.0,4942.0,5297.0,5512.0,5837.0,5792.0,12.9,13.1,13.0,13.1,13.5,Blue Mountains (C)
10950,983.0,1013.0,1018.0,1062.0,1106.0,48.0,48.0,49.0,49.0,49.0,8692538.0,9124441.0,7634456.0,8926349.0,8770270.0,583.0,539.0,486.0,579.0,463.0,8843.0,9007.0,7499.0,8405.0,7930.0,13.1,13.2,14.0,13.2,10.0,Bogan (A)
11100,13620.0,14281.0,14887.0,16010.0,17602.0,42.0,41.0,41.0,41.0,40.0,50341357.0,58154890.0,65080651.0,71693952.0,69635284.0,314.0,306.0,313.0,315.0,260.0,3696.0,4072.0,4372.0,4478.0,3956.0,8.2,8.1,8.2,7.9,8.2,Botany Bay (C)
11150,798.0,855.0,860.0,854.0,878.0,46.0,45.0,45.0,46.0,46.0,2926536.0,3419824.0,2652957.0,2936474.0,3752787.0,284.0,296.0,251.0,223.0,221.0,3667.0,4000.0,3085.0,3438.0,4274.0,6.6,7.9,8.5,9.1,7.8,Bourke (A)
11200,290.0,310.0,294.0,298.0,288.0,51.0,51.0,51.0,51.0,50.0,942993.0,1418490.0,1253809.0,1008618.0,1041939.0,370.0,499.0,506.0,509.0,222.0,3252.0,4576.0,4265.0,3385.0,3618.0,4.0,5.2,7.1,8.5,8.2,Brewarrina (A)
11250,4941.0,5190.0,5005.0,5038.0,5247.0,49.0,49.0,49.0,49.0,49.0,18841554.0,21746281.0,25049144.0,23348715.0,21285583.0,248.0,251.0,271.0,226.0,191.0,3813.0,4190.0,5005.0,4635.0,4057.0,10.4,9.9,10.3,9.9,9.6,Broken Hill (C)
13910,6552.0,6884.0,6768.0,6829.0,7004.0,49.0,49.0,49.0,49.0,50.0,48585376.0,50424062.0,58372974.0,54760224.0,59375897.0,382.0,370.0,387.0,401.0,334.0,7415.0,7325.0,8625.0,8019.0,8477.0,14.4,14.6,15.1,14.9,14.0,Hilltops (A)
14000,65754.0,66883.0,67212.0,68306.0,70741.0,47.0,47.0,47.0,47.0,47.0,508328189.0,514330650.0,541294041.0,565482549.0,591801461.0,596.0,603.0,589.0,626.0,600.0,7731.0,7690.0,8054.0,8279.0,8366.0,16.2,16.3,16.3,16.4,16.7,Hornsby (A)
14100,6463.0,6712.0,6756.0,6995.0,7271.0,49.0,49.0,49.0,49.0,49.0,271304928.0,272610057.0,290542885.0,324588017.0,321033790.0,2851.0,3016.0,3270.0,2899.0,2837.0,41978.0,40615.0,43005.0,46403.0,44153.0,28.0,28.0,29.3,28.4,28.2,Hunters Hill (A)
14170,72671.0,75390.0,77721.0,80049.0,84744.0,40.0,40.0,41.0,41.0,41.0,517539146.0,563828966.0,591361401.0,702932955.0,734122925.0,437.0,441.0,424.0,442.0,413.0,7122.0,7479.0,7609.0,8781.0,8663.0,9.2,9.3,9.3,9.4,9.9,Inner West (A)
14200,5323.0,5512.0,5361.0,5332.0,5307.0,49.0,49.0,50.0,50.0,50.0,33835471.0,35790496.0,35447847.0,36892029.0,37874583.0,388.0,380.0,386.0,400.0,355.0,6356.0,6493.0,6612.0,6919.0,7137.0,16.0,15.3,16.0,15.6,14.6,Inverell (A)
14300,1653.0,1728.0,1721.0,1792.0,1886.0,49.0,49.0,50.0,50.0,49.0,10715406.0,11526340.0,10667433.0,12282611.0,12298511.0,352.0,335.0,371.0,389.0,313.0,6482.0,6670.0,6198.0,6854.0,6521.0,12.0,12.3,12.7,12.0,11.9,Junee (A)
14350,8114.0,8506.0,8460.0,8507.0,8718.0,53.0,53.0,53.0,53.0,53.0,37096540.0,39330248.0,40251484.0,39814865.0,38445841.0,396.0,347.0,358.0,350.0,307.0,4572.0,4624.0,4758.0,4680.0,4410.0,15.2,15.0,15.7,15.4,14.9,Kempsey (A)
14400,9068.0,9292.0,9373.0,9667.0,10043.0,51.0,52.0,52.0,52.0,52.0,74754288.0,83080500.0,87746191.0,91219607.0,99135961.0,710.0,738.0,685.0,742.0,726.0,8244.0,8941.0,9362.0,9436.0,9871.0,18.7,19.3,19.3,19.2,20.0,Kiama (A)
14500,59872.0,61472.0,62456.0,63183.0,65347.0,50.0,50.0,50.0,50.0,49.0,1471024168.0,1475006411.0,1519471699.0,1624785606.0,1605150272.0,2862.0,2579.0,2470.0,2327.0,2169.0,24569.0,23995.0,24329.0,25716.0,24563.0,29.7,29.1,28.6,28.1,28.2,Ku-ring-gai (A)
14550,2973.0,2992.0,2938.0,2946.0,3084.0,53.0,53.0,53.0,53.0,54.0,14258923.0,14802664.0,15612907.0,14735868.0,14721404.0,534.0,516.0,486.0,442.0,393.0,4796.0,4947.0,5314.0,5002.0,4773.0,16.5,17.6,18.5,17.7,17.1,Kyogle (A)
14600,2174.0,2292.0,2217.0,2255.0,2280.0,50.0,49.0,50.0,50.0,49.0,16086571.0,17705454.0,18049234.0,19564047.0,17636535.0,723.0,699.0,683.0,709.0,610.0,7400.0,7725.0,8141.0,8676.0,7735.0,13.8,14.6,14.4,13.4,12.5,Lachlan (A)
14650,70794.0,72810.0,72930.0,72363.0,74712.0,48.0,48.0,48.0,49.0,49.0,411090962.0,436134464.0,465414073.0,494128656.0,479314819.0,341.0,344.0,356.0,377.0,359.0,5807.0,5990.0,6382.0,6828.0,6415.0,13.9,13.9,13.9,13.9,14.3,Lake Macquarie (C)
14700,16505.0,16929.0,17180.0,17856.0,18791.0,45.0,45.0,45.0,44.0,44.0,306494436.0,323880079.0,361087479.0,358284949.0,352304006.0,1294.0,1231.0,1185.0,1202.0,1111.0,18570.0,19132.0,21018.0,20065.0,18749.0,19.9,19.8,19.6,19.3,19.2,Lane Cove (A)
14750,3600.0,3796.0,3765.0,3773.0,3903.0,48.0,48.0,48.0,48.0,48.0,17219544.0,19743143.0,19433334.0,19596211.0,18973584.0,428.0,387.0,360.0,396.0,329.0,4783.0,5201.0,5162.0,5194.0,4861.0,12.0,12.8,11.8,10.9,10.6,Leeton (A)
14850,15768.0,15883.0,15622.0,15869.0,16137.0,49.0,49.0,50.0,50.0,50.0,77139493.0,82257075.0,82397299.0,87495446.0,88042380.0,354.0,326.0,341.0,335.0,303.0,4892.0,5179.0,5274.0,5514.0,5456.0,13.6,13.8,14.1,14.1,14.1,Lismore (C)
14870,6029.0,6398.0,6466.0,6637.0,6534.0,49.0,50.0,50.0,50.0,51.0,22295612.0,23945507.0,25445553.0,27551668.0,26846007.0,284.0,257.0,273.0,257.0,273.0,3698.0,3743.0,3935.0,4151.0,4109.0,10.8,10.7,11.0,11.4,11.6,Lithgow (C)
14900,47045.0,49690.0,51173.0,53554.0,58121.0,42.0,42.0,42.0,42.0,42.0,126471550.0,153222634.0,160881895.0,192122539.0,207706734.0,203.0,207.0,212.0,214.0,190.0,2688.0,3084.0,3144.0,3587.0,3574.0,6.2,6.3,6.4,6.4,6.8,Liverpool (C)
14920,2624.0,2705.0,2673.0,2745.0,2704.0,51.0,51.0,51.0,52.0,52.0,21083995.0,24123891.0,22784940.0,20239954.0,23381298.0,506.0,452.0,491.0,453.0,477.0,8035.0,8918.0,8524.0,7373.0,8647.0,15.2,15.2,15.7,15.8,14.6,Liverpool Plains (A)
14950,1215.0,1249.0,1206.0,1211.0,1248.0,50.0,51.0,52.0,51.0,51.0,7282079.0,7795425.0,7653347.0,7006584.0,6139986.0,735.0,671.0,741.0,711.0,609.0,5993.0,6241.0,6346.0,5786.0,4920.0,12.3,13.3,13.2,11.4,11.2,Lockhart (A)
15050,24157.0,25293.0,25550.0,25754.0,26613.0,45.0,45.0,45.0,45.0,45.0,106745616.0,125709194.0,111330790.0,123116222.0,119439300.0,229.0,220.0,218.0,208.0,201.0,4419.0,4970.0,4357.0,4780.0,4488.0,10.1,9.8,9.7,9.8,9.9,Maitland (C)
15240,29010.0,29835.0,29630.0,29784.0,30784.0,54.0,54.0,54.0,54.0,54.0,199644576.0,202355236.0,215788152.0,209994406.0,214733257.0,524.0,494.0,475.0,503.0,467.0,6882.0,6782.0,7283.0,7051.0,6975.0,20.7,20.4,20.4,20.4,20.3,Mid-Coast (A)
15270,7557.0,8127.0,8345.0,8328.0,8384.0,49.0,48.0,48.0,48.0,48.0,42380902.0,52344661.0,52282309.0,51961599.0,52965327.0,355.0,340.0,330.0,328.0,300.0,5608.0,6441.0,6265.0,6239.0,6317.0,13.8,13.7,14.6,14.2,13.9,Mid-Western Regional (A)
15300,4136.0,4326.0,4327.0,4362.0,4374.0,47.0,47.0,47.0,47.0,47.0,52541749.0,59082097.0,61700141.0,62651568.0,59763864.0,506.0,440.0,487.0,447.0,434.0,12704.0,13657.0,14259.0,14363.0,13663.0,11.9,12.4,12.6,13.1,14.1,Moree Plains (A)
15350,15415.0,15749.0,16070.0,16453.0,17050.0,48.0,48.0,49.0,49.0,49.0,637339355.0,677108712.0,674134659.0,795575963.0,751334179.0,3152.0,3086.0,3255.0,3270.0,3142.0,41345.0,42994.0,41950.0,48354.0,44067.0,28.9,29.4,29.1,28.8,29.0,Mosman (A)
15520,3857.0,4053.0,3980.0,4113.0,4300.0,51.0,51.0,51.0,52.0,51.0,35831951.0,40795582.0,40356400.0,41008096.0,46058214.0,779.0,748.0,719.0,648.0,593.0,9290.0,10066.0,10140.0,9970.0,10711.0,19.3,19.9,19.2,19.3,19.5,Murray River (A)
15560,1423.0,1507.0,1506.0,1547.0,1591.0,49.0,49.0,50.0,49.0,49.0,14263203.0,14838025.0,13007318.0,12479879.0,12389796.0,751.0,774.0,831.0,670.0,543.0,10023.0,9846.0,8637.0,8067.0,7787.0,17.0,17.1,14.7,13.8,12.7,Murrumbidgee (A)
15650,5255.0,5528.0,5421.0,5256.0,5278.0,45.0,45.0,44.0,45.0,46.0,20499999.0,20676006.0,22595178.0,20531759.0,14099437.0,218.0,190.0,198.0,182.0,170.0,3901.0,3740.0,4168.0,3906.0,2671.0,8.8,8.4,8.3,8.8,8.7,Muswellbrook (A)
15700,5766.0,5728.0,5762.0,5780.0,6135.0,53.0,54.0,54.0,54.0,54.0,31360068.0,32475896.0,33040771.0,32088195.0,27838840.0,466.0,457.0,495.0,529.0,445.0,5439.0,5670.0,5734.0,5552.0,4538.0,18.9,18.5,17.7,17.5,17.2,Nambucca (A)
15750,4680.0,5008.0,4836.0,4934.0,5010.0,48.0,48.0,48.0,48.0,49.0,30606811.0,34861286.0,34339667.0,36621599.0,35952451.0,387.0,385.0,379.0,395.0,291.0,6540.0,6961.0,7101.0,7422.0,7176.0,11.6,12.3,12.4,12.9,12.0,Narrabri (A)
15800,1871.0,1988.0,2014.0,2049.0,2087.0,51.0,51.0,51.0,52.0,52.0,9281773.0,10682868.0,9561870.0,10517324.0,9903285.0,492.0,484.0,418.0,441.0,440.0,4961.0,5374.0,4748.0,5133.0,4745.0,12.8,12.6,12.1,12.0,11.9,Narrandera (A)
15850,2351.0,2389.0,2354.0,2348.0,2388.0,50.0,50.0,50.0,51.0,51.0,15449739.0,18877730.0,16155712.0,16746729.0,18174233.0,505.0,495.0,450.0,515.0,516.0,6572.0,7902.0,6863.0,7132.0,7611.0,13.3,15.3,14.7,15.3,14.0,Narromine (A)
15900,56667.0,58265.0,58784.0,58884.0,61157.0,44.0,44.0,44.0,45.0,44.0,351929246.0,382275750.0,409769282.0,481459591.0,453798149.0,304.0,328.0,338.0,360.0,334.0,6210.0,6561.0,6971.0,8176.0,7420.0,12.0,12.1,12.2,12.3,12.6,Newcastle (C)
15950,34914.0,36055.0,37151.0,38311.0,40238.0,40.0,41.0,41.0,41.0,41.0,737130412.0,729635962.0,847030758.0,764267346.0,742610282.0,1066.0,1075.0,991.0,961.0,911.0,21113.0,20237.0,22800.0,19949.0,18455.0,16.6,16.6,16.5,16.6,17.0,North Sydney (A)
15990,116680.0,120963.0,123181.0,125880.0,131558.0,46.0,46.0,46.0,46.0,46.0,1793099137.0,1860877640.0,1943758841.0,2203396159.0,2142946801.0,861.0,806.0,783.0,816.0,787.0,15368.0,15384.0,15780.0,17504.0,16289.0,18.8,18.7,18.5,18.4,18.7,Northern Beaches (A)
16100,1774.0,1848.0,1879.0,1852.0,1950.0,51.0,51.0,51.0,51.0,51.0,10061119.0,9507095.0,10780270.0,11775686.0,12093968.0,373.0,367.0,360.0,362.0,303.0,5671.0,5145.0,5737.0,6358.0,6202.0,12.0,12.2,13.0,13.3,12.7,Oberon (A)
16150,13902.0,14585.0,14444.0,14471.0,14604.0,46.0,46.0,46.0,46.0,46.0,81710456.0,92016849.0,97922860.0,103897733.0,99202810.0,282.0,251.0,254.0,250.0,241.0,5878.0,6309.0,6779.0,7180.0,6793.0,11.4,11.4,11.1,10.9,11.0,Orange (C)
16200,4876.0,5138.0,5132.0,5222.0,5403.0,49.0,48.0,48.0,48.0,48.0,21426773.0,24774071.0,23736820.0,23368344.0,24506212.0,377.0,318.0,303.0,294.0,242.0,4394.0,4822.0,4625.0,4475.0,4536.0,11.4,11.9,11.9,11.6,11.4,Parkes (A)
