lga_code16,lga_name16,aboriginal_torres_strait_persons,non_indigenous_persons,total_erp,ste_name16
10050,Albury (C),1723.0,50442.0,52165,New South Wales
10130,Armidale Regional (A),2730.0,27611.0,30341,New South Wales
10250,Ballina (A),1708.0,41291.0,42999,New South Wales
10300,Balranald (A),260.0,2110.0,2370,New South Wales
10470,Bathurst Regional (A),2744.0,39501.0,42245,New South Wales
10550,Bega Valley (A),1279.0,32681.0,33960,New South Wales
10600,Bellingen (A),554.0,12459.0,13013,New South Wales
10650,Berrigan (A),257.0,8387.0,8644,New South Wales
10750,Blacktown (C),11776.0,336238.0,348014,New South Wales
10800,Bland (A),333.0,5694.0,6027,New South Wales
10850,Blayney (A),324.0,7019.0,7343,New South Wales
10900,Blue Mountains (C),2204.0,76616.0,78820,New South Wales
10950,Bogan (A),580.0,2174.0,2754,New South Wales
11100,Botany Bay (C),1018.0,47780.0,48798,New South Wales
11150,Bourke (A),1081.0,1519.0,2600,New South Wales
11200,Brewarrina (A),1307.0,612.0,1919,New South Wales
11250,Broken Hill (C),1860.0,16254.0,18114,New South Wales
13910,Hilltops (A),987.0,17749.0,18736,New South Wales
14000,Hornsby (A),778.0,146672.0,147450,New South Wales
14100,Hunters Hill (A),99.0,14553.0,14652,New South Wales
14170,Inner West (A),2638.0,188540.0,191178,New South Wales
14200,Inverell (A),1733.0,15011.0,16744,New South Wales
14300,Junee (A),605.0,5812.0,6417,New South Wales
14350,Kempsey (A),4173.0,25255.0,29428,New South Wales
14400,Kiama (A),478.0,21634.0,22112,New South Wales
14500,Ku-ring-gai (A),259.0,122217.0,122476,New South Wales
14550,Kyogle (A),468.0,8651.0,9119,New South Wales
14600,Lachlan (A),1411.0,4961.0,6372,New South Wales
14650,Lake Macquarie (C),9517.0,192807.0,202324,New South Wales
14700,Lane Cove (A),149.0,37453.0,37602,New South Wales
14750,Leeton (A),786.0,10624.0,11410,New South Wales
14850,Lismore (C),2650.0,41471.0,44121,New South Wales
14870,Lithgow (C),1517.0,19971.0,21488,New South Wales
14900,Liverpool (C),3753.0,208123.0,211876,New South Wales
14920,Liverpool Plains (A),1193.0,6653.0,7846,New South Wales
14950,Lockhart (A),135.0,3053.0,3188,New South Wales
15050,Maitland (C),4907.0,74148.0,79055,New South Wales
15240,Mid-Coast (A),6835.0,84956.0,91791,New South Wales
15270,Mid-Western Regional (A),1668.0,22959.0,24627,New South Wales
15300,Moree Plains (A),3646.0,9988.0,13634,New South Wales
15350,Mosman (A),79.0,30181.0,30260,New South Wales
15520,Murray River (A),446.0,11478.0,11924,New South Wales
15560,Murrumbidgee (A),366.0,3543.0,3909,New South Wales
15650,Muswellbrook (A),1633.0,14829.0,16462,New South Wales
15700,Nambucca (A),1795.0,17783.0,19578,New South Wales
15750,Narrabri (A),2025.0,11341.0,13366,New South Wales
15800,Narrandera (A),711.0,5248.0,5959,New South Wales
15850,Narromine (A),1619.0,5010.0,6629,New South Wales
15900,Newcastle (C),6548.0,154177.0,160725,New South Wales
15950,North Sydney (A),249.0,71484.0,71733,New South Wales
15990,Northern Beaches (A),1720.0,263748.0,265468,New South Wales
16100,Oberon (A),221.0,5122.0,5343,New South Wales
16150,Orange (C),3111.0,38118.0,41229,New South Wales
16200,Parkes (A),1818.0,13099.0,14917,New South Wales
16260,Parramatta (C),2090.0,232376.0,234466,New South Wales
16350,Penrith (C),9490.0,192051.0,201541,New South Wales
16490,Queanbeyan-Palerang Regional (A),2107.0,55700.0,57807,New South Wales
16550,Randwick (C),2806.0,146116.0,148922,New South Wales
11300,Burwood (A),184.0,38308.0,38492,New South Wales
11350,Byron (A),774.0,32619.0,33393,New South Wales
11400,Cabonne (A),610.0,13010.0,13620,New South Wales
11450,Camden (A),2302.0,77948.0,80250,New South Wales
11500,Campbelltown (C) (NSW),7344.0,154324.0,161668,New South Wales
11520,Canada Bay (A),515.0,91959.0,92474,New South Wales
11570,Canterbury-Bankstown (A),3103.0,358796.0,361899,New South Wales
11600,Carrathool (A),275.0,2564.0,2839,New South Wales
11650,Central Coast (C) (NSW),15372.0,321239.0,336611,New South Wales
11700,Central Darling (A),912.0,988.0,1900,New South Wales
11720,Cessnock (C),4873.0,51839.0,56712,New South Wales
11730,Clarence Valley (A),3965.0,47661.0,51626,New South Wales
11750,Cobar (A),810.0,3961.0,4771,New South Wales
11800,Coffs Harbour (C),4448.0,70158.0,74606,New South Wales
12000,Coolamon (A),168.0,4114.0,4282,New South Wales
12150,Coonamble (A),1565.0,2477.0,4042,New South Wales
12350,Cowra (A),1204.0,11434.0,12638,New South Wales
12380,Cumberland (A),1698.0,224020.0,225718,New South Wales
12700,Dungog (A),548.0,8553.0,9101,New South Wales
12730,Edward River (A),443.0,8490.0,8933,New South Wales
12750,Eurobodalla (A),2586.0,35312.0,37898,New South Wales
12850,Fairfield (C),1772.0,203953.0,205725,New South Wales
12870,Federation (A),260.0,12176.0,12436,New South Wales
12900,Forbes (A),1343.0,8445.0,9788,New South Wales
12930,Georges River (A),967.0,152135.0,153102,New South Wales
12950,Gilgandra (A),731.0,3579.0,4310,New South Wales
13010,Glen Innes Severn (A),667.0,8267.0,8934,New South Wales
13310,Goulburn Mulwaree (A),1449.0,28860.0,30309,New South Wales
13340,Greater Hume Shire (A),405.0,10121.0,10526,New South Wales
13450,Griffith (C),1550.0,24732.0,26282,New South Wales
13510,Gundagai (A),621.0,10668.0,11289,New South Wales
13550,Gunnedah (A),1913.0,10579.0,12492,New South Wales
13660,Gwydir (A),380.0,4951.0,5331,New South Wales
13800,Hawkesbury (C),2933.0,63480.0,66413,New South Wales
13850,Hay (A),226.0,2758.0,2984,New South Wales
16380,Port Macquarie-Hastings (A),3876.0,76196.0,80072,New South Wales
16400,Port Stephens (A),4073.0,67062.0,71135,New South Wales
16610,Richmond Valley (A),2021.0,21233.0,23254,New South Wales
16650,Rockdale (C),936.0,114798.0,115734,New South Wales
16700,Ryde (C),509.0,120729.0,121238,New South Wales
16900,Shellharbour (C),3178.0,67213.0,70391,New South Wales
16950,Shoalhaven (C),6801.0,95142.0,101943,New South Wales
17000,Singleton (A),1596.0,21978.0,23574,New South Wales
17040,Snowy Monaro Regional (A),545.0,20009.0,20554,New South Wales
