lga_code,lga_name,year,num_bus_non_empl_bus,num_bus_1_4_empl,num_bus_5_19_empl,num_bus_20_plus_empl,num_bus_tot,num_bus_entr_non_empl_bus,num_bus_entr_1_4_empl,num_bus_entr_5_19_empl,num_bus_entr_20_plus_empl,num_bus_entr_tot,num_bus_exit_non_empl_bus,num_bus_exit_1_4_empl,num_bus_exit_5_19_empl,num_bus_exit_20_plus_empl,num_bus_exit_tot,bnkrpt_non_bus_rel_ns,bnkrpt_bus_rel,bnkrpt_tot,lfs_lab_frc,lfs_unemployed,lfs_unemployment_rate_pc,lfs_participation_rate_pc,ye_wrk_ft_stdy_pt_pc,ye_wrk_pt_stdy_pt_pc,ye_wrk_pt_stdy_ft_pc,ye_wrk_ft_no_stdy_pc,ye_no_wrk_stdy_ft_pc,ye_wrk_ft_stdy_ft_pc,ye_fully_engaged_pc,ye_tot_age_15_19,sgpa_age_pens_ctrlnk,sgpa_age_pens_dva,sgpa_srvc_pens_dva,sgpa_inc_supp_dva,sgpa_carer_pay,sgpa_disable_supp_pens,sgpa_newstrt_allow,sgpa_newstrt_allow_365_days_plus_pc,sgpa_prnt_pay_single,sgpa_yth_all_ft_stud_apprntc,sgpa_yth_allow_oth,sgpa_family_tax_benefit_a,sgpa_family_tax_benefit_b,sgpa_tot_fam_tax_benf_recip,epi_med_emply_inc_aud,epi_tot_employ_inc_m_aud,epi_employ_inc_earners,epi_med_own_uninc_bus_inc_aud,epi_tot_own_uninc_bus_inc_m_aud,epi_own_uninc_bus_inc_earnrs,epi_med_invstmnt_inc_aud,epi_tot_invstmnt_inc_m_aud,epi_invstmnt_inc_earnrs,epi_med_supr_annuity_inc_aud,epi_tot_supr_annuity_inc_m_aud,epi_supr_annuity_inc_earnrs,epi_med_oth_inc_aud,epi_tot_oth_inc_m_aud,epi_oth_inc_earnrs,epi_med_tot_inc_aud,epi_tot_tot_inc_m_aud,epi_tot_inc_earnrs,avg_mnthly_hhld_rnt_paymnt_aud,avg_mnthly_hhld_mrtge_paymnt_aud,ba_priv_sect_hse,ba_priv_sect_dwell_excl_hse,ba_tot_priv_sect_dwell_units,ba_tot_dwell_units,ba_val_priv_sect_hses_m_aud,ba_val_priv_sect_dwell_excl_hse_m_aud,ba_val_tot_res_bld_m_aud,ba_val_tot_non_res_bld_m_aud,ba_val_tot_bld_m_aud,rpp_hse_num_trans,rpp_hse_med_sal_prc_aud,rpp_att_dwell_num_trans,rpp_att_dwell_med_sal_prc_aud
10050,Albury (C),2014,2538.0,1114.0,517.0,138.0,4307.0,411.0,144.0,29.0,,584.0,366.0,106.0,32.0,7.0,511.0,57.0,16.0,73.0,,,,,,,,,,,,,6021.0,11.0,375.0,240.0,486.0,2287.0,1992.0,73.0,796.0,829.0,438.0,4420.0,3707.0,4498.0,,,,,,,,,,,,,,,,,,,,,335.0,56.0,391.0,398.0,105.0,19.0,126.0,89.0,215.0,,,,
10050,Albury (C),2013,2497.0,1128.0,512.0,137.0,4274.0,320.0,129.0,17.0,3.0,469.0,394.0,112.0,34.0,5.0,545.0,47.0,11.0,58.0,,,,,,,,,,,,,5799.0,7.0,390.0,251.0,420.0,2224.0,1799.0,73.0,768.0,876.0,426.0,4533.0,3727.0,4617.0,44595.0,1101.0,21839.0,11115.0,93.0,3749.0,305.0,145.0,19014.0,16012.0,22.0,982.0,79.0,4.0,3346.0,42678.0,1365.0,26757.0,,,217.0,21.0,238.0,238.0,76.0,4.0,79.0,48.0,126.0,684.0,285000.0,,
10050,Albury (C),2012,2515.0,1157.0,539.0,137.0,4348.0,328.0,161.0,33.0,5.0,527.0,410.0,89.0,19.0,5.0,523.0,69.0,14.0,83.0,,,,,,,,,,,,,5618.0,8.0,398.0,260.0,381.0,2174.0,1510.0,67.0,956.0,981.0,290.0,4118.0,3373.0,4192.0,,,,,,,,,,,,,,,,,,,,,193.0,31.0,224.0,224.0,68.0,11.0,80.0,47.0,127.0,,,,
10050,Albury (C),2011,2546.0,1142.0,492.0,141.0,4321.0,,,,,,,,,,,,,,23810.0,1377.0,5.8,61.8,3.7,1.7,20.5,9.2,40.7,0.6,76.4,3545.0,5395.0,9.0,439.0,282.0,336.0,2163.0,1398.0,67.0,967.0,1169.0,280.0,4574.0,3685.0,4661.0,,,,,,,,,,,,,,,,,,,924.0,1567.0,165.0,93.0,258.0,258.0,58.0,19.0,77.0,87.0,164.0,,,,
10050,Albury (C),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,476.0,295.0,,,1479.0,66.0,1001.0,1093.0,289.0,4817.0,3803.0,4882.0,,,,,,,,,,,,,,,,,,,,,256.0,38.0,294.0,365.0,74.0,5.0,98.0,83.0,182.0,,,,
10110,Armidale Dumaresq (A),2014,1382.0,580.0,276.0,43.0,2281.0,152.0,70.0,11.0,,233.0,166.0,38.0,16.0,3.0,223.0,,,15.0,,,,,,,,,,,,,2372.0,,103.0,109.0,251.0,1060.0,871.0,75.0,381.0,1411.0,238.0,1987.0,1713.0,2039.0,,,,,,,,,,,,,,,,,,,,,75.0,3.0,78.0,78.0,20.0,1.0,22.0,30.0,52.0,,,,
10110,Armidale Dumaresq (A),2013,1382.0,552.0,292.0,50.0,2276.0,112.0,53.0,10.0,,175.0,196.0,33.0,14.0,,243.0,10.0,13.0,23.0,,,,,,,,,,,,,2314.0,4.0,127.0,112.0,251.0,1041.0,831.0,75.0,389.0,1459.0,235.0,2091.0,1742.0,2142.0,41972.0,487.0,9861.0,4826.0,30.0,2391.0,446.0,72.0,9307.0,17093.0,10.0,370.0,100.0,3.0,1674.0,39336.0,602.0,12416.0,,,24.0,8.0,32.0,32.0,12.0,2.0,16.0,20.0,36.0,283.0,327500.0,,
10110,Armidale Dumaresq (A),2012,1440.0,558.0,297.0,48.0,2343.0,160.0,52.0,11.0,,223.0,147.0,51.0,15.0,3.0,216.0,13.0,4.0,17.0,,,,,,,,,,,,,2213.0,6.0,139.0,119.0,225.0,1037.0,719.0,70.0,464.0,1597.0,151.0,1971.0,1646.0,2002.0,,,,,,,,,,,,,,,,,,,,,31.0,5.0,36.0,38.0,15.0,1.0,17.0,13.0,29.0,,,,
10110,Armidale Dumaresq (A),2011,1388.0,606.0,298.0,44.0,2336.0,,,,,,,,,,,,,,11204.0,827.0,7.4,57.4,2.6,1.5,17.3,4.9,51.9,0.5,78.6,2306.0,2178.0,6.0,149.0,127.0,209.0,1008.0,723.0,69.0,483.0,1558.0,164.0,2192.0,1790.0,2235.0,,,,,,,,,,,,,,,,,,,1043.0,1585.0,61.0,25.0,86.0,104.0,24.0,5.0,33.0,15.0,48.0,,,,
10110,Armidale Dumaresq (A),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,163.0,136.0,,,709.0,65.0,467.0,1201.0,178.0,2253.0,1773.0,2288.0,,,,,,,,,,,,,,,,,,,,,81.0,31.0,112.0,199.0,29.0,4.0,52.0,46.0,98.0,,,,
