lga_code_2006_,lga_name_2006_,irsad_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
10050,Albury (C),976,479,8,72,NSW,99,7,65,791,1144,46282,0
10110,Armidale Dumaresq (A),995,528,8,80,NSW,109,8,71,818,1108,23367,0
10150,Ashfield (A),1066,614,10,92,NSW,131,9,86,972,1160,39669,0
10200,Auburn (A),974,470,8,71,NSW,97,7,63,840,1191,64961,3
10250,Ballina (A),986,505,8,76,NSW,103,7,67,777,1098,38461,0
10300,Balranald (A),915,195,3,30,NSW,31,3,21,878,1079,2441,0
10350,Bankstown (C),970,459,7,69,NSW,95,7,62,714,1119,170488,0
10470,Bathurst Regional (A),989,513,8,77,NSW,105,7,69,787,1123,35844,4
10500,Baulkham Hills (A),1156,655,10,99,NSW,145,10,95,994,1235,159391,0
10550,Bega Valley (A),949,373,6,56,NSW,73,5,48,761,1050,31060,0
10600,Bellingen (A),946,356,6,54,NSW,68,5,45,843,1018,12417,0
10650,Berrigan (A),938,324,5,49,NSW,61,4,40,863,1044,7994,0
10750,Blacktown (C),983,498,8,75,NSW,101,7,66,693,1224,271710,0
10800,Bland (A),931,276,5,42,NSW,52,4,34,821,1045,6101,0
10850,Blayney (A),942,338,6,51,NSW,65,5,43,871,1037,6593,0
10900,Blue Mountains (C),1059,609,10,92,NSW,128,9,84,855,1172,74067,0
10950,Bogan (A),914,190,3,29,NSW,27,2,18,787,1005,2881,0
11000,Bombala (A),915,196,3,30,NSW,32,3,21,842,1006,2540,0
11050,Boorowa (A),937,317,5,48,NSW,59,4,39,881,1022,2294,0
11100,Botany Bay (C),997,535,9,81,NSW,111,8,73,694,1164,35991,0
11150,Bourke (A),932,279,5,42,NSW,53,4,35,801,1056,3097,0
11200,Brewarrina (A),831,63,1,10,NSW,1,1,1,764,1020,1945,4
11250,Broken Hill (C),895,111,2,17,NSW,9,1,6,826,1102,19363,2
12500,Deniliquin (A),925,248,4,38,NSW,46,3,30,891,987,7433,0
12600,Dubbo (C),964,437,7,66,NSW,90,6,59,757,1117,37845,2
12700,Dungog (A),968,456,7,69,NSW,93,7,61,843,1038,8060,0
12750,Eurobodalla (A),940,329,5,50,NSW,64,5,42,773,1064,35010,0
12850,Fairfield (C),925,257,4,39,NSW,49,4,32,722,1129,179893,0
12900,Forbes (A),924,236,4,36,NSW,42,3,28,838,1039,9362,0
12950,Gilgandra (A),905,148,3,23,NSW,16,2,11,824,1037,4521,0
13010,Glen Innes Severn (A),901,130,2,20,NSW,14,1,10,819,1040,8779,2
13050,Gloucester (A),928,265,4,40,NSW,50,4,33,816,1013,4801,0
13100,Gosford (C),1013,557,9,84,NSW,116,8,76,757,1191,158157,1
13310,Goulburn Mulwaree (A),943,342,6,52,NSW,66,5,43,783,1100,26087,3
13350,Greater Taree (C),924,235,4,36,NSW,41,3,27,663,1085,45145,2
13370,Greater Hume Shire (A),960,423,7,64,NSW,87,6,57,876,1125,9729,0
13400,Great Lakes (A),930,271,5,41,NSW,51,4,34,764,1057,32763,0
13450,Griffith (C),955,406,7,61,NSW,82,6,54,807,1053,23800,0
13500,Gundagai (A),915,194,3,30,NSW,30,2,20,867,993,3695,0
