lga_code,lga_name,period,number_new_houses,number_new_other_residential_building,number_total_dwellings,value_new_houses_aud000,value_new_other_residential_building_aud000,value_alterations_additions_aud000,value_total_residential_building_aud000,value_non_residential_building_aud000,value_total_building_aud000,id
10050,Albury (C),2014-2015,355,84,440,100576.8,16749.4,17112.6,134438.8,41918.9,176357.7,1
10050,Albury (C),2013-2014,299,59,358,80122.7,19722.5,15654.0,115499.2,86574.4,202073.6,2
10050,Albury (C),2012-2013,182,18,201,51026.3,2602.4,14949.8,68578.4,46926.9,115505.3,3
10110,Armidale Dumaresq (A),2014-2015,41,11,52,12173.2,2444.9,4241.5,18859.6,27327.7,46187.3,4
10110,Armidale Dumaresq (A),2013-2014,75,3,78,17867.8,500.0,3552.4,21920.2,29927.0,51847.2,5
10110,Armidale Dumaresq (A),2012-2013,24,8,32,7053.9,1592.0,7755.1,16401.0,19712.3,36113.3,6
10150,Ashfield (A),2014-2015,10,317,428,2884.8,94742.0,39722.7,137349.5,8966.8,146316.3,7
10550,Bega Valley (A),2013-2014,169,0,170,51056.3,0.0,7247.1,58303.5,147864.3,206167.8,26
10550,Bega Valley (A),2012-2013,141,2,147,41134.2,566.0,10045.3,51745.5,16700.6,68446.0,27
10600,Bellingen (A),2014-2015,22,0,30,4762.5,0.0,2822.5,7585.1,1762.0,9347.1,28
10600,Bellingen (A),2013-2014,21,0,21,5008.2,0.0,2083.5,7091.8,2281.5,9373.2,29
10600,Bellingen (A),2012-2013,18,0,19,5054.8,0.0,2132.8,7187.6,7270.0,14457.6,30
10650,Berrigan (A),2014-2015,43,0,43,12134.9,0.0,2847.5,14982.5,2474.0,17456.4,31
10650,Berrigan (A),2013-2014,31,0,31,7845.5,0.0,1583.6,9429.1,8200.8,17629.8,32
10650,Berrigan (A),2012-2013,30,2,32,7606.2,60.0,826.7,8492.9,3585.4,12078.3,33
10750,Blacktown (C),2014-2015,2455,841,3337,612844.2,140495.1,42836.7,796176.0,356081.5,1152257.4,34
10750,Blacktown (C),2013-2014,1645,1128,2830,387566.4,185046.4,22469.5,595082.4,642209.6,1237291.9,35
10150,Ashfield (A),2013-2014,12,56,72,5256.1,25120.0,18535.3,48911.4,69281.0,118192.4,8
10750,Blacktown (C),2012-2013,1478,684,2189,350463.0,108215.4,20604.7,479283.1,464884.3,944167.4,36
10800,Bland (A),2014-2015,9,0,9,1900.4,0.0,462.9,2363.3,1220.0,3583.3,37
10800,Bland (A),2013-2014,11,0,11,2651.7,0.0,804.2,3455.8,8437.4,11893.2,38
10800,Bland (A),2012-2013,7,5,12,2417.4,955.0,886.9,4259.4,1520.0,5779.4,39
10850,Blayney (A),2014-2015,12,0,12,3924.4,0.0,735.9,4660.3,596.5,5256.8,40
10850,Blayney (A),2013-2014,20,0,20,5415.8,0.0,1996.9,7412.8,5063.4,12476.2,41
10850,Blayney (A),2012-2013,11,0,11,3307.4,0.0,1606.5,4913.9,200.0,5113.9,42
10900,Blue Mountains (C),2014-2015,210,19,235,76742.0,3967.1,26158.4,106867.5,5579.8,112447.4,43
10900,Blue Mountains (C),2013-2014,155,2,179,53589.3,270.0,30296.6,84155.8,32457.6,116613.4,44
10900,Blue Mountains (C),2012-2013,119,44,165,39235.2,6469.0,25473.0,71177.2,32232.8,103410.0,45
10950,Bogan (A),2014-2015,2,0,2,673.0,0.0,282.0,955.0,180.0,1135.0,46
10950,Bogan (A),2013-2014,3,0,3,432.0,0.0,170.0,602.0,290.0,892.0,47
10950,Bogan (A),2012-2013,1,0,1,250.0,0.0,232.0,482.0,1040.0,1522.0,48
11000,Bombala (A),2014-2015,2,0,2,770.0,0.0,261.7,1031.7,170.0,1201.7,49
11000,Bombala (A),2013-2014,4,0,4,1188.9,0.0,352.9,1541.7,235.0,1776.7,50
11000,Bombala (A),2012-2013,3,0,3,498.2,0.0,326.5,824.7,585.0,1409.7,51
11050,Boorowa (A),2014-2015,10,0,10,3157.6,0.0,364.0,3521.6,0.0,3521.6,52
10150,Ashfield (A),2012-2013,7,27,34,1551.0,11700.0,17252.3,30503.3,24551.9,55055.2,9
10200,Auburn (C),2014-2015,209,2207,2424,35616.3,612978.4,6447.5,655042.2,94362.1,749404.4,10
10200,Auburn (C),2013-2014,177,843,1035,32657.4,216393.1,6696.7,255747.2,95161.2,350908.4,11
10200,Auburn (C),2012-2013,132,1061,1224,25273.5,311646.3,13350.3,350270.0,150488.1,500758.1,12
10250,Ballina (A),2014-2015,243,56,305,67470.4,12688.0,14755.6,94914.1,17455.1,112369.2,13
10250,Ballina (A),2013-2014,145,118,268,40459.7,33122.0,13036.4,86618.1,18556.8,105174.9,14
10250,Ballina (A),2012-2013,86,24,111,25272.2,4858.0,11103.0,41233.2,29893.3,71126.5,15
10300,Balranald (A),2014-2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16
10300,Balranald (A),2013-2014,3,0,3,1037.9,0.0,256.5,1294.4,736.0,2030.4,17
10300,Balranald (A),2012-2013,6,0,6,1547.5,0.0,197.3,1744.8,0.0,1744.8,18
10350,Bankstown (C),2014-2015,537,1320,1885,112240.7,303362.3,18893.0,434496.0,96327.5,530823.5,19
10350,Bankstown (C),2013-2014,532,964,1525,120379.7,190386.2,21612.5,332378.4,112224.8,444603.1,20
10350,Bankstown (C),2012-2013,298,537,856,61687.4,111296.1,23910.1,196893.6,329390.4,526284.0,21
10470,Bathurst Regional (A),2014-2015,218,116,336,59608.7,22276.0,6870.4,88755.0,46461.7,135216.7,22
10470,Bathurst Regional (A),2013-2014,225,58,286,55365.1,9559.3,7386.4,72310.8,64516.2,136827.1,23
10470,Bathurst Regional (A),2012-2013,214,64,283,53685.2,11518.6,7495.9,72699.7,89431.4,162131.0,24
10550,Bega Valley (A),2014-2015,158,18,179,49536.1,3640.0,9273.7,62449.7,20128.7,82578.5,25
11050,Boorowa (A),2013-2014,6,0,6,1381.8,0.0,460.4,1842.1,0.0,1842.1,53
11050,Boorowa (A),2012-2013,4,0,4,886.0,0.0,153.2,1039.2,782.0,1821.2,54
11100,Botany Bay (C),2014-2015,63,1429,1492,16169.2,385120.9,7705.5,408995.6,290584.4,699580.0,55
11100,Botany Bay (C),2013-2014,40,2002,2042,9483.1,412289.9,5319.7,427092.7,251083.5,678176.2,56
11100,Botany Bay (C),2012-2013,64,521,591,15813.7,84739.8,2916.8,103470.3,185836.9,289307.2,57
11150,Bourke (A),2014-2015,5,4,9,1275.7,1553.6,132.0,2961.3,929.4,3890.7,58
11150,Bourke (A),2013-2014,3,0,3,959.0,0.0,295.5,1254.5,1538.1,2792.6,59
11150,Bourke (A),2012-2013,12,0,12,4476.3,0.0,125.6,4601.9,622.2,5224.1,60
11200,Brewarrina (A),2014-2015,0,0,0,0.0,0.0,0.0,0.0,50.0,50.0,61
11200,Brewarrina (A),2013-2014,7,3,11,3344.0,1293.7,90.0,4727.7,2840.0,7567.7,62
11200,Brewarrina (A),2012-2013,2,4,6,864.5,1265.3,0.0,2129.8,0.0,2129.8,63
11250,Broken Hill (C),2014-2015,8,0,8,1836.3,0.0,1818.7,3655.0,8931.1,12586.2,64
11250,Broken Hill (C),2013-2014,13,38,51,2829.4,4000.0,2738.5,9568.0,9931.1,19499.1,65
11250,Broken Hill (C),2012-2013,13,8,21,3318.0,1600.0,1914.4,6832.4,1937.4,8769.8,66
11300,Burwood (A),2014-2015,27,195,222,8385.9,52255.6,7064.1,67705.6,15078.8,82784.4,67
11730,Clarence Valley (A),2013-2014,111,2,114,25767.7,386.0,8115.8,34269.5,4781.8,39051.3,98
11730,Clarence Valley (A),2012-2013,122,22,148,26782.5,5268.4,8634.4,40685.3,24218.7,64904.0,99
11750,Cobar (A),2014-2015,2,0,2,220.0,0.0,385.8,605.8,1337.6,1943.4,100
11750,Cobar (A),2013-2014,2,0,2,434.0,0.0,634.6,1068.6,90.0,1158.6,101
11750,Cobar (A),2012-2013,8,2,10,2822.5,341.0,232.6,3396.1,240.0,3636.1,102
