LGA_MAIN11,Bosnia_Herzegovina_Befre_1941,Bosnia_Herzegovina_1941_1950,Bosnia_Herzegovina_1951_1960,Bosnia_Herzegovina_1961_1970,Bosnia_Herzegovina_1971_1980,Bosnia_Herzegovina_1981_1990,Bosnia_Herzegovina_1991_2000,Bosnia_Herzegovina_2001_2005,Bosnia_Herzegovina_2006,Bosnia_Herzegovina_2007,Bosnia_Herzegovina_2008,Bosnia_Herzegovina_2009,Bosnia_Herzegovina_2010,Bosnia_Herzegovina_2011,Bosnia_Herzegovina_arrival_ns,Bosnia_Herzegovina_Tot,Cambodia_Before_1941,Cambodia_1941_1950,Cambodia_1951_1960,Cambodia_1961_1970,Cambodia_1971_1980,Cambodia_1981_1990,Cambodia_1991_2000,Cambodia_2001_2005,Cambodia_2006,Cambodia_2007,Cambodia_2008,Cambodia_2009,Cambodia_2010,Cambodia_2011,Cambodia_Yr_arrival_ns,Cambodia_Tot,Canada_Before_1941,Canada_1941_1950,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2005,Canada_2006,Canada_2007,Canada_2008,Canada_2009,Canada_2010,Canada_2011,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1941,China_exc_SARs_Taiwan_41_50,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_05,China_exc_SARs_Taiwan_2006,China_exc_SARs_Taiwan_2007,China_exc_SARs_Taiwan_2008,China_exc_SARs_Taiwan_2009,China_exc_SARs_Taiwan_2010,China_exc_SARs_Taiwan_2011,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1941,Croatia_1941_1950,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2005,Croatia_2006,Croatia_2007,Croatia_2008,Croatia_2009,Croatia_2010,Croatia_2011,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1941,Egypt_1941_1950,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2005,Egypt_2006,Egypt_2007,Egypt_2008,Egypt_2009,Egypt_2010,Egypt_2011,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1941,Fiji_1941_1950,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2005,Fiji_2006,Fiji_2007,Fiji_2008,Fiji_2009,Fiji_2010,Fiji_2011,Fiji_Yr_arrival_NS,Fiji_Tot,Frmr_Y_R_M_FYROM_Bef_1941,Frmr_Y_R_M_FYROM_1941_1950,Frmr_Y_R_M_FYROM_1951_1960,Frmr_Y_R_M_FYROM_1961_1970,Frmr_Y_R_M_FYROM_1971_1980,Frmr_Y_R_M_FYROM_1981_1990,Frmr_Y_R_M_FYROM_1991_2000,Frmr_Y_R_M_FYROM_2001_2005,Frmr_Yug_Rep_Mac_FYROM_2006,Frmr_Yug_Rep_Mac_FYROM_2007,Frmr_Yug_Rep_Mac_FYROM_2008,Frmr_Yug_Rep_Mac_FYROM_2009,Frmr_Yug_Rep_Mac_FYROM_2010,Frmr_Yug_Rep_Mac_FYROM_2011,Frmr_Y_R_M_FYROM_arrival_ns,Frmr_Yug_Rep_Mac_FYROM_Tot,Germany_Before_1941,Germany_1941_1950,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2005,Germany_2006,Germany_2007,Germany_2008,Germany_2009,Germany_2010,Germany_2011,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1941,Greece_1941_1950,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2005,Greece_2006,Greece_2007,Greece_2008,Greece_2009,Greece_2010,Greece_2011,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1941,Hng_Kng_SAR_China_1941_1950,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2005,Hong_Kong_SAR_China_2006,Hong_Kong_SAR_China_2007,Hong_Kong_SAR_China_2008,Hong_Kong_SAR_China_2009,Hong_Kong_SAR_China_2010,Hong_Kong_SAR_China_2011,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1941,India_1941_1950,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2005,India_2006,India_2007,India_2008,India_2009,India_2010,India_2011,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1941,Indonesia_1941_1950,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2005,LGA_NAME11
10050,0,3,3,6,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,7,3,3,10,6,3,3,3,0,3,6,3,53,0,3,0,0,6,0,12,14,11,7,4,6,0,3,3,69,0,0,4,28,10,0,0,0,0,0,0,0,0,0,0,42,0,0,3,5,4,0,0,0,8,0,0,0,0,4,0,24,0,0,0,3,3,13,3,4,0,3,3,3,3,0,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,136,47,6,14,8,7,0,5,0,0,0,0,17,286,0,7,19,12,4,3,0,4,0,0,0,0,4,0,5,58,0,0,0,0,6,9,3,0,0,0,0,0,0,0,3,21,0,4,0,9,5,8,14,34,60,73,44,55,21,10,17,354,0,0,4,0,0,0,4,8,Albury (C)
10110,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,3,11,4,12,3,3,0,3,3,3,3,0,51,0,0,0,3,3,3,17,27,4,9,19,21,60,46,36,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,3,0,0,12,4,0,0,0,3,8,4,9,0,0,0,4,3,5,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,6,9,20,22,9,3,3,0,5,4,3,3,116,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,6,6,0,0,3,3,5,0,3,34,0,4,0,5,0,5,18,9,4,0,7,0,11,3,0,66,0,0,3,0,0,0,9,8,Armidale Dumaresq (A)
10250,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,3,13,8,21,15,3,3,3,3,0,6,3,87,0,3,6,0,4,4,6,3,3,3,9,0,7,0,3,51,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,6,3,4,9,7,0,6,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,50,17,7,20,8,9,0,0,0,6,4,0,3,148,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,6,4,5,0,0,0,0,4,0,0,3,25,3,6,3,8,4,4,5,9,0,4,3,0,4,3,3,59,0,3,3,3,0,0,3,4,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Balranald (A)
10350,0,0,0,29,17,9,123,31,3,0,6,5,0,3,7,233,0,0,0,5,75,149,44,3,0,8,3,0,7,0,14,308,0,0,3,8,14,14,18,16,4,3,5,3,3,3,3,97,0,20,56,60,137,1159,1644,823,169,223,214,192,180,68,273,5218,3,4,61,210,80,21,42,9,0,0,0,0,0,3,13,446,0,31,73,212,190,274,283,123,32,59,58,25,40,26,41,1467,0,0,5,20,106,405,298,105,19,28,29,39,13,5,62,1134,0,8,21,536,580,234,224,61,16,7,6,8,15,3,45,1764,3,166,177,87,32,41,28,28,6,3,5,0,4,0,33,613,3,16,466,1084,283,107,50,19,4,3,3,7,3,7,87,2142,0,0,0,10,104,322,325,57,10,16,15,9,3,3,16,890,0,10,3,65,90,178,379,342,129,138,136,73,42,26,60,1671,0,0,9,7,84,219,321,151,Bankstown (C)
10470,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,3,0,0,0,3,13,0,0,3,0,10,3,8,11,0,3,3,4,3,3,3,54,0,3,3,0,5,8,19,11,12,6,3,8,4,10,22,114,0,3,3,8,0,0,4,0,0,0,0,0,0,0,0,18,0,0,3,0,0,3,4,0,0,0,0,0,0,0,3,13,3,0,3,3,5,5,5,5,0,3,0,0,0,3,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,21,35,18,5,15,7,6,0,3,0,0,0,0,9,119,0,3,3,4,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,4,6,0,3,0,0,0,0,3,3,0,7,26,0,3,0,5,6,0,14,9,5,5,5,7,0,0,6,65,0,0,0,4,0,0,0,4,Bathurst Regional (A)
10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,9,9,8,16,8,0,0,3,0,3,0,0,56,0,5,6,0,0,3,0,3,6,3,0,0,0,0,0,26,0,0,3,17,4,0,0,0,0,0,0,0,0,0,0,24,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,4,0,0,0,0,0,0,4,5,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,26,88,38,25,29,13,3,0,3,8,3,3,0,13,252,0,0,3,7,3,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,8,0,4,0,3,3,0,0,3,0,3,4,3,3,0,0,26,0,0,3,0,0,0,0,5,Bega Valley (A)
10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,4,0,0,0,0,3,0,0,0,25,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,15,6,35,11,10,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,3,0,0,11,0,0,4,4,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,3,0,3,3,0,Bellingen (A)
10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,9,0,0,3,0,0,0,0,0,0,0,0,40,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,0,0,3,0,0,3,5,0,0,22,0,0,0,0,0,0,0,0,Berrigan (A)
10750,0,5,0,54,38,30,453,34,4,0,5,3,4,0,11,641,0,0,0,0,15,51,26,11,0,3,0,0,4,0,6,116,0,3,8,19,44,38,54,41,8,8,4,11,15,9,18,280,3,11,36,44,100,661,948,548,116,132,143,103,89,26,110,3070,0,11,81,494,164,67,214,38,0,3,0,3,0,0,31,1106,0,22,54,225,221,361,353,214,37,54,64,34,43,22,52,1756,0,4,3,32,214,1669,2214,1245,216,200,152,164,99,66,208,6486,0,0,3,56,85,36,22,12,3,0,3,3,0,0,3,226,0,278,290,159,86,74,66,48,5,4,5,8,9,7,48,1087,3,10,122,381,112,58,24,11,0,5,3,6,0,3,34,772,3,0,7,19,83,300,267,53,12,8,8,5,7,3,23,798,3,6,13,153,273,865,3644,3871,1253,1434,1441,999,436,247,414,15052,0,4,25,11,122,263,448,270,Blacktown (C)
