LGA_MAIN11,Indonesia_2006,Indonesia_2007,Indonesia_2008,Indonesia_2009,Indonesia_2010,Indonesia_2011,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iraq_Before_1941,Iraq_1941_1950,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2005,Iraq_2006,Iraq_2007,Iraq_2008,Iraq_2009,Iraq_2010,Iraq_2011,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1941,Ireland_1941_1950,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2005,Ireland_2006,Ireland_2007,Ireland_2008,Ireland_2009,Ireland_2010,Ireland_2011,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1941,Italy_1941_1950,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2005,Italy_2006,Italy_2007,Italy_2008,Italy_2009,Italy_2010,Italy_2011,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1941,Japan_1941_1950,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2005,Japan_2006,Japan_2007,Japan_2008,Japan_2009,Japan_2010,Japan_2011,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1941,Korea_Rep_Sth_1941_1950,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2005,Korea_Republic_South_2006,Korea_Republic_South_2007,Korea_Republic_South_2008,Korea_Republic_South_2009,Korea_Republic_South_2010,Korea_Republic_South_2011,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1941,Lebanon_1941_1950,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2005,Lebanon_2006,Lebanon_2007,Lebanon_2008,Lebanon_2009,Lebanon_2010,Lebanon_2011,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1941,Malaysia_1941_1950,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2005,Malaysia_2006,Malaysia_2007,Malaysia_2008,Malaysia_2009,Malaysia_2010,Malaysia_2011,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1941,Malta_1941_1950,Malta_1951_1960,Malta_1961_1970,Malta_1971_1980,Malta_1981_1990,Malta_1991_2000,Malta_2001_2005,Malta_2006,Malta_2007,Malta_2008,Malta_2009,Malta_2010,Malta_2011,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1941,Netherlands_1941_1950,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2005,Netherlands_2006,Netherlands_2007,Netherlands_2008,Netherlands_2009,Netherlands_2010,Netherlands_2011,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1941,New_Zealand_1941_1950,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2005,New_Zealand_2006,New_Zealand_2007,New_Zealand_2008,New_Zealand_2009,New_Zealand_2010,New_Zealand_2011,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Philippines_Before_1941,Philippines_1941_1950,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2005,Philippines_2006,Philippines_2007,Philippines_2008,Philippines_2009,Philippines_2010,Philippines_2011,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1941,Poland_1941_1950,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2005,Poland_2006,Poland_2007,Poland_2008,Poland_2009,Poland_2010,Poland_2011,Poland_Yr_arrival_NS,Poland_Tot,LGA_NAME11
10050,0,3,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,16,8,8,6,3,3,0,3,3,3,4,3,72,0,4,40,19,4,5,3,4,0,0,0,4,0,0,7,90,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,3,0,0,0,6,4,10,6,3,36,0,3,3,5,3,3,3,4,0,0,0,0,0,0,3,27,0,0,0,3,5,5,5,0,4,3,0,0,3,0,0,28,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,11,0,16,111,35,13,5,5,0,0,0,0,0,0,0,6,191,0,0,17,35,90,98,81,37,3,11,15,6,32,15,37,477,0,0,0,4,3,59,33,35,3,5,24,32,4,11,6,219,0,18,5,5,0,14,0,0,0,0,0,0,0,0,5,47,Albury (C)
10110,0,0,3,11,4,3,0,41,0,0,0,0,0,0,3,0,0,0,6,0,3,7,0,19,0,0,3,3,0,4,4,4,0,0,0,0,0,0,0,18,0,4,4,6,0,0,0,4,0,0,0,0,0,0,5,23,0,0,0,0,0,4,4,10,0,0,0,0,0,0,7,25,0,0,0,0,0,3,3,3,0,0,3,3,0,3,0,18,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,4,0,9,6,3,3,0,3,0,0,3,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,8,3,5,7,0,0,3,0,0,0,0,0,58,3,3,6,30,41,50,49,9,3,9,8,5,6,3,11,236,0,0,0,0,3,14,15,4,3,0,3,3,10,3,3,61,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,12,Armidale Dumaresq (A)
10250,3,0,0,3,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,9,19,3,12,3,3,0,0,4,0,0,0,64,4,10,32,17,11,5,0,0,0,0,0,0,0,0,10,89,0,0,3,3,0,4,9,13,3,3,4,6,0,0,0,48,0,0,0,0,0,3,7,0,0,0,0,0,3,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,11,5,3,0,0,3,0,3,0,0,3,40,0,7,12,8,0,0,0,0,0,0,0,0,0,0,0,27,0,5,80,7,9,17,13,14,3,0,3,0,0,0,10,161,7,9,13,75,125,134,91,46,14,15,13,15,15,5,23,600,0,0,0,4,4,27,11,16,3,6,3,6,5,4,3,92,3,3,3,0,3,3,0,0,0,0,0,0,0,0,3,18,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,22,8,0,0,0,0,0,0,0,0,0,0,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Balranald (A)
10350,34,12,45,34,25,8,38,987,0,0,0,12,17,25,418,259,67,56,41,47,32,38,71,1083,3,0,16,60,60,58,38,17,4,3,6,11,9,0,11,296,19,87,739,715,165,47,24,8,0,3,3,7,3,0,132,1952,0,0,3,0,6,29,36,25,5,4,0,4,0,0,5,117,0,0,0,3,124,281,285,122,36,23,28,14,20,14,54,1004,3,34,225,1473,3728,2886,1920,1096,235,192,192,143,140,85,643,12995,0,0,7,19,72,193,92,53,10,16,26,6,8,4,18,524,0,51,195,102,39,9,3,6,0,0,0,0,0,0,30,435,0,19,82,24,11,8,9,3,0,0,0,0,0,0,12,168,16,4,22,71,212,410,654,391,85,89,96,78,56,40,165,2389,0,0,0,19,93,462,396,195,60,38,52,30,45,31,59,1480,3,159,53,58,63,160,47,15,3,0,0,3,0,0,34,598,Bankstown (C)
10470,0,0,0,0,0,0,4,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,9,0,0,3,16,6,6,3,4,5,0,0,6,0,3,0,52,0,3,17,16,0,0,4,0,0,0,0,0,0,0,4,44,0,0,3,3,0,0,6,3,0,0,0,0,0,0,3,18,0,0,0,0,0,3,0,0,0,3,3,0,3,0,5,17,0,0,0,12,5,8,5,0,0,0,0,0,0,0,12,42,0,0,0,6,3,7,8,4,3,0,0,0,0,0,3,34,0,3,5,7,4,0,3,0,0,0,0,0,0,0,3,25,0,11,54,17,10,11,4,0,0,0,0,0,0,0,8,115,0,3,7,29,75,81,66,52,9,13,15,20,26,10,52,458,0,0,0,0,4,23,22,11,0,5,3,8,3,6,6,91,0,3,0,0,4,5,0,0,0,0,0,0,0,0,3,15,Bathurst Regional (A)
10550,0,3,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,9,13,7,4,4,4,0,0,3,3,0,0,0,51,0,5,24,6,9,5,5,0,0,0,0,5,0,0,0,59,0,5,0,0,0,0,3,8,4,0,0,0,3,0,5,28,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,0,6,0,0,4,0,0,0,0,0,0,19,0,4,25,3,3,3,0,0,0,0,0,0,0,0,0,38,0,23,123,29,15,12,12,4,0,0,0,0,0,0,8,226,4,3,12,42,113,75,48,18,3,6,4,5,3,9,38,383,0,0,0,3,3,20,22,10,0,3,4,0,7,3,4,79,0,6,3,3,3,3,3,0,3,0,0,0,0,0,0,24,Bega Valley (A)
10600,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,0,0,0,0,0,0,0,5,0,0,19,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,24,14,3,5,3,3,13,0,0,0,0,0,0,68,0,3,5,16,45,40,22,11,3,6,3,3,11,11,10,189,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,15,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,7,Bellingen (A)
10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,29,3,3,3,6,0,0,0,0,0,0,0,0,44,3,0,0,4,12,21,22,6,3,0,0,5,4,6,9,95,0,3,0,3,0,3,3,3,3,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berrigan (A)
10750,50,12,24,44,26,19,39,1357,0,0,0,14,31,45,580,246,52,56,102,91,48,45,40,1350,0,7,30,139,117,136,49,32,14,8,11,12,18,11,21,605,6,51,545,524,172,46,38,14,5,3,0,3,3,4,78,1492,0,0,4,4,6,19,44,30,4,0,5,0,4,7,9,136,0,0,3,0,100,324,346,191,36,26,40,37,22,9,54,1188,0,11,32,258,449,428,284,113,31,11,20,11,14,7,114,1783,0,3,8,51,144,438,213,139,38,50,48,31,16,7,28,1214,4,169,770,918,394,184,41,3,5,6,0,3,4,3,112,2616,0,31,345,112,42,22,17,10,0,9,3,5,8,0,21,625,5,0,36,164,529,1202,2040,1335,320,279,331,269,302,149,458,7419,3,3,4,67,881,6064,5952,2410,651,708,740,609,444,261,564,19361,3,173,53,73,73,399,158,49,5,6,5,3,8,3,103,1114,Blacktown (C)
