LGA_MAIN11,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total,LGA_NAME11
12500,21,6,13,5,6,16,3,3,133,0,0,0,0,0,0,0,0,0,0,0,271,23,36,6,13,14,9,16,3,35,426,Deniliquin (A)
12600,138,56,78,51,58,39,24,41,837,3,0,3,0,0,0,0,3,0,3,12,1196,119,218,78,104,73,87,56,59,124,2114,Dubbo (C)
12700,4,3,4,0,3,6,0,0,52,0,0,0,0,0,0,0,0,0,0,0,330,19,16,6,10,0,3,9,0,15,408,Dungog (A)
12750,45,10,10,14,9,18,20,47,981,8,0,0,0,3,0,0,0,0,6,17,4104,140,175,29,47,50,45,35,30,236,4891,Eurobodalla (A)
27350,1413,412,388,496,511,442,280,504,11850,41,6,11,3,8,0,5,6,0,26,106,10998,1693,2473,748,847,988,1031,1085,736,932,21531,Yarra (C)
12850,8482,2086,2029,2305,2663,1725,1004,3815,89587,402,84,80,19,8,20,25,15,13,113,779,62510,10216,9103,2224,2162,2418,2789,1815,1064,4352,98653,Fairfield (C)
12900,11,0,0,8,6,6,3,3,88,0,0,0,0,0,0,0,0,0,0,0,230,25,32,11,10,15,9,12,6,21,371,Forbes (A)
12950,5,3,7,6,6,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,99,9,13,6,7,9,6,3,0,6,158,Gilgandra (A)
13010,13,0,3,3,9,0,0,13,111,0,0,0,0,0,0,0,0,0,0,0,417,26,27,10,8,9,9,0,0,40,546,Glen Innes Severn (A)
13050,7,0,0,0,3,0,3,3,53,0,0,0,0,0,0,0,0,0,0,0,276,20,28,0,12,0,3,6,3,24,372,Gloucester (A)
13100,784,192,246,261,201,162,82,276,6144,39,6,0,0,0,6,0,0,0,10,61,16942,2023,2429,606,631,681,540,432,215,1243,25742,Gosford (C)
13310,64,17,27,42,33,52,22,154,788,9,0,4,0,0,0,0,3,0,0,16,1601,94,122,35,49,62,50,70,37,245,2365,Goulburn Mulwaree (A)
13320,49,19,16,9,13,10,12,33,628,4,0,3,0,0,0,0,0,0,0,7,2888,155,135,35,33,36,28,30,30,182,3552,Great Lakes (A)
13340,8,6,0,0,11,8,6,6,99,0,0,0,0,0,0,0,0,0,0,0,405,33,35,6,9,7,18,11,14,31,569,Greater Hume Shire (A)
13380,66,11,23,33,31,28,12,45,728,0,0,0,0,4,0,6,0,0,0,10,2944,169,216,42,62,60,63,47,26,217,3846,Greater Taree (C)
13450,376,96,130,245,208,121,75,170,3195,10,5,8,0,3,3,4,3,0,3,39,2095,387,502,123,152,283,262,157,95,260,4316,Griffith (C)
13500,0,0,3,7,4,0,0,0,26,0,0,0,0,0,0,0,0,5,3,8,72,18,4,4,3,14,8,0,9,7,139,Gundagai (A)
13550,10,3,12,12,11,7,3,3,132,0,0,0,0,0,0,0,0,0,0,0,317,23,30,14,12,21,19,13,10,24,483,Gunnedah (A)
13650,6,6,0,0,0,0,0,6,33,0,0,0,0,0,0,0,0,0,3,3,140,10,17,9,6,6,3,0,0,13,204,Guyra (A)
13660,8,3,0,3,3,4,4,0,38,0,0,0,0,0,0,0,0,0,0,0,142,4,22,7,3,3,3,4,4,8,200,Gwydir (A)
13700,0,0,6,6,0,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,145,8,5,0,6,9,0,3,3,7,186,Harden (A)
13800,146,39,41,60,44,46,15,108,2000,11,0,3,0,0,0,0,0,0,9,23,5892,477,479,114,102,123,103,98,40,422,7850,Hawkesbury (C)
13850,0,3,3,12,3,3,6,0,65,0,0,0,0,0,0,0,0,0,0,0,106,4,14,3,7,12,3,3,6,10,168,Hay (A)
13950,5912,1677,1910,1872,1614,1134,544,1235,35034,100,35,52,5,7,19,25,14,7,51,315,19381,5328,6677,1835,2102,2087,1780,1293,642,1614,42739,Holroyd (C)
14000,5433,1310,1507,1616,1415,1336,666,1031,35013,78,28,29,12,7,12,7,9,9,13,204,28616,7250,7594,1752,1995,2117,1770,1773,889,1739,55495,Hornsby (A)
