LGA_MAIN11,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Churche_Christ_M,Christianity_Churche_Christ_F,Christianity_Churche_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,No_Religion_M,No_Religion_F,No_Religion_P,Other_religious_affiliation_M,Other_religious_affiliation_F,Other_religious_affiliation_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P,LGA_NAME11
10350,6205,7123,13328,8707,9846,18553,27,19,46,1429,1635,3064,28,32,60,24734,26408,51142,63,88,151,7739,7677,15416,172,257,429,205,240,445,262,267,529,735,692,1427,292,341,633,756,901,1657,1433,1532,2965,118,183,301,133,174,307,1484,1792,3276,996,1117,2113,144,164,308,49457,53365,102822,859,810,1669,17602,17195,34797,35,31,66,5,0,5,543,544,1087,548,544,1092,8165,6948,15113,335,205,540,6721,6204,12925,89927,92425,182352,Bankstown (C)
11050,3,3,6,332,344,676,0,0,0,3,11,14,3,0,3,464,459,923,0,0,0,4,3,7,0,0,0,3,0,3,3,3,6,0,0,0,0,0,0,0,3,3,29,37,66,4,4,8,8,0,8,87,88,175,24,19,43,3,3,6,967,974,1941,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,143,138,281,9,6,15,78,74,152,1205,1195,2400,Boorowa (A)
11100,608,768,1376,1998,2249,4247,131,135,266,160,169,329,0,12,12,6178,6760,12938,14,12,26,1817,1933,3750,31,50,81,87,84,171,57,60,117,132,142,274,48,39,87,193,228,421,366,407,773,10,8,18,28,18,46,352,384,736,283,308,591,13,11,24,11898,13009,24907,414,374,788,1710,1467,3177,299,309,608,3,3,6,98,83,181,101,86,187,2806,2326,5132,124,81,205,1534,1441,2975,19494,19861,39355,Botany Bay (C)
11150,3,6,9,301,304,605,0,0,0,23,19,42,0,0,0,585,606,1191,3,0,3,0,0,0,5,9,14,0,0,0,3,3,6,3,0,3,0,3,3,20,32,52,61,64,125,3,3,6,0,0,0,26,26,52,31,26,57,0,0,0,1064,1095,2159,0,3,3,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3,139,108,247,6,3,9,241,195,436,1459,1410,2869,Bourke (A)
10600,116,153,269,1413,1520,2933,0,0,0,36,40,76,0,3,3,949,1061,2010,8,5,13,3,8,11,18,14,32,0,5,5,19,28,47,0,0,0,5,7,12,53,67,120,198,193,391,8,13,21,22,22,44,385,460,845,140,206,346,18,24,42,3275,3676,6951,8,7,15,5,3,8,20,13,33,6,4,10,49,90,139,55,94,149,1992,1951,3943,123,100,223,480,446,926,6074,6443,12517,Bellingen (A)
10650,9,6,15,848,974,1822,0,0,0,14,17,31,0,0,0,1108,1142,2250,3,0,3,9,9,18,10,9,19,30,35,65,25,20,45,0,0,0,0,4,4,15,22,37,371,355,726,10,7,17,5,6,11,362,426,788,26,44,70,3,3,6,2839,3073,5912,0,3,3,6,5,11,0,0,0,3,0,3,10,13,23,13,13,26,779,616,1395,34,36,70,322,313,635,4002,4065,8067,Berrigan (A)
10750,2417,2731,5148,21456,23465,44921,85,87,172,2269,2396,4665,98,109,207,49181,52659,101840,463,471,934,3403,3424,6827,533,652,1185,1080,1167,2247,435,427,862,1697,1611,3308,939,1042,1981,3147,3478,6625,3201,3493,6694,291,347,638,837,977,1814,3849,4390,8239,3527,3753,7280,390,416,806,96881,104364,201245,8863,8535,17398,8832,8669,17501,68,77,145,9,13,22,4281,3695,7976,4290,3708,7998,17665,14635,32300,919,611,1530,9611,8223,17834,149546,151553,301099,Blacktown (C)
10800,6,8,14,827,881,1708,0,0,0,21,24,45,0,0,0,826,870,1696,3,6,9,4,9,13,14,19,33,3,3,6,58,62,120,0,0,0,9,19,28,14,11,25,240,243,483,22,22,44,3,3,6,232,252,484,93,109,202,3,3,6,2372,2536,4908,3,0,3,0,0,0,0,0,0,0,0,0,3,4,7,3,4,7,352,264,616,24,15,39,158,119,277,2918,2946,5864,Bland (A)
10850,8,19,27,939,1010,1949,0,0,0,50,69,119,0,0,0,1059,1101,2160,3,0,3,5,4,9,3,4,7,3,4,7,11,11,22,0,0,0,18,10,28,34,44,78,163,143,306,8,12,20,20,15,35,259,270,529,53,72,125,0,4,4,2628,2773,5401,6,0,6,3,3,6,0,6,6,0,0,0,7,11,18,7,11,18,557,449,1006,30,22,52,247,215,462,3486,3498,6984,Blayney (A)
10900,468,705,1173,7408,8492,15900,0,0,0,1005,1180,2185,112,133,245,7649,8668,16317,60,69,129,293,287,580,158,192,350,90,104,194,217,202,419,13,7,20,66,90,156,378,399,777,1220,1429,2649,129,132,261,69,98,167,1255,1627,2882,1079,1287,2366,61,102,163,21262,24498,45760,83,79,162,91,91,182,76,84,160,20,10,30,259,374,633,279,384,663,10543,9778,20321,624,428,1052,3285,3183,6468,36711,39230,75941,Blue Mountains (C)
