LGA_MAIN11,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot,LGA_NAME11
17850,3,3,6,8,22,49,63,56,36,246,0,0,0,0,6,3,4,0,0,13,11,8,16,12,14,22,35,22,8,148,76,138,253,361,415,460,385,189,76,2353,Walcha (A)
17900,17,12,15,24,80,138,140,70,18,514,0,0,0,3,7,6,16,15,0,47,33,36,63,84,116,138,114,81,27,692,204,323,680,794,936,958,694,296,75,4960,Walgett (A)
17950,7,6,7,11,29,62,40,29,25,216,0,0,0,0,4,3,0,0,0,7,14,10,21,18,21,28,29,27,0,168,93,124,292,321,438,370,284,148,44,2114,Warren (A)
12500,7,6,8,23,51,119,143,131,56,544,0,0,0,7,3,4,8,3,0,25,29,25,45,65,74,95,95,107,55,590,224,322,600,863,969,1015,746,554,213,5506,Deniliquin (A)
12600,35,27,68,113,267,439,438,415,203,2005,3,4,4,10,20,35,19,16,7,118,166,144,244,306,354,309,339,292,179,2333,1500,2405,4605,4982,5312,4351,2972,1822,706,28655,Dubbo (C)
12700,8,0,7,12,41,96,141,113,59,477,0,0,3,6,3,0,3,0,6,21,27,21,32,60,70,70,75,62,27,444,277,357,697,1036,1334,1284,884,419,164,6452,Dungog (A)
12750,18,20,54,109,183,477,527,475,274,2137,0,3,7,10,7,12,25,20,3,87,123,75,184,264,344,446,565,488,231,2720,900,1127,2423,3753,4956,6296,5140,2965,1126,28686,Eurobodalla (A)
18000,17,16,88,138,267,540,651,745,479,2941,0,32,46,70,67,88,119,132,53,607,237,357,949,1048,989,828,831,975,1106,7320,3012,7270,18053,23365,19655,14558,10733,7123,3871,107640,Warringah (A)
18020,6,3,19,32,92,154,194,149,96,745,0,0,0,4,6,13,6,0,5,34,57,41,50,86,108,124,155,121,54,796,251,368,766,1071,1295,1443,1148,694,268,7304,Warrumbungle Shire (A)
18050,6,9,26,26,56,122,230,310,227,1012,3,8,14,14,12,19,28,50,24,172,200,590,2156,1281,793,656,622,477,347,7122,991,3909,15354,11518,7314,5667,3698,2505,1379,52335,Waverley (A)
18100,4,0,3,20,22,70,76,64,27,286,0,0,0,0,0,0,6,3,0,9,7,6,15,10,35,46,59,39,11,228,59,123,288,400,521,577,484,281,99,2832,Weddin (A)
18150,7,7,23,48,82,154,141,113,46,621,0,4,0,0,5,3,6,4,0,22,66,111,235,173,125,94,113,106,31,1054,307,431,887,1032,1132,1122,900,544,156,6511,Wellington (A)
18200,14,14,27,17,74,115,153,104,31,549,0,0,0,0,3,9,4,7,0,23,42,23,43,42,72,72,77,74,35,480,229,294,638,836,1006,966,653,316,108,5046,Wentworth (A)
18250,9,10,27,47,80,217,275,318,202,1185,3,9,23,41,42,58,67,73,48,364,176,305,649,544,441,390,332,308,261,3406,1387,4241,10686,11229,9136,7137,4158,2823,1509,52306,Willoughby (C)
12050,6,7,0,26,69,106,108,110,60,492,0,0,4,0,6,0,3,3,3,19,21,38,91,119,126,93,105,95,65,753,253,446,882,1285,1557,1325,961,557,250,7516,Cooma-Monaro (A)
12850,88,195,916,1900,3052,3659,3108,2463,801,16182,23,131,549,1205,2296,1946,1444,1410,483,9487,713,822,1534,1911,2029,1807,1512,1274,519,12121,6767,13653,24972,25415,26857,21283,12216,7807,2481,141451,Fairfield (C)
12900,3,6,17,30,73,144,141,134,67,615,4,0,3,4,0,8,11,7,0,37,20,17,36,62,63,95,133,110,40,576,265,457,877,1062,1207,1227,967,592,230,6884,Forbes (A)
12950,0,4,8,28,28,65,99,73,35,340,0,0,0,0,8,5,3,3,0,19,12,9,24,35,59,54,65,47,34,339,141,189,385,489,654,585,499,286,114,3342,Gilgandra (A)
13010,7,4,22,29,74,140,178,155,92,701,0,3,4,3,3,8,9,7,0,37,29,27,69,84,104,102,101,126,28,670,251,363,777,935,1259,1317,1066,621,221,6810,Glen Innes Severn (A)
13050,3,0,6,14,33,68,103,112,42,381,0,0,0,0,3,3,3,0,3,12,4,5,6,24,25,53,53,51,25,246,118,158,334,544,689,819,693,428,141,3924,Gloucester (A)
13100,72,55,127,252,594,1094,1079,1387,974,5634,13,7,12,43,57,54,44,60,33,323,501,475,910,1240,1552,1452,1717,2027,1614,11488,4796,8916,16418,21073,23164,20605,15174,10823,5119,126088,Gosford (C)
13310,31,27,69,63,160,359,430,304,172,1615,3,3,8,10,16,17,30,23,4,114,86,133,335,353,317,314,320,285,128,2271,890,1498,2986,3615,3910,3641,2653,1556,584,21333,Goulburn Mulwaree (A)
13320,19,18,45,94,190,422,574,552,278,2192,6,0,6,3,10,11,16,20,6,78,76,73,141,224,293,385,584,662,369,2807,782,1138,2222,3368,4473,5554,5625,3586,1335,28083,Great Lakes (A)
13340,5,3,9,10,43,121,148,131,66,536,0,0,0,3,6,3,3,0,5,20,35,31,41,70,76,111,110,80,47,601,277,366,826,1159,1475,1479,1005,509,206,7302,Greater Hume Shire (A)
13380,30,42,86,142,319,591,819,678,350,3057,6,3,3,10,9,28,18,17,9,103,153,113,211,320,433,538,600,653,392,3413,1347,1879,3603,5100,6590,7194,5845,3364,1249,36171,Greater Taree (C)
13450,17,16,53,79,164,392,379,474,235,1809,0,6,14,17,20,36,50,76,27,246,113,137,268,251,266,260,240,198,99,1832,816,1523,3080,3217,3270,2639,1720,1269,480,18014,Griffith (C)
13500,0,3,6,6,22,55,73,53,34,252,0,0,0,0,0,6,0,10,0,16,9,10,12,9,31,44,56,39,20,230,119,166,320,424,525,512,403,205,87,2761,Gundagai (A)
13550,9,16,27,34,104,166,187,171,65,779,0,0,0,8,11,8,4,5,3,39,42,46,86,98,100,121,129,163,88,873,406,657,1287,1409,1663,1484,1152,762,269,9089,Gunnedah (A)
13650,0,11,9,18,52,83,81,77,40,371,0,0,0,0,0,0,9,0,0,9,16,11,25,41,34,55,41,39,16,278,139,212,403,530,596,616,438,253,92,3279,Guyra (A)
13660,0,0,11,18,44,109,140,104,52,478,0,0,0,3,0,6,3,7,3,22,0,12,12,26,35,38,67,55,20,265,116,174,433,610,703,701,653,339,135,3864,Gwydir (A)
13700,0,4,9,5,23,64,76,74,29,284,0,0,0,3,3,8,0,3,0,17,7,5,13,27,20,44,63,30,17,226,65,140,310,396,489,577,455,248,88,2768,Harden (A)
13800,26,35,66,127,325,510,511,400,221,2221,3,3,16,10,25,28,41,32,11,169,220,231,350,515,556,549,504,343,217,3485,2391,4413,7341,8911,9189,7132,4289,2085,864,46615,Hawkesbury (C)
13850,0,4,5,6,36,61,60,50,18,240,0,0,0,0,0,7,7,4,0,18,12,11,23,24,29,24,40,49,22,234,96,129,247,348,509,359,307,201,63,2259,Hay (A)
13950,33,54,256,399,629,1144,1318,1019,444,5296,14,53,178,171,209,302,328,280,75,1610,353,537,1283,997,922,816,782,750,457,6897,2984,6684,17573,14348,12001,9697,6405,3977,1580,75249,Holroyd (C)
14000,22,39,57,125,235,408,574,625,506,2591,6,12,47,82,91,102,120,159,63,682,265,324,658,683,856,710,680,816,901,5893,4367,10018,16818,22760,24326,18436,11563,7255,3811,119354,Hornsby (A)
14100,0,0,0,10,21,26,68,80,69,274,0,6,0,3,3,7,12,17,3,51,32,38,51,66,71,87,94,107,143,689,287,643,1059,1799,1819,1675,1079,836,642,9839,Hunters Hill (A)
14150,16,22,73,124,347,808,864,830,535,3619,8,25,62,63,132,186,193,203,65,937,174,292,640,523,589,525,505,556,311,4115,2084,5703,11915,10877,10922,8595,5749,4248,2124,62217,Hurstville (C)
14200,18,16,39,66,107,286,299,258,90,1179,0,0,7,0,15,13,11,12,0,58,57,41,105,113,115,147,219,186,140,1123,498,750,1608,1949,2144,2034,1719,1004,364,12070,Inverell (A)
14250,0,0,0,4,13,21,41,30,16,125,0,0,0,0,0,0,3,5,0,8,0,4,13,6,24,25,18,20,7,117,41,74,119,158,251,209,176,95,33,1156,Jerilderie (A)
14300,6,4,11,18,31,70,67,74,20,301,0,0,0,3,0,0,3,3,0,9,34,133,273,243,130,104,88,49,25,1079,184,368,738,827,827,773,497,261,96,4571,Junee (A)
14350,19,21,46,106,253,485,495,389,249,2063,0,3,11,12,12,22,23,21,5,109,121,155,312,329,369,333,357,329,194,2499,793,1217,2392,3089,4142,4414,3119,1740,716,21622,Kempsey (A)
14400,4,3,12,19,50,109,154,169,137,657,0,0,7,3,7,3,6,12,4,42,35,35,75,77,124,141,141,148,95,871,595,996,1572,2351,3048,3000,2120,1377,614,15673,Kiama (A)
14450,8,15,37,61,171,468,686,524,264,2234,0,3,35,44,75,81,154,155,36,583,150,225,490,366,419,379,367,304,210,2910,1496,4058,8396,8028,8040,6083,3951,2658,1242,43952,Kogarah (C)
14500,22,7,14,32,58,142,216,246,200,937,0,6,17,15,39,17,36,54,30,214,281,213,331,544,630,533,428,605,632,4197,2946,6291,7862,14315,17459,13041,9095,6437,3477,80923,Ku-ring-gai (A)
14550,3,3,14,29,63,127,157,157,81,634,0,0,0,3,7,0,7,3,0,20,34,19,36,64,102,107,92,97,37,588,239,336,731,1022,1529,1618,874,525,205,7079,Kyogle (A)
14600,7,8,14,20,48,113,120,115,58,503,0,0,0,3,6,18,11,10,0,48,20,35,29,47,53,78,63,56,26,407,171,343,718,738,845,871,621,434,160,4901,Lachlan (A)
14650,117,92,217,359,891,1706,1799,2077,1345,8603,8,3,35,67,83,93,81,59,47,476,510,426,766,1095,1386,1484,1742,1917,1077,10403,6324,10783,19617,24281,26306,24945,18122,11890,4813,147081,Lake Macquarie (C)
14700,3,3,13,11,23,48,78,110,96,385,0,3,8,19,6,11,7,14,4,72,46,76,244,206,165,179,139,142,149,1346,596,1806,4876,5075,4301,3504,2171,1294,764,24387,Lane Cove (A)
14750,13,4,16,25,83,150,168,166,83,708,0,0,6,0,0,6,17,16,5,50,57,54,111,111,109,113,122,96,42,815,372,553,1073,1381,1535,1189,911,540,189,7743,Leeton (A)
14800,8,3,19,40,100,212,333,399,159,1273,0,3,5,8,12,37,47,87,19,218,94,176,570,679,457,457,396,345,227,3401,766,2585,9799,10987,7105,5890,3110,1645,628,42515,Leichhardt (A)
14850,17,24,64,116,194,367,423,559,348,2112,3,6,13,19,16,27,17,12,5,118,146,144,212,281,377,310,296,285,180,2231,1320,2606,4371,5448,6629,5991,3287,2114,865,32631,Lismore (C)
14870,17,18,28,78,166,290,301,262,110,1270,0,3,0,3,9,4,17,4,0,40,88,108,226,229,280,271,236,208,92,1738,645,1101,1976,2495,3023,2852,2115,1152,385,15744,Lithgow (C)
14900,77,96,436,776,1506,2219,2120,1473,533,9236,13,63,230,388,691,714,556,447,137,3239,799,891,2080,1929,2049,1783,1470,974,355,12330,6657,12352,26343,26970,24731,17008,9735,5180,1558,130534,Liverpool (C)
14920,5,4,18,29,57,125,139,110,66,553,0,0,0,4,10,9,0,6,0,29,28,15,31,52,81,89,94,67,23,480,209,327,693,887,1055,1104,851,489,170,5785,Liverpool Plains (A)
14950,3,3,0,7,12,42,54,62,32,215,0,0,0,0,0,0,0,3,3,6,14,3,6,16,31,23,23,22,10,148,97,86,222,378,446,430,312,203,91,2265,Lockhart (A)
15050,34,38,97,180,384,608,612,603,335,2891,6,3,19,7,16,27,19,13,12,122,241,205,392,511,539,488,501,485,211,3573,2412,4191,8646,9572,9116,7701,4706,2795,1053,50192,Maitland (C)
15150,6,3,13,17,26,53,106,102,89,415,3,3,10,10,6,3,7,11,3,56,103,171,592,436,302,308,254,220,212,2598,718,2011,6653,7036,5401,3939,2799,1694,858,31109,Manly (A)
15200,15,16,74,164,376,772,1168,930,260,3775,4,12,34,61,136,230,350,330,89,1246,207,489,1359,1149,868,759,591,508,246,6176,1518,5683,16452,14819,10295,7083,4314,2759,902,63825,Marrickville (A)
15270,7,10,40,58,122,320,327,287,150,1321,0,3,0,7,8,14,22,13,14,81,87,70,137,236,197,251,266,198,106,1548,670,1052,2175,2971,3126,2956,2332,1258,463,17003,Mid-Western Regional (A)
15300,16,22,32,56,105,232,230,126,66,885,0,0,3,4,4,21,12,6,5,55,90,91,182,203,185,165,174,110,21,1221,487,834,1710,1871,1825,1508,1015,497,167,9914,Moree Plains (A)
15350,0,0,7,10,7,14,32,49,40,159,0,4,5,0,4,6,4,3,0,26,77,114,348,334,252,258,195,167,122,1867,485,1359,3480,4319,4009,3319,2396,1344,839,21550,Mosman (A)
