LGA_MAIN11,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total,LGA_NAME11
19499,69,52,121,1112,551,45,1708,7209,2821,11738,
29499,39,15,54,831,371,24,1226,4418,1624,7268,
14300,68,27,95,817,318,34,1169,2475,1102,4746,Junee (A)
14350,614,103,717,3649,1511,201,5361,15021,2281,22663,Kempsey (A)
14400,521,90,615,2955,1585,241,4781,10797,899,16477,Kiama (A)
14450,1050,177,1241,9303,2804,203,12310,30773,2875,45958,Kogarah (C)
14500,2848,583,3482,19889,6736,795,27420,54900,4461,86781,Ku-ring-gai (A)
14550,166,33,205,1282,591,74,1947,4976,546,7469,Kyogle (A)
14600,138,20,158,994,416,46,1456,3210,431,5097,Lachlan (A)
31820,1428,433,1868,13168,4647,657,18472,47845,6066,72383,Bundaberg (R)
13050,112,27,142,642,278,22,942,2878,275,4095,Gloucester (A)
13100,3899,1194,5129,25570,10794,1490,37854,83573,10636,132063,Gosford (C)
41560,283,53,339,1760,845,96,2701,7368,679,10748,Copper Coast (DC)
41750,15,0,15,181,53,3,237,570,37,844,Elliston (DC)
12850,2084,366,2487,26601,8408,510,35519,102571,11456,149546,Fairfield (C)
12900,184,43,230,1342,533,47,1922,4771,545,7238,Forbes (A)
12950,83,31,114,636,253,27,916,2259,321,3496,Gilgandra (A)
14650,3986,788,4816,30114,15025,1575,46714,97546,9570,153830,Lake Macquarie (C)
14700,635,118,764,5737,1616,229,7582,16616,1339,25537,Lane Cove (A)
14750,141,45,190,1665,670,77,2412,5116,896,8424,Leeton (A)
14800,471,154,630,8883,2450,401,11734,28556,3121,43411,Leichhardt (A)
14850,752,104,865,6610,2754,471,9835,22341,2175,34351,Lismore (C)
14870,308,73,384,2936,1265,171,4372,10366,1648,16386,Lithgow (C)
14900,1247,296,1557,30413,8001,824,39238,86317,12341,137896,Liverpool (C)
14920,147,22,169,1039,384,47,1470,4087,465,6022,Liverpool Plains (A)
14950,78,13,91,455,222,18,695,1513,159,2367,Lockhart (A)
15050,882,160,1054,12253,4822,631,17706,31569,3378,52653,Maitland (C)
15150,673,173,859,7000,2224,311,9535,20139,2557,32231,Manly (A)
15200,731,162,903,10815,3426,521,14762,44704,5799,65265,Marrickville (A)
15270,371,90,461,3467,1151,154,4772,11502,1519,17793,Mid-Western Regional (A)
15300,143,23,166,2095,721,149,2965,6131,1187,10283,Moree Plains (A)
15350,688,135,837,4557,1494,181,6232,14274,1926,22432,Mosman (A)
15500,123,26,149,978,426,48,1452,3864,454,5770,Murray (A)
15550,24,3,27,367,127,18,512,1085,151,1748,Murrumbidgee (A)
15650,139,32,171,2789,950,122,3861,7002,1327,12190,Muswellbrook (A)
15700,517,110,627,2360,1033,132,3525,10590,1215,15330,Nambucca (A)
15750,198,31,229,2050,736,117,2903,6281,871,10055,Narrabri (A)
15800,133,25,161,825,417,44,1286,2927,449,4662,Narrandera (A)
15850,73,20,96,973,422,62,1457,3126,429,5012,Narromine (A)
15900,3151,671,3865,22384,10285,1320,33989,80718,8518,123225,Newcastle (C)
15950,832,223,1074,7401,3131,234,10766,39236,5352,55354,North Sydney (A)
16100,68,10,78,802,319,27,1148,2509,366,4023,Oberon (A)
16150,662,104,770,6293,2412,342,9047,18284,2301,29632,Orange (C)
16180,88,15,106,2545,828,114,3487,6974,798,11259,Palerang (A)
16200,300,63,370,2248,857,138,3243,6983,1091,11317,Parkes (A)
16250,2362,652,3050,26799,7347,726,34872,88573,11857,135302,Parramatta (C)
16350,1448,423,1894,30829,11523,1477,43829,85705,10222,139756,Penrith (C)
16370,1221,277,1518,10404,4011,555,14970,27890,2867,45727,Pittwater (A)
16380,1933,501,2455,10428,4247,616,15291,39999,4465,59755,Port Macquarie-Hastings (A)
16400,1059,313,1379,10012,4447,584,15043,33008,4125,52176,Port Stephens (A)
16470,334,102,442,6578,2211,284,9073,19103,2122,30298,Queanbeyan (C)
16550,2317,432,2777,18349,6039,710,25098,73132,11259,109489,Randwick (C)
16610,439,124,567,3231,1300,169,4700,11286,1460,17446,Richmond Valley (A)
16650,2085,364,2476,14681,4769,346,19796,53598,7018,80412,Rockdale (C)
16700,2056,408,2499,16588,4893,554,22035,58474,5413,85922,Ryde (C)
16900,788,120,919,10999,4733,600,16332,30649,3063,50044,Shellharbour (C)
16950,2023,526,2566,12762,5534,682,18978,50405,7027,76410,Shoalhaven (C)
17000,235,30,268,4187,1417,210,5814,10675,1176,17665,Singleton (A)
17050,57,7,70,1184,318,61,1563,3623,834,6020,Snowy River (A)
17750,929,190,1130,9582,3597,486,13665,30338,2882,46885,Wagga Wagga (C)
17800,80,19,99,529,235,22,786,2150,326,3262,Wakool (A)
17850,69,8,77,451,141,19,611,1706,143,2460,Walcha (A)
17900,56,17,76,813,310,47,1170,3247,665,5082,Walgett (A)
17950,41,6,47,398,168,18,584,1436,162,2182,Warren (A)
18000,3251,588,3877,26055,8562,1199,35816,70027,6588,112431,Warringah (A)
18020,225,40,268,1345,510,78,1933,4991,728,7652,Warrumbungle Shire (A)
18050,1068,300,1386,9000,2988,409,12397,34301,6992,53690,Waverley (A)
18100,82,16,98,509,221,19,749,1996,233,2978,Weddin (A)
18150,135,14,158,1182,495,40,1717,3999,1032,6748,Wellington (A)
18200,67,39,106,1001,420,50,1471,3322,479,5272,Wentworth (A)
18250,1312,177,1510,12412,3014,467,15893,35265,3339,54497,Willoughby (C)
18350,934,228,1168,6936,2845,351,10132,23184,2470,35786,Wingecarribee (A)
18400,387,73,466,7900,2725,377,11002,20182,2092,33276,Wollondilly (A)
18450,3550,681,4265,30291,13909,1668,45868,100107,10771,156746,Wollongong (C)
18500,1167,354,1544,7264,3106,205,10575,28161,5369,44105,Woollahra (A)
18550,2946,857,3834,23969,9779,1286,35034,74882,9505,119421,Wyong (A)
18710,155,63,221,2711,986,143,3840,7067,796,11703,Yass Valley (A)
18750,267,57,324,1966,697,96,2759,5953,818,9530,Young (A)
19399,14,0,14,195,42,3,240,681,57,978,Unincorporated NSW
20110,257,52,309,1698,619,101,2418,6751,685,9854,Alpine (S)
20260,193,77,270,1584,684,80,2348,5778,1082,9208,Ararat (RC)
20570,1485,506,2012,14950,6337,847,22134,47581,5623,75338,Ballarat (C)
20660,2399,479,2907,19132,7589,905,27626,63937,5668,97231,Banyule (C)
20740,586,242,840,4256,1874,226,6356,15938,2274,24568,Bass Coast (S)
20830,632,210,849,7005,2776,367,10148,21712,2425,34285,Baw Baw (S)
20910,2718,537,3307,16272,5723,814,22809,46144,4864,73817,Bayside (C)
21010,354,64,418,1843,842,99,2784,7765,721,11270,Benalla (RC)
21110,3828,745,4630,25900,8796,1077,35773,88135,7508,131416,Boroondara (C)
21180,1716,447,2183,26977,8750,530,36257,97785,13890,147932,Brimbank (C)
21270,205,37,245,890,375,47,1312,3555,354,5221,Buloke (S)
21370,709,194,908,5685,2336,242,8263,18508,2352,29123,Campaspe (S)
21450,721,121,847,14266,4126,743,19135,34114,3596,56845,Cardinia (S)
21610,2074,418,2513,47244,12484,1704,61432,119981,12373,193786,Casey (C)
21670,317,74,398,1620,693,75,2388,7150,883,10421,Central Goldfields (S)
21750,432,109,544,3143,1326,168,4637,10645,1211,16493,Colac-Otway (S)
21830,328,78,406,2664,899,151,3714,8265,1000,12979,Corangamite (S)
21890,2430,623,3079,20097,6444,894,27435,77145,9648,114228,Darebin (C)
41960,13,10,23,184,87,19,290,639,103,1032,Franklin Harbour (DC)
17650,63,22,88,1002,376,39,1417,3021,324,4762,Uralla (A)
17700,17,7,27,167,58,8,233,603,79,915,Urana (A)
22110,895,208,1110,5670,2382,373,8425,23796,2709,34930,East Gippsland (S)
22170,1677,602,2291,20783,7839,1127,29749,64572,7824,102145,Frankston (C)
22250,278,66,344,1464,648,72,2184,5572,730,8486,Gannawarra (S)
42110,101,18,119,608,253,32,893,2273,221,3387,Goyder (DC)
42250,42,42,84,1468,529,57,2054,3588,559,6201,Grant (DC)
22670,2058,360,2437,19104,5846,369,25319,75921,9741,110981,Greater Dandenong (C)
22750,4335,879,5255,33136,14118,1827,49081,110582,12261,171924,Greater Geelong (C)
22830,1017,232,1263,9607,3385,430,13422,29960,4117,47499,Greater Shepparton (C)
22910,262,64,326,2061,867,122,3050,7877,981,11908,Hepburn (S)
22980,248,28,276,810,321,36,1167,3275,326,4768,Hindmarsh (S)
23110,1259,334,1613,13527,4264,527,18318,44907,5433,68658,Hobsons Bay (C)
23190,342,152,500,3077,1225,163,4465,9912,1140,15517,Horsham (RC)
23270,896,246,1159,28133,7841,838,36812,82366,10300,129478,Hume (C)
23350,280,44,327,2450,978,138,3566,7831,910,12307,Indigo (S)
23430,2908,597,3552,23353,8013,998,32364,76983,7977,117324,Kingston (C)
23670,2089,418,2533,25011,8957,1190,35158,80472,6025,121655,Knox (C)
23810,1152,240,1402,11096,4701,587,16384,37213,4700,58297,Latrobe (C)
23940,185,39,227,959,437,47,1443,4201,521,6165,Loddon (S)
24130,541,80,628,7585,2555,447,10587,20482,1897,32966,Macedon Ranges (S)
24210,2001,537,2562,17460,7789,573,25822,62406,4803,93031,Manningham (C)
24250,131,24,164,1091,465,55,1611,4383,434,6428,Mansfield (S)
24330,932,201,1147,10795,2842,415,14052,39614,6102,59768,Maribyrnong (C)
24410,1909,453,2378,17630,6475,962,25067,54801,4479,84347,Maroondah (C)
24600,631,158,795,6378,3224,207,9809,66430,10743,86982,Melbourne (C)
24650,555,90,655,21844,5245,682,27771,48022,6466,82259,Melton (S)
24780,934,179,1118,7890,3038,388,11316,25470,3497,40283,Mildura (RC)
24850,343,70,416,6092,1937,293,8322,16519,2174,27015,Mitchell (S)
24900,619,173,799,4012,1639,209,5860,14777,2050,22687,Moira (S)
24970,3100,772,3920,25219,9725,781,35725,98542,8669,142936,Monash (C)
25060,1947,521,2501,16315,5723,578,22616,59923,6652,89191,Moonee Valley (C)
25150,318,87,411,4893,1689,260,6842,13833,1537,22212,Moorabool (S)
25250,2766,758,3561,20699,6607,839,28145,84880,10361,123386,Moreland (C)
25340,3071,1101,4195,22706,9789,1272,33767,74853,9437,118057,Mornington Peninsula (S)
45680,785,170,961,13118,4698,728,18544,37770,4586,60900,Playford (C)
25430,282,196,484,2482,1142,201,3825,9251,1650,14726,Mount Alexander (S)
25490,245,83,331,2765,1021,141,3927,7717,896,12540,Moyne (S)
25620,210,52,262,1976,765,104,2845,7044,925,10814,Murrindindi (S)
25710,448,146,606,11211,3918,718,15847,29840,2079,47766,Nillumbik (S)
25810,282,59,341,1689,702,95,2486,6549,741,9776,Northern Grampians (S)
25900,807,366,1188,10370,4164,427,14961,58495,7869,81325,Port Phillip (C)
25990,114,22,136,905,383,59,1347,3633,545,5525,Pyrenees (S)
26080,127,26,153,354,236,24,614,1757,199,2570,Queenscliffe (B)
26170,567,103,670,4131,1824,220,6175,14396,1497,22068,South Gippsland (S)
26260,443,89,535,2462,954,148,3564,8879,875,13318,Southern Grampians (S)
26350,1708,419,2161,11496,4850,422,16768,57460,6739,80967,Stonnington (C)
26430,241,63,307,1184,598,53,1835,5518,653,8006,Strathbogie (S)
26490,405,72,483,4772,1679,280,6731,12279,1336,20346,Surf Coast (S)
26610,372,97,478,3062,1180,165,4407,10227,1586,16220,Swan Hill (RC)
26670,148,37,185,880,335,45,1260,3259,309,4828,Towong (S)
26700,537,211,748,4049,1757,237,6043,14181,1511,21735,Wangaratta (RC)
26730,568,222,802,5096,2271,284,7651,15938,2099,25688,Warrnambool (C)
26810,692,167,867,6157,2578,374,9109,21105,3361,33575,Wellington (S)
26890,105,17,122,673,222,37,932,2279,241,3452,West Wimmera (S)
26980,3233,994,4282,24310,8679,1153,34142,83240,7815,125197,Whitehorse (C)
27070,1113,424,1546,26552,7952,752,35256,78726,8679,122661,Whittlesea (C)
27170,447,89,540,6073,2282,355,8710,17370,1725,27805,Wodonga (RC)
27260,878,217,1106,31872,7692,998,40562,73385,9308,123255,Wyndham (C)
27350,736,161,903,8151,3457,377,11985,47532,5817,65334,Yarra (C)
27450,1503,442,1965,25222,9518,1498,36238,72616,6823,115677,Yarra Ranges (S)
27630,238,45,286,942,385,66,1393,3948,505,5846,Yarriambiack (S)
29399,0,0,0,78,24,6,108,514,90,712,Unincorporated Vic
30250,0,0,4,179,205,33,417,407,78,902,Aurukun (S)
30300,39,11,53,790,246,31,1067,2131,314,3512,Balonne (S)
30370,150,35,185,2681,697,113,3491,6741,826,11058,Banana (S)
30410,30,5,35,554,147,8,709,1590,216,2515,Barcaldine (R)
30450,4,0,4,51,9,0,60,214,16,290,Barcoo (S)
30760,25,7,32,354,100,10,464,1176,128,1768,Blackall Tambo (R)
36070,0,0,0,117,104,4,225,260,9,494,Pormpuraaw (S)
36150,13,0,13,152,56,12,220,511,49,780,Quilpie (S)
36250,2230,472,2718,23534,9023,1220,33777,70752,6327,110856,Redland (C)
36300,14,3,17,140,24,0,164,417,71,652,Richmond (S)
36360,1176,620,1809,17200,6261,947,24408,52924,9163,86495,Rockhampton (R)
36510,580,94,678,5839,2203,347,8389,18615,1931,28935,Scenic Rim (R)
36580,201,70,277,3394,1257,183,4834,10895,1334,17063,Somerset (R)
36630,471,126,606,4667,1572,270,6509,15923,1967,24399,South Burnett (R)
36660,653,151,807,5197,1802,259,7258,17722,1919,26899,Southern Downs (R)
36710,5611,1370,7030,49856,17570,2696,70122,161584,17127,248833,Sunshine Coast (R)
36810,521,230,757,6238,2351,380,8969,22090,3866,34925,Tablelands (R)
36910,2202,825,3045,24589,9024,1343,34956,74689,9042,118687,Toowoomba (R)
36950,17,0,17,460,146,24,630,1275,377,2282,Torres (S)
36960,9,0,9,797,384,64,1245,1308,153,2706,Torres Strait Island (R)
37010,1499,339,1854,28464,10070,1438,39972,85440,12220,137632,Townsville (C)
50280,152,36,188,2145,610,154,2909,5532,853,9294,Augusta-Margaret River (S)
50350,239,36,279,2220,861,126,3207,7818,822,11847,Bassendean (T)
51080,10,6,16,201,56,9,266,498,65,829,Broomehill-Tambellup (S)
53220,3,3,6,1771,564,165,2500,5335,2286,10121,East Pilbara (S)
53290,148,39,187,2283,697,117,3097,6382,1011,10490,Esperance (S)
53360,9,0,9,401,98,28,527,1210,181,1918,Exmouth (S)
53430,510,88,602,3610,1636,267,5513,15285,1840,22638,Fremantle (C)
53520,380,93,481,5954,2101,356,8411,17376,2518,28305,Geraldton-Greenough (C)
53570,39,14,53,670,249,35,954,2428,385,3767,Gingin (S)
53640,11,3,14,229,88,23,340,536,64,940,Gnowangerup (S)
34770,1047,223,1281,19493,6408,973,26874,54011,7952,88837,Mackay (R)
34800,6,3,9,168,40,11,219,552,121,892,McKinlay (S)
41140,170,42,212,1325,576,82,1983,4653,405,7041,Clare and Gilbert Valleys (DC)
47910,72,20,92,357,201,30,588,1425,113,2126,Tumby Bay (DC)
54410,31,3,34,178,63,6,247,603,68,918,Kellerberrin (S)
55110,1089,454,1551,10267,4245,591,15103,36388,5266,56757,Mandurah (C)
55180,120,32,155,1481,479,86,2046,4643,503,7192,Manjimup (S)
55250,8,0,8,154,81,10,245,638,240,1123,Meekatharra (S)
55320,2047,475,2541,14646,5980,789,21415,53325,4764,79504,Melville (C)
56620,0,0,3,151,216,41,408,533,95,1036,Ngaanyatjarraku (S)
55460,32,6,38,530,143,23,696,1702,178,2576,Merredin (S)
56020,3,0,3,107,28,6,141,333,80,554,Mullewa (S)
56090,363,99,470,5771,2491,397,8659,17510,3397,29566,Mundaring (S)
57350,26,3,29,161,38,0,199,595,44,838,Quairading (S)
57420,4,5,9,365,72,19,456,1047,141,1644,Ravensthorpe (S)
57490,962,251,1225,18970,6131,1075,26176,48050,6194,80420,Rockingham (C)
57560,15,3,18,3525,702,183,4410,9556,4229,18195,Roebourne (S)
56450,0,0,0,157,54,7,218,459,31,708,Narrogin (S)
65410,213,51,273,2119,811,92,3022,7403,720,11145,Waratah/Wynyard (M)
65610,24,11,35,759,211,27,997,2399,319,3715,West Coast (M)
65810,287,112,399,3579,1280,186,5045,11506,1033,17584,West Tamar (M)
69399,0,0,0,6,6,0,12,82,15,109,
69499,0,0,0,111,59,3,173,653,149,975,
56790,28,21,49,482,156,23,661,1696,237,2594,Northampton (S)
56860,3,0,3,28,9,3,40,124,13,177,Nungarin (S)
57700,109,19,128,3357,1079,165,4601,7937,1033,13571,Serpentine-Jarrahdale (S)
57770,9,0,9,129,35,10,174,491,48,713,Shark Bay (S)
57840,885,212,1107,5159,2203,303,7665,24446,2789,34900,South Perth (C)
57910,3254,917,4217,28953,11231,1211,41395,107470,13810,162675,Stirling (C)
57980,244,79,323,2312,1001,118,3431,10532,1204,15167,Subiaco (C)
58050,780,218,1004,19679,5785,876,26340,51067,6601,84008,Swan (C)
58190,4,0,4,85,27,3,115,153,27,295,Tammin (S)
58260,8,3,11,112,23,7,142,284,44,470,Three Springs (S)
73600,6,7,19,798,775,221,1794,1916,489,4199,Roper Gulf (S)
58510,764,334,1106,4077,1340,174,5591,19550,3029,28170,Victoria Park (T)
58610,40,13,53,291,101,11,403,960,101,1464,Wagin (S)
58680,3,0,3,91,23,3,117,203,27,347,Wandering (S)
58760,1106,328,1446,29892,7975,1388,39255,67465,8246,114966,Wanneroo (C)
58820,50,8,58,572,196,43,811,1849,189,2849,Waroona (S)
58890,12,0,12,171,44,9,224,420,39,683,West Arthur (S)
79399,3,0,3,1442,245,69,1756,3198,1407,6361,Unincorporated NT
79499,0,0,0,127,79,0,206,1256,263,1725,
89399,3989,774,4829,57813,21173,3053,82039,191726,16540,290305,Unincorporated ACT
89499,3,3,6,62,36,3,101,403,69,573,
59250,0,0,0,184,69,13,266,625,144,1035,Wiluna (S)
59320,3,0,3,85,17,7,109,174,21,304,Woodanilling (S)
59330,16,0,16,75,13,5,93,285,44,422,Wyalkatchem (S)
59340,14,3,17,1100,437,109,1646,3527,719,5892,Wyndham-East Kimberley (S)
59350,0,0,0,60,15,0,75,212,64,351,Yalgoo (S)
11250,357,132,492,2525,1128,109,3762,9668,1746,15176,Broken Hill (C)
13310,460,122,585,4216,1722,205,6143,13982,2140,22265,Goulburn Mulwaree (A)
13320,941,385,1335,4090,1847,234,6171,20256,2713,29140,Great Lakes (A)
13340,170,31,205,1595,641,89,2325,4829,584,7738,Greater Hume Shire (A)
13380,1040,202,1248,6367,2718,351,9436,25545,2879,37860,Greater Taree (C)
13450,360,111,482,3972,1383,140,5495,11520,1865,18880,Griffith (C)
13500,64,19,87,550,220,27,797,1835,246,2878,Gundagai (A)
13550,182,85,267,1904,676,95,2675,5928,908,9511,Gunnedah (A)
13650,78,13,91,661,249,25,935,2217,276,3428,Guyra (A)
13660,113,20,133,770,253,32,1055,2705,262,4022,Gwydir (A)
10050,893,162,1065,7479,2963,374,10816,24881,2813,38510,Albury (C)
10110,385,83,471,3323,1340,204,4867,13031,1606,19504,Armidale Dumaresq (A)
13700,73,16,89,520,180,24,724,1943,221,2888,Harden (A)
13800,724,129,866,11006,4100,529,15635,30069,3283,48987,Hawkesbury (C)
13850,57,6,63,438,151,15,604,1568,187,2359,Hay (A)
13950,1144,426,1585,16498,4799,380,21677,49966,6769,78412,Holroyd (C)
