LGA_MAIN11,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU_15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot,LGA_NAME11
10050,0,484,185,40,52,67,29,17,6,880,0,207,290,215,391,572,564,582,281,3102,73,182,82,35,44,58,49,35,15,573,4369,3290,2883,3019,3186,2663,1766,1200,453,22829,0,167,2196,3375,3637,3270,2029,1102,200,15976,0,693,1061,673,517,292,102,19,3,3360,0,118,403,654,591,205,93,86,58,2208,8758,0,0,0,0,0,0,0,0,8758,0,2008,0,0,0,0,0,0,0,2008,0,1405,403,172,155,49,12,0,0,2196,0,217,110,49,68,71,67,44,35,661,0,152,84,36,30,21,6,3,0,332,0,898,461,107,115,131,61,25,10,1808,0,426,706,616,821,1035,842,793,344,5583,159,311,178,95,101,119,87,60,18,1128,8917,6395,5602,5777,6035,5193,3299,2132,668,44018,Albury (C)
10110,0,309,76,22,23,23,15,3,3,474,0,112,121,97,167,289,273,292,125,1476,33,114,45,14,31,47,39,26,8,357,2048,1787,1183,1330,1564,1254,897,571,202,10836,0,110,823,1399,1830,1518,1045,458,106,7289,0,383,468,305,286,164,41,6,0,1653,0,85,186,273,272,104,47,58,23,1048,4135,0,0,0,0,0,0,0,0,4135,0,1021,0,0,0,0,0,0,0,1021,0,584,172,84,64,36,0,0,0,940,0,139,61,30,30,27,24,26,18,355,0,109,39,16,15,8,3,0,0,190,0,575,192,64,54,47,29,7,3,971,0,181,274,230,371,475,399,384,154,2468,76,209,91,48,55,77,66,36,8,666,4211,3396,2306,2449,2977,2456,1654,975,312,20736,Armidale Dumaresq (A)
10300,0,4,4,3,3,3,0,0,0,17,0,6,6,10,16,15,18,22,15,108,6,3,6,3,4,0,5,4,0,31,199,108,104,138,172,140,82,54,15,1012,0,11,81,161,205,208,104,49,6,825,0,28,39,39,37,24,4,0,0,171,0,5,15,16,20,11,6,3,0,76,424,0,0,0,0,0,0,0,0,424,0,78,0,0,0,0,0,0,0,81,0,56,24,12,13,3,0,0,0,108,0,3,3,0,6,6,3,8,0,29,0,6,0,3,0,0,0,0,0,9,0,7,8,8,6,3,3,0,0,35,0,14,19,27,38,28,42,35,18,221,12,15,12,8,4,12,5,7,0,75,436,223,201,274,329,298,167,102,24,2054,Balranald (A)
10350,0,178,231,126,192,172,79,49,14,1041,0,138,333,350,651,1118,1234,1659,864,6347,181,215,243,137,85,110,102,85,42,1200,18286,11916,12092,12060,11699,9136,5741,4596,1774,87300,0,1270,11520,15349,15535,12084,7544,4211,888,68401,0,421,1378,1217,974,505,153,50,11,4709,0,246,1231,2192,2367,1340,649,658,387,9070,37437,0,0,0,0,0,0,0,0,37437,0,11683,0,0,0,0,0,0,0,11683,0,7784,5690,1805,990,488,66,0,0,16823,0,1211,938,508,584,758,576,639,317,5531,0,469,473,281,256,169,56,34,9,1747,0,374,640,367,479,386,196,98,28,2568,0,320,862,1036,1597,2137,2013,2299,1191,11455,357,411,505,333,216,211,160,129,57,2379,37794,24189,23237,23088,22998,18078,11413,8118,2888,171803,Bankstown (C)
10470,0,327,68,38,35,48,29,22,0,567,0,106,153,120,220,349,374,391,191,1904,51,129,47,30,45,57,34,27,5,425,3661,2460,2026,2358,2420,2038,1332,898,298,17491,0,119,1593,2670,2915,2701,1667,818,118,12601,0,615,849,561,458,253,76,9,0,2821,0,126,313,455,407,153,85,61,27,1627,7446,0,0,0,0,0,0,0,0,7446,0,1562,0,0,0,0,0,0,0,1562,0,1094,361,151,110,36,6,0,0,1758,0,184,62,38,52,70,70,60,47,583,0,138,62,30,31,17,6,0,4,288,0,653,223,109,80,87,62,35,3,1252,0,208,379,372,536,669,610,541,234,3549,114,257,125,79,78,94,69,40,8,864,7560,4956,3967,4465,4667,4080,2651,1564,441,34351,Bathurst Regional (A)
10550,0,70,26,21,71,59,26,17,3,293,0,33,65,72,234,413,417,413,194,1841,57,74,37,35,71,100,73,38,3,488,2604,1423,1151,1758,2504,2512,1725,998,320,14995,0,52,729,1798,2665,3136,2334,1048,193,11955,0,284,556,593,640,487,167,23,3,2753,0,50,212,386,403,141,49,61,34,1336,5222,0,0,0,0,0,0,0,0,5222,0,1281,0,0,0,0,0,0,0,1281,0,735,206,107,87,45,6,0,0,1186,0,88,26,24,43,57,52,58,42,390,0,72,40,19,25,17,3,3,3,182,0,155,88,58,133,122,68,34,6,664,0,84,190,233,555,824,695,608,274,3463,100,145,93,73,140,192,139,66,8,956,5322,2946,2140,3291,4691,5021,3513,1901,563,29388,Bega Valley (A)
10600,0,18,15,15,39,31,16,10,0,144,0,16,18,23,126,176,169,156,73,757,27,30,11,11,28,31,31,14,0,183,1122,592,419,782,1056,923,666,390,136,6086,0,27,256,689,954,1031,796,398,92,4243,0,76,199,279,300,235,58,21,3,1171,0,26,92,197,229,75,33,28,17,697,2265,0,0,0,0,0,0,0,0,2265,0,535,0,0,0,0,0,0,0,535,0,272,101,47,40,23,5,0,0,488,0,42,16,5,10,22,24,34,24,177,0,38,13,23,11,15,3,3,0,106,0,46,38,34,75,66,43,25,0,327,0,36,48,93,260,348,281,217,100,1383,52,64,33,28,55,59,45,22,5,363,2317,1162,796,1395,1934,1874,1288,748,241,11755,Bellingen (A)
10650,0,13,9,5,12,4,8,0,3,54,0,11,23,24,48,91,129,127,56,509,10,19,17,5,10,22,22,7,5,117,658,314,339,410,507,569,511,274,95,3677,0,27,264,460,588,778,644,318,72,3151,0,52,122,113,100,83,25,12,0,507,0,11,43,95,75,17,12,11,8,272,1298,0,0,0,0,0,0,0,0,1298,0,301,0,0,0,0,0,0,0,301,0,189,55,25,22,8,3,0,0,302,0,27,5,0,9,22,20,9,0,92,0,9,10,0,6,3,0,0,0,28,0,20,22,12,20,13,19,0,3,109,0,37,71,68,128,211,234,193,82,1024,26,48,29,13,22,41,31,13,5,228,1324,721,621,786,970,1176,988,556,170,7312,Berrigan (A)
10750,0,362,441,203,299,301,147,53,11,1817,0,208,583,682,983,1814,1709,1445,481,7905,309,497,379,179,168,201,121,78,37,1969,33403,20016,23210,22229,18927,14614,7789,4184,1232,145604,0,1574,22731,29188,25313,19413,9681,3503,510,111913,0,1684,4705,3311,2164,983,264,52,12,13175,0,899,2706,4265,3783,2049,997,679,282,15660,68594,0,0,0,0,0,0,0,0,68594,0,17581,0,0,0,0,0,0,0,17581,0,13335,7971,2260,1091,393,52,3,0,25105,0,2120,1683,727,914,1268,1040,911,362,9025,0,1047,953,439,364,214,63,34,8,3122,0,919,1249,629,713,652,353,122,23,4660,0,459,1685,2027,2525,3174,2587,2019,622,15098,717,954,848,502,390,334,206,107,45,4103,69311,40572,44531,43348,37257,28480,15243,7430,1864,288036,Blacktown (C)
10800,0,14,4,5,9,8,6,0,0,46,0,18,14,10,24,56,61,87,42,312,14,15,10,5,12,18,12,6,0,92,648,265,277,344,368,350,258,195,69,2774,0,10,277,406,535,481,346,212,36,2303,0,72,122,80,58,35,10,3,0,380,0,12,25,64,40,11,12,14,9,187,1237,0,0,0,0,0,0,0,0,1237,0,205,0,0,0,0,0,0,0,205,0,123,30,26,22,17,0,0,0,218,0,16,5,7,3,12,6,5,3,57,0,3,3,3,3,3,0,3,0,18,0,38,8,11,17,11,13,6,0,104,0,32,59,54,91,123,105,118,60,642,23,28,19,13,21,23,20,14,0,161,1260,539,548,664,790,716,512,375,108,5512,Bland (A)
