LGA_MAIN11,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P,LGA_NAME11
14850,4377,8663,58,340,515,2334,130,601,2357,9421,3060,12696,186,764,368,1183,712,2212,1266,4159,4326,16855,23,113,209,749,76,262,1096,2905,1404,4029,68,215,251,503,654,1373,973,2091,2377,6120,164,345,11244,31983,Lismore (C)
14870,2207,4370,41,249,213,964,96,401,1052,4231,1402,5845,94,380,127,409,419,1318,640,2107,2042,7952,12,50,62,228,39,145,431,1178,544,1601,18,59,79,163,323,688,420,910,964,2511,94,192,5307,15025,Lithgow (C)
14900,11058,22406,614,3575,3069,14804,945,4504,13033,52614,17661,75497,1709,7554,1957,6985,5094,17239,8760,31778,26421,107275,146,709,667,2507,381,1442,3119,9021,4313,13679,439,1529,698,1681,3028,7025,4165,10235,8478,23914,606,1339,46563,154934,Liverpool (C)
14920,946,1862,19,98,76,324,28,131,408,1630,531,2183,26,96,69,203,119,361,214,660,745,2843,3,10,15,64,9,34,168,492,195,600,5,16,32,59,114,239,151,314,346,914,39,77,2076,5696,Liverpool Plains (A)
14950,361,714,6,51,40,179,17,59,189,787,252,1076,13,55,27,74,56,156,96,285,348,1361,0,0,5,23,5,22,27,76,37,121,5,7,10,22,38,78,53,107,90,228,12,23,811,2326,Lockhart (A)
15050,6678,13262,163,917,804,3728,288,1296,4697,18641,5952,24582,418,1704,661,2205,1589,5042,2668,8951,8620,33533,49,220,245,899,125,451,1381,3838,1800,5408,134,418,246,538,1016,2193,1396,3149,3196,8557,221,468,18715,55820,Maitland (C)
15150,4411,8605,50,232,432,1916,41,193,3081,11772,3604,14113,195,729,451,1528,563,1751,1209,4008,4813,18121,3,21,70,234,14,31,410,1021,497,1307,46,141,174,387,396,817,616,1345,1113,2652,137,284,10474,29662,Manly (A)
15200,7798,15436,46,281,427,1940,105,449,4712,17266,5290,19936,260,1122,497,1669,1239,4059,1996,6850,7286,26786,24,115,141,497,81,298,1070,2598,1316,3508,105,345,361,782,1164,2535,1630,3662,2946,7170,592,1250,18622,50642,Marrickville (A)
15270,2586,5092,46,219,267,1242,92,432,1329,5279,1734,7172,81,325,166,525,426,1279,673,2129,2407,9301,6,38,61,207,41,134,436,1168,544,1547,16,51,75,152,270,551,361,754,905,2301,73,151,5971,16845,Mid-Western Regional (A)
15300,1223,2434,25,136,127,540,54,269,853,3390,1059,4335,37,160,81,233,208,657,326,1050,1385,5385,9,45,35,140,43,169,334,976,421,1330,18,55,31,65,181,402,230,522,651,1852,62,134,3321,9805,Moree Plains (A)
15350,2932,5752,30,143,353,1560,43,158,1935,7444,2361,9305,154,609,367,1246,356,1077,877,2932,3238,12237,5,29,56,193,12,20,267,632,340,874,50,153,126,294,253,509,429,956,769,1830,102,211,7041,20030,Mosman (A)
15500,1019,2013,15,74,78,378,18,79,364,1422,475,1953,31,128,51,155,106,331,188,614,663,2567,3,6,20,53,11,34,102,294,136,387,3,10,16,26,65,141,84,177,220,564,18,37,1920,5181,Murray (A)
15550,248,485,0,16,21,96,7,37,147,593,175,742,7,24,13,34,46,152,66,210,241,952,3,5,3,18,4,11,56,169,66,203,4,10,10,15,24,53,38,78,104,281,9,21,602,1739,Murrumbidgee (A)
15650,1483,2950,30,167,181,861,68,313,1061,4250,1340,5591,60,262,106,334,285,892,451,1488,1791,7079,10,47,48,173,22,91,337,945,417,1256,24,85,45,94,175,346,244,525,661,1781,68,130,4003,11940,Muswellbrook (A)
15700,2503,4972,24,117,197,937,48,215,808,3282,1077,4551,50,199,119,379,293,874,462,1452,1539,6003,13,57,88,337,52,188,444,1294,597,1876,25,84,92,186,280,592,397,862,994,2738,79,166,5115,13879,Nambucca (A)
15750,1429,2821,25,138,128,572,59,260,839,3396,1051,4366,66,255,93,270,222,699,381,1224,1432,5590,8,36,47,174,24,76,246,738,325,1024,14,27,35,79,152,329,201,435,526,1459,48,99,3435,9969,Narrabri (A)
15800,615,1205,8,59,97,443,17,75,303,1241,425,1818,21,71,55,163,105,326,181,560,606,2378,0,9,8,39,9,23,150,440,167,511,3,16,16,35,76,154,95,205,262,716,24,55,1507,4354,Narrandera (A)
15850,703,1377,17,82,68,300,20,99,375,1574,480,2055,18,80,51,145,115,342,184,567,664,2622,0,4,20,86,21,72,196,617,237,779,4,26,23,46,85,164,112,236,349,1015,27,62,1743,5076,Narromine (A)
15900,14704,29104,195,1041,1326,5980,429,1920,8674,33244,10624,42185,720,2937,1312,4331,2712,8474,4744,15742,15368,57927,55,254,420,1415,255,858,2705,7038,3435,9565,256,784,738,1592,2593,5472,3587,7848,7022,17413,813,1658,37907,106102,Newcastle (C)
15950,8888,17340,16,82,249,1069,40,155,3292,11625,3597,12931,139,541,506,1662,581,1707,1226,3910,4823,16841,3,23,70,201,7,23,507,1164,587,1411,64,180,284,594,563,1138,911,1912,1498,3323,444,908,15653,38412,North Sydney (A)
16100,606,1191,7,39,46,215,25,95,323,1329,401,1678,26,103,44,141,100,294,170,538,571,2216,5,22,18,57,6,25,77,233,106,337,3,12,10,16,63,137,76,165,182,502,4,13,1363,3922,Oberon (A)
16150,3568,7031,82,476,434,2014,151,705,2425,9636,3092,12831,173,706,263,820,663,2051,1099,3577,4191,16408,27,125,129,489,90,337,840,2379,1086,3330,49,157,143,299,520,1107,712,1563,1798,4893,143,300,9700,28632,Orange (C)
16180,1641,3223,34,200,218,989,58,252,1012,4005,1322,5446,100,433,180,577,291,880,571,1890,1893,7336,4,16,24,86,10,37,174,466,212,605,16,59,35,65,99,201,150,325,362,930,21,46,3917,11535,Palerang (A)
16200,1527,2993,37,223,173,829,51,219,853,3537,1114,4808,61,229,114,348,236,727,411,1304,1525,6112,9,45,54,187,29,102,342,964,434,1298,13,45,60,124,192,410,265,579,699,1877,43,86,3794,11068,Parkes (A)
16250,14035,28337,379,2266,1862,8887,478,2309,12110,46201,14829,59663,1173,5265,1676,5845,3694,12187,6543,23297,21372,82960,93,450,433,1662,223,793,2093,5755,2842,8660,324,1076,804,1875,2606,5849,3734,8800,6576,17460,984,2144,42967,130901,Parramatta (C)
16350,14293,28754,572,3249,2325,11076,946,4400,11846,47199,15689,65924,1505,6464,1448,4983,5396,17724,8349,29171,24038,95095,160,754,602,2189,436,1609,3780,10429,4978,14981,381,1258,744,1699,3193,7103,4318,10060,9296,25041,733,1517,48360,150407,Penrith (C)
