LGA_MAIN11,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total,LGA_NAME11
31820,0,8323,8323,12959,908,13867,4576,138,4714,4120,42,4162,1856,3,1859,1100,6,1106,24611,9420,34031,Bundaberg (R)
31900,0,1659,1659,2304,115,2419,875,15,890,881,3,884,450,0,450,189,0,189,4699,1792,6491,Burdekin (S)
31950,0,34,34,38,4,42,8,0,8,18,0,18,4,0,4,8,0,8,76,38,114,Burke (S)
32070,0,14872,14872,17923,2288,20211,8556,418,8974,7922,97,8019,3239,22,3261,1786,6,1792,39426,17703,57129,Cairns (R)
37340,0,2703,2703,3861,417,4278,1534,74,1608,1386,34,1420,580,13,593,242,5,247,7603,3246,10849,Whitsunday (R)
41560,0,1572,1572,2160,111,2271,614,9,623,550,7,557,229,3,232,99,0,99,3652,1702,5354,Copper Coast (DC)
41750,0,135,135,146,9,155,62,0,62,37,3,40,22,0,22,11,0,11,278,147,425,Elliston (DC)
34860,0,1058,1058,1508,124,1632,633,17,650,609,4,613,326,3,329,166,0,166,3242,1206,4448,Maranoa (R)
35010,0,26514,26514,42870,3210,46080,21623,487,22110,22735,132,22867,9969,22,9991,5031,12,5043,102228,30377,132605,Moreton Bay (R)
12500,0,981,981,999,53,1052,354,6,360,309,3,312,140,0,140,69,0,69,1871,1043,2914,Deniliquin (A)
12600,0,3602,3602,4396,372,4768,2082,51,2133,1967,12,1979,1012,3,1015,539,3,542,9996,4043,14039,Dubbo (C)
12700,0,741,741,1130,49,1179,456,3,459,446,0,446,196,0,196,96,0,96,2324,793,3117,Dungog (A)
12750,0,4157,4157,5834,299,6133,1737,27,1764,1311,4,1315,623,3,626,341,0,341,9846,4490,14336,Eurobodalla (A)
12850,0,8737,8737,12348,886,13234,10401,169,10570,11175,56,11231,6726,17,6743,5309,11,5320,45959,9876,55835,Fairfield (C)
12900,0,1079,1079,1248,70,1318,415,7,422,391,0,391,250,0,250,103,0,103,2407,1156,3563,Forbes (A)
12950,0,456,456,593,24,617,224,3,227,196,0,196,114,0,114,40,0,40,1167,483,1650,Gilgandra (A)
13010,0,1071,1071,1287,81,1368,401,8,409,343,0,343,199,0,199,75,0,75,2305,1160,3465,Glen Innes Severn (A)
13050,0,590,590,809,30,839,228,7,235,207,0,207,84,0,84,45,0,45,1373,627,2000,Gloucester (A)
13100,0,16701,16701,19361,1464,20825,8776,192,8968,9258,38,9296,3863,8,3871,1626,7,1633,42884,18410,61294,Gosford (C)
13310,0,3036,3036,3512,234,3746,1503,18,1521,1279,5,1284,584,4,588,281,0,281,7159,3297,10456,Goulburn Mulwaree (A)
13320,0,4342,4342,5905,330,6235,1558,23,1581,1289,6,1295,598,0,598,254,0,254,9604,4701,14305,Great Lakes (A)
13340,0,917,917,1266,70,1336,490,5,495,465,0,465,258,0,258,140,0,140,2619,992,3611,Greater Hume Shire (A)
13380,0,5009,5009,6879,435,7314,2307,34,2341,1963,13,1976,995,0,995,524,3,527,12668,5494,18162,Greater Taree (C)
13450,0,2061,2061,2611,170,2781,1187,27,1214,1264,3,1267,773,0,773,354,3,357,6189,2264,8453,Griffith (C)
13500,0,380,380,499,29,528,189,0,189,146,0,146,106,0,106,55,0,55,995,409,1404,Gundagai (A)
13550,0,1233,1233,1464,101,1565,620,17,637,601,0,601,303,0,303,148,0,148,3136,1351,4487,Gunnedah (A)
13650,0,436,436,549,35,584,201,0,201,196,0,196,114,0,114,80,0,80,1140,471,1611,Guyra (A)
13660,0,608,608,738,35,773,235,0,235,230,0,230,122,0,122,51,0,51,1376,643,2019,Gwydir (A)
13700,0,428,428,543,33,576,148,0,148,156,0,156,77,0,77,50,0,50,974,461,1435,Harden (A)
13800,0,4261,4261,5998,421,6419,3532,56,3588,3679,17,3696,1864,3,1867,1014,0,1014,16087,4758,20845,Hawkesbury (C)
13850,0,364,364,380,23,403,161,0,161,132,0,132,65,0,65,41,0,41,779,387,1166,Hay (A)
13950,0,6901,6901,8627,650,9277,6112,149,6261,5790,65,5855,2821,16,2837,1874,9,1883,25224,7790,33014,Holroyd (C)
14000,0,9341,9341,14573,844,15417,9581,169,9750,11528,82,11610,4731,27,4758,1784,11,1795,42197,10474,52671,Hornsby (A)
14100,0,1163,1163,1297,78,1375,653,14,667,773,3,776,370,3,373,135,0,135,3228,1261,4489,Hunters Hill (A)
14150,0,5868,5868,7450,656,8106,5032,191,5223,5037,95,5132,2115,25,2140,1063,15,1078,20697,6850,27547,Hurstville (C)
14200,0,1672,1672,2107,117,2224,840,17,857,730,0,730,388,3,391,208,0,208,4273,1809,6082,Inverell (A)
14250,0,152,152,195,9,204,52,0,52,68,0,68,51,0,51,17,0,17,383,161,544,Jerilderie (A)
14300,0,505,505,629,37,666,256,0,256,244,0,244,136,0,136,80,0,80,1345,542,1887,Junee (A)
14350,0,2988,2988,3814,269,4083,1450,13,1463,1091,0,1091,586,4,590,397,0,397,7338,3274,10612,Kempsey (A)
14400,0,1646,1646,2776,96,2872,1037,17,1054,1128,4,1132,542,0,542,166,0,166,5649,1763,7412,Kiama (A)
14450,0,3882,3882,5184,467,5651,3703,147,3850,3608,68,3676,1500,33,1533,742,14,756,14737,4611,19348,Kogarah (C)
