LGA_MAIN11,M_1_299_DS_DS_Seprt_house,M_1_299_DS_DS_sd_row_tce_hs_t,M_1_299_DS_DS_Flat_unit_apart,M_1_299_DS_DS_Other_dwg,M_1_299_DS_ns,M_1_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_unit_apartm,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_unit_aptmnt,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_unit_aptmt,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_unit_aprtm,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_unt_aprt,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flt_unit_aprt,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_unt_aprt,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flt_unit_aprtm,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_unit_aprt,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_unit_aptm,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flt_unit_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_unit_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot,LGA_NAME11
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11600,37,0,0,0,0,37,15,0,0,0,0,15,18,0,0,0,0,18,15,0,0,0,0,15,30,0,0,0,0,30,44,0,0,0,0,44,17,0,0,0,0,17,6,0,0,3,0,9,8,0,0,0,0,8,7,0,0,0,0,7,0,0,0,0,0,0,17,0,3,0,0,20,214,0,3,3,0,220,Carrathool (A)
69399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11700,21,0,0,0,3,24,9,0,0,0,0,9,9,0,0,0,0,9,6,0,0,0,0,6,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,8,0,0,0,0,8,67,0,0,0,3,70,Central Darling (A)
11720,201,3,3,0,0,207,170,3,0,0,0,173,161,3,0,0,0,164,325,3,0,0,0,328,436,3,4,0,0,443,1265,16,11,0,0,1292,1341,7,4,4,0,1356,1235,6,6,0,0,1247,460,3,0,3,0,466,345,3,3,0,0,351,182,0,0,0,0,182,402,0,4,0,0,406,6523,50,35,7,0,6615,Cessnock (C)
11730,298,9,3,6,3,319,244,0,6,0,0,250,204,3,0,4,0,211,377,6,6,4,0,393,496,5,7,6,0,514,1084,21,11,6,0,1122,984,11,10,7,0,1012,747,11,8,6,0,772,250,3,4,0,0,257,159,3,0,3,0,165,111,4,3,0,0,118,240,3,9,5,0,257,5194,79,67,47,3,5390,Clarence Valley (A)
10050,223,8,11,0,0,242,150,8,17,0,0,175,137,8,20,0,0,165,290,15,30,0,0,335,436,19,68,3,0,526,1260,32,106,3,0,1401,1272,37,44,0,0,1353,1144,12,17,0,0,1173,331,8,3,0,0,342,220,0,5,0,0,225,126,4,4,0,0,134,313,8,13,0,0,334,5902,159,338,6,0,6405,Albury (C)
10110,91,3,3,0,0,97,66,3,5,0,0,74,60,0,6,0,0,66,147,6,0,0,0,153,180,3,3,0,3,189,458,6,17,3,0,484,443,3,7,3,0,456,366,5,10,0,0,381,141,3,0,0,0,144,96,3,0,0,0,99,65,3,0,0,0,68,115,0,0,0,0,115,2228,38,51,6,3,2326,Armidale Dumaresq (A)
10470,150,5,3,3,0,161,102,5,3,0,0,110,98,8,5,0,0,111,174,10,8,0,0,192,256,19,7,0,0,282,780,31,21,0,0,832,880,28,16,3,0,927,1039,21,8,0,0,1068,405,3,3,0,3,414,225,0,3,0,0,228,129,0,3,0,0,132,224,5,6,0,0,235,4462,135,86,6,3,4692,Bathurst Regional (A)
