LGA_MAIN11,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P,LGA_NAME11
10550,12832,13527,26359,4597,2400,6997,1712,3400,5112,449,484,933,481,345,826,7239,6629,13868,4950,6219,11169,6.6,5.2,6.0,56.4,49.0,52.6,52.7,46.5,49.5,222,205,427,174,344,518,1009,1463,2472,741,1202,1943,3927,2033,5960,12710,13183,25893,2151,2298,4449,8812,8932,17744,5279,5754,11033,Bega Valley (A)
10600,4808,5264,10072,1518,889,2407,741,1345,2086,145,137,282,234,183,417,2638,2554,5192,1995,2551,4546,8.9,7.2,8.0,54.9,48.5,51.5,50.0,45.0,47.4,107,130,237,62,150,212,420,707,1127,317,515,832,1453,789,2242,4968,5275,10243,851,952,1803,3452,3586,7038,2014,2310,4324,Bellingen (A)
10650,3302,3367,6669,1421,651,2072,295,773,1068,137,136,273,82,76,158,1935,1636,3571,1174,1512,2686,4.2,4.6,4.4,58.6,48.6,53.5,56.1,46.3,51.2,15,22,37,15,44,59,149,284,433,165,234,399,868,494,1362,3277,3321,6598,514,538,1052,2355,2357,4712,1217,1267,2484,Berrigan (A)
10750,112510,117129,229639,57801,33818,91619,11395,22490,33885,4172,4112,8284,5220,5087,10307,78588,65507,144095,28430,46297,74727,6.6,7.8,7.2,69.8,55.9,62.7,65.2,51.6,58.3,4332,3636,7968,923,1236,2159,12822,16438,29260,8067,9655,17722,24507,14674,39181,122436,125362,247798,17880,18245,36125,81474,83745,165219,47464,49059,96523,Blacktown (C)
10800,2290,2291,4581,1244,519,1763,187,549,736,103,91,194,43,56,99,1577,1215,2792,614,997,1611,2.7,4.6,3.5,68.8,53.0,60.9,67.0,50.6,58.8,13,9,22,14,19,33,97,193,290,77,147,224,598,364,962,2426,2489,4915,360,332,692,1782,1796,3578,791,838,1629,Bland (A)
10850,2690,2727,5417,1395,621,2016,216,671,887,107,100,207,83,74,157,1801,1466,3267,734,1142,1876,4.6,5.0,4.8,67.0,53.7,60.3,63.9,51.0,57.4,35,31,66,17,33,50,156,289,445,150,248,398,753,485,1238,2840,2878,5718,418,418,836,2010,1992,4002,1012,1098,2110,Blayney (A)
10900,29128,32016,61144,13494,7576,21070,3937,8542,12479,941,1115,2056,1022,832,1854,19394,18065,37459,8238,12411,20649,5.3,4.6,4.9,66.6,56.4,61.3,63.1,53.8,58.2,1539,1587,3126,645,1064,1709,4102,5829,9931,2709,3809,6518,7855,4457,12312,30491,32703,63194,4002,4397,8399,21397,22825,44222,11057,12256,23313,Blue Mountains (C)
10950,1125,1093,2218,570,289,859,82,211,293,52,45,97,42,33,75,746,578,1324,281,440,721,5.6,5.7,5.7,66.4,52.9,59.7,62.6,49.9,56.3,7,5,12,5,12,17,50,95,145,26,67,93,251,136,387,1158,1098,2256,190,207,397,851,781,1632,396,424,820,Bogan (A)
11000,999,966,1965,499,205,704,88,240,328,36,26,62,25,18,43,648,489,1137,306,435,741,3.9,3.7,3.8,64.8,50.7,57.9,62.3,48.9,55.7,11,5,16,11,13,24,48,87,135,43,69,112,243,150,393,1065,1025,2090,107,129,236,813,759,1572,300,315,615,Bombala (A)
11050,965,968,1933,436,184,620,107,235,342,48,43,91,19,23,42,610,485,1095,323,451,774,3.1,4.7,3.8,63.2,50.2,56.7,61.2,47.8,54.5,9,6,15,3,14,17,58,89,147,51,77,128,243,126,369,990,991,1981,157,154,311,734,713,1447,346,366,712,Boorowa (A)
