LGA_MAIN11,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34,LGA_NAME11
10050,8,29,31,34,39,11,4,3,159,50,90,73,36,19,10,4,0,282,265,549,539,657,533,304,161,32,3040,181,258,239,255,179,99,67,15,1293,28,98,95,92,77,58,18,0,466,22,102,97,115,77,38,16,3,470,16,58,83,103,138,54,21,3,476,104,320,319,281,220,111,42,3,1400,57,94,139,77,100,34,8,7,516,21,50,28,26,25,7,3,0,160,51,108,100,66,38,22,12,3,400,0,3,0,0,5,0,0,0,8,3,21,18,20,25,8,6,0,101,304,221,246,251,222,221,221,99,1785,1110,2001,2007,2013,1697,977,583,168,10556,17,41,46,27,16,7,3,0,157,3,13,22,33,22,6,0,0,99,14,34,35,26,17,14,5,7,152,8,18,17,9,7,0,0,0,59,28,42,38,26,13,3,3,0,153,137,374,326,421,347,128,78,27,1838,49,239,239,320,247,131,34,14,1273,301,544,Albury (C)
10110,13,42,54,66,68,51,20,10,324,29,65,33,26,12,0,0,0,165,77,120,146,213,171,99,64,14,904,48,87,81,135,89,47,18,3,508,34,88,79,98,66,48,20,10,443,4,32,25,61,42,28,10,7,209,9,44,50,62,98,34,10,5,312,55,119,122,127,101,68,18,4,614,40,103,112,135,156,68,27,13,654,28,32,29,30,28,9,5,0,161,36,42,31,26,21,7,7,0,170,5,0,0,0,5,0,0,0,10,8,8,17,22,9,4,4,3,75,180,140,129,124,100,88,61,36,858,566,922,908,1125,966,551,264,105,5407,21,38,47,44,36,13,9,4,212,7,11,9,12,6,0,0,0,45,3,8,12,12,7,3,5,3,53,3,3,7,4,0,3,0,3,23,51,41,29,43,14,8,0,0,186,55,118,139,199,152,97,43,23,826,26,147,167,224,191,113,45,13,926,146,182,Armidale Dumaresq (A)
10250,5,19,45,34,46,28,13,5,195,25,28,36,25,28,8,0,0,150,83,233,321,484,505,363,180,90,2259,68,157,249,311,255,141,80,22,1283,27,85,97,91,78,52,21,9,460,6,55,120,132,118,50,32,14,527,15,54,88,138,219,107,47,10,678,35,138,195,204,238,129,70,23,1032,22,65,109,115,141,69,35,8,564,20,35,49,46,41,15,3,3,212,36,89,97,83,46,43,10,3,407,3,5,0,0,0,0,4,0,12,4,10,10,23,18,11,8,5,89,166,115,149,194,174,159,208,91,1256,515,1088,1565,1880,1907,1175,711,283,9124,4,22,24,35,32,11,5,0,133,0,9,16,27,13,4,0,0,69,7,10,18,33,26,16,27,10,147,0,8,7,11,10,4,3,0,43,8,21,42,48,27,9,0,0,155,42,188,312,456,369,190,115,41,1713,22,131,256,311,384,191,71,20,1386,114,293,Ballina (A)
10300,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,17,14,22,15,13,0,0,86,5,4,6,3,6,4,0,0,28,7,13,12,14,6,0,0,0,52,0,0,0,0,4,0,0,0,4,0,0,0,6,4,0,0,0,10,3,5,3,4,3,0,0,0,18,3,0,4,0,0,3,0,0,10,0,3,0,0,0,0,3,0,6,0,6,6,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,18,8,14,24,24,20,9,4,121,41,56,65,79,62,40,12,4,359,0,4,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,6,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,11,0,6,15,17,8,7,4,3,60,0,11,12,8,6,0,4,0,41,6,19,Balranald (A)
10350,59,147,159,190,136,54,22,4,771,193,830,564,310,67,5,0,0,1969,562,1638,2204,2389,1782,1137,678,203,10593,365,816,804,619,444,309,191,73,3621,47,120,91,87,62,22,12,4,445,132,314,273,207,112,58,21,4,1121,59,151,177,227,229,98,43,15,999,551,1447,1180,932,626,273,104,32,5145,223,472,425,344,268,103,40,18,1893,139,215,132,97,74,33,11,0,701,134,306,219,180,131,79,33,11,1093,16,12,11,6,14,8,0,3,70,33,85,89,87,62,28,19,8,411,1394,1188,1138,1155,979,760,668,364,7646,3907,7741,7466,6830,4986,2967,1842,739,36478,114,237,249,195,75,21,11,3,905,30,283,209,114,32,10,0,0,678,33,131,185,196,111,82,92,34,864,39,61,46,26,15,0,0,0,187,21,33,34,32,19,5,0,0,144,308,785,680,579,402,181,103,30,3068,230,856,738,625,496,193,103,27,3268,1090,2509,Bankstown (C)
10470,9,10,31,40,28,15,4,3,140,47,74,51,36,27,4,0,0,239,192,435,505,585,482,256,100,25,2580,103,180,173,186,172,87,40,8,949,30,67,85,85,62,53,24,12,418,32,48,53,73,52,15,8,6,287,16,50,85,90,93,56,25,0,415,79,152,168,166,162,89,33,8,857,31,89,123,102,87,47,22,3,504,32,36,35,25,34,16,5,0,183,58,94,84,46,34,27,12,3,358,4,0,0,0,0,3,3,0,10,9,9,16,26,10,10,10,0,90,427,403,348,260,205,182,142,41,2008,1069,1647,1757,1720,1448,860,428,109,9038,0,23,29,26,22,9,0,0,109,8,9,19,25,14,3,0,0,78,6,20,24,31,11,13,10,7,122,3,3,13,11,5,0,3,0,38,20,35,38,37,18,9,3,0,160,103,227,257,326,282,108,76,18,1397,41,180,250,276,250,115,54,23,1189,162,393,Bathurst Regional (A)
10550,3,9,27,38,51,36,13,5,182,11,7,12,27,26,8,4,0,95,82,204,306,480,520,392,183,55,2222,64,104,158,222,240,146,57,22,1013,24,49,92,82,100,32,20,0,399,6,35,35,65,79,33,21,8,282,3,14,41,93,151,73,22,6,403,18,35,78,103,150,107,38,9,538,10,27,65,93,131,66,24,12,428,9,16,18,28,46,36,3,4,160,36,85,83,85,54,29,11,3,386,0,0,0,3,0,3,0,0,6,3,10,21,17,29,17,5,3,105,162,90,128,146,224,183,166,66,1165,431,685,1064,1482,1801,1161,567,193,7384,3,16,20,25,49,10,4,0,127,4,7,9,14,19,6,0,0,59,7,20,22,22,23,11,12,5,122,0,8,8,6,7,0,0,0,29,5,30,47,49,25,9,0,0,165,22,97,182,344,264,184,63,17,1173,8,81,126,220,295,132,48,11,921,79,150,Bega Valley (A)
10600,3,9,12,14,18,14,4,0,74,5,10,10,13,7,3,0,0,48,23,56,111,208,185,125,66,16,790,19,31,76,118,87,46,22,5,404,21,22,26,40,40,8,7,4,168,0,4,28,30,29,11,6,6,114,0,11,24,29,65,38,16,4,187,5,18,36,44,60,34,21,4,222,5,6,28,55,51,33,3,0,181,3,13,16,16,26,10,5,0,89,17,33,27,23,18,8,4,0,130,0,0,0,0,0,0,0,0,0,3,4,8,10,10,0,0,0,35,58,23,41,54,56,50,46,18,346,162,240,443,654,652,380,200,57,2788,0,8,19,12,12,6,0,0,57,0,4,8,12,3,4,0,0,31,0,3,5,12,5,7,4,3,39,0,5,5,3,5,0,0,0,18,3,8,29,28,11,4,4,0,87,13,42,102,150,120,66,26,9,528,4,35,78,139,121,49,18,6,450,33,60,Bellingen (A)
10650,3,0,3,3,3,0,0,0,12,3,5,4,0,0,0,0,0,12,23,66,72,103,93,74,42,15,488,6,11,26,29,42,24,16,0,154,20,34,35,37,38,14,3,0,181,4,5,9,10,5,6,0,0,39,3,12,13,11,11,7,3,3,63,6,19,20,17,27,14,11,3,117,5,13,7,9,14,4,3,0,55,0,0,3,3,4,3,0,0,13,3,19,18,8,12,9,0,0,69,0,0,0,0,0,0,3,0,3,0,0,4,8,5,0,0,0,17,65,18,31,49,50,68,78,25,384,141,202,245,287,304,223,159,46,1607,3,4,6,0,3,0,3,0,19,0,0,0,5,0,0,0,0,5,3,4,4,6,7,3,0,4,31,0,3,3,0,0,0,0,0,6,4,14,13,11,3,0,0,0,45,11,39,39,73,79,52,18,4,315,7,32,40,36,39,30,8,7,199,23,52,Berrigan (A)
10750,93,278,343,356,250,94,20,6,1440,462,2030,1412,459,158,17,0,0,4538,987,3292,4507,4534,3180,1417,562,95,18574,449,1181,1205,875,688,370,164,29,4961,100,265,285,232,106,54,8,4,1054,199,463,461,385,235,79,22,4,1848,58,313,365,367,341,145,54,8,1651,921,2927,2723,1951,1224,400,107,13,10266,398,856,811,628,417,198,51,14,3373,255,443,249,123,114,53,15,4,1256,357,655,438,323,203,97,33,4,2110,31,18,15,15,8,11,3,0,101,65,191,238,212,116,64,16,0,902,2156,1858,1796,1617,1318,986,648,190,10569,6531,14770,14848,12077,8358,3985,1703,371,62643,159,597,550,358,179,36,7,0,1886,88,795,524,172,60,14,0,0,1653,52,380,435,428,209,121,66,26,1717,43,99,95,55,33,5,4,0,334,62,137,100,71,33,7,3,0,413,536,1735,1831,1544,948,278,121,38,7031,300,1476,1400,1013,840,313,133,41,5516,1774,5165,Blacktown (C)
