LGA_MAIN11,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot,LGA_NAME11
19499,1017,562,137,70,7323,
14500,10414,6622,4189,2011,60712,Ku-ring-gai (A)
14550,849,371,182,59,3567,Kyogle (A)
14600,362,192,129,61,2185,Lachlan (A)
14650,14580,9325,5660,2110,84273,Lake Macquarie (C)
14700,2740,1522,773,383,18597,Lane Cove (A)
14750,561,337,195,54,3835,Leeton (A)
14800,4306,1898,774,307,31919,Leichhardt (A)
14850,3608,1673,831,259,18730,Lismore (C)
14870,1484,901,482,155,8234,Lithgow (C)
31950,29,12,3,0,221,Burke (S)
14900,7980,3822,1798,528,68793,Liverpool (C)
14920,479,319,159,51,2615,Liverpool Plains (A)
14950,208,128,66,23,1162,Lockhart (A)
15050,4077,2154,1152,401,27816,Maitland (C)
15150,2913,1884,997,467,23599,Manly (A)
15200,4186,1737,866,335,42976,Marrickville (A)
15270,1580,1056,555,199,9206,Mid-Western Regional (A)
15300,668,383,194,41,4942,Moree Plains (A)
15350,2667,1744,862,480,16772,Mosman (A)
15500,433,402,209,52,2673,Murray (A)
15550,113,72,33,6,736,Murrumbidgee (A)
15650,794,390,210,57,6228,Muswellbrook (A)
15700,1645,1172,649,254,7720,Nambucca (A)
15750,692,421,225,88,4591,Narrabri (A)
15800,352,243,181,67,2145,Narrandera (A)
15850,391,239,133,43,2259,Narromine (A)
15900,9784,5516,3643,1718,70654,Newcastle (C)
15950,5312,3323,1446,630,43741,North Sydney (A)
16100,414,242,97,24,2059,Oberon (A)
33980,856,263,77,22,9269,Isaac (R)
16150,2446,1339,771,268,16088,Orange (C)
16180,1512,702,205,41,7128,Palerang (A)
16200,838,513,334,110,5459,Parkes (A)
16250,8535,4705,2948,1371,81411,Parramatta (C)
16350,10074,4476,2046,777,70304,Penrith (C)
16370,5613,3438,1735,837,30349,Pittwater (A)
16380,5844,4490,3051,1210,32836,Port Macquarie-Hastings (A)
16400,4938,3690,1841,684,28209,Port Stephens (A)
16470,2250,1012,460,196,17366,Queanbeyan (C)
16550,7964,4397,2674,1238,72299,Randwick (C)
16610,1492,881,581,250,7973,Richmond Valley (A)
16650,5049,2877,1912,898,45890,Rockdale (C)
16700,6845,3657,2463,1289,55779,Ryde (C)
16900,3771,2089,1172,317,25209,Shellharbour (C)
16950,7798,5937,3584,1246,42196,Shoalhaven (C)
17000,1255,571,259,66,9206,Singleton (A)
17050,629,318,136,28,3854,Snowy River (A)
17750,3699,1810,1127,455,25033,Wagga Wagga (C)
17800,284,177,100,35,1469,Wakool (A)
17850,244,150,61,14,1154,Walcha (A)
17900,463,283,141,33,2344,Walgett (A)
17950,129,92,52,6,896,Warren (A)
