lga_code_2016,p_85y_ov_no_udw,p_85y_ov_udw_notstated,p_85y_ov_total,p_tot_udw_5_hrs_less,p_tot_udw_5_14_hrs,p_tot_udw_15_29_hrs,p_tot_udw_30_hrs_more,p_tot_no_udw,p_tot_udw_notstated,p_tot_total,lga_name_2016
10050,648,278,1329,8920,11183,5089,3577,8731,3970,41468,Albury (C)
10130,281,117,649,5229,6568,2838,2088,4978,2415,24115,Armidale Regional (A)
10250,669,458,1755,6848,9710,4820,3556,6464,3455,34860,Ballina (A)
10300,17,7,35,310,405,182,198,424,277,1801,Balranald (A)
10470,356,213,892,6860,8909,4097,3222,6032,4066,33181,Bathurst Regional (A)
10550,406,214,999,4835,7599,4263,3382,4852,3064,27994,Bega Valley (A)
10600,176,68,368,1780,2972,1675,1331,1690,1021,10465,Bellingen (A)
10650,162,76,313,1217,1601,873,768,1574,981,7018,Berrigan (A)
10750,2027,490,3553,55652,61499,26541,24100,73434,19077,260306,Blacktown (C)
10800,52,84,211,861,1068,558,568,921,754,4725,Bland (A)
10850,76,30,165,1137,1482,806,662,1047,619,5751,Blayney (A)
10900,796,210,1630,13921,19407,9129,6593,9893,3892,62830,Blue Mountains (C)
10950,27,19,65,358,517,229,213,505,327,2140,Bogan (A)
11100,298,186,765,9421,8989,3385,2484,11032,3417,38732,Botany Bay (C)
11150,16,10,40,291,403,184,158,495,487,2016,Bourke (A)
11200,11,3,21,219,231,131,116,395,183,1274,Brewarrina (A)
11250,292,123,593,2330,3588,1713,1567,3911,1662,14767,Broken Hill (C)
13910,227,118,516,2670,3526,1895,1919,3198,1677,14883,Hilltops (A)
14000,1611,795,3841,27853,32796,15670,10903,21958,5621,114796,Hornsby (A)
14100,492,66,746,2820,2972,1344,849,2636,725,11350,Hunters Hill (A)
14170,1734,395,3170,44478,43673,14330,8397,29803,13454,154128,Inner West (A)
14200,182,78,408,2300,3192,1716,1530,2857,1562,13158,Inverell (A)
14300,55,29,115,800,1016,567,506,883,1401,5173,Junee (A)
14350,403,235,867,3644,5396,3138,2826,5339,3572,23915,Kempsey (A)
14400,260,172,704,3825,5126,2676,1888,2846,1487,17852,Kiama (A)
14500,1527,692,4036,24041,26198,13329,9187,16825,4609,94189,Ku-ring-gai (A)
14550,95,69,239,1133,1764,1102,1056,1441,971,7473,Kyogle (A)
14600,65,39,172,839,1037,545,581,1106,739,4846,Lachlan (A)
14650,2426,1240,5681,33458,44083,22249,16920,33607,10944,161262,Lake Macquarie (C)
14700,359,74,777,8372,8634,3327,2153,5201,1687,29376,Lane Cove (A)
14750,128,38,239,1674,2178,1083,895,1919,1117,8868,Leeton (A)
14850,544,214,1148,7049,9914,4861,3706,6194,3699,35430,Lismore (C)
14870,220,107,516,2880,4065,2183,1976,3702,2697,17496,Lithgow (C)
14900,1324,339,2283,32500,32926,14224,13683,50456,14243,158031,Liverpool (C)
14920,93,34,191,1026,1461,773,755,1386,843,6243,Liverpool Plains (A)
14950,44,16,101,448,593,348,317,479,294,2477,Lockhart (A)
15050,572,257,1280,12737,16356,8029,6611,12422,4243,60404,Maitland (C)
15240,1466,829,3421,12206,18842,11102,9592,16479,8143,76370,Mid-Coast (A)
15270,248,82,487,3327,4790,2542,2333,3644,2544,19175,Mid-Western Regional (A)
15300,85,33,176,1772,2324,1112,929,2482,1652,10270,Moree Plains (A)
15350,365,174,910,6590,6574,2632,1716,4003,1944,23465,Mosman (A)
15520,152,75,341,1836,2319,1280,1041,2116,1089,9683,Murray River (A)
15560,29,3,70,562,687,356,354,644,443,3051,Murrumbidgee (A)
15650,85,45,203,2407,3114,1509,1475,2489,1473,12458,Muswellbrook (A)
15700,262,213,706,2618,3847,2333,2045,3302,1886,16040,Nambucca (A)
15750,79,88,256,1815,2482,1249,1170,2135,1443,10296,Narrabri (A)
15800,98,43,199,806,1047,547,514,1108,674,4697,Narrandera (A)
15850,79,39,179,901,1209,620,579,1064,700,5069,Narromine (A)
15900,1362,1314,4148,31763,36171,15037,10342,26043,9854,129212,Newcastle (C)
