lga_code_2016,p_85_yrs_ov_no_care_prov,p_85_yrs_ov_unpaid_care_notstated,p_85_yrs_ov_total,p_tot_care_own_child_only,p_tot_care_oth_child_only,p_tot_care_own_and_oth_child,p_tot_care_total,p_tot_no_care_prov,p_tot_unpaid_care_notstated,p_tot_total,lga_name_2016
10050,1063,255,1329,7993,3162,372,11523,26127,3813,41468,Albury (C)
10130,537,100,649,4082,1509,150,5746,16044,2328,24115,Armidale Regional (A)
10250,1300,438,1755,6143,2539,253,8937,22595,3323,34860,Ballina (A)
10300,32,7,35,325,137,11,480,1057,269,1801,Balranald (A)
10470,677,197,892,6553,2771,286,9616,19712,3860,33181,Bathurst Regional (A)
10550,786,198,999,4314,1988,201,6504,18693,2794,27994,Bega Valley (A)
10600,302,59,368,1859,805,118,2786,6713,967,10465,Bellingen (A)
10650,247,66,313,1053,468,50,1573,4531,911,7018,Berrigan (A)
10750,3054,452,3553,61952,17116,1836,80902,161294,18108,260306,Blacktown (C)
10800,134,73,211,846,373,40,1257,2786,686,4725,Bland (A)
10850,133,28,165,1216,465,54,1737,3447,563,5751,Blayney (A)
10900,1415,197,1630,12627,5680,666,18977,40116,3732,62830,Blue Mountains (C)
10950,46,19,65,374,137,8,526,1317,300,2140,Bogan (A)
11100,573,172,765,7609,2017,174,9804,25648,3281,38732,Botany Bay (C)
11150,23,11,40,303,111,17,431,1134,450,2016,Bourke (A)
11200,19,3,21,182,84,3,268,832,172,1274,Brewarrina (A)
11250,483,114,593,2350,1143,100,3595,9659,1515,14767,Broken Hill (C)
13910,407,105,516,2598,1072,107,3778,9588,1517,14883,Hilltops (A)
14000,3057,733,3841,27354,8560,795,36704,72613,5477,114796,Hornsby (A)
14100,679,52,746,2380,904,55,3337,7318,691,11350,Hunters Hill (A)
14170,2757,358,3170,28313,7573,997,36874,104144,13108,154128,Inner West (A)
14200,333,68,408,2379,988,103,3474,8259,1424,13158,Inverell (A)
14300,86,21,115,767,336,36,1146,2670,1359,5173,Junee (A)
14350,646,217,867,3475,1629,162,5263,15304,3348,23915,Kempsey (A)
14400,542,149,704,3190,1809,169,5166,11289,1400,17852,Kiama (A)
14500,3311,661,4036,23169,7085,595,30850,58801,4540,94189,Ku-ring-gai (A)
14550,177,56,239,1077,519,62,1658,4942,881,7473,Kyogle (A)
14600,133,37,172,888,355,39,1286,2861,697,4846,Lachlan (A)
