lga_code_2016,intct_fam_no_otr_chld_pre_fam,step_fam_no_otr_chld_pre_fam,blnd_fam_no_otr_chld_pre_fam,intct_fam_othr_child_pres_fam,step_fam_othr_child_pres_fam,blnd_fam_othr_child_pres_fam,otr_cpl_fam_otr_chld_only_fam,tot_families,lga_name_2016
10050,4485,363,223,43,4,3,29,5160,Albury (C)
10130,2343,172,107,30,4,7,27,2680,Armidale Regional (A)
10250,3579,275,161,36,5,3,31,4083,Ballina (A)
10300,210,9,11,0,0,0,4,236,Balranald (A)
10470,3662,322,239,36,5,8,31,4308,Bathurst Regional (A)
10550,2409,249,155,35,6,5,41,2892,Bega Valley (A)
10600,992,98,62,12,3,0,4,1171,Bellingen (A)
10650,630,40,36,6,0,0,10,722,Berrigan (A)
10750,43800,2408,1615,974,81,43,198,49127,Blacktown (C)
10800,491,27,27,3,0,0,6,558,Bland (A)
10850,685,66,36,13,0,0,9,805,Blayney (A)
10900,7947,688,377,77,11,0,49,9148,Blue Mountains (C)
10950,220,19,19,0,0,0,3,269,Bogan (A)
11100,5137,257,157,77,0,4,24,5657,Botany Bay (C)
11150,188,12,6,9,0,0,7,216,Bourke (A)
11200,84,4,3,4,0,0,11,114,Brewarrina (A)
11250,1211,122,108,12,8,0,14,1484,Broken Hill (C)
13910,1531,121,102,18,0,0,11,1786,Hilltops (A)
14000,20712,880,392,207,16,3,40,22244,Hornsby (A)
14100,1730,73,26,7,0,0,0,1838,Hunters Hill (A)
14170,17492,931,301,157,11,3,50,18951,Inner West (A)
14200,1286,129,91,25,0,3,11,1553,Inverell (A)
14300,460,36,26,9,0,0,12,543,Junee (A)
14350,1896,175,137,40,8,6,29,2293,Kempsey (A)
14400,2221,160,102,24,4,0,11,2524,Kiama (A)
14500,17613,653,261,147,4,9,24,18710,Ku-ring-gai (A)
14550,595,59,33,15,0,0,5,713,Kyogle (A)
14600,520,21,22,15,0,3,7,593,Lachlan (A)
14650,19722,1834,1038,268,44,25,169,23096,Lake Macquarie (C)
14700,4441,184,62,22,0,0,6,4722,Lane Cove (A)
14750,973,56,68,10,5,3,13,1133,Leeton (A)
14850,3444,315,190,43,8,4,32,4034,Lismore (C)
14870,1621,136,117,23,0,5,31,1936,Lithgow (C)
14900,26723,1213,898,473,34,37,106,29481,Liverpool (C)
14920,616,47,35,8,0,0,6,716,Liverpool Plains (A)
14950,277,17,17,6,0,0,4,323,Lockhart (A)
15050,8064,729,542,100,18,9,69,9533,Maitland (C)
15240,6093,613,389,111,13,16,128,7357,Mid-Coast (A)
15270,2109,171,129,27,0,0,38,2485,Mid-Western Regional (A)
15300,1043,74,50,22,3,4,25,1219,Moree Plains (A)
15350,3309,143,46,10,0,0,4,3511,Mosman (A)
15520,989,64,40,8,0,0,11,1119,Murray River (A)
15560,347,27,27,3,0,0,3,401,Murrumbidgee (A)
15650,1473,121,108,13,3,0,19,1741,Muswellbrook (A)
15700,1279,123,94,28,3,4,9,1541,Nambucca (A)
