lga_name_2016,lga_code_2016,p_15_yrs_over_m,p_15_yrs_over_f,p_15_yrs_over_p,lfs_emplyed_wrked_full_time_m,lfs_emplyed_wrked_full_time_f,lfs_emplyed_wrked_full_time_p,lfs_emplyed_wrked_part_time_m,lfs_emplyed_wrked_part_time_f,lfs_emplyed_wrked_part_time_p,lfs_employed_away_from_work_m,lfs_employed_away_from_work_f,lfs_employed_away_from_work_p,lfs_unmplyed_lookng_for_wrk_m,lfs_unmplyed_lookng_for_wrk_f,lfs_unmplyed_lookng_for_wrk_p,lfs_tot_lf_m,lfs_tot_lf_f,lfs_tot_lf_p,lfs_n_the_labour_force_m,lfs_n_the_labour_force_f,lfs_n_the_labour_force_p,percent_unem_loyment_m,percent_unem_loyment_f,percent_unem_loyment_p,percnt_labforc_prticipation_m,percnt_labforc_prticipation_f,percnt_labforc_prticipation_p,percnt_employment_to_populn_m,percnt_employment_to_populn_f,percnt_employment_to_populn_p,non_sch_quals_postgrad_dgre_m,non_sch_quals_postgrad_dgre_f,non_sch_quals_postgrad_dgre_p,non_sch_quals_gr_dip_gr_crt_m,non_sch_quals_gr_dip_gr_crt_f,non_sch_quals_gr_dip_gr_crt_p,non_sch_quals_bchelr_degree_m,non_sch_quals_bchelr_degree_f,non_sch_quals_bchelr_degree_p,non_sch_quls_advncd_dip_dip_m,non_sch_quls_advncd_dip_dip_f,non_sch_quls_advncd_dip_dip_p,non_sch_quls_cert3a4_level_m,non_sch_quls_cert3a4_level_f,non_sch_quls_cert3a4_level_p,non_sch_quls_cert1a2_level_m,non_sch_quls_cert1a2_level_f,non_sch_quls_cert1a2_level_p,non_sch_quls_certnfd_level_m,non_sch_quls_certnfd_level_f,non_sch_quls_certnfd_level_p,non_sch_quls_certtot_level_m,non_sch_quls_certtot_level_f,non_sch_quls_certtot_level_p,migtn_lvd_same_add_1_yr_ago_m,migtn_lvd_same_add_1_yr_ago_f,migtn_lvd_same_add_1_yr_ago_p,migtn_lvd_diff_add_1_yr_ago_m,migtn_lvd_diff_add_1_yr_ago_f,migtn_lvd_diff_add_1_yr_ago_p,migtn_lvd_sme_add_5_yrs_ago_m,migtn_lvd_sme_add_5_yrs_ago_f,migtn_lvd_sme_add_5_yrs_ago_p,mign_lvd_diff_add_5_yrs_ago_m,mign_lvd_diff_add_5_yrs_ago_f,mign_lvd_diff_add_5_yrs_ago_p
Albury (C),10050,19759,21704,41468,8745,4856,13599,2345,5738,8084,534,691,1224,896,787,1684,12515,12071,24587,5767,8087,13853,7.2,6.5,6.8,63.3,55.6,59.3,58.8,52.0,55.2,466,578,1047,304,546,843,1773,2935,4703,1395,2133,3530,5437,2897,8334,211,430,644,311,575,888,5964,3903,9869,18123,19387,37515,3903,4273,8177,11898,12578,24473,9166,10268,19440
Armidale Regional (A),10130,11545,12567,24115,4335,2793,7126,1585,2875,4459,325,407,736,554,476,1032,6806,6551,13359,3810,5021,8834,8.1,7.3,7.7,59.0,52.1,55.4,54.1,48.3,51.1,921,824,1741,193,380,571,1261,2023,3285,628,1100,1729,2270,1209,3482,128,203,327,182,331,507,2575,1741,4317,10305,10815,21117,2385,2829,5215,6707,7047,13750,5522,6145,11664
Ballina (A),10250,16498,18363,34860,5843,3540,9382,2467,4676,7140,444,494,939,623,459,1086,9380,9169,18550,5851,7788,13639,6.6,5.0,5.9,56.9,49.9,53.2,53.1,47.4,50.1,511,559,1071,295,452,741,1940,2792,4734,1236,2086,3324,4358,2024,6380,133,295,430,337,606,938,4826,2925,7753,15336,16332,31664,2919,3297,6219,10085,10890,20968,7474,8179,15652
Balranald (A),10300,922,879,1801,419,194,614,93,212,302,37,29,63,30,28,55,577,456,1041,230,321,552,5.2,6.1,5.3,62.6,51.9,57.8,59.5,49.5,54.4,9,15,21,0,10,13,33,63,94,26,60,80,169,88,250,9,16,26,4,12,19,188,113,300,914,848,1761,114,118,236,669,609,1274,295,305,604
Bathurst Regional (A),10470,16480,16703,33181,6989,4178,11165,1781,4144,5923,478,606,1079,645,518,1162,9893,9437,19332,5396,6023,11424,6.5,5.5,6.0,60.0,56.5,58.3,56.1,53.5,54.8,454,499,951,226,424,645,1372,2382,3759,1023,1651,2672,4459,2048,6508,169,358,526,266,558,818,4892,2963,7856,14901,15366,30271,2964,3144,6112,9605,9773,19380,7427,7992,15418
Bega Valley (A),10550,13549,14437,27994,4458,2497,6957,1792,3508,5298,437,461,895,418,329,750,7101,6795,13905,5406,6542,11948,5.9,4.8,5.4,52.4,47.1,49.7,49.4,44.8,47.0,311,345,651,188,406,598,1124,1821,2947,893,1444,2331,3846,1649,5493,127,309,437,250,482,730,4230,2445,6669,12652,13183,25834,2013,2192,4205,8952,9121,18070,5190,5741,10929
Bellingen (A),10600,5030,5433,10465,1508,880,2386,834,1369,2210,138,162,298,226,160,378,2697,2574,5273,1993,2499,4489,8.4,6.2,7.2,53.6,47.4,50.4,49.3,44.4,46.8,129,184,314,74,154,228,505,896,1405,363,607,975,1368,600,1970,63,92,153,95,177,271,1526,872,2401,4752,5071,9817,845,937,1780,3348,3476,6827,2029,2285,4314
Berrigan (A),10650,3483,3532,7018,1271,621,1895,309,822,1132,140,120,258,92,74,165,1814,1633,3450,1321,1543,2864,5.1,4.5,4.8,52.1,46.2,49.2,49.4,44.3,46.8,18,35,53,16,48,67,160,333,494,185,275,460,893,464,1355,24,59,82,47,92,133,959,612,1565,3230,3215,6438,479,534,1013,2269,2264,4533,1269,1325,2600
Blacktown (C),10750,128170,132134,260306,63968,38436,102402,14754,26539,41295,3745,4023,7771,5909,5998,11907,88377,74994,163377,33296,50446,83745,6.7,8.0,7.3,69.0,56.8,62.8,64.3,52.2,58.2,7236,6781,14020,1261,1725,2983,17585,22722,40305,10544,12429,22969,23256,12317,35577,1023,2017,3039,2157,3097,5249,26439,17425,43865,131207,134157,265365,21662,21607,43268,86357,88421,174777,57874,58797,116668
Bland (A),10800,2366,2363,4725,1092,519,1609,233,529,764,84,84,168,60,37,95,1469,1169,2635,626,896,1526,4.1,3.2,3.6,62.1,49.5,55.8,59.6,47.9,53.8,11,24,37,13,24,37,107,216,323,86,161,250,590,253,841,21,60,80,43,68,108,651,378,1023,2345,2296,4635,228,263,489,1749,1700,3454,701,729,1429
