lga_name_2016,lga_code_2016,d_18_20_fpulptw_mptlf,d_18_20_fpulptw_mpnlf,d_18_20_fpulptw_mplfsns,d_18_20_fpulptw_t,d_18_20_fput_mpeft,d_18_20_fput_mpept,d_18_20_fput_mpeaw,d_18_20_fput_mpehns,d_18_20_fput_mpet,d_18_20_fput_mpulftw,d_18_20_fput_mpulptw,d_18_20_fput_mput,d_18_20_fput_mptlf,d_18_20_fput_mpnlf,d_18_20_fput_mplfsns,d_18_20_fput_t,d_18_20_fptlf_mpeft,d_18_20_fptlf_mpept,d_18_20_fptlf_mpeaw,d_18_20_fptlf_mpehns,d_18_20_fptlf_mpet,d_18_20_fptlf_mpulftw,d_18_20_fptlf_mpulptw,d_18_20_fptlf_mput,d_18_20_fptlf_mptlf,d_18_20_fptlf_mpnlf,d_18_20_fptlf_mplfsns,d_18_20_fptlf_t,d_18_20_fpnlf_mpeft,d_18_20_fpnlf_mpept,d_18_20_fpnlf_mpeaw,d_18_20_fpnlf_mpehns,d_18_20_fpnlf_mpet,d_18_20_fpnlf_mpulftw,d_18_20_fpnlf_mpulptw,d_18_20_fpnlf_mput,d_18_20_fpnlf_mptlf,d_18_20_fpnlf_mpnlf,d_18_20_fpnlf_mplfsns,d_18_20_fpnlf_t,d_18_20_fplfsns_mpeft,d_18_20_fplfsns_mpept,d_18_20_fplfsns_mpeaw,d_18_20_fplfsns_mpehns,d_18_20_fplfsns_mpet,d_18_20_fplfsns_mpulftw,d_18_20_fplfsns_mpulptw,d_18_20_fplfsns_mput,d_18_20_fplfsns_mptlf,d_18_20_fplfsns_mpnlf,d_18_20_fplfsns_mplfsns,d_18_20_fplfsns_t,d_18_20_fpt_mpeft,d_18_20_fpt_mpept,d_18_20_fpt_mpeaw,d_18_20_fpt_mpehns,d_18_20_fpt_mpet,d_18_20_fpt_mpulftw,d_18_20_fpt_mpulptw,d_18_20_fpt_mput,d_18_20_fpt_mptlf,d_18_20_fpt_mpnlf,d_18_20_fpt_mplfsns,d_18_20_fpt_t,d_21_24_fpeft_mpeft,d_21_24_fpeft_mpept,d_21_24_fpeft_mpeaw,d_21_24_fpeft_mpehns,d_21_24_fpeft_mpet,d_21_24_fpeft_mpulftw,d_21_24_fpeft_mpulptw,d_21_24_fpeft_mput,d_21_24_fpeft_mptlf,d_21_24_fpeft_mpnlf,d_21_24_fpeft_mplfsns,d_21_24_fpeft_t,d_21_24_fpept_mpeft,d_21_24_fpept_mpept,d_21_24_fpept_mpeaw,d_21_24_fpept_mpehns,d_21_24_fpept_mpet,d_21_24_fpept_mpulftw,d_21_24_fpept_mpulptw,d_21_24_fpept_mput,d_21_24_fpept_mptlf,d_21_24_fpept_mpnlf,d_21_24_fpept_mplfsns,d_21_24_fpept_t,d_21_24_fpeaw_mpeft,d_21_24_fpeaw_mpept,d_21_24_fpeaw_mpeaw,d_21_24_fpeaw_mpehns,d_21_24_fpeaw_mpet,d_21_24_fpeaw_mpulftw,d_21_24_fpeaw_mpulptw,d_21_24_fpeaw_mput,d_21_24_fpeaw_mptlf,d_21_24_fpeaw_mpnlf,d_21_24_fpeaw_mplfsns,d_21_24_fpeaw_t,d_21_24_fphns_mpeft,d_21_24_fphns_mpept,d_21_24_fphns_mpeaw,d_21_24_fphns_mpehns,d_21_24_fphns_mpet,d_21_24_fphns_mpulftw,d_21_24_fphns_mpulptw,d_21_24_fphns_mput,d_21_24_fphns_mptlf,d_21_24_fphns_mpnlf,d_21_24_fphns_mplfsns,d_21_24_fphns_t,d_21_24_fpet_mpeft,d_21_24_fpet_mpept,d_21_24_fpet_mpeaw,d_21_24_fpet_mpehns,d_21_24_fpet_mpet,d_21_24_fpet_mpulftw,d_21_24_fpet_mpulptw,d_21_24_fpet_mput,d_21_24_fpet_mptlf,d_21_24_fpet_mpnlf,d_21_24_fpet_mplfsns,d_21_24_fpet_t,d_21_24_fpulftw_mpeft,d_21_24_fpulftw_mpept,d_21_24_fpulftw_mpeaw,d_21_24_fpulftw_mpehns,d_21_24_fpulftw_mpet,d_21_24_fpulftw_mpulftw,d_21_24_fpulftw_mpulptw,d_21_24_fpulftw_mput,d_21_24_fpulftw_mptlf,d_21_24_fpulftw_mpnlf,d_21_24_fpulftw_mplfsns,d_21_24_fpulftw_t,d_21_24_fpulptw_mpeft,d_21_24_fpulptw_mpept,d_21_24_fpulptw_mpeaw,d_21_24_fpulptw_mpehns,d_21_24_fpulptw_mpet,d_21_24_fpulptw_mpulftw,d_21_24_fpulptw_mpulptw,d_21_24_fpulptw_mput,d_21_24_fpulptw_mptlf,d_21_24_fpulptw_mpnlf,d_21_24_fpulptw_mplfsns,d_21_24_fpulptw_t,d_21_24_fput_mpeft,d_21_24_fput_mpept,d_21_24_fput_mpeaw,d_21_24_fput_mpehns,d_21_24_fput_mpet,d_21_24_fput_mpulftw,d_21_24_fput_mpulptw,d_21_24_fput_mput,d_21_24_fput_mptlf,d_21_24_fput_mpnlf,d_21_24_fput_mplfsns,d_21_24_fput_t,d_21_24_fptlf_mpeft,d_21_24_fptlf_mpept,d_21_24_fptlf_mpeaw,d_21_24_fptlf_mpehns,d_21_24_fptlf_mpet,d_21_24_fptlf_mpulftw,d_21_24_fptlf_mpulptw,d_21_24_fptlf_mput,d_21_24_fptlf_mptlf,d_21_24_fptlf_mpnlf,d_21_24_fptlf_mplfsns,d_21_24_fptlf_t,d_21_24_fpnlf_mpeft,d_21_24_fpnlf_mpept,d_21_24_fpnlf_mpeaw,d_21_24_fpnlf_mpehns,d_21_24_fpnlf_mpet,d_21_24_fpnlf_mpulftw,d_21_24_fpnlf_mpulptw,d_21_24_fpnlf_mput,d_21_24_fpnlf_mptlf,d_21_24_fpnlf_mpnlf,d_21_24_fpnlf_mplfsns,d_21_24_fpnlf_t,d_21_24_fplfsns_mpeft,d_21_24_fplfsns_mpept,d_21_24_fplfsns_mpeaw,d_21_24_fplfsns_mpehns,d_21_24_fplfsns_mpet,d_21_24_fplfsns_mpulftw,d_21_24_fplfsns_mpulptw,d_21_24_fplfsns_mput,d_21_24_fplfsns_mptlf,d_21_24_fplfsns_mpnlf,d_21_24_fplfsns_mplfsns,d_21_24_fplfsns_t,d_21_24_fpt_mpeft,d_21_24_fpt_mpept,d_21_24_fpt_mpeaw,d_21_24_fpt_mpehns
Albury (C),10050,4,0,0,4,0,0,0,0,7,3,0,5,5,0,0,5,191,24,0,0,215,9,0,8,224,3,0,228,24,5,0,0,30,0,0,0,34,15,0,49,0,0,0,0,0,0,0,0,0,0,0,0,216,28,3,0,249,9,4,10,259,21,0,280,24,0,0,0,24,0,0,0,27,0,0,27,25,3,0,0,31,0,0,0,31,0,0,30,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,51,3,3,0,58,0,0,0,59,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,3,0,58,0,0,0,62,0,0,62,7,3,0,0,7,0,0,0,7,14,0,17,0,0,0,0,0,0,0,0,0,0,0,0,55,11,3,0
Armidale Regional (A),10130,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,85,11,0,0,94,4,0,4,102,7,0,110,8,0,0,0,11,0,0,0,14,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,95,11,0,0,109,4,0,4,109,10,0,127,11,4,0,0,8,0,0,0,8,0,0,9,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,23,0,0,0,23,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,23,0,0,0,23,0,0,22,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0
Ballina (A),10250,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,4,135,23,3,3,163,0,3,4,165,7,0,176,11,8,0,0,17,0,0,0,17,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,145,34,3,3,185,0,3,4,187,17,0,205,18,3,0,0,25,0,0,0,24,0,0,24,16,0,0,0,16,0,0,0,21,4,0,26,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,44,5,0,5,42,4,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,39,3,0,0,46,5,0,5,49,4,0,52,0,3,0,0,5,0,0,0,5,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,37,8,3,0
Balranald (A),10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Bathurst Regional (A),10470,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,145,11,0,0,154,3,0,5,162,6,0,163,16,3,0,0,20,3,3,7,28,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,159,17,0,0,176,3,3,4,187,6,0,196,24,0,0,0,26,0,0,0,28,0,0,31,17,3,0,0,19,0,0,0,19,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,4,0,0,52,0,0,0,54,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0,0,52,0,0,0,54,3,0,56,8,0,0,0,8,0,0,0,8,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,51,3,0,0
Bega Valley (A),10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,12,3,4,64,0,0,0,64,0,0,64,6,3,0,0,8,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,49,19,3,5,71,0,0,0,71,5,3,76,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,7,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,11,3,0,12,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Bellingen (A),10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7,3,0,34,0,0,0,34,6,0,35,0,3,0,0,3,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,29,4,3,0,35,0,0,0,35,5,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berrigan (A),10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,14,0,0,0,14,0,0,18,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,18,0,0,0,18,0,0,18,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Blacktown (C),10750,77,8,0,81,89,29,4,3,126,18,3,21,147,10,0,155,2698,343,53,47,3144,95,21,120,3266,179,7,3455,656,139,17,27,846,39,12,51,899,294,0,1192,3,0,0,7,8,0,0,0,8,3,9,18,3359,478,73,81,3995,135,34,171,4166,479,15,4662,778,63,16,5,862,28,3,27,890,72,0,968,344,81,5,8,433,10,5,15,449,34,0,489,18,4,7,0,27,0,0,0,27,0,0,25,14,0,0,3,13,0,0,0,13,0,0,18,1150,145,24,16,1335,32,9,45,1382,112,4,1499,38,6,0,0,42,7,3,7,57,10,0,59,22,9,0,0,28,3,0,0,25,3,0,31,58,15,0,0,71,7,4,10,81,10,0,92,1205,154,24,16,1407,44,13,55,1463,126,4,1590,279,60,15,13,369,10,3,14,383,217,0,602,0,0,0,0,3,0,0,0,3,0,8,13,1491,216,43,31
Bland (A),10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,11,0,0,0,11,0,0,10,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,10,0,0,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
