lga_name_2016,lga_code_2016,m_lplfs_eft_dc_0_4,m_lplfs_eft_dc_5_9,m_lplfs_eft_dc_10_12,m_lplfs_eft_dc_13_14,m_lplfs_eft_dc_15_17,m_lplfs_eft_dc_18_20,m_lplfs_eft_dc_21_24,m_lplfs_eft_t,m_lplfs_ept_dc_0_4,m_lplfs_ept_dc_5_9,m_lplfs_ept_dc_10_12,m_lplfs_ept_dc_13_14,m_lplfs_ept_dc_15_17,m_lplfs_ept_dc_18_20,m_lplfs_ept_dc_21_24,m_lplfs_ept_t,m_lplfs_eaw_dc_0_4,m_lplfs_eaw_dc_5_9,m_lplfs_eaw_dc_10_12,m_lplfs_eaw_dc_13_14,m_lplfs_eaw_dc_15_17,m_lplfs_eaw_dc_18_20,m_lplfs_eaw_dc_21_24,m_lplfs_eaw_t,m_lplfs_hns_dc_0_4,m_lplfs_hns_dc_5_9,m_lplfs_hns_dc_10_12,m_lplfs_hns_dc_13_14,m_lplfs_hns_dc_15_17,m_lplfs_hns_dc_18_20,m_lplfs_hns_dc_21_24,m_lplfs_hns_t,m_lplfs_ew_t_dc_0_4,m_lplfs_ew_t_dc_5_9,m_lplfs_ew_t_dc_10_12,m_lplfs_ew_t_dc_13_14,m_lplfs_ew_t_dc_15_17,m_lplfs_ew_t_dc_18_20,m_lplfs_ew_t_dc_21_24,m_lplfs_ew_t_t,m_lplfs_ulftw_dc_0_4,m_lplfs_ulftw_dc_5_9,m_lplfs_ulftw_dc_10_12,m_lplfs_ulftw_dc_13_14,m_lplfs_ulftw_dc_15_17,m_lplfs_ulftw_dc_18_20,m_lplfs_ulftw_dc_21_24,m_lplfs_ulftw_t,m_lplfs_ulptw_dc_0_4,m_lplfs_ulptw_dc_5_9,m_lplfs_ulptw_dc_10_12,m_lplfs_ulptw_dc_13_14,m_lplfs_ulptw_dc_15_17,m_lplfs_ulptw_dc_18_20,m_lplfs_ulptw_dc_21_24,m_lplfs_ulptw_t,m_lplfs_u_t_dc_0_4,m_lplfs_u_t_dc_5_9,m_lplfs_u_t_dc_10_12,m_lplfs_u_t_dc_13_14,m_lplfs_u_t_dc_15_17,m_lplfs_u_t_dc_18_20,m_lplfs_u_t_dc_21_24,m_lplfs_u_t_t,m_lplfs_t_lf_dc_0_4,m_lplfs_t_lf_dc_5_9,m_lplfs_t_lf_dc_10_12,m_lplfs_t_lf_dc_13_14,m_lplfs_t_lf_dc_15_17,m_lplfs_t_lf_dc_18_20,m_lplfs_t_lf_dc_21_24,m_lplfs_t_lf_t,m_lplfs_nlf_dc_0_4,m_lplfs_nlf_dc_5_9,m_lplfs_nlf_dc_10_12,m_lplfs_nlf_dc_13_14,m_lplfs_nlf_dc_15_17,m_lplfs_nlf_dc_18_20,m_lplfs_nlf_dc_21_24,m_lplfs_nlf_t,m_lplfs_lfsns_dc_0_4,m_lplfs_lfsns_dc_5_9,m_lplfs_lfsns_dc_10_12,m_lplfs_lfsns_dc_13_14,m_lplfs_lfsns_dc_15_17,m_lplfs_lfsns_dc_18_20,m_lplfs_lfsns_dc_21_24,m_lplfs_lfsns_t,m_lplfs_t_dc_0_4,m_lplfs_t_dc_5_9,m_lplfs_t_dc_10_12,m_lplfs_t_dc_13_14,m_lplfs_t_dc_15_17,m_lplfs_t_dc_18_20,m_lplfs_t_dc_21_24,m_lplfs_t_t,f_lplfs_eft_dc_0_4,f_lplfs_eft_dc_5_9,f_lplfs_eft_dc_10_12,f_lplfs_eft_dc_13_14,f_lplfs_eft_dc_15_17,f_lplfs_eft_dc_18_20,f_lplfs_eft_dc_21_24,f_lplfs_eft_t,f_lplfs_ept_dc_0_4,f_lplfs_ept_dc_5_9,f_lplfs_ept_dc_10_12,f_lplfs_ept_dc_13_14,f_lplfs_ept_dc_15_17,f_lplfs_ept_dc_18_20,f_lplfs_ept_dc_21_24,f_lplfs_ept_t,f_lplfs_eaw_dc_0_4,f_lplfs_eaw_dc_5_9,f_lplfs_eaw_dc_10_12,f_lplfs_eaw_dc_13_14,f_lplfs_eaw_dc_15_17,f_lplfs_eaw_dc_18_20,f_lplfs_eaw_dc_21_24,f_lplfs_eaw_t,f_lplfs_hns_dc_0_4,f_lplfs_hns_dc_5_9,f_lplfs_hns_dc_10_12,f_lplfs_hns_dc_13_14,f_lplfs_hns_dc_15_17,f_lplfs_hns_dc_18_20,f_lplfs_hns_dc_21_24,f_lplfs_hns_t,f_lplfs_ew_t_dc_0_4,f_lplfs_ew_t_dc_5_9,f_lplfs_ew_t_dc_10_12,f_lplfs_ew_t_dc_13_14,f_lplfs_ew_t_dc_15_17,f_lplfs_ew_t_dc_18_20,f_lplfs_ew_t_dc_21_24,f_lplfs_ew_t_t,f_lplfs_ulftw_dc_0_4,f_lplfs_ulftw_dc_5_9,f_lplfs_ulftw_dc_10_12,f_lplfs_ulftw_dc_13_14,f_lplfs_ulftw_dc_15_17,f_lplfs_ulftw_dc_18_20,f_lplfs_ulftw_dc_21_24,f_lplfs_ulftw_t,f_lplfs_ulptw_dc_0_4,f_lplfs_ulptw_dc_5_9,f_lplfs_ulptw_dc_10_12,f_lplfs_ulptw_dc_13_14,f_lplfs_ulptw_dc_15_17,f_lplfs_ulptw_dc_18_20,f_lplfs_ulptw_dc_21_24,f_lplfs_ulptw_t,f_lplfs_u_t_dc_0_4,f_lplfs_u_t_dc_5_9,f_lplfs_u_t_dc_10_12,f_lplfs_u_t_dc_13_14,f_lplfs_u_t_dc_15_17,f_lplfs_u_t_dc_18_20,f_lplfs_u_t_dc_21_24,f_lplfs_u_t_t,f_lplfs_t_lf_dc_0_4,f_lplfs_t_lf_dc_5_9,f_lplfs_t_lf_dc_10_12,f_lplfs_t_lf_dc_13_14,f_lplfs_t_lf_dc_15_17,f_lplfs_t_lf_dc_18_20,f_lplfs_t_lf_dc_21_24,f_lplfs_t_lf_t,f_lplfs_nlf_dc_0_4,f_lplfs_nlf_dc_5_9,f_lplfs_nlf_dc_10_12,f_lplfs_nlf_dc_13_14,f_lplfs_nlf_dc_15_17,f_lplfs_nlf_dc_18_20,f_lplfs_nlf_dc_21_24,f_lplfs_nlf_t,f_lplfs_lfsns_dc_0_4,f_lplfs_lfsns_dc_5_9,f_lplfs_lfsns_dc_10_12,f_lplfs_lfsns_dc_13_14,f_lplfs_lfsns_dc_15_17,f_lplfs_lfsns_dc_18_20,f_lplfs_lfsns_dc_21_24,f_lplfs_lfsns_t,f_lplfs_t_dc_0_4,f_lplfs_t_dc_5_9,f_lplfs_t_dc_10_12,f_lplfs_t_dc_13_14,f_lplfs_t_dc_15_17,f_lplfs_t_dc_18_20,f_lplfs_t_dc_21_24,f_lplfs_t_t,t_lplfs_eft_dc_0_4,t_lplfs_eft_dc_5_9,t_lplfs_eft_dc_10_12,t_lplfs_eft_dc_13_14,t_lplfs_eft_dc_15_17,t_lplfs_eft_dc_18_20,t_lplfs_eft_dc_21_24,t_lplfs_eft_t
Albury (C),10050,21,35,34,29,36,12,3,163,3,14,7,3,9,3,0,39,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,24,45,43,30,45,11,3,208,3,6,3,5,4,0,0,23,0,3,0,0,0,0,0,3,3,7,3,5,4,0,0,26,31,53,48,40,44,18,3,232,24,24,21,11,10,4,0,92,4,0,0,0,0,0,0,5,55,77,70,50,55,21,3,332,29,92,110,80,101,21,13,445,113,195,103,78,103,24,6,625,10,20,13,3,3,0,0,54,4,3,4,5,4,0,0,21,162,305,229,169,216,44,21,1142,10,35,19,10,15,0,0,96,25,46,20,10,9,0,0,107,29,80,31,24,26,0,0,202,199,389,261,190,236,50,21,1342,298,267,142,82,76,8,13,883,3,4,3,6,0,0,0,17,496,656,407,276,316,61,33,2245,56,123,141,108,140,29,19,610
Armidale Regional (A),10130,4,16,17,11,18,6,3,81,5,13,7,6,15,0,0,42,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,10,24,23,23,32,6,3,131,0,7,3,3,3,0,0,12,3,0,0,0,0,0,0,3,3,7,3,3,3,0,0,17,10,35,31,20,39,5,3,142,7,17,9,12,3,0,0,49,0,0,3,0,0,0,0,3,22,50,36,37,40,5,3,203,31,46,61,53,66,15,4,270,49,86,55,48,65,4,0,308,9,0,4,3,7,3,0,28,4,0,3,0,0,0,0,5,82,128,118,106,141,25,5,610,10,13,14,5,7,0,0,45,14,25,13,0,4,0,0,54,19,39,24,10,11,3,0,103,103,170,140,114,150,28,3,715,177,146,69,35,35,9,3,473,5,9,3,3,0,0,0,19,288,325,216,153,180,32,10,1206,32,61,78,66,84,24,6,350
Ballina (A),10250,8,35,16,31,37,10,3,131,4,14,13,8,13,0,0,56,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,14,48,31,41,53,18,0,194,0,0,4,3,4,0,0,18,0,5,0,5,3,0,0,18,0,7,9,12,12,0,0,37,14,59,34,48,63,18,0,234,4,14,4,6,8,4,0,48,0,0,0,0,0,0,0,0,18,70,37,60,71,16,0,279,18,71,67,85,97,24,3,365,71,168,105,75,104,27,3,547,9,6,3,5,11,0,0,34,3,0,0,0,4,3,0,16,98,248,180,167,210,52,8,962,3,5,0,6,7,3,0,23,12,19,7,16,7,4,0,65,11,29,10,20,10,9,0,89,115,273,190,183,219,65,10,1047,128,146,93,44,44,15,11,475,0,6,3,0,0,0,0,9,236,424,284,228,263,77,20,1535,24,105,86,115,134,36,6,498
Balranald (A),10300,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,12,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,15,3,5,3,3,3,0,0,11,3,4,8,4,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,4,6,0,0,35,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,4,8,13,10,11,0,0,42,10,8,6,0,4,0,0,29,0,0,0,0,0,0,0,0,21,17,16,7,12,0,0,69,3,5,4,4,6,0,0,21
Bathurst Regional (A),10470,17,34,32,15,30,9,0,143,7,5,3,3,3,0,0,28,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,25,45,32,21,40,10,3,177,0,3,3,0,3,0,0,10,0,0,0,3,3,0,0,6,0,0,4,3,3,0,0,16,23,47,37,28,43,10,3,192,5,10,11,3,15,0,0,48,0,3,0,0,0,0,0,3,29,64,51,31,58,15,4,241,41,116,89,66,101,33,10,450,103,166,106,73,76,22,4,546,18,11,4,0,3,0,0,37,0,3,3,3,6,0,0,10,157,291,195,145,185,50,17,1043,13,33,9,5,0,3,0,62,16,34,17,8,10,0,0,96,28,65,30,19,19,3,0,157,185,361,228,161,202,55,17,1202,274,184,102,66,70,11,0,698,9,3,3,0,0,0,0,11,462,544,326,227,269,65,17,1915,59,150,118,82,133,43,12,593
Bega Valley (A),10550,9,13,9,20,18,0,0,73,5,14,5,7,5,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,32,18,26,27,6,0,121,0,4,0,0,0,3,0,11,0,3,3,0,0,0,0,7,0,4,5,3,0,3,0,18,16,39,20,28,30,6,0,141,5,11,10,3,13,0,0,41,0,4,0,0,0,0,0,4,23,52,35,36,37,6,0,184,13,47,41,44,60,9,3,217,44,143,91,63,72,12,0,421,3,6,3,0,4,0,0,19,4,0,0,0,0,0,0,3,58,200,138,112,140,18,6,664,5,3,4,7,6,0,0,27,11,18,5,3,3,0,0,48,20,30,13,10,14,0,0,76,81,225,145,115,152,21,6,744,134,123,84,53,44,13,0,446,0,0,0,0,3,0,0,6,209,346,225,169,193,33,7,1188,22,64,55,59,82,10,3,296
Bellingen (A),10600,4,4,14,4,6,0,0,31,0,5,0,0,6,0,0,19,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,14,13,4,14,0,0,55,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,14,18,4,16,0,0,64,3,9,3,0,5,0,0,19,0,0,0,0,0,0,0,4,4,31,20,12,18,0,0,87,7,19,21,17,31,3,5,104,23,59,46,26,39,7,3,211,0,0,0,0,3,0,0,7,0,0,3,3,3,0,0,13,32,77,72,49,79,10,5,324,6,9,3,4,5,0,0,21,7,15,8,3,4,0,0,39,9,17,13,7,10,0,0,54,40,97,84,52,85,10,5,381,64,61,40,23,28,3,3,216,0,0,3,0,0,0,0,8,111,159,125,75,116,17,10,606,4,23,37,23,39,0,3,133
Berrigan (A),10650,0,4,7,8,3,0,0,22,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,3,0,0,30,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,9,8,9,0,0,32,0,9,3,0,5,0,0,21,0,0,0,0,0,0,0,0,5,9,10,11,16,0,0,53,7,11,9,5,12,0,0,54,20,20,12,12,11,0,0,72,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,25,32,29,15,28,0,0,133,0,3,0,0,0,0,0,3,5,7,0,3,0,0,0,15,3,5,0,3,0,0,0,18,30,44,33,22,29,3,0,150,33,40,11,9,10,0,0,102,0,0,3,0,0,0,0,5,64,78,46,29,36,0,0,255,7,11,17,13,19,0,0,72
Blacktown (C),10750,136,188,156,109,241,97,56,982,22,31,40,26,45,14,11,186,0,0,0,4,0,3,0,15,9,16,8,3,8,4,0,43,170,232,199,145,290,115,63,1229,21,17,10,14,17,10,5,90,4,10,4,5,3,4,0,32,27,26,14,18,23,8,5,127,194,259,222,164,314,126,64,1352,85,122,100,66,61,28,18,482,12,12,11,7,3,3,0,46,295,396,322,239,378,160,88,1875,347,845,602,489,783,383,190,3639,496,879,586,359,516,194,77,3102,80,61,30,16,33,16,10,245,20,28,33,18,27,7,3,134,943,1809,1249,881,1356,599,282,7128,68,158,83,79,89,27,9,522,137,245,126,92,102,21,16,734,204,402,215,165,186,52,29,1259,1148,2210,1459,1048,1542,653,308,8380,2350,2044,1087,700,701,229,132,7238,57,50,25,21,15,6,3,177,3561,4305,2570,1775,2261,886,446,15797,486,1031,757,606,1022,477,245,4625
Bland (A),10800,0,7,7,8,6,0,0,28,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,10,8,9,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,8,9,0,0,34,0,3,3,6,0,0,0,17,0,0,0,0,0,0,0,0,4,13,15,9,10,0,0,51,0,18,11,5,5,0,0,44,11,17,8,6,9,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,35,27,15,13,4,0,109,3,3,3,0,0,0,0,10,0,0,3,0,0,0,0,3,3,6,3,0,0,0,0,13,16,40,27,12,14,4,0,122,28,26,12,5,6,0,0,81,0,0,0,0,0,0,0,0,48,66,41,22,20,7,0,203,3,21,22,8,13,0,0,68
Blayney (A),10850,3,4,3,4,5,0,0,19,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,5,0,0,22,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,3,7,3,8,9,0,0,29,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,10,3,11,4,3,0,37,7,17,21,7,21,0,0,71,18,32,14,12,14,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,47,33,22,33,3,0,159,0,8,0,0,5,0,0,12,3,0,5,0,0,0,0,14,3,8,5,0,7,0,0,23,22,57,41,20,41,7,0,186,34,29,14,8,10,0,0,98,0,0,0,0,3,0,0,6,61,88,51,32,52,7,0,285,4,20,20,10,27,0,0,89
Blue Mountains (C),10900,21,41,46,40,58,17,10,221,4,11,12,16,21,6,3,73,3,6,0,0,0,0,0,13,0,0,0,0,0,0,0,3,23,61,59,55,80,25,13,314,0,0,0,0,0,3,0,11,0,0,5,0,0,0,0,5,3,0,3,3,0,3,0,15,23,57,63,58,82,28,13,329,7,23,15,13,10,4,3,74,0,0,0,0,3,0,0,3,39,79,81,69,95,32,16,404,43,127,126,104,191,51,38,686,129,257,206,124,162,52,22,941,11,9,10,5,5,0,3,49,0,3,6,0,5,3,0,24,186,396,352,229,367,107,62,1698,3,14,4,3,14,0,0,40,14,33,16,10,14,0,0,92,20,45,20,13,23,3,7,134,201,441,380,248,392,107,67,1830,241,257,124,67,96,16,11,822,3,0,0,0,3,0,0,5,446,700,505,319,488,126,76,2657,63,169,174,145,248,68,46,912
Bogan (A),10950,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,8,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,16,0,0,0,4,8,0,0,13,3,10,3,3,0,0,0,24,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,14,3,3,4,0,0,31,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,12,5,3,0,0,0,0,0,14,14,14,4,3,4,3,0,48,22,16,11,0,3,0,0,52,0,0,0,0,0,0,0,0,36,28,13,9,9,4,0,98,0,0,3,3,8,0,0,14
