lga_name_2016,lga_code_2016,m_agriforestfish_pd,m_agriforestfish_gd_gc,m_agriforestfish_bd,m_agriforestfish_add_d,m_agriforestfish_cert,m_agriforestfish_id_ns,m_agriforestfish_tot,m_min_pd,m_min_gd_gc,m_min_bd,m_min_add_d,m_min_cert,m_min_id_ns,m_min_tot,m_mnfg_pd,m_mnfg_gd_gc,m_mnfg_bd,m_mnfg_add_d,m_mnfg_cert,m_mnfg_id_ns,m_mnfg_tot,m_egw_ws_pd,m_egw_ws_gd_gc,m_egw_ws_bd,m_egw_ws_add_d,m_egw_ws_cert,m_egw_ws_id_ns,m_egw_ws_tot,m_cnstn_pd,m_cnstn_gd_gc,m_cnstn_bd,m_cnstn_add_d,m_cnstn_cert,m_cnstn_id_ns,m_cnstn_tot,m_wtrade_pd,m_wtrade_gd_gc,m_wtrade_bd,m_wtrade_add_d,m_wtrade_cert,m_wtrade_id_ns,m_wtrade_tot,m_rtrade_pd,m_rtrade_gd_gc,m_rtrade_bd,m_rtrade_add_d,m_rtrade_cert,m_rtrade_id_ns,m_rtrade_tot,m_accomfoods_pd,m_accomfoods_gd_gc,m_accomfoods_bd,m_accomfoods_add_d,m_accomfoods_cert,m_accomfoods_id_ns,m_accomfoods_tot,m_transpostwhse_pd,m_transpostwhse_gd_gc,m_transpostwhse_bd,m_transpostwhse_add_d,m_transpostwhse_cert,m_transpostwhse_id_ns,m_transpostwhse_tot,m_infomedtelecom_pd,m_infomedtelecom_gd_gc,m_infomedtelecom_bd,m_infomedtelecom_add_d,m_infomedtelecom_cert,m_infomedtelecom_id_ns,m_infomedtelecom_tot,m_fininsurs_pd,m_fininsurs_gd_gc,m_fininsurs_bd,m_fininsurs_add_d,m_fininsurs_cert,m_fininsurs_id_ns,m_fininsurs_tot,m_renthirreserv_pd,m_renthirreserv_gd_gc,m_renthirreserv_bd,m_renthirreserv_add_d,m_renthirreserv_cert,m_renthirreserv_id_ns,m_renthirreserv_tot,m_proscietechserv_pd,m_proscietechserv_gd_gc,m_proscietechserv_bd,m_proscietechserv_add_d,m_proscietechserv_cert,m_proscietechserv_id_ns,m_proscietechserv_tot,m_adminsupserv_pd,m_adminsupserv_gd_gc,m_adminsupserv_bd,m_adminsupserv_add_d,m_adminsupserv_cert,m_adminsupserv_id_ns,m_adminsupserv_tot,m_pubadmisafety_pd,m_pubadmisafety_gd_gc,m_pubadmisafety_bd,m_pubadmisafety_add_d,m_pubadmisafety_cert,m_pubadmisafety_id_ns,m_pubadmisafety_tot,m_eductrain_pd,m_eductrain_gd_gc,m_eductrain_bd,m_eductrain_add_d,m_eductrain_cert,m_eductrain_id_ns,m_eductrain_tot,m_healthcaresoca_pd,m_healthcaresoca_gd_gc,m_healthcaresoca_bd,m_healthcaresoca_add_d,m_healthcaresoca_cert,m_healthcaresoca_id_ns,m_healthcaresoca_tot,m_artrecserv_pd,m_artrecserv_gd_gc,m_artrecserv_bd,m_artrecserv_add_d,m_artrecserv_cert,m_artrecserv_id_ns,m_artrecserv_tot,m_othserv_pd,m_othserv_gd_gc,m_othserv_bd,m_othserv_add_d,m_othserv_cert,m_othserv_id_ns,m_othserv_tot,m_id_ns_pd,m_id_ns_gd_gc,m_id_ns_bd,m_id_ns_add_d,m_id_ns_cert,m_id_ns_id_ns,m_id_ns_tot,m_tot_pd,m_tot_gd_gc,m_tot_bd,m_tot_add_d,m_tot_cert,m_tot_id_ns,m_tot_tot,f_agriforestfish_pd,f_agriforestfish_gd_gc,f_agriforestfish_bd,f_agriforestfish_add_d,f_agriforestfish_cert,f_agriforestfish_id_ns,f_agriforestfish_tot,f_min_pd,f_min_gd_gc,f_min_bd,f_min_add_d,f_min_cert,f_min_id_ns,f_min_tot,f_mnfg_pd,f_mnfg_gd_gc,f_mnfg_bd,f_mnfg_add_d,f_mnfg_cert,f_mnfg_id_ns,f_mnfg_tot,f_egw_ws_pd,f_egw_ws_gd_gc,f_egw_ws_bd,f_egw_ws_add_d,f_egw_ws_cert,f_egw_ws_id_ns,f_egw_ws_tot,f_cnstn_pd,f_cnstn_gd_gc,f_cnstn_bd,f_cnstn_add_d,f_cnstn_cert,f_cnstn_id_ns,f_cnstn_tot,f_wtrade_pd,f_wtrade_gd_gc,f_wtrade_bd,f_wtrade_add_d,f_wtrade_cert,f_wtrade_id_ns,f_wtrade_tot,f_rtrade_pd,f_rtrade_gd_gc,f_rtrade_bd,f_rtrade_add_d,f_rtrade_cert,f_rtrade_id_ns,f_rtrade_tot,f_accomfoods_pd,f_accomfoods_gd_gc,f_accomfoods_bd,f_accomfoods_add_d
Albury (C),10050,5,5,32,20,63,3,136,0,0,6,4,25,0,28,28,17,137,121,745,33,1070,3,0,4,23,83,4,115,3,3,55,72,1178,21,1333,6,5,30,30,151,7,232,19,3,77,81,316,18,509,6,4,52,71,218,18,363,9,3,47,86,260,33,431,0,10,26,19,36,5,101,8,8,37,45,15,3,126,3,0,16,24,46,3,87,44,37,188,57,90,13,431,5,3,22,32,121,6,187,42,30,162,134,235,17,626,84,60,250,58,71,14,534,90,35,233,82,126,21,587,0,3,18,10,37,0,61,11,3,31,33,298,12,385,7,3,35,31,203,45,324,380,233,1452,1019,4323,268,7674,0,3,24,9,20,3,60,0,0,0,0,3,0,3,14,3,76,58,103,10,254,0,0,7,3,7,0,19,5,0,27,33,86,16,172,3,3,11,9,36,3,71,9,7,92,125,351,36,625,8,4,64,89
Armidale Regional (A),10130,54,3,112,76,235,29,510,3,0,0,0,18,0,30,8,0,14,7,110,4,140,7,0,3,4,39,3,55,5,0,11,17,403,14,452,3,3,13,12,40,3,75,15,0,40,13,165,11,254,7,0,28,25,111,10,177,4,0,11,15,63,7,108,3,0,9,13,19,0,47,10,3,39,20,18,3,92,0,0,6,6,21,4,43,64,25,116,25,39,8,281,7,0,19,10,53,5,98,37,14,74,54,111,18,310,325,57,217,55,94,11,754,58,14,121,48,83,16,325,0,0,11,5,13,3,41,3,3,23,11,111,8,158,8,3,17,12,62,20,126,627,125,902,437,1813,173,4076,23,16,80,44,65,27,250,0,0,0,3,0,0,7,0,0,7,7,12,8,38,0,0,3,0,0,0,5,0,0,10,9,21,6,42,0,3,8,6,10,0,32,5,7,58,52,129,22,272,7,6,39,32
Ballina (A),10250,19,3,82,30,147,15,291,0,0,9,12,48,3,70,6,0,44,33,275,13,377,4,0,9,13,58,3,89,7,3,67,69,866,37,1049,5,0,16,18,73,3,116,8,4,62,45,246,19,396,15,4,46,55,191,13,315,3,0,22,28,135,20,213,3,0,8,17,36,3,67,14,7,42,42,25,3,127,0,6,27,23,58,11,122,45,24,200,56,66,10,410,3,0,12,30,86,10,148,40,27,134,99,179,15,494,97,63,254,57,63,6,544,91,35,242,79,154,27,629,3,0,23,12,45,0,83,3,0,27,15,197,7,256,8,6,24,29,118,30,210,370,193,1367,770,3066,251,6012,9,8,34,24,45,12,134,0,0,0,0,0,0,4,0,0,39,33,50,8,129,0,0,9,3,0,0,16,0,0,7,20,48,10,93,0,0,14,5,23,4,50,11,6,74,116,230,33,476,0,11,78,66
Balranald (A),10300,3,0,9,6,46,12,77,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,6,0,9,0,0,0,0,17,3,20,0,0,0,0,0,0,0,0,0,0,0,13,0,12,0,0,3,0,4,0,10,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,8,0,19,0,0,10,0,3,0,10,0,0,4,0,0,0,6,0,0,0,0,3,0,3,0,0,0,0,13,0,13,0,0,0,0,8,3,9,9,0,31,18,147,19,220,0,0,5,7,12,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,7,6,0,11,0,0,0,3
Bathurst Regional (A),10470,13,7,55,40,147,21,279,4,0,21,15,132,9,184,16,9,84,71,558,28,759,8,0,16,31,79,3,144,4,0,44,50,800,33,939,0,3,9,15,81,13,119,6,0,56,46,242,13,372,3,3,35,34,146,9,230,3,0,9,28,212,13,264,8,4,16,15,50,4,96,3,3,21,16,19,4,75,0,0,20,8,43,4,76,30,16,125,51,72,3,304,3,4,7,16,83,3,118,29,34,151,143,316,25,699,108,56,238,43,88,8,540,58,14,127,66,118,13,393,5,0,7,19,29,3,65,10,0,23,19,237,8,300,8,0,16,19,147,34,225,321,170,1080,745,3602,244,6171,5,10,38,22,43,8,121,0,0,0,0,3,0,10,7,0,51,44,86,16,194,0,0,17,10,11,0,46,7,0,25,32,71,7,144,0,0,8,3,20,3,41,4,3,82,73,254,38,451,9,3,61,58
Bega Valley (A),10550,7,8,50,43,234,29,369,0,0,3,3,15,3,23,3,8,31,43,347,15,442,0,0,3,5,65,3,85,0,0,28,38,704,23,794,0,3,13,13,71,5,95,9,3,32,28,192,16,278,4,0,28,40,195,29,300,0,0,6,19,109,11,143,0,4,4,4,18,0,36,0,3,10,19,10,0,37,0,0,9,16,21,4,50,21,5,95,30,49,12,222,0,0,10,17,73,11,111,24,9,68,72,105,20,298,32,38,98,24,35,0,227,43,16,123,64,98,6,353,6,5,19,6,37,3,67,3,0,9,6,174,4,205,7,0,6,12,106,30,167,169,106,643,493,2662,232,4309,5,6,37,21,62,10,149,0,0,0,0,0,0,0,3,4,32,27,86,17,167,0,0,0,0,7,0,9,0,0,10,20,28,9,74,0,0,9,6,22,8,41,9,7,54,66,201,33,367,4,3,50,55
Bellingen (A),10600,3,0,24,19,70,12,129,0,0,0,3,12,0,19,0,0,11,23,89,6,128,0,0,0,3,13,0,14,0,0,20,15,230,10,279,0,0,4,4,19,0,36,3,0,18,10,55,4,91,0,0,9,15,54,9,86,0,0,3,4,50,7,67,3,0,6,6,6,3,22,0,0,10,3,5,0,23,0,0,6,6,16,0,27,11,3,46,19,12,4,98,3,0,3,7,37,9,63,5,3,31,18,36,0,97,18,19,74,21,12,0,139,12,4,53,22,52,5,154,0,0,13,7,9,3,31,3,0,9,0,73,0,80,0,0,10,4,29,11,56,74,41,347,214,876,84,1634,3,0,12,14,25,0,59,0,0,0,0,0,0,3,0,0,7,8,6,5,22,0,0,0,0,0,0,0,0,0,11,3,17,4,30,0,0,3,7,3,0,11,4,3,21,24,60,6,126,3,4,23,19
Berrigan (A),10650,0,0,34,45,134,20,238,0,0,0,0,0,0,0,0,0,8,9,85,4,112,0,0,0,0,14,0,24,0,0,8,4,106,4,122,0,0,0,4,34,0,38,0,0,8,0,34,0,43,0,0,5,13,29,10,58,0,0,0,10,35,3,56,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,3,3,0,11,6,4,0,22,0,0,0,0,11,0,10,4,0,7,13,25,3,61,0,4,27,6,5,3,42,7,0,13,7,13,3,42,0,0,0,0,5,3,10,0,0,5,5,55,4,69,0,0,0,3,25,5,37,20,9,133,129,621,76,989,3,3,25,14,24,8,73,0,0,0,0,0,0,0,0,0,3,5,26,3,35,0,0,5,0,0,0,8,0,0,6,5,6,0,17,0,0,0,0,6,6,14,0,0,5,8,46,10,72,0,0,3,18
Blacktown (C),10750,13,0,43,31,72,10,159,11,0,24,22,47,4,121,444,62,1272,888,2604,218,5491,122,15,177,132,346,15,811,238,27,771,662,4679,267,6648,347,41,788,469,1019,99,2768,421,65,1036,717,1456,178,3867,130,11,484,495,695,111,1930,488,82,1155,942,1804,304,4773,301,49,667,289,297,62,1664,675,113,1275,525,459,114,3167,66,18,151,140,262,27,673,967,149,1969,633,520,142,4391,141,14,393,316,624,82,1577,511,121,1160,814,1126,132,3878,594,131,906,199,288,61,2184,543,82,1401,537,695,129,3386,44,5,117,101,201,21,498,133,36,343,268,1631,83,2496,221,30,570,439,1290,488,3034,6420,1065,14720,8622,20133,2555,53500,13,4,38,20,37,9,118,5,0,17,3,6,4,40,175,27,777,406,554,139,2078,32,6,89,42,50,14,228,78,8,292,259,346,49,1032,163,29,550,275,429,76,1516,291,60,1179,781,1290,217,3807,88,21,420,366
Bland (A),10800,0,0,26,30,158,33,244,4,4,19,12,72,8,113,0,0,3,0,32,0,35,0,0,0,0,9,0,7,0,0,0,0,63,4,71,0,0,3,4,13,0,16,0,0,0,0,31,8,37,0,0,0,4,12,0,11,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,11,5,5,0,20,0,0,0,0,0,5,3,0,0,0,12,30,0,50,0,4,15,0,3,0,22,0,0,4,4,4,0,17,0,0,0,0,0,0,0,0,0,3,0,38,0,46,0,0,3,0,23,10,32,9,10,95,72,521,63,763,3,0,25,14,48,11,101,0,0,4,3,9,0,21,0,0,4,3,0,0,8,0,0,0,0,0,0,0,0,0,0,3,4,0,6,0,0,0,0,3,0,10,0,0,3,6,36,10,55,0,0,8,4
