lga_name_2016,lga_code_2016,vfdif_sa2_nt_indst_nsp,vfdif_sa2_nt_totm,vfdif_sa2_nt_totf,vfdif_sa2_nt_totp,vfdif_sa2_act_indig_m,vfdif_sa2_act_indig_f,vfdif_sa2_act_indig_p,vfdif_sa2_act_nonind_m,vfdif_sa2_act_nonind_f,vfdif_sa2_act_nonind_p,vfdif_sa2_act_indst_nsm,vfdif_sa2_act_indst_nsf,vfdif_sa2_act_indst_nsp,vfdif_sa2_act_totm,vfdif_sa2_act_totf,vfdif_sa2_act_totp,vfdif_sa2_ot_indig_m,vfdif_sa2_ot_indig_f,vfdif_sa2_ot_indig_p,vfdif_sa2_ot_nonind_m,vfdif_sa2_ot_nonind_f,vfdif_sa2_ot_nonind_p,vfdif_sa2_ot_indst_nsm,vfdif_sa2_ot_indst_nsf,vfdif_sa2_ot_indst_nsp,vfdif_sa2_ot_totm,vfdif_sa2_ot_totf,vfdif_sa2_ot_totp,vfdif_sa2_t_indig_m,vfdif_sa2_t_indig_f,vfdif_sa2_t_indig_p,vfdif_sa2_t_nonind_m,vfdif_sa2_t_nonind_f,vfdif_sa2_t_nonind_p,vfdif_sa2_t_indst_nsm,vfdif_sa2_t_indst_nsf,vfdif_sa2_t_indst_nsp,vfdif_sa2_t_totm,vfdif_sa2_t_totf,vfdif_sa2_t_totp,vis_tot_vis_indig_m,vis_tot_vis_indig_f,vis_tot_vis_indig_p,vis_tot_vis_nonind_m,vis_tot_vis_nonind_f,vis_tot_vis_nonind_p,vis_tot_vis_indigstat_nsm,vis_tot_vis_indigstat_nsf,vis_tot_vis_indigstat_nsp,vis_tot_visitors_totm,vis_tot_visitors_totf,vis_tot_visitors_totp,lsah_eng_onl_indig_m,lsah_eng_onl_indig_f,lsah_eng_onl_indig_p,lsah_eng_onl_nonind_m,lsah_eng_onl_nonind_f,lsah_eng_onl_nonind_p,lsah_eng_on_ind_sta_nsm,lsah_eng_on_ind_sta_nsf,lsah_eng_on_ind_sta_nsp,lsah_eng_only_totm,lsah_eng_only_totf,lsah_eng_only_totp,lsah_aus_ind_lang_ind_m,lsah_aus_ind_lang_ind_f,lsah_aus_ind_lang_ind_p,lsah_aus_ind_lan_no_ind_m,lsah_aus_ind_lan_no_ind_f,lsah_aus_ind_lan_no_ind_p,lsh_aus_ind_lan_indst_nsm,lsh_aus_ind_lan_indst_nsf,lsh_aus_ind_lan_indst_nsp,lsh_austn_indig_lang_totm,lsh_austn_indig_lang_totf,lsh_austn_indig_lang_totp,saindl_se_nw_na_in_m,saindl_se_nw_na_in_f,saindl_se_nw_na_in_p,saindl_se_nw_na_no_in_m,saindl_se_nw_na_no_in_f,saindl_se_nw_na_no_in_p,saindl_se_nw_na_in_st_nsm,saindl_se_nw_na_in_st_nsf,saindl_se_nw_na_in_st_nsp,saindl_se_nw_na_totm,saindl_se_nw_na_totf,saindl_se_nw_na_totp,saindl_se_vw_wel_in_m,saindl_se_vw_wel_in_f,saindl_se_vw_wel_in_p,saindl_se_vw_we_no_in_m,saindl_se_vw_we_no_in_f,saindl_se_vw_we_no_in_p,saindl_se_vw_we_i_st_nsm,saindl_se_vw_we_i_st_nsf,saindl_se_vw_we_i_st_nsp,saindl_se_vw_we_totm,saindl_se_vw_we_totf,saindl_se_vw_we_totp,auabrigtrrl_indig_m,auabrigtrrl_indig_f,auabrigtrrl_indig_p,auabrigtrrl_no_ind_m,auabrigtrrl_no_ind_f,auabrigtrrl_no_ind_p,auabrigtrrl_indst_nsm,auabrigtrrl_indst_nsf,auabrigtrrl_indst_nsp,auabrigtrrl_totm,auabrigtrrl_totf,auabrigtrrl_totp,apaei_0_4_ind_m,apaei_0_4_ind_f,apaei_0_4_ind_p,apaei_0_4_no_ind_m,apaei_0_4_no_ind_f,apaei_0_4_no_ind_p,apaei_0_4_in_st_nsm,apaei_0_4_in_st_nsf,apaei_0_4_in_st_nsp,apaei_0_4_totm,apaei_0_4_totf,apaei_0_4_totp,apaei_5_14_ind_m,apaei_5_14_ind_f,apaei_5_14_ind_p,apaei_5_14_no_in_m,apaei_5_14_no_in_f,apaei_5_14_no_in_p,apaei_5_14_in_st_nsm,apaei_5_14_in_st_nsf,apaei_5_14_in_st_nsp,apaei_5_14_totm,apaei_5_14_totf,apaei_5_14_totp,apaei_15_19_ind_m,apaei_15_19_ind_f,apaei_15_19_ind_p,apaei_15_19_no_in_m,apaei_15_19_no_in_f,apaei_15_19_no_in_p,apaei_15_19_i_st_nsm,apaei_15_19_i_st_nsf,apaei_15_19_i_st_nsp,apaei_15_19_totm,apaei_15_19_totf,apaei_15_19_totp,apaei_20_24_ind_m,apaei_20_24_ind_f,apaei_20_24_ind_p,apaei_20_24_no_ind_m,apaei_20_24_no_ind_f,apaei_20_24_no_ind_p,apaei_20_24_in_st_nsm,apaei_20_24_in_st_nsf,apaei_20_24_in_st_nsp,apaei_20_24_totm,apaei_20_24_totf,apaei_20_24_totp,apaei_25ov_ind_m,apaei_25ov_ind_f,apaei_25ov_ind_p,apaei_25ov_no_ind_m,apaei_25ov_no_ind_f,apaei_25ov_no_ind_p,apaei_25ov_in_st_nsm,apaei_25ov_in_st_nsf,apaei_25ov_in_st_nsp,apaei_25ov_totm,apaei_25ov_totf,apaei_25ov_totp,hysc_y12_e_ind_m,hysc_y12_e_ind_f,hysc_y12_e_ind_p,hysc_y12_e_no_in_m,hysc_y12_e_no_in_f,hysc_y12_e_no_in_p,hysc_y12_e_in_st_nsm,hysc_y12_e_in_st_nsf,hysc_y12_e_in_st_nsp,hysc_y12_e_totm,hysc_y12_e_totf,hysc_y12_e_totp,hysc_y11_e_ind_m,hysc_y11_e_ind_f,hysc_y11_e_ind_p,hysc_y11_e_no_in_m,hysc_y11_e_no_in_f,hysc_y11_e_no_in_p,hysc_y11_e_in_s_nsm,hysc_y11_e_in_s_nsf,hysc_y11_e_in_s_nsp,hysc_y11_e_totm,hysc_y11_e_totf,hysc_y11_e_totp,hysc_y10_e_ind_m,hysc_y10_e_ind_f,hysc_y10_e_ind_p,hysc_y10_e_no_in_m
Albury (C),10050,0,3,0,3,3,0,3,23,18,40,9,4,16,32,24,55,0,0,0,0,0,0,0,0,0,0,0,0,39,40,82,1198,1037,2229,324,223,545,1559,1300,2853,43,40,85,1226,1070,2294,324,226,553,1590,1336,2930,638,676,1317,20447,21949,42396,193,211,403,21282,22839,44120,7,17,31,0,3,3,3,0,3,13,24,35,0,0,0,0,0,0,0,0,0,0,3,3,10,19,30,0,0,0,3,0,3,13,17,31,8,11,19,0,0,0,3,0,3,9,8,19,18,15,32,312,323,633,3,0,3,328,335,669,163,172,340,2732,2661,5400,32,32,61,2933,2868,5798,52,48,108,1032,1102,2136,3,9,19,1095,1167,2258,7,14,21,403,628,1031,0,0,5,412,640,1046,18,32,52,595,1102,1697,3,3,4,618,1140,1754,96,110,214,7535,9257,16792,46,53,97,7677,9423,17096,44,54,96,2122,2157,4277,18,14,37,2183,2231,4413,138,138,272,5051
Armidale Regional (A),10130,0,3,0,9,0,0,3,8,11,18,8,3,9,19,12,30,0,0,0,0,0,0,0,0,0,0,0,0,77,80,157,865,899,1770,166,180,348,1114,1159,2269,96,96,186,896,940,1838,170,180,351,1162,1212,2374,1012,1063,2069,10888,11744,22629,120,113,235,12024,12911,24937,14,10,15,0,0,0,0,0,0,14,10,15,0,0,0,0,0,0,0,0,0,0,0,0,9,10,19,0,0,0,0,0,0,9,10,19,6,6,18,0,0,0,0,0,0,7,6,19,39,32,73,190,163,360,0,3,4,230,200,433,231,225,459,1441,1437,2880,16,15,27,1691,1675,3368,75,78,150,830,937,1768,12,0,17,922,1015,1936,32,43,76,661,776,1446,0,3,5,698,827,1518,29,34,65,619,881,1497,6,6,11,651,924,1576,162,224,383,5455,6363,11818,31,37,72,5650,6621,12270,70,67,134,625,664,1286,10,3,13,698,731,1431,202,203,411,2347
Ballina (A),10250,0,0,7,8,0,0,0,13,9,23,3,0,5,18,15,32,0,0,0,0,0,0,0,0,0,0,0,0,39,39,78,973,1004,1978,119,103,221,1135,1145,2279,42,39,86,1002,1037,2036,123,104,224,1165,1180,2345,624,669,1295,17155,18434,35589,163,161,330,17944,19268,37214,7,0,9,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,3,12,0,0,0,0,0,0,7,3,12,3,0,5,0,0,0,0,0,0,3,4,6,20,22,38,243,256,506,3,0,6,270,280,548,148,141,287,2163,1940,4106,26,26,56,2338,2113,4444,45,43,83,845,809,1657,7,8,16,900,864,1758,3,11,16,172,233,406,0,0,0,178,252,423,20,48,71,394,829,1218,4,5,13,419,881,1302,134,149,289,6655,7496,14149,36,43,77,6826,7684,14511,56,52,111,1143,1145,2289,10,10,21,1205,1213,2414,136,159,292,4504
Balranald (A),10300,0,0,0,0,0,0,0,0,4,3,0,0,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,155,96,249,27,29,60,193,125,323,6,7,13,155,97,255,30,29,61,195,128,327,97,93,195,865,805,1673,17,14,27,984,915,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,16,22,0,0,0,13,16,24,26,29,54,117,112,227,4,3,6,153,143,288,9,7,17,37,30,64,0,0,0,49,36,80,0,0,0,3,3,10,0,0,0,3,8,10,0,8,6,5,21,26,0,0,0,10,29,37,6,17,25,199,276,483,3,3,9,215,299,514,3,8,9,98,100,195,0,0,0,95,108,208,17,14,32,222
Bathurst Regional (A),10470,0,9,3,10,0,0,0,17,14,34,7,7,9,18,22,43,0,0,0,0,0,0,0,0,0,0,0,0,80,39,121,880,805,1691,165,159,322,1124,1007,2127,86,47,129,913,831,1746,166,162,323,1160,1034,2198,952,1019,1971,16470,17111,33581,178,179,358,17597,18308,35906,16,13,29,0,0,0,0,0,0,18,13,32,0,4,4,0,0,0,0,0,0,0,4,4,11,10,25,0,0,0,0,0,0,14,10,25,6,10,18,0,0,0,0,0,0,6,10,18,32,28,60,283,279,557,4,3,3,319,306,626,239,256,496,2393,2200,4590,33,29,61,2662,2483,5147,68,54,124,986,1014,2001,15,9,22,1072,1079,2151,13,31,42,485,634,1124,3,4,8,503,673,1178,34,67,102,503,849,1346,0,4,6,533,921,1457,168,231,397,6092,7444,13534,43,51,95,6296,7729,14024,73,68,139,1073,962,2037,15,12,25,1155,1042,2202,180,191,371,4436
Bega Valley (A),10550,4,5,5,11,0,0,0,95,91,185,15,7,26,112,100,204,0,0,0,0,0,0,0,0,0,0,0,0,35,28,67,1025,979,2005,162,97,262,1226,1104,2331,40,32,72,1067,1005,2073,166,97,265,1267,1137,2404,488,504,986,13896,14455,28355,206,210,423,14594,15172,29765,3,7,8,0,0,0,0,0,0,3,7,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,3,4,9,14,0,0,0,0,0,0,4,9,14,15,9,29,178,168,344,0,3,3,195,181,379,117,130,249,1570,1472,3046,35,29,68,1729,1634,3354,34,31,63,543,545,1093,17,7,21,590,587,1175,6,11,13,86,115,206,3,0,3,100,129,223,3,22,27,180,466,645,4,3,7,189,492,681,81,95,177,4680,5587,10267,42,55,101,4808,5741,10548,35,31,68,1243,1315,2560,14,8,26,1297,1356,2652,88,107,196,3861
Bellingen (A),10600,0,0,6,3,0,0,0,5,3,6,0,0,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,9,12,28,322,353,679,12,24,40,350,396,737,9,12,28,326,369,700,15,25,43,355,407,762,209,221,430,5251,5583,10831,84,98,187,5548,5904,11446,3,10,7,0,3,6,0,0,0,4,7,19,0,0,0,0,0,0,0,0,0,0,0,0,3,10,7,0,3,6,0,0,0,4,7,19,0,5,5,3,0,3,0,0,0,7,5,11,5,8,15,77,77,160,0,0,0,83,88,175,45,50,93,637,645,1280,16,19,40,700,721,1419,12,20,29,252,234,486,6,3,8,271,249,523,3,4,6,31,51,84,0,0,3,36,54,90,4,12,14,102,261,364,3,6,7,108,276,383,36,51,81,1797,2282,4082,23,34,57,1853,2365,4217,12,14,23,379,348,724,3,3,14,393,366,760,58,46,107,1426
Berrigan (A),10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,253,172,422,50,24,75,303,202,504,4,3,7,260,178,436,50,26,72,307,206,517,94,98,188,3543,3548,7092,48,51,99,3685,3690,7377,3,5,8,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,3,5,8,3,0,3,0,0,0,0,0,0,3,0,3,0,6,6,55,59,115,0,3,0,53,64,121,20,23,47,398,391,794,10,3,11,430,419,851,8,4,11,127,134,256,0,0,0,128,140,268,0,0,0,18,27,44,0,0,0,18,26,41,4,0,0,47,105,154,0,3,3,52,115,164,10,19,35,879,1142,2021,3,11,12,897,1171,2069,7,9,11,423,469,896,10,6,18,441,483,918,22,12,33,923
Blacktown (C),10750,0,3,3,9,0,3,3,20,22,40,8,0,7,23,30,51,3,0,3,0,0,0,0,0,0,3,0,3,229,173,401,3121,2788,5912,373,245,620,3725,3207,6931,247,182,428,3329,2987,6317,381,258,639,3955,3430,7382,4350,4554,8900,85601,85095,170694,667,662,1329,90618,90305,180926,12,21,31,0,0,3,0,0,0,18,22,40,0,0,3,0,0,0,0,0,0,0,3,5,8,19,28,0,0,0,0,0,0,12,19,35,11,16,25,0,0,0,0,0,0,11,16,25,152,139,287,2642,2554,5190,18,17,31,2811,2705,5519,1074,1030,2096,22281,20791,43075,177,181,354,23530,22000,45530,331,304,639,8675,8391,17064,72,51,123,9074,8750,17823,60,76,135,4218,4160,8372,27,30,53,4298,4264,8559,75,159,238,4612,7114,11723,13,31,46,4702,7309,12005,704,886,1589,69198,72565,141761,315,310,623,70206,73768,143974,276,352,630,7509,6877,14381,58,41,97,7837,7274,15112,929,985,1917,25152
Bland (A),10800,0,0,0,0,0,0,0,3,9,11,0,0,0,3,9,6,0,0,0,0,0,0,0,0,0,0,0,0,13,4,14,207,132,333,63,29,86,275,164,438,15,4,14,209,136,352,63,29,86,286,170,454,120,134,253,2415,2379,4792,28,38,69,2562,2550,5108,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,7,10,34,42,73,0,0,0,34,46,81,31,46,76,344,336,684,0,6,9,381,388,769,10,10,18,92,101,197,0,0,3,102,115,217,0,0,0,10,23,37,0,0,0,13,22,37,0,0,0,22,68,92,0,0,0,25,67,96,14,18,30,536,740,1277,6,5,13,555,763,1325,10,9,21,145,140,286,3,4,9,161,150,310,21,27,55,830
