lga_name_2016,lga_code_2016,oh_r_tot_ds_sh,oh_r_tot_ds_sdrtht,oh_r_tot_ds_fa,oh_r_tot_ds_od_c,oh_r_tot_ds_od_ch,oh_r_tot_ds_od_ih_t_so,oh_r_tot_od_hf_a_so,oh_r_tot_ds_od_tot,oh_r_tot_ds_ns,oh_r_tot_ds_tot,oh_ott_ds_sh,oh_ott_ds_sdrtht,oh_ott_ds_fa,oh_ott_ds_od_c,oh_ott_ds_od_ch,oh_ott_ds_od_ih_t_so,oh_ott_od_hf_a_so,oh_ott_ds_od_tot,oh_ott_ds_ns,oh_ott_ds_tot,oh_t_ns_ds_sh,oh_t_ns_ds_sdrtht,oh_t_ns_ds_fa,oh_t_ns_ds_od_c,oh_t_ns_ds_od_ch,oh_t_ns_ds_od_ih_t_so,oh_t_ns_od_hf_a_so,oh_t_ns_ds_od_tot,oh_t_ns_ds_ns,oh_t_ns_ds_tot,oh_tot_ds_shouse,oh_tot_ds_sdrtht,oh_tot_ds_f_u_or_a,oh_tot_ds_od_c,oh_tot_ds_od_ch,oh_tot_ds_od_ih_t_so,oh_tot_ds_od_hf_a_to_a_s_o,oh_tot_ds_od_tot,oh_tot_ds_ns,oh_tot_tot,t_h_oo_ds_sh,t_h_oo_ds_sdrtht,t_h_oo_ds_fa,t_h_oo_ds_od_c,t_h_oo_ds_od_ch,t_h_oo_ds_od_ih_t_so,t_h_oo_od_hf_a_so,t_h_oo_ds_od_tot,t_h_oo_ds_ns,t_h_oo_ds_tot,t_h_m_ds_sh,t_h_m_ds_sdrtht,t_h_m_ds_fa,t_h_m_ds_od_c,t_h_m_ds_od_ch,t_h_m_ds_od_ih_t_so,t_h_m_od_hf_a_so,t_h_m_ds_od_tot,t_h_m_ds_ns,t_h_m_ds_tot,t_h_rrea_ds_sh,t_h_rrea_ds_sdrtht,t_h_rrea_ds_fa,t_h_rrea_ds_od_c,t_h_rrea_ds_od_ch,t_h_rrea_ds_od_ih_t_so,t_h_rrea_od_hf_a_so,t_h_rrea_ds_od_tot,t_h_rrea_ds_ns,t_h_rrea_ds_tot,t_h_rha_ds_sh,t_h_rha_ds_sdrtht,t_h_rha_ds_fa,t_h_rha_ds_od_c,t_h_rha_ds_od_ch,t_h_rha_ds_od_ih_t_so,t_h_rha_od_hf_a_so,t_h_rha_ds_od_tot,t_h_rha_ds_ns,t_h_rha_ds_tot,t_h_r_psh_ds_sh,t_h_r_psh_ds_sdrtht,t_h_r_psh_ds_fa,t_h_r_psh_ds_od_c,t_h_r_psh_ds_od_ch,t_h_r_psh_ds_od_ih_t_so,t_h_r_psh_od_hf_a_so,t_h_r_psh_ds_od_tot,t_h_r_psh_ds_ns,t_h_r_psh_ds_tot,t_h_r_hcc_ds_sh,t_h_r_hcc_ds_sdrtht,t_h_r_hcc_ds_fa,t_h_r_hcc_ds_od_c,t_h_r_hcc_ds_od_ch,t_h_r_hcc_ds_od_ih_t_so,t_h_r_hcc_od_hf_a_so,t_h_r_hcc_ds_od_tot,t_h_r_hcc_ds_ns,t_h_r_hcc_ds_tot,t_h_r_olt_ds_sh,t_h_r_olt_ds_sdrtht,t_h_r_olt_ds_fa,t_h_r_olt_ds_od_c,t_h_r_olt_ds_od_ch,t_h_r_olt_ds_od_ih_t_so,t_h_r_olt_od_hf_a_so,t_h_r_olt_ds_od_tot,t_h_r_olt_ds_ns,t_h_r_olt_ds_tot,t_h_r_lns_ds_sh,t_h_r_lns_ds_sdrtht,t_h_r_lns_ds_fa,t_h_r_lns_ds_od_c,t_h_r_lns_ds_od_ch,t_h_r_lns_ds_od_ih_t_so,t_h_r_lns_od_hf_a_so,t_h_r_lns_ds_od_tot,t_h_r_lns_ds_ns,t_h_r_lns_ds_tot,t_h_r_tot_ds_sh,t_h_r_tot_ds_sdrtht,t_h_r_tot_ds_fa,t_h_r_tot_ds_od_c,t_h_r_tot_ds_od_ch,t_h_r_tot_ds_od_ih_t_so,t_h_r_tot_od_hf_a_so,t_h_r_tot_ds_od_tot,t_h_r_tot_ds_ns,t_h_r_tot_ds_tot,t_h_ott_ds_sh,t_h_ott_ds_sdrtht,t_h_ott_ds_fa,t_h_ott_ds_od_c,t_h_ott_ds_od_ch,t_h_ott_ds_od_ih_t_so,t_h_ott_od_hf_a_so,t_h_ott_ds_od_tot,t_h_ott_ds_ns,t_h_ott_ds_tot,t_h_t_ns_ds_sh,t_h_t_ns_ds_sdrtht,t_h_t_ns_ds_fa,t_h_t_ns_ds_od_c,t_h_t_ns_ds_od_ch,t_h_t_ns_ds_od_ih_t_so,t_h_t_ns_od_hf_a_so,t_h_t_ns_ds_od_tot,t_h_t_ns_ds_ns,t_h_t_ns_ds_tot,t_h_tot_ds_sh,t_h_tot_ds_sdrtht,t_h_tot_ds_fa,t_h_tot_ds_od_c,t_h_tot_ds_od_ch,t_h_tot_ds_od_ih_t_so,t_h_tot_od_hf_a_so,t_h_tot_ds_od_tot,t_h_tot_ds_ns,t_h_tot_ds_tot
Albury (C),10050,3471,2318,286,7,12,0,16,42,32,6149,182,11,0,0,0,0,0,3,6,202,349,118,24,0,3,0,0,3,3,499,15104,3223,359,24,41,0,23,95,58,18836,5361,458,22,13,25,0,8,45,10,5897,5935,325,20,0,0,0,5,7,12,6289,2371,1882,261,0,0,0,12,17,10,4546,500,174,19,0,0,0,0,0,10,695,714,246,18,0,0,0,6,10,13,1002,61,65,0,0,0,0,0,0,3,133,83,20,4,8,6,0,0,15,0,135,51,15,3,0,0,0,0,4,0,64,3779,2404,306,7,12,0,19,42,39,6575,187,11,0,0,0,0,0,3,6,209,374,125,28,0,3,0,0,3,3,528,15634,3324,376,24,41,0,25,96,68,19495
Armidale Regional (A),10130,2017,641,419,0,13,0,8,19,37,3135,65,3,9,0,0,0,0,0,4,86,172,26,22,0,3,0,0,5,8,237,8009,823,480,11,16,3,14,47,81,9443,3386,96,20,7,7,0,4,20,23,3536,2588,53,16,0,0,0,0,3,13,2669,1342,544,263,0,0,3,5,6,19,2179,286,95,117,0,0,0,0,0,0,495,554,60,50,0,4,0,0,5,10,673,59,14,39,0,0,0,0,0,0,115,127,3,9,0,6,0,0,10,4,147,76,9,3,0,0,0,0,3,0,94,2445,729,476,3,10,0,6,23,40,3704,65,3,9,0,0,0,0,0,4,87,202,30,24,0,3,0,0,5,8,274,8689,910,540,17,19,3,11,51,84,10276
Ballina (A),10250,1903,1611,495,45,78,0,14,133,28,4171,117,102,3,0,0,0,0,4,0,226,269,142,17,15,10,0,3,30,18,475,10782,3476,750,163,282,3,27,475,101,15586,5123,1056,137,104,190,0,9,304,26,6644,3557,594,104,5,3,0,4,11,24,4293,1181,993,381,0,0,0,9,13,16,2587,193,316,46,0,0,0,0,0,0,559,597,276,90,3,17,0,4,30,14,1005,54,69,11,0,0,0,0,0,0,129,64,26,3,40,52,0,0,93,0,184,55,29,0,0,3,0,0,6,0,91,2144,1705,532,49,78,0,11,137,31,4547,120,103,3,0,0,0,0,4,0,231,287,152,17,15,17,0,3,34,22,507,11223,3612,798,165,285,3,27,483,105,16220
Balranald (A),10300,153,12,19,6,0,0,0,4,0,194,8,0,0,0,0,0,0,0,0,8,24,0,0,0,0,0,0,0,0,30,666,22,26,14,0,0,4,16,0,728,326,3,0,3,0,0,0,3,0,333,191,0,0,0,0,0,0,0,0,198,33,4,13,0,0,0,0,0,0,48,18,3,8,0,0,0,0,0,0,28,86,7,0,0,0,0,5,5,0,96,9,0,3,0,0,0,0,0,0,13,40,0,10,6,0,0,0,6,0,56,10,0,0,0,0,0,0,0,0,7,190,12,29,6,0,0,5,7,0,239,8,0,0,0,0,0,0,0,0,8,29,0,0,0,0,0,0,0,0,28,734,22,34,14,0,0,7,19,3,807
Bathurst Regional (A),10470,2492,863,431,3,3,0,10,20,75,3879,56,8,3,0,0,0,0,0,8,87,226,33,18,0,0,0,0,0,49,323,11416,1343,551,18,3,3,21,37,151,13495,4322,282,54,8,0,3,4,14,14,4691,4632,165,38,5,0,0,0,4,7,4854,1719,674,341,0,0,3,8,11,6,2759,354,121,57,0,0,0,0,0,0,537,660,122,46,0,0,0,5,4,7,836,36,14,3,0,0,0,0,0,54,107,65,16,9,0,0,0,0,0,4,94,62,11,10,0,0,0,0,3,0,84,2896,955,462,4,3,3,11,24,75,4420,64,12,3,0,0,0,0,0,8,87,246,46,20,0,0,0,0,0,49,363,12166,1460,590,19,3,6,21,41,155,14411
Bega Valley (A),10550,1793,555,302,10,38,9,20,71,28,2749,70,42,25,0,0,0,0,0,4,142,297,56,27,8,6,3,3,19,8,401,10550,1278,529,63,122,40,41,264,127,12749,5204,491,123,41,67,24,11,142,52,6017,3363,142,58,7,3,5,8,28,38,3631,932,360,195,0,16,3,5,25,9,1515,202,77,32,0,0,0,0,0,3,311,656,115,57,7,0,3,5,18,12,853,23,30,34,0,0,0,0,0,0,81,84,17,5,6,19,0,4,26,3,138,78,12,6,0,0,0,0,3,3,103,1971,599,326,11,38,10,19,71,32,2999,73,44,25,0,0,0,0,0,4,146,316,56,24,8,6,3,6,20,8,426,10934,1336,553,62,122,40,46,270,131,13222
Bellingen (A),10600,890,112,91,16,4,0,3,24,10,1138,30,0,0,0,3,0,0,3,0,39,104,10,8,4,0,0,0,4,5,129,4283,228,128,53,26,3,5,85,47,4767,2100,70,23,31,16,0,0,53,17,2259,1262,29,5,0,0,0,0,0,9,1311,414,53,55,0,0,0,3,3,4,535,54,23,11,0,0,0,0,0,0,86,391,39,24,3,6,0,0,10,8,464,22,3,0,0,0,0,0,0,0,26,44,4,4,16,4,0,0,14,0,68,36,0,3,0,0,0,0,3,0,43,965,117,98,20,4,0,3,33,10,1222,30,0,0,0,3,0,0,3,0,39,109,13,8,4,0,0,0,4,5,134,4466,233,136,53,26,3,3,90,47,4970
Berrigan (A),10650,560,68,82,5,11,0,18,33,6,746,23,0,0,0,0,0,5,7,0,29,109,3,11,3,7,0,0,9,0,135,2809,102,118,30,50,0,40,120,6,3154,1331,23,26,15,27,0,12,61,0,1441,831,9,3,0,5,0,7,8,4,857,245,29,52,0,0,0,9,5,0,334,16,3,3,0,0,0,0,0,0,17,232,20,15,0,0,0,4,6,0,278,5,11,7,0,0,0,0,0,0,27,70,9,4,5,10,0,0,17,0,106,32,0,0,0,0,0,0,0,0,32,597,77,85,5,11,0,18,33,6,795,23,0,0,0,0,0,5,7,0,29,115,3,11,3,7,0,0,9,0,142,2904,107,126,30,50,0,40,120,6,3265
Blacktown (C),10750,19523,6489,3722,10,45,51,77,175,160,30080,359,118,46,0,3,0,0,5,3,533,2018,371,198,3,47,0,3,54,64,2702,75458,15812,5095,24,186,63,152,433,334,97129,20236,2054,246,19,90,0,19,137,26,22698,34500,6868,897,0,3,6,57,64,83,42411,12647,3855,2507,3,4,33,47,88,97,19197,4709,1989,945,0,0,0,3,4,7,7650,3233,679,253,0,3,17,24,41,43,4258,213,174,72,0,0,0,0,0,4,461,412,108,37,7,37,5,3,53,9,618,283,52,37,0,3,0,0,3,3,378,21499,6857,3850,5,46,56,77,197,166,32561,394,126,46,0,3,0,0,5,3,572,2139,388,214,3,53,0,3,58,66,2858,78774,16286,5247,30,195,67,161,452,346,101107
Bland (A),10800,367,3,44,0,0,0,7,7,13,432,15,0,0,0,0,0,0,0,0,18,76,0,5,0,0,0,0,0,9,89,1954,9,53,3,0,0,11,10,37,2067,989,3,4,0,0,0,4,4,12,1015,554,0,0,0,0,0,3,3,10,565,92,0,22,0,0,0,0,0,3,122,32,0,3,0,0,0,0,0,0,28,173,0,3,0,0,0,3,3,7,181,3,0,8,0,0,0,0,0,0,15,87,0,6,0,0,0,3,3,3,98,41,0,3,0,0,0,0,0,0,44,423,3,44,0,0,0,3,3,11,492,17,0,0,0,0,0,0,0,0,16,82,0,5,0,0,0,0,0,9,94,2066,9,56,3,0,0,10,13,36,2185
Blayney (A),10850,479,20,51,0,0,0,6,7,3,562,12,0,0,0,0,0,0,0,0,16,70,0,3,0,0,0,0,3,26,109,2393,33,55,0,3,4,17,26,29,2537,983,4,0,0,0,0,4,11,0,999,910,3,0,0,0,0,4,3,3,924,270,11,49,0,0,0,0,0,0,331,39,0,4,0,0,0,0,0,0,41,160,4,0,0,0,0,3,3,3,172,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,3,0,35,24,0,0,0,0,0,0,0,0,26,517,20,54,0,0,0,6,7,3,604,15,0,0,0,0,0,0,0,0,16,81,0,3,0,0,0,0,3,26,115,2507,34,58,0,3,4,16,27,29,2656
Blue Mountains (C),10900,3827,636,432,4,0,0,15,24,44,4963,107,131,5,0,0,0,0,0,0,248,468,49,31,0,0,0,4,5,20,570,25701,1363,562,9,3,7,30,51,109,27790,10714,423,43,3,0,4,7,10,27,11218,11087,130,44,0,0,4,8,10,20,11295,2636,327,261,0,0,0,10,10,17,3255,161,143,87,0,0,0,0,0,0,397,1076,87,46,0,0,0,0,3,17,1224,57,85,49,0,0,0,0,0,4,197,69,8,7,0,0,0,3,5,10,93,83,6,3,0,0,0,0,0,4,100,4073,663,457,4,0,0,19,21,44,5267,112,136,4,0,0,0,0,0,0,251,489,50,31,0,0,0,4,5,20,595,26482,1404,582,9,3,7,32,53,109,28630
Bogan (A),10950,164,21,21,0,0,0,3,5,0,212,3,0,0,0,0,0,0,0,0,5,30,0,3,3,0,0,0,3,0,37,722,28,24,6,0,0,7,12,10,793,379,4,0,0,0,0,0,0,4,391,218,0,0,0,0,0,0,0,0,217,47,3,0,0,0,0,0,0,0,50,46,0,4,0,0,0,0,0,0,47,84,4,4,0,0,0,4,4,3,97,12,4,3,0,0,0,0,0,0,16,46,17,7,0,0,0,3,3,0,74,20,0,0,0,0,0,0,0,0,21,246,26,20,0,0,0,3,9,4,306,3,0,0,0,0,0,0,0,0,6,35,0,0,3,0,0,0,3,0,45,883,33,28,6,0,0,8,14,9,967
Botany Bay (C),11100,861,801,5115,0,0,0,78,84,45,6909,34,19,51,0,0,0,0,0,0,99,149,59,262,0,0,0,6,6,10,486,5334,2074,8417,0,0,5,111,119,76,16011,2453,453,1051,0,0,3,11,10,10,3976,1915,774,1972,0,0,3,14,16,10,4681,557,285,3752,0,0,0,62,60,29,4689,105,455,795,0,0,0,0,0,0,1360,201,73,513,0,0,0,22,23,15,815,25,14,38,0,0,0,0,0,0,83,17,25,98,0,0,0,3,3,4,145,19,14,36,0,0,0,0,0,0,65,931,867,5228,0,0,0,82,87,45,7158,36,19,51,0,0,0,0,0,0,103,152,64,270,0,0,0,6,6,10,497,5483,2175,8571,0,0,5,114,118,76,16421
Bourke (A),11150,131,12,24,0,0,0,4,8,3,173,12,0,0,0,0,0,0,0,0,12,15,0,0,0,0,0,0,4,3,25,463,12,23,12,3,3,9,22,12,529,234,0,0,9,0,3,3,15,5,249,181,0,0,0,0,0,0,3,5,190,30,3,4,0,0,0,0,0,0,37,60,9,7,0,0,0,0,0,0,73,72,0,0,0,0,0,0,0,0,77,32,0,4,0,0,0,0,0,0,34,76,7,11,0,0,0,3,3,0,97,14,0,0,0,0,0,0,0,0,16,285,14,28,0,0,0,4,8,8,337,9,0,0,0,0,0,0,0,0,11,34,0,0,0,0,0,0,3,3,43,746,16,34,12,3,4,6,25,14,831
Brewarrina (A),11200,53,0,17,0,0,0,0,0,0,71,6,0,0,0,0,0,0,0,0,6,16,0,3,0,0,0,3,3,0,21,187,0,18,0,0,3,5,7,4,215,138,0,0,0,0,3,0,4,0,141,42,0,0,0,0,0,0,0,0,48,5,0,0,0,0,0,0,0,0,5,50,0,10,0,0,0,0,0,0,63,34,0,0,0,0,0,0,0,0,37,131,0,11,0,0,0,0,0,0,147,48,0,9,0,0,0,0,0,0,56,16,0,0,0,0,0,0,0,0,17,283,5,38,0,0,0,0,0,0,328,8,0,0,0,0,0,0,0,0,8,28,0,3,0,0,0,3,3,0,36,503,5,36,0,0,3,5,8,4,553
Broken Hill (C),11250,1152,94,130,0,4,0,0,5,8,1388,25,3,7,0,0,0,0,0,0,36,228,8,20,0,0,0,0,0,3,252,6205,149,170,9,3,3,3,17,20,6556,2975,31,9,8,0,0,0,7,7,3026,2099,14,0,0,0,0,3,4,7,2130,556,48,41,0,0,0,0,0,0,652,64,21,24,0,0,0,0,0,0,111,557,29,30,0,0,0,0,0,3,622,17,4,21,0,0,0,0,0,0,44,175,9,20,0,0,0,0,3,3,204,52,0,7,0,0,0,0,0,0,62,1429,112,146,0,4,0,0,5,6,1695,30,3,7,0,0,0,0,0,0,40,256,8,20,3,0,0,0,3,8,293,6792,164,184,8,3,3,3,18,23,7184
