lga_name_2016,lga_code_2016,iad_hhs_with_ind_p,iad_oth_households,iad_tot_households,inad_hhs_with_ind_p,inad_oth_households,inad_tot_households,ia_ns_indig_per,ia_ns_oth_households,ia_ns_tot_households,tot_hholds_w_indig_per,tot_oth_households,tot_tot_households
Albury (C),10050,454,14991,15447,160,3351,3509,43,497,539,662,18836,19495
Armidale Regional (A),10130,511,7587,8102,277,1619,1898,40,233,270,831,9443,10276
Ballina (A),10250,456,12564,13019,152,2553,2701,25,470,495,639,15586,16220
Balranald (A),10300,48,496,542,27,197,227,3,34,32,74,728,807
Bathurst Regional (A),10470,660,10752,11413,207,2399,2601,40,354,394,909,13495,14411
Bega Valley (A),10550,323,10016,10346,127,2325,2452,24,400,424,475,12749,13222
Bellingen (A),10600,160,3763,3921,36,871,911,3,131,140,201,4767,4970
Berrigan (A),10650,73,2315,2387,27,722,746,3,121,129,106,3154,3265
Blacktown (C),10750,2971,82766,85734,843,11565,12404,165,2807,2966,3978,97129,101107
Bland (A),10800,88,1435,1519,24,536,561,8,93,104,117,2067,2185
Blayney (A),10850,97,1908,2000,20,524,544,6,108,113,120,2537,2656
Blue Mountains (C),10900,745,24335,25085,71,2926,2997,22,524,547,843,27790,28630
Bogan (A),10950,120,525,646,52,229,278,4,35,41,177,793,967
Botany Bay (C),11100,312,13147,13454,84,2357,2442,17,502,520,409,16011,16421
Bourke (A),11150,136,382,519,139,128,264,22,22,47,300,529,831
Brewarrina (A),11200,151,152,304,172,40,215,20,18,39,339,215,553
Broken Hill (C),11250,417,4554,4969,177,1750,1931,34,256,286,629,6556,7184
Hilltops (A),13910,265,4716,4983,104,1726,1830,13,244,254,384,6690,7075
Hornsby (A),14000,274,42430,42706,36,3424,3456,10,839,851,322,46690,47010
Hunters Hill (A),14100,25,4025,4049,0,437,440,0,89,86,25,4549,4573
Inner West (A),14170,852,58876,59727,207,6957,7164,33,1876,1911,1091,67711,68796
Inverell (A),14200,342,3864,4209,202,1463,1662,26,209,243,575,5546,6113
Junee (A),14300,84,1320,1403,25,401,428,5,83,89,115,1808,1922
Kempsey (A),14350,715,6805,7522,423,2332,2758,56,313,370,1203,9452,10651
Kiama (A),14400,178,6517,6695,18,853,868,0,152,154,196,7525,7719
Ku-ring-gai (A),14500,100,35708,35812,0,2081,2082,6,580,580,110,38365,38476
Kyogle (A),14550,111,2390,2504,60,859,921,11,100,105,175,3348,3525
Lachlan (A),14600,219,1188,1403,180,531,712,25,63,90,418,1790,2206
Lake Macquarie (C),14650,3034,56389,59422,639,11321,11963,105,1583,1694,3777,69299,73075
Lane Cove (A),14700,50,12361,12409,6,877,884,3,237,235,56,13478,13534
Leeton (A),14750,178,2632,2812,82,839,916,8,131,143,270,3596,3868
Lismore (C),14850,710,12070,12787,229,2682,2914,33,456,495,983,15212,16195
Lithgow (C),14870,389,5258,5646,130,1811,1944,24,241,266,547,7311,7862
Liverpool (C),14900,980,47440,48418,288,8109,8397,61,1914,1972,1325,57461,58786
Liverpool Plains (A),14920,256,1763,2024,142,674,814,15,55,73,418,2496,2916
Lockhart (A),14950,43,800,844,9,245,259,0,27,30,54,1080,1129
Maitland (C),15050,1457,21012,22467,313,3909,4219,63,622,685,1835,25540,27374
Mid-Coast (A),15240,1697,25122,26822,642,7616,8254,119,1046,1162,2449,33781,36233
Mid-Western Regional (A),15270,422,6095,6516,163,1794,1950,18,282,298,599,8168,8768
Moree Plains (A),15300,475,2536,3008,480,811,1287,68,171,244,1020,3522,4545
Mosman (A),15350,33,10001,10036,7,772,773,0,215,215,40,10986,11022
Murray River (A),15520,116,3151,3270,50,1000,1047,7,146,149,173,4293,4470
Murrumbidgee (A),15560,87,887,968,42,306,348,6,34,40,134,1227,1361
Muswellbrook (A),15650,423,3986,4412,145,1025,1165,24,166,187,589,5171,5764
Nambucca (A),15700,370,5194,5570,185,1667,1851,37,228,263,594,7083,7684
Narrabri (A),15750,401,2836,3234,231,989,1218,39,128,172,668,3958,4625
Narrandera (A),15800,160,1322,1486,80,510,587,9,67,72,248,1902,2148
Narromine (A),15850,342,1250,1591,159,482,639,24,71,93,524,1796,2318
Newcastle (C),15900,2219,46297,48509,506,9417,9925,101,1443,1542,2823,57151,59974
North Sydney (A),15950,119,27385,27506,15,1971,1987,6,570,573,141,29924,30068
Northern Beaches (A),15990,651,77709,78362,58,7503,7558,34,1980,2014,743,87197,87940
Oberon (A),16100,55,1304,1353,19,437,460,5,58,62,86,1793,1875
Orange (C),16150,737,10617,11355,286,2615,2897,42,445,485,1067,13670,14735
