lga_name_2016,lga_code_2016,neg_nil_inc_hh_with_ind_psns,neg_nil_inc_other_households,neg_nil_income_tot_hhlds,hi1_149_hhd_with_indig_psns,hi1_149_other_households,hi1_149_tot_hhlds,hi150_299_hhd_with_indig_psns,hi150_299_other_households,hi150_299_tot_hhlds,hi300_399_hhd_with_indig_psns,hi300_399_other_households,hi300_399_tot_hhlds,hi400_499_hhd_with_indig_psns,hi400_499_other_households,hi400_499_tot_hhlds,hi500_649_hhd_with_indig_psns,hi500_649_other_households,hi500_649_tot_hhlds,hi650_799_hhd_with_indig_psns,hi650_799_other_households,hi650_799_tot_hhlds,hi800_999_hh_with_indig_psn,hi800_999_other_households,hi800_999_tot_hhlds,hi1000_1249_hh_with_indig_psn,hi1000_1249_other_households,hi1000_1249_tot_hhlds,hi1250_1499_hh_with_indig_psn,hi1250_1499_other_households,hi1250_1499_tot_hhlds,hi1500_1999_hh_with_indig_psn,hi1500_1999_other_households,hi1500_1999_tot_hhlds,hi2000_2499_hh_with_indig_psn,hi2000_2499_other_households,hi2000_2499_tot_hhlds,hi2500_2999_hh_with_indig_psn,hi2500_2999_other_households,hi2500_2999_tot_hhlds,hi3000_more_hh_with_indig_psn,hi3000_more_other_households,hi3000_more_tot_hhlds,part_inc_st_hh_with_indig_psn,partial_inc_stated_other_hhds,partial_inc_stated_tot_hhlds,all_inc_ns_hh_with_ind_psns,all_income_ns_other_household,all_inc_ns_tot_hhlds,tot_household_with_indig_psns,tot_other_households,tot_tot_hhlds
Albury (C),10050,9,208,220,13,137,145,37,457,497,45,715,757,59,1544,1598,41,1066,1105,63,1611,1680,52,1517,1563,49,1651,1704,58,1535,1592,68,2128,2199,45,1804,1849,28,1046,1070,31,1656,1687,41,1242,1280,31,523,554,662,18836,19495
Armidale Regional (A),10130,11,125,134,6,71,78,39,248,284,44,323,367,60,748,805,67,533,596,73,844,923,74,724,798,75,808,884,66,725,785,101,1101,1203,47,900,943,26,477,504,23,874,895,67,698,765,57,245,299,831,9443,10276
Ballina (A),10250,5,137,141,7,87,88,20,295,312,17,528,547,31,1383,1418,32,907,946,69,1536,1602,38,1223,1262,72,1509,1578,54,1217,1271,75,1706,1789,48,1406,1452,25,748,775,52,1377,1424,57,1060,1118,24,461,488,639,15586,16220
Balranald (A),10300,4,12,14,0,4,5,5,11,17,3,31,34,3,50,55,0,34,33,8,57,65,4,57,58,7,63,71,7,58,69,12,100,109,3,61,64,3,37,41,0,38,42,4,79,86,6,39,39,74,728,807
Bathurst Regional (A),10470,12,139,154,13,84,94,25,312,340,34,397,429,52,1067,1115,64,693,757,84,1014,1094,82,934,1020,79,1125,1201,72,1078,1152,97,1596,1694,72,1360,1432,39,889,928,71,1495,1565,81,971,1054,35,343,377,909,13495,14411
Bega Valley (A),10550,12,139,150,8,132,141,17,326,344,20,519,541,35,1429,1465,29,757,791,53,1334,1390,31,1116,1149,43,1296,1336,36,1057,1102,46,1179,1225,41,946,984,15,466,482,20,676,695,41,985,1033,18,379,399,475,12749,13222
Bellingen (A),10600,0,57,56,0,35,38,4,138,144,3,206,205,21,493,512,15,315,326,20,492,507,17,409,428,24,500,521,16,364,374,24,493,518,22,337,359,7,172,182,14,239,255,15,371,388,3,147,151,201,4767,4970
Berrigan (A),10650,0,42,42,0,29,29,5,107,116,4,126,131,9,357,363,4,186,190,13,345,363,4,245,250,9,316,324,10,213,226,16,315,325,5,236,245,0,114,120,6,158,166,8,208,216,4,148,155,106,3154,3265
Blacktown (C),10750,59,1266,1324,31,520,552,126,1628,1754,151,2253,2410,221,4479,4701,243,3044,3288,330,5558,5889,286,5429,5715,306,6993,7297,287,7046,7336,417,12420,12830,353,12642,12992,233,8442,8678,446,16150,16594,319,7265,7586,180,1985,2168,3978,97129,101107
Bland (A),10800,4,29,30,0,12,12,3,52,54,6,96,97,5,184,190,6,106,114,8,190,192,16,151,163,18,216,230,11,133,144,12,219,232,6,157,163,4,81,83,6,181,185,10,165,172,10,101,105,117,2067,2185
