lga_code16,nsq_ce_ii_indst_nsp,nsq_crt_ii_totm,nsq_crt_ii_totf,nsq_crt_ii_totp,nsq_crt_iii_ovr_ind_m,nsq_crt_iii_ovr_ind_f,nsq_crt_iii_ovr_ind_p,nsq_cer_iii_ov_no_in_m,nsq_cer_iii_ov_no_in_f,nsq_cer_iii_ov_no_in_p,nsq_ce_iii_ov_ind_s_nsm,nsq_ce_iii_ov_ind_s_nsf,nsq_ce_iii_ov_ind_s_nsp,nsq_crt_iii_ovr_totm,nsq_crt_iii_ovr_totf,nsq_crt_iii_ovr_totp,mig_sme_add_1_yr_ago_indig_m,mig_sme_add_1_yr_ago_indig_f,mig_sme_add_1_yr_ago_indig_p,mig_sme_add_1_yr_ago_no_ind_m,mig_sme_add_1_yr_ago_no_ind_f,mig_sme_add_1_yr_ago_no_ind_p,mig_sa_ad_1_yr_ag_indst_nsm,mig_sa_ad_1_yr_ag_indst_nsf,mig_sa_ad_1_yr_ag_indst_nsp,mig_sme_add_1_yr_ago_totm,mig_sme_add_1_yr_ago_totf,mig_sme_add_1_yr_ago_totp,mig_diff_add_1_yr_ago_indig_m,mig_diff_add_1_yr_ago_indig_f,mig_diff_add_1_yr_ago_indig_p,mig_diff_ad_1_yr_ago_no_ind_m,mig_diff_ad_1_yr_ago_no_ind_f,mig_diff_ad_1_yr_ago_no_ind_p,mig_dif_ad_1_yr_ag_in_st_nsm,mig_dif_ad_1_yr_ag_in_st_nsf,mig_dif_ad_1_yr_ag_in_st_nsp,mig_diff_add_1_yr_ago_totm,mig_diff_add_1_yr_ago_totf,mig_diff_add_1_yr_ago_totp,mig_sme_add_5_ago_indig_m,mig_sme_add_5_ago_indig_f,mig_sme_add_5_ago_indig_p,mig_sme_ad_5_ago_no_ind_m,mig_sme_ad_5_ago_no_ind_f,mig_sme_ad_5_ago_no_ind_p,mig_sa_ad_5_ag_in_st_nsm,mig_sa_ad_5_ag_in_st_nsf,mig_sa_ad_5_ag_in_st_nsp,mig_sme_add_5_ago_totm,mig_sme_add_5_ago_totf,mig_sme_add_5_ago_totp,mig_diff_add_5_ago_ind_m,mig_diff_add_5_ago_ind_f,mig_diff_add_5_ago_ind_p,mig_diff_ad_5_ag_no_ind_m,mig_diff_ad_5_ag_no_ind_f,mig_diff_ad_5_ag_no_ind_p,mi_dif_ad_5_ag_in_st_nsm,mi_dif_ad_5_ag_in_st_nsf,mi_dif_ad_5_ag_in_st_nsp,mig_diff_add_5_ago_totm,mig_diff_add_5_ago_totf,mig_diff_add_5_ago_totp,lga_name16
10050,0,192,406,600,89,74,163,5304,2801,8106,45,21,60,5437,2897,8334,466,475,942,17486,18724,36205,171,188,361,18123,19387,37515,162,198,365,3712,4051,7769,26,18,47,3903,4273,8177,281,255,536,11493,12179,23673,126,142,266,11898,12578,24473,274,357,633,8826,9855,18684,62,60,122,9166,10268,19440,Albury (C)
10130,3,120,192,311,117,93,214,2133,1108,3238,15,14,31,2270,1209,3482,785,775,1562,9419,9934,19354,104,102,206,10305,10815,21117,191,236,428,2174,2587,4757,18,17,29,2385,2829,5215,488,496,987,6138,6472,12607,84,80,159,6707,7047,13750,378,409,784,5109,5711,10813,40,30,70,5522,6145,11664,Armidale Regional (A)
10250,0,117,266,384,108,70,181,4230,1937,6167,25,14,34,4358,2024,6380,501,502,1007,14701,15679,30379,139,148,284,15336,16332,31664,121,150,273,2770,3129,5904,25,15,46,2919,3297,6219,297,341,641,9691,10454,20142,92,93,190,10085,10890,20968,270,264,534,7145,7851,14999,60,61,124,7474,8179,15652,Ballina (A)
10300,0,9,10,23,9,9,20,153,76,234,0,0,0,169,88,250,91,75,164,812,763,1580,10,8,21,914,848,1761,8,25,33,104,98,203,5,0,3,114,118,236,59,49,103,604,553,1152,11,8,16,669,609,1274,33,40,79,256,262,517,7,0,6,295,305,604,Balranald (A)
10470,6,158,335,493,133,114,242,4293,1919,6209,32,23,56,4459,2048,6508,697,717,1415,14052,14486,28538,160,159,322,14901,15366,30271,231,262,495,2714,2872,5580,25,14,34,2964,3144,6112,357,359,715,9130,9307,18437,118,112,229,9605,9773,19380,437,526,964,6938,7410,14347,51,50,109,7427,7992,15418,Bathurst Regional (A)
10550,3,102,282,386,64,48,114,3738,1577,5318,46,20,64,3846,1649,5493,403,405,814,12080,12606,24692,163,169,336,12652,13183,25834,72,86,159,1916,2075,3988,33,27,61,2013,2192,4205,217,219,431,8611,8788,17398,118,117,241,8952,9121,18070,199,244,438,4920,5429,10355,73,71,144,5190,5741,10929,Bega Valley (A)
10600,3,58,85,142,43,30,75,1318,566,1882,9,6,15,1368,600,1970,166,184,347,4510,4792,9300,73,97,172,4752,5071,9817,41,35,74,795,889,1676,13,9,25,845,937,1780,110,101,214,3191,3307,6501,50,70,116,3348,3476,6827,79,91,168,1914,2167,4076,36,31,73,2029,2285,4314,Bellingen (A)
10650,3,18,60,77,22,13,38,861,443,1305,6,3,15,893,464,1355,57,63,121,3124,3106,6228,49,43,96,3230,3215,6438,25,36,63,442,482,931,4,20,27,479,534,1013,28,31,64,2209,2210,4423,26,24,54,2269,2264,4533,47,55,103,1205,1241,2440,20,31,54,1269,1325,2600,Berrigan (A)
10750,7,917,1830,2746,463,414,876,22671,11835,34504,121,64,191,23256,12317,35577,3566,3686,7255,126759,129544,256299,877,928,1802,131207,134157,265365,652,721,1380,20893,20772,41666,110,107,223,21662,21607,43268,2361,2406,4765,83361,85322,168682,635,688,1322,86357,88421,174777,1384,1602,2986,56232,56952,113184,258,246,503,57874,58797,116668,Blacktown (C)
10800,0,15,55,74,16,14,32,564,238,804,7,0,5,590,253,841,93,101,196,2218,2149,4372,26,40,66,2345,2296,4635,24,25,49,201,235,442,0,3,3,228,263,489,61,72,127,1672,1597,3265,22,34,58,1749,1700,3454,46,46,90,652,675,1327,5,9,13,701,729,1429,Bland (A)
10850,0,25,52,79,25,12,38,744,390,1138,15,4,22,784,405,1191,102,90,193,2683,2758,5440,55,43,104,2839,2893,5737,33,21,53,384,425,812,3,4,8,425,448,875,60,46,109,1908,1903,3810,49,31,84,2011,1986,3999,59,46,107,1008,1126,2131,16,12,24,1076,1190,2271,Blayney (A)
10900,0,246,382,634,155,110,262,6993,3304,10296,55,21,77,7202,3434,10640,697,706,1398,29203,31436,60638,232,226,459,30132,32368,62501,152,173,324,3899,4107,8009,34,19,53,4082,4308,8390,426,419,843,20845,22454,43299,164,174,340,21430,23052,44479,365,371,741,11222,12252,23478,82,61,141,11670,12687,24361,Blue Mountains (C)
10950,0,11,17,25,26,22,46,230,83,308,3,0,3,258,105,354,165,197,365,850,803,1653,18,12,34,1039,1011,2046,24,30,55,101,116,216,0,3,3,123,151,277,116,123,233,648,596,1247,15,11,22,780,728,1509,54,67,118,273,282,552,3,5,12,325,356,683,Bogan (A)
11100,0,107,171,274,65,39,105,3045,1321,4363,23,11,36,3136,1374,4511,304,350,659,16751,17208,33957,100,93,192,17164,17649,34811,54,51,108,3766,3574,7340,10,10,24,3830,3638,7472,199,238,445,10322,10954,21274,82,74,157,10603,11265,21873,143,153,292,9399,9024,18423,19,21,43,9557,9204,18760,Botany Bay (C)
11150,0,11,23,31,30,33,66,133,50,178,0,0,0,165,77,247,305,350,653,560,508,1070,13,13,24,881,863,1748,38,50,94,76,114,185,0,0,0,119,167,279,236,263,500,379,332,708,10,6,11,619,605,1219,81,102,191,224,247,473,5,3,9,314,359,668,Bourke (A)
11200,0,20,21,41,38,33,65,48,19,69,3,0,6,93,47,136,401,418,817,233,207,433,3,8,15,634,630,1266,52,53,104,38,38,73,3,0,3,88,88,183,322,346,672,163,139,305,5,4,11,489,497,985,73,84,157,93,90,180,0,0,3,167,173,339,Brewarrina (A)
11250,0,70,149,214,73,68,145,1869,832,2706,29,5,32,1976,907,2881,499,542,1035,6178,6491,12667,108,94,198,6781,7126,13905,167,171,336,740,847,1582,5,10,13,915,1024,1938,318,350,663,4815,5029,9839,87,71,164,5223,5447,10669,258,299,555,1842,2098,3941,21,22,43,2117,2414,4535,Broken Hill (C)
13910,3,69,143,212,58,38,92,1822,861,2688,15,7,25,1898,913,2806,302,288,590,6781,6973,13755,88,94,186,7175,7361,14530,96,89,183,999,1111,2115,21,15,34,1113,1218,2326,176,176,353,4906,4970,9878,70,75,146,5156,5227,10380,164,173,342,2497,2761,5261,28,30,58,2695,2961,5659,Hilltops (A)
14000,7,295,495,794,53,28,76,7999,3553,11550,42,21,58,8091,3600,11687,259,285,541,56441,59422,115866,298,315,618,56997,60023,117022,44,50,92,8206,8715,16922,35,46,82,8279,8810,17095,176,180,356,39484,41546,81026,231,240,474,39891,41971,81858,107,137,242,22757,24217,46971,85,101,184,22952,24450,47400,Hornsby (A)
14100,0,20,44,61,0,3,3,537,243,781,0,4,4,538,249,784,38,18,57,5417,5573,10998,39,41,72,5496,5627,11130,19,4,18,890,788,1679,9,4,13,918,799,1709,17,8,25,3397,3739,7142,31,21,51,3445,3775,7219,37,11,52,2660,2365,5031,8,15,18,2710,2393,5098,Hunters Hill (A)
14170,4,368,522,892,107,92,198,8197,3897,12093,43,17,62,8351,4005,12359,699,792,1496,62629,66372,128997,371,369,732,63692,67533,131226,172,221,392,15252,16047,31301,62,60,120,15492,16324,31816,429,468,899,38559,41170,79729,239,251,492,39232,41888,81121,380,480,861,36697,38713,75406,137,142,279,37220,39332,76547,Inner West (A)
14200,4,59,121,182,76,80,151,1574,840,2420,13,4,18,1662,924,2582,467,510,975,5542,5713,11261,76,96,175,6089,6320,12413,177,159,332,949,1036,1990,17,17,30,1139,1215,2356,290,303,595,3978,4027,8009,57,59,118,4326,4392,8722,264,293,552,2171,2400,4571,24,40,66,2458,2733,5190,Inverell (A)
14300,3,26,53,83,22,15,37,547,262,806,8,3,9,576,281,851,89,92,187,1963,1955,3917,28,35,65,2087,2081,4166,27,38,68,278,278,556,4,12,10,308,323,633,60,61,117,1453,1404,2854,20,28,51,1534,1489,3019,45,61,103,687,713,1402,10,9,19,741,788,1527,Junee (A)
14350,3,143,238,383,171,160,332,3043,1420,4462,41,18,53,3249,1597,4848,1079,1190,2270,9459,9575,19040,167,167,333,10708,10928,21640,271,318,589,1392,1473,2864,22,33,50,1680,1824,3508,734,766,1499,6974,6942,13913,106,108,215,7814,7810,15626,448,572,1015,3475,3696,7171,70,68,133,3990,4334,8320,Kempsey (A)
14400,0,49,119,171,45,23,66,2301,895,3197,21,9,32,2365,927,3293,157,159,322,8163,8374,16534,75,83,160,8395,8616,17009,35,25,56,1180,1300,2474,11,12,21,1222,1331,2557,91,96,188,5602,5794,11391,51,60,115,5740,5954,11697,89,76,168,3419,3634,7056,34,24,61,3548,3733,7283,Kiama (A)
14500,6,142,236,378,6,3,12,2996,1575,4571,20,10,32,3017,1587,4607,74,70,142,45502,49164,94667,171,236,410,45746,49465,95218,33,28,61,7458,8064,15525,19,26,39,7509,8113,15620,31,40,71,29930,32688,62615,136,179,314,30098,32904,63001,67,56,126,21370,23052,44421,45,68,109,21482,23180,44659,Ku-ring-gai (A)
14550,0,41,67,107,20,18,39,846,436,1284,7,10,19,871,461,1335,138,145,280,3337,3247,6586,67,48,113,3544,3439,6975,38,43,84,425,452,877,4,9,11,470,502,976,88,86,176,2551,2436,4984,55,37,91,2692,2565,5257,55,82,140,1073,1119,2192,21,15,29,1151,1213,2366,Kyogle (A)
14600,0,30,54,81,52,43,94,415,194,609,6,3,9,473,243,716,398,463,862,1912,1857,3762,21,27,48,2325,2343,4671,76,90,166,236,243,478,3,3,11,312,335,647,264,309,574,1416,1346,2757,16,17,29,1697,1669,3359,148,197,346,594,633,1232,4,10,18,745,844,1592,Lachlan (A)
14650,10,597,1346,1948,684,466,1146,23438,10092,33533,141,48,187,24259,10608,34868,3067,3087,6154,73671,77498,151169,564,652,1218,77298,81240,158538,693,681,1379,10945,11767,22713,76,82,161,11721,12531,24250,1875,1868,3738,52108,54350,106460,411,477,894,54398,56697,111090,1521,1605,3125,29498,31898,61393,193,195,389,31211,33702,64907,Lake Macquarie (C)
14700,0,49,82,135,4,5,8,1170,609,1777,8,0,8,1182,617,1794,46,37,89,12847,13451,26300,57,41,93,12951,13533,26478,22,11,26,3331,3355,6688,6,7,11,3360,3371,6727,17,19,33,7637,8284,15921,43,35,79,7698,8332,16029,47,29,77,7879,7884,15762,17,15,28,7944,7923,15867,Lane Cove (A)
14750,0,37,92,125,46,24,71,1064,472,1535,9,5,13,1112,508,1618,236,240,471,3953,3957,7905,52,66,117,4238,4262,8498,58,64,119,601,643,1245,8,11,19,661,714,1377,138,135,275,2817,2759,5578,31,27,63,2983,2927,5917,120,125,247,1516,1623,3143,16,17,29,1655,1767,3419,Leeton (A)
14850,3,218,331,553,144,123,265,4176,2254,6434,28,17,42,4346,2392,6739,817,792,1608,15026,15992,31022,143,179,321,15986,16967,32950,212,208,418,2444,2630,5072,34,25,54,2685,2863,5552,481,441,924,10643,11229,21879,111,132,239,11238,11798,23040,430,477,908,6281,6869,13151,50,51,96,6765,7395,14161,Lismore (C)
14870,0,85,189,273,91,64,156,2428,986,3414,26,7,34,2547,1059,3604,456,452,902,7365,7390,14752,108,117,227,7929,7954,15882,79,84,161,949,1047,1996,18,19,38,1047,1150,2205,305,291,597,5441,5303,10746,73,80,150,5820,5670,11492,171,205,378,2576,2809,5384,41,35,78,2790,3052,5837,Lithgow (C)
14900,12,557,1099,1661,160,127,285,14718,6909,21625,73,47,118,14948,7075,22026,1157,1210,2362,77973,79651,157621,564,623,1187,79695,81481,161174,215,221,434,11398,11552,22945,79,82,160,11694,11846,23543,739,755,1491,51966,53076,105040,382,430,816,53082,54261,107348,482,573,1053,32533,33426,65962,168,197,367,33183,34199,67379,Liverpool (C)
14920,0,35,74,101,46,37,85,666,314,982,9,6,15,721,353,1080,384,372,750,2564,2517,5081,60,37,92,3003,2927,5928,72,71,148,371,371,743,3,3,7,453,447,904,265,244,507,1878,1821,3700,46,32,73,2190,2092,4279,142,158,303,906,947,1853,14,7,20,1059,1112,2175,Liverpool Plains (A)
14950,0,12,28,44,6,7,14,340,145,485,4,0,4,354,152,503,48,38,85,1213,1222,2430,8,12,24,1264,1267,2534,14,10,21,108,125,228,3,3,3,118,133,251,29,19,51,926,885,1814,5,3,9,961,908,1870,19,22,39,324,380,706,3,6,9,348,406,757,Lockhart (A)
15050,7,264,651,917,309,254,564,8816,4425,13241,58,29,82,9180,4705,13886,1469,1537,3005,27537,28697,56227,228,239,462,29230,30462,59698,401,415,819,4892,5381,10280,41,42,82,5342,5843,11179,804,820,1625,17659,18187,35851,163,153,318,18626,19166,37789,874,945,1820,13145,14512,27662,88,103,190,14104,15564,29668,Maitland (C)
15240,10,382,758,1140,360,288,646,10243,4484,14726,110,57,170,10712,4829,15546,2058,2086,4144,31493,32975,64469,445,502,944,33992,35564,69559,521,532,1053,5410,5770,11174,77,94,172,6006,6392,12398,1222,1169,2396,21562,22409,43978,296,336,628,23084,23918,46998,1051,1165,2221,14057,15230,29282,170,196,368,15276,16587,31865,Mid-Coast (A)
15270,5,102,188,295,119,71,189,2724,1165,3886,37,15,50,2882,1245,4121,493,465,960,8293,8223,16518,137,142,283,8928,8827,17757,139,122,263,1453,1514,2969,39,19,57,1628,1660,3286,253,245,494,5479,5285,10772,80,84,167,5813,5619,11432,275,272,546,3776,3906,7679,63,51,114,4115,4225,8338,Mid-Western Regional (A)
15300,0,37,80,119,126,128,258,964,402,1364,15,3,13,1105,531,1635,1016,1170,2186,3821,3566,7382,50,43,94,4884,4778,9664,197,241,430,528,552,1079,19,17,32,739,810,1548,737,814,1544,2736,2468,5205,39,36,75,3514,3313,6831,351,434,788,1368,1409,2776,20,20,37,1734,1864,3599,Moree Plains (A)
15350,0,26,81,99,5,4,9,680,386,1065,0,3,3,681,394,1070,18,21,37,9724,11271,20997,43,42,89,9791,11331,21125,7,15,21,2032,2462,4493,4,8,12,2043,2483,4525,12,4,19,5817,6882,12697,26,36,59,5851,6923,12771,17,24,32,5638,6567,12200,20,13,36,5675,6599,12272,Mosman (A)
15520,0,24,75,94,21,15,32,1225,480,1706,15,5,19,1260,500,1757,120,161,282,4292,4257,8548,62,47,109,4470,4464,8938,19,43,64,723,774,1498,8,11,19,756,834,1584,79,98,178,2987,2921,5905,50,37,91,3117,3056,6169,52,88,135,1794,1905,3697,18,21,39,1864,2011,3878,Murray River (A)
15560,0,9,20,24,15,18,37,336,133,471,5,0,5,363,152,514,129,121,251,1408,1262,2663,21,12,30,1555,1394,2952,7,12,16,179,162,338,0,0,0,188,172,359,87,84,175,1028,892,1920,16,8,22,1130,989,2114,36,41,80,500,464,968,3,0,10,539,507,1053,Murrumbidgee (A)
15650,0,63,131,195,86,68,158,1804,851,2653,19,6,19,1906,929,2831,457,435,889,5503,5354,10866,69,69,140,6036,5858,11896,147,182,328,978,1051,2024,7,9,20,1132,1240,2372,219,198,420,3498,3319,6813,53,46,99,3769,3561,7334,317,355,666,2624,2763,5389,20,24,42,2965,3135,6098,Muswellbrook (A)
15700,3,90,168,256,84,69,151,2086,991,3077,27,20,43,2194,1074,3273,554,577,1132,6648,6822,13472,118,133,253,7318,7534,14854,109,128,241,1013,1112,2126,29,23,49,1148,1264,2407,365,384,748,4713,4850,9568,87,91,182,5170,5326,10494,224,252,475,2663,2846,5506,37,45,84,2922,3138,6061,Nambucca (A)
15750,0,41,89,127,80,69,152,1097,541,1635,14,11,24,1188,618,1809,573,620,1198,4337,4244,8577,63,57,116,4971,4918,9896,135,137,273,528,565,1092,11,13,31,675,718,1395,362,387,750,3198,3062,6257,43,41,83,3608,3487,7096,262,285,550,1432,1495,2930,27,31,52,1723,1807,3531,Narrabri (A)
15800,0,30,37,67,24,15,47,494,229,720,0,0,3,521,246,769,186,216,404,1935,1952,3887,27,22,53,2153,2197,4342,65,58,118,291,299,584,0,0,3,355,351,711,136,161,296,1460,1452,2911,12,16,31,1614,1630,3239,83,88,177,650,704,1352,10,6,14,746,795,1543,Narrandera (A)
15850,0,32,50,81,67,60,132,538,252,792,4,0,4,607,315,923,469,508,981,2010,1904,3911,28,33,63,2512,2447,4961,103,125,226,214,264,473,0,5,4,315,394,705,279,303,581,1554,1453,3006,22,25,49,1853,1784,3637,225,256,477,575,622,1193,9,9,12,800,883,1683,Narromine (A)
