lga_code16,p_noni_35_44_ptgdde_gddp_gdct,p_noni_35_44_bdl,p_noni_35_44_adip_dipl,p_noni_35_44_ct_iii_iv,p_noni_35_44_ct_i_ii,p_noni_35_44_cl_nfd,p_noni_35_44_loe_ns,p_noni_35_44_tot,p_noni_45_54_ptgdde_gddp_gdct,p_noni_45_54_bdl,p_noni_45_54_adip_dipl,p_noni_45_54_ct_iii_iv,p_noni_45_54_ct_i_ii,p_noni_45_54_cl_nfd,p_noni_45_54_loe_ns,p_noni_45_54_tot,p_noni_55_64_ptgdde_gddp_gdct,p_noni_55_64_bdl,p_noni_55_64_adip_dipl,p_noni_55_64_ct_iii_iv,p_noni_55_64_ct_i_ii,p_noni_55_64_cl_nfd,p_noni_55_64_loe_ns,p_noni_55_64_tot,p_noni_65ov_ptgdde_gddp_gdct,p_noni_65ov_bdl,p_noni_65ov_adip_dipl,p_noni_65ov_ct_iii_iv,p_noni_65ov_ct_i_ii,p_noni_65ov_cl_nfd,p_noni_65ov_loe_ns,p_noni_65ov_tot,p_noni_tot_ptgdde_gddp_gdct,p_noni_tot_bdl,p_noni_tot_adip_dipl,p_noni_tot_ct_iii_iv,p_noni_tot_ct_i_ii,p_noni_tot_cl_nfd,p_noni_tot_loe_ns,p_noni_tot_tot,p_is_ns_15_19_pgdde_gddp_gdct,p_is_ns_15_19_bdl,p_is_ns_15_19_adip_dipl,p_is_ns_15_19_ct_iii_and_iv_l,p_is_ns_15_19_ct_i_ii,p_is_ns_15_19_cl_nfd,p_is_ns_15_19_loe_ns,p_is_ns_15_19_tot,p_is_ns_20_24_pgde_gddp_gdctl,p_is_ns_20_24_bdl,p_is_ns_20_24_adip_dipl,p_is_ns_20_24_ct_iii_and_iv_l,p_is_ns_20_24_ct_i_ii,p_is_ns_20_24_cl_nfd,p_is_ns_20_24_loe_ns,p_is_ns_20_24_tot,p_is_ns_25_34_pgde_gddp_gdctl,p_is_ns_25_34_bdl,p_is_ns_25_34_adip_dipl,p_is_ns_25_34_ct_iii_and_iv_l,p_is_ns_25_34_ct_i_ii,p_is_ns_25_34_cl_nfd,p_is_ns_25_34_loe_ns,p_is_ns_25_34_tot,p_is_ns_35_44_pgde_gddp_gdctl,p_is_ns_35_44_bdl,p_is_ns_35_44_adip_dipl,p_is_ns_35_44_ct_iii_and_iv_l,p_is_ns_35_44_ct_i_ii,p_is_ns_35_44_cl_nfd,p_is_ns_35_44_loe_ns,p_is_ns_35_44_tot,p_is_ns_45_54_pgde_gddp_gdctl,p_is_ns_45_54_bdl,p_is_ns_45_54_adip_dipl,p_is_ns_45_54_ct_iii_and_iv_l,p_is_ns_45_54_ct_i_ii,p_is_ns_45_54_cl_nfd,p_is_ns_45_54_loe_ns,p_is_ns_45_54_tot,p_is_ns_55_64_pgde_gddp_gdctl,p_is_ns_55_64_bdl,p_is_ns_55_64_adip_dipl,p_is_ns_55_64_crt_iii_and_iv,p_is_ns_55_64_ct_i_ii,p_is_ns_55_64_cl_nfd,p_is_ns_55_64_loe_ns,p_is_ns_55_64_tot,p_is_ns_65ov_pgdde_gddp_gdct,p_is_ns_65ov_bdl,p_is_ns_65ov_adip_dipl,p_is_ns_65ov_crt_iii_and_iv,p_is_ns_65ov_ct_i_ii,p_is_ns_65ov_cl_nfd,p_is_ns_65ov_loe_ns,p_is_ns_65ov_tot,p_is_ns_totpdde_gddp_gdct,p_is_ns_tot_bdl,p_is_ns_tot_adip_dipl,p_is_ns_tot_ct_iii_iv,p_is_ns_tot_ct_i_ii,p_is_ns_tot_cl_nfd,p_is_ns_tot_loe_ns,p_is_ns_tot_tot,p_tot_15_19_pgde_gddp_gdctl,p_tot_15_19_bdl,p_tot_15_19_adip_dipl,p_tot_15_19_ct_iii_and_iv_l,p_tot_15_19_ct_i_ii,p_tot_15_19_cl_nfd,p_tot_15_19_loe_ns,p_tot_15_19_tot,p_tot_20_24_pgde_gddp_gdctl,p_tot_20_24_bdl,p_tot_20_24_adip_dipl,p_tot_20_24_ct_iii_and_iv_l,p_tot_20_24_ct_i_ii,p_tot_20_24_cl_nfd,p_tot_20_24_loe_ns,p_tot_20_24_tot,p_tot_25_34_pgde_gddp_gdctl,p_tot_25_34_bdl,p_tot_25_34_adip_dipl,p_tot_25_34_ct_iii_and_iv_l,p_tot_25_34_ct_i_ii,p_tot_25_34_cl_nfd,p_tot_25_34_loe_ns,p_tot_25_34_tot,p_tot_35_44_pgde_gddp_gdctl,p_tot_35_44_bdl,p_tot_35_44_adip_dipl,p_tot_35_44_ct_iii_and_iv_l,p_tot_35_44_ct_i_ii,p_tot_35_44_cl_nfd,p_tot_35_44_loe_ns,p_tot_35_44_tot,p_tot_45_54_pgde_gddp_gdctl,p_tot_45_54_bdl,p_tot_45_54_adip_dipl,p_tot_45_54_ct_iii_and_iv_l,p_tot_45_54_ct_i_ii,p_tot_45_54_cl_nfd,p_tot_45_54_loe_ns,p_tot_45_54_tot,p_tot_55_64_pgde_gddp_gdctl,p_tot_55_64_bdl,p_tot_55_64_adip_dipl,p_tot_55_64_ct_iii_and_iv_l,p_tot_55_64_ct_i_ii,p_tot_55_64_cl_nfd,p_tot_55_64_loe_ns,p_tot_55_64_tot,p_tot_65ov_ptgdde_gddp_gdct,p_tot_65ov_bdl,p_tot_65ov_adip_dipl,p_tot_65ov_ct_iii_and_iv_l,p_tot_65ov_ct_i_ii,p_tot_65ov_cl_nfd,p_tot_65ov_loe_ns,p_tot_65ov_tot,p_tot_tot_pgde_gddp_gdctl,p_tot_tot_bdl,p_tot_tot_adip_dipl,p_tot_tot_ct_iii_and_iv_l,p_tot_tot_ct_i_ii,p_tot_tot_cl_nfd,p_tot_tot_loe_ns,p_tot_tot_tot,lga_name16
10050,443,1168,621,1506,94,132,151,4104,427,797,702,1448,110,166,206,3859,391,681,674,1279,80,190,262,3560,214,531,603,1175,52,215,955,3745,1870,4660,3465,8106,618,865,1863,21450,0,0,0,0,0,0,169,169,0,0,0,5,0,0,254,266,3,4,6,3,0,0,432,449,0,3,0,13,0,0,361,372,0,0,8,11,0,3,366,385,4,0,3,19,0,0,396,426,0,3,9,9,0,5,648,674,10,16,22,60,0,9,2623,2741,0,0,18,160,37,16,287,521,24,250,162,877,106,58,327,1806,382,1250,700,1761,152,97,566,4904,447,1176,637,1543,100,132,522,4552,427,803,721,1492,116,167,578,4302,397,686,680,1309,82,196,671,4027,217,535,611,1190,52,219,1612,4442,1891,4703,3530,8334,644,888,4564,24558,Albury (C)
10130,469,642,272,506,35,49,58,2027,487,555,372,623,41,108,123,2313,500,499,335,519,47,100,136,2137,431,487,361,458,37,123,504,2406,2281,3222,1642,3238,294,473,1028,12183,0,0,0,0,0,0,187,184,0,0,0,3,0,0,244,247,3,8,0,9,0,0,239,252,3,4,3,3,0,0,179,197,0,3,4,5,0,0,257,269,0,0,4,3,0,0,232,240,0,8,3,9,0,0,314,332,7,22,10,31,3,0,1656,1729,3,3,17,136,39,18,266,478,8,252,72,402,82,48,325,1190,388,810,242,711,39,48,337,2568,476,649,286,559,38,54,261,2328,497,565,388,660,44,113,410,2677,510,511,351,540,52,99,377,2442,435,497,373,472,37,129,836,2778,2315,3285,1729,3482,327,507,2818,14466,Armidale Regional (A)
10250,338,1045,529,1056,45,99,135,3253,407,957,652,1231,74,172,194,3698,487,946,745,1250,86,206,256,3981,367,895,880,1319,87,311,1194,5052,1793,4661,3227,6167,414,913,2021,19186,0,0,0,0,0,0,123,124,0,0,0,0,0,0,85,89,0,0,0,3,0,0,202,214,3,8,4,8,0,0,266,281,0,5,8,8,0,3,340,362,0,4,6,13,0,0,412,439,0,8,3,10,0,3,610,631,5,21,19,34,3,10,2032,2129,4,0,8,68,32,8,239,363,10,104,76,365,47,44,128,774,186,722,354,943,54,63,312,2639,338,1066,551,1101,47,106,412,3623,408,980,678,1271,73,186,549,4155,485,958,766,1287,86,214,674,4470,375,901,892,1341,90,317,1823,5738,1818,4734,3324,6380,430,938,4137,21764,Ballina (A)
10300,8,19,18,40,3,8,10,96,10,7,13,40,3,8,12,94,5,12,20,54,3,4,24,118,3,11,9,30,0,3,39,93,28,89,80,234,18,20,108,574,0,0,0,0,0,0,12,14,0,0,0,0,0,0,15,15,0,0,0,0,0,0,22,25,0,0,0,0,0,0,23,29,0,0,0,0,0,0,26,26,0,0,0,0,0,0,37,37,0,0,0,0,0,0,37,37,0,0,0,0,0,0,173,175,0,0,0,13,3,0,29,39,0,6,5,21,0,3,17,57,8,29,19,58,6,0,33,146,12,24,17,44,3,8,35,136,8,12,13,42,3,7,44,130,11,13,17,53,4,4,62,167,3,11,9,30,0,3,83,133,37,94,80,250,26,19,300,807,Balranald (A)
10470,309,826,464,1148,87,110,269,3214,331,690,550,1201,83,155,258,3269,360,582,537,970,66,175,246,2935,304,471,516,904,43,208,640,3082,1565,3684,2573,6209,480,779,2044,17342,0,0,0,0,0,3,215,215,0,0,0,4,3,0,274,277,0,0,0,11,0,0,253,272,0,6,8,9,0,0,243,269,3,3,3,15,0,6,296,325,0,8,4,3,0,0,309,330,0,3,7,8,0,3,580,595,8,19,22,56,6,14,2171,2287,0,0,19,120,38,21,349,551,13,223,120,626,85,46,508,1620,256,917,388,1393,107,84,697,3845,313,841,492,1213,95,119,569,3644,338,704,573,1242,84,166,579,3691,364,590,551,997,71,177,578,3331,311,477,523,914,47,208,1237,3709,1598,3759,2672,6508,526,818,4511,20390,Bathurst Regional (A)
10550,167,473,288,771,69,89,98,1956,232,587,453,1085,72,121,175,2726,394,710,649,1246,85,196,290,3567,323,780,675,1158,64,223,943,4168,1221,2898,2283,5318,412,713,1767,14616,0,0,0,0,0,0,102,100,0,0,0,4,0,0,77,79,0,3,0,14,0,0,162,176,0,11,3,11,3,0,185,208,3,4,4,13,0,3,346,368,0,3,0,14,0,3,395,423,3,7,4,12,0,3,592,625,8,24,16,64,3,11,1855,1987,0,0,0,68,19,8,258,354,7,59,47,308,51,26,121,615,103,298,181,750,68,57,244,1694,172,490,299,799,71,88,296,2215,241,586,469,1116,72,122,529,3139,400,728,663,1279,89,201,687,4038,326,787,678,1182,64,228,1549,4820,1246,2947,2331,5493,437,730,3698,16884,Bega Valley (A)
10600,71,292,145,269,23,28,38,881,131,300,223,388,15,53,61,1163,148,334,263,456,27,72,86,1397,149,270,234,416,30,79,301,1480,529,1375,955,1882,149,261,590,5735,0,0,0,0,0,0,29,29,0,0,0,0,0,0,28,24,0,4,0,3,0,0,51,60,0,3,0,9,0,0,66,80,0,0,0,0,0,0,115,120,4,5,0,0,0,0,125,133,0,6,4,3,0,0,182,194,9,12,7,15,3,3,595,646,0,0,4,27,8,3,98,139,5,30,12,82,18,10,40,202,26,151,83,260,27,16,78,636,71,300,146,293,25,30,108,986,133,311,227,402,11,53,174,1310,153,343,271,473,27,74,217,1558,151,272,238,428,30,82,484,1683,542,1405,975,1970,153,271,1198,6517,Bellingen (A)
10650,23,101,63,230,14,19,34,485,31,65,75,214,10,21,34,455,29,95,94,267,13,30,73,595,17,102,110,279,13,41,272,831,115,485,453,1305,72,131,482,3050,0,0,0,0,0,0,37,37,0,0,0,3,0,0,33,37,0,0,0,0,0,0,68,72,0,0,3,0,0,0,72,79,0,0,0,0,0,0,83,85,0,0,0,3,0,0,106,113,0,0,0,4,0,0,213,216,0,0,5,15,3,3,617,639,0,0,0,12,3,3,75,98,0,13,19,95,3,3,57,193,17,121,83,231,11,17,89,560,20,104,69,240,21,19,110,580,31,65,84,225,10,21,115,549,30,95,100,271,13,28,182,712,17,102,110,290,15,38,488,1056,114,494,460,1355,82,133,1115,3756,Berrigan (A)
10750,6029,11123,5730,7600,632,1108,1954,34171,2715,6622,4403,6803,536,1111,1782,23970,1658,4442,2809,4899,429,941,1709,16900,814,2576,1607,3823,172,721,3082,12790,16875,39983,22545,34504,2923,5106,12031,133964,0,0,0,9,0,0,852,856,5,17,4,18,3,0,871,919,9,27,25,22,3,5,2139,2240,13,20,19,38,0,3,1960,2052,6,17,13,32,0,4,1682,1754,9,22,18,35,0,7,1398,1478,4,15,15,35,3,9,1729,1807,53,121,95,191,9,29,10617,11109,9,41,201,695,225,128,1685,2982,360,3005,1864,3194,372,327,1733,10856,5339,12314,6110,8004,626,827,4226,37447,6059,11183,5817,7799,653,1142,4018,36676,2743,6672,4481,6989,550,1135,3567,26133,1678,4496,2865,4999,436,961,3192,18614,823,2593,1631,3900,181,738,4871,14727,17005,40305,22969,35577,3039,5249,23295,147438,Blacktown (C)
10800,18,88,58,150,19,20,27,374,4,57,51,134,8,24,35,313,25,29,48,138,11,31,52,337,9,36,47,131,8,16,154,398,78,321,243,804,74,101,313,1929,0,0,0,0,0,0,29,33,0,0,0,0,0,0,24,24,0,0,0,0,0,0,66,66,0,0,0,3,0,0,58,58,0,0,0,3,0,0,73,76,0,0,0,0,0,0,95,90,0,0,0,0,0,0,145,146,0,0,0,5,0,0,492,502,0,0,3,19,9,3,57,88,0,13,6,83,9,4,28,148,15,92,34,167,18,11,77,402,18,88,58,157,19,20,93,449,4,60,56,140,8,24,113,405,25,29,51,145,11,31,148,441,11,36,47,136,8,16,308,557,77,323,250,841,80,108,825,2493,Bland (A)
