lga_code_2016,aust_bth_parents_brn_overseas,aust_fath_only_brn_overseas,aust_moth_only_brn_overseas,aust_both_parents_born_aust,aust_birthplace_not_stated,aust_tot_responses,aust_abor_bth_parents_brn_overseas,aust_abor_fath_only_brn_overseas,aust_abor_moth_only_brn_overseas,aust_abor_bth_parents_brn_aus,aust_abor_birthplace_notstated,aust_abor_tot_responses,chinese_bth_parents_brn_overseas,chinese_fath_only_brn_overseas,chinese_moth_only_brn_overseas,chinese_bth_parents_brn_aus,chinese_birthplace_notstated,chinese_tot_responses,croatian_bth_parents_brn_overseas,croatian_fath_only_brn_overseas,croatian_moth_only_brn_overseas,croatian_bth_parents_brn_aus,croatian_birthplace_notstated,croatian_tot_responses,dutch_bth_parents_brn_overseas,dutch_fath_only_brn_overseas,dutch_moth_only_brn_overseas,dutch_bth_parents_brn_aus,dutch_birthplace_notstated,dutch_tot_responses,english_bth_parents_brn_overseas,english_fath_only_brn_overseas,english_moth_only_brn_overseas,english_bth_parents_brn_aus,english_birthplace_notstated,english_tot_responses,filipino_bth_parents_brn_overseas,filipino_fath_only_brn_overseas,filipino_moth_only_brn_overseas,filipino_bth_parents_brn_aus,filipino_birthplace_notstated,filipino_tot_responses,french_bth_parents_brn_overseas,french_fath_only_brn_overseas,french_moth_only_brn_overseas,french_bth_parents_brn_aus,french_birthplace_notstated,french_tot_responses,german_bth_parents_brn_overseas,german_fath_only_brn_overseas,german_moth_only_brn_overseas,german_bth_parents_brn_aus,german_birthplace_notstated,german_tot_responses,greek_bth_parents_brn_overseas,greek_fath_only_brn_overseas,greek_moth_only_brn_overseas,greek_bth_parents_brn_aus,greek_birthplace_notstated,greek_tot_responses,hungarian_bth_parents_brn_overseas,hungarian_fath_only_brn_overseas,hungarian_moth_only_brn_overseas,hungarian_bth_parents_brn_aus,hungarian_birthplace_notstated,hungarian_tot_responses,indian_bth_parents_brn_overseas,indian_fath_only_brn_overseas,indian_moth_only_brn_overseas,indian_bth_parents_brn_aus,indian_birthplace_notstated,indian_tot_responses,irish_bth_parents_brn_overseas,irish_fath_only_brn_overseas,irish_moth_only_brn_overseas,irish_bth_parents_brn_aus,irish_birthplace_notstated,irish_tot_responses,italian_bth_parents_brn_overseas,italian_fath_only_brn_overseas,italian_moth_only_brn_overseas,italian_bth_parents_brn_aus,italian_birthplace_notstated,italian_tot_responses,korean_bth_parents_brn_overseas,korean_fath_only_brn_overseas,korean_moth_only_brn_overseas,korean_bth_parents_brn_aus,korean_birthplace_notstated,korean_tot_responses,lebanese_bth_parents_brn_overseas,lebanese_fath_only_brn_overseas,lebanese_moth_only_brn_overseas,lebanese_bth_parents_brn_aus,lebanese_birthplace_notstated,lebanese_tot_responses,macedonian_bth_parents_brn_overseas,macdonian_fath_only_brn_overseas,macdonian_moth_only_brn_overseas,macdonian_bth_parents_brn_aus,macdonian_birthplace_notstated,macedonian_tot_responses,maltese_bth_parents_brn_overseas,maltese_fath_only_brn_overseas,maltese_moth_only_brn_overseas,maltese_bth_parents_brn_aus,maltese_birthplace_notstated,maltese_tot_responses,maori_bth_parents_brn_overseas,maori_fath_only_brn_overseas,maori_moth_only_brn_overseas,maori_bth_parents_brn_aus,maori_birthplace_notstated,maori_tot_responses,nz_bth_parents_brn_overseas,nz_fath_only_brn_overseas,nz_moth_only_brn_overseas,nz_bth_parents_brn_aus,nz_birthplace_notstated,nz_tot_responses,polish_bth_parents_brn_overseas,polish_fath_only_brn_overseas,polish_moth_only_brn_overseas,polish_bth_parents_brn_aus,polish_birthplace_notstated,polish_tot_responses,russian_bth_parents_brn_overseas,russian_fath_only_brn_overseas,russian_moth_only_brn_overseas,russian_bth_parents_brn_aus,russian_birthplace_notstated,russian_tot_responses,scottish_bth_parents_brn_overseas,scottish_fath_only_brn_overseas,scottish_moth_only_brn_overseas,scottish_bth_parents_brn_aus,scottish_birthplace_notstated,scottish_tot_responses,serbian_bth_parents_brn_overseas,serbian_fath_only_brn_overseas,serbian_moth_only_brn_overseas,serbian_bth_parents_brn_aus,serbian_birthplace_notstated,serbian_tot_responses,sth_african_bth_parents_brn_overseas,sth_african_fath_only_brn_overseas,sth_african_moth_only_brn_overseas,sth_afrcan_bth_parents_brn_aus,sth_african_birthplace_notstated,sth_african_tot_responses,spanish_bth_parents_brn_overseas,spanish_fath_only_brn_overseas,spanish_moth_only_brn_overseas,spanish_bth_parents_brn_aus,spanish_birthplace_notstated,spanish_tot_responses,sri_lankan_bth_parents_brn_overseas,sri_lankan_fath_only_brn_overseas,sri_lankan_moth_only_brn_overseas,sri_lankan_bth_parents_brn_aus,sri_lankan_birthplace_notstated,sri_lankan_tot_responses,turkish_bth_parents_brn_overseas,turkish_fath_only_brn_overseas,turkish_moth_only_brn_overseas,turkish_bth_parents_brn_aus,turkish_birthplace_notstated,turkish_tot_responses,vietnamese_bth_parents_brn_overseas,vietnamese_fath_only_brn_overseas,vietnamese_moth_only_brn_overseas,vietnamese_bth_parents_brn_aus,vietnamese_birthplace_notstated,vietnamese_tot_responses,welsh_bth_parents_brn_overseas,welsh_fath_only_brn_overseas,welsh_moth_only_brn_overseas,welsh_bth_parents_brn_aus,welsh_birthplace_notstated,welsh_tot_responses,other_bth_parents_brn_overseas,other_fath_only_brn_overseas,other_moth_only_brn_overseas,other_bth_parents_brn_aus,other_birthplace_notstated,other_tot_responses,ancestry_notstated_bth_parents_brn_overseas,ancestry_notstated_fath_only_brn_overseas,ancestry_notstated_moth_only_brn_overseas,ancestry_notstated_bth_parents_brn_aus,ancestry_notstated_birthplace_notstated,ancestry_notstated_tot_responses,tot_p_bth_parents_brn_overseas,tot_p_fath_only_brn_overseas,tot_p_moth_only_brn_overseas,tot_p_bth_parents_brn_aus,tot_p_birthplace_notstated,tot_p_tot_responses,lga_name16
10050,218,1327,928,17021,279,19772,0,6,3,164,4,172,252,15,23,92,3,381,102,24,16,44,0,188,356,106,74,305,11,858,1785,1301,851,15807,309,20054,266,9,46,14,5,331,46,11,13,116,8,196,458,211,148,2964,48,3831,123,41,19,131,3,311,75,20,4,42,3,147,627,29,19,14,7,689,358,340,220,6066,87,7079,252,119,46,726,13,1159,30,0,5,0,0,36,42,16,13,71,3,147,6,3,3,5,0,20,36,15,3,58,0,119,108,17,12,26,0,166,108,77,59,45,3,299,142,34,19,98,0,297,51,10,10,28,0,96,474,313,225,4554,76,5651,70,0,0,23,0,93,60,11,12,5,0,92,80,9,9,76,3,172,95,9,7,3,0,115,3,5,3,0,0,8,49,0,5,0,3,61,75,31,17,153,13,282,1951,250,171,522,29,2913,122,22,10,441,3303,3901,7022,2577,1742,35418,4006,50760,Albury (C)
10130,106,792,636,10755,193,12485,4,9,3,348,3,371,450,16,21,72,0,567,4,4,0,6,0,24,120,53,40,123,7,337,1089,726,558,9176,195,11739,144,4,23,3,3,183,55,23,10,57,0,136,210,80,65,1032,7,1387,39,3,3,47,0,94,37,10,0,12,0,56,196,4,4,7,0,219,251,174,139,3397,47,4013,69,41,28,244,4,380,20,0,0,0,0,20,13,5,4,39,0,70,0,3,0,0,0,5,9,6,4,18,0,44,52,9,16,13,3,99,65,34,25,29,0,158,39,6,3,42,0,96,30,6,0,27,0,62,333,195,156,2705,52,3449,10,0,0,3,0,16,47,7,7,3,0,68,37,0,3,25,0,71,58,0,3,0,0,61,8,0,4,0,0,9,57,4,0,0,0,60,55,21,12,100,0,184,1510,170,170,289,9,2159,35,5,4,252,2011,2309,4267,1380,1112,20477,2447,29681,Armidale Regional (A)
10250,142,1464,1078,13845,300,16830,5,4,7,235,4,255,153,29,25,88,4,293,38,8,6,12,0,62,312,85,56,119,7,578,2402,1387,999,13352,318,18458,100,0,39,12,0,156,96,29,17,130,0,267,311,119,89,1305,19,1843,54,22,11,95,0,179,55,16,7,22,0,101,160,22,7,31,0,219,500,362,256,4878,94,6087,290,146,48,706,14,1206,27,0,3,0,0,31,11,17,0,28,0,57,5,0,0,4,0,14,60,17,10,34,3,123,56,25,20,16,0,113,177,84,65,38,5,361,93,17,14,50,0,177,29,16,3,28,0,79,623,396,265,3715,93,5093,16,3,0,5,0,25,102,25,11,13,0,144,67,4,3,35,3,118,13,6,0,9,0,30,16,3,0,4,0,20,33,0,8,0,0,46,104,30,13,146,3,297,931,298,227,456,21,1935,37,23,15,338,2650,3067,5499,2693,1916,28447,3324,41881,Ballina (A)
10300,8,35,25,930,23,1021,0,0,0,39,0,39,10,0,0,0,0,12,0,0,0,0,0,0,3,0,0,7,0,12,50,35,29,715,7,835,3,0,0,0,0,4,0,0,0,3,0,3,3,3,0,75,3,86,0,0,0,3,0,6,0,0,0,0,0,0,4,0,0,3,0,8,13,3,13,276,4,309,89,13,10,136,7,265,3,0,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,7,9,4,0,0,0,11,3,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,5,14,7,8,173,0,202,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,6,69,10,8,18,0,112,3,0,0,25,267,294,265,72,66,1778,305,2494,Balranald (A)
10470,150,1094,842,15441,280,17812,0,11,7,265,5,291,232,12,32,123,5,402,38,10,6,19,0,77,195,88,49,219,0,557,1430,997,816,13178,287,16712,145,6,52,17,8,219,52,11,14,141,0,217,227,106,70,1032,22,1458,42,13,7,82,5,149,42,8,3,17,0,74,224,9,10,3,0,247,343,271,196,5391,81,6280,150,111,40,456,3,758,21,0,6,0,0,27,66,26,6,43,9,146,9,3,3,5,0,14,55,13,20,98,0,190,64,28,11,13,0,128,104,63,37,57,0,263,76,23,11,61,3,179,28,13,13,20,0,68,427,254,213,3310,59,4262,23,6,4,15,0,46,57,17,17,10,0,99,45,5,0,28,0,83,47,3,3,12,0,65,4,0,0,0,0,9,56,0,3,0,0,63,61,32,14,110,3,225,930,201,155,371,10,1668,71,17,16,377,3399,3873,4398,1993,1572,29262,3989,41219,Bathurst Regional (A)
10550,119,1092,806,11627,290,13942,0,10,0,126,6,137,113,10,26,55,4,208,36,8,4,12,0,58,348,102,62,142,8,655,2185,1072,744,10095,259,14346,117,0,27,6,8,152,60,16,9,78,9,168,406,99,97,1013,27,1642,60,13,5,29,0,99,56,8,7,23,0,89,51,3,0,12,0,64,357,229,145,3342,68,4133,157,74,30,286,8,556,13,0,0,3,0,17,11,0,0,23,0,35,4,3,0,3,0,9,62,18,6,40,0,123,50,12,4,13,0,79,72,34,19,22,3,154,78,19,9,59,3,172,41,8,3,19,0,73,498,272,182,2693,60,3712,7,0,3,0,0,15,47,7,3,11,0,79,39,3,0,27,6,73,8,0,0,4,0,11,4,0,3,0,0,6,26,0,0,0,0,27,90,24,12,96,0,221,725,172,133,356,21,1404,39,12,15,322,2089,2481,4771,1984,1398,22153,2700,33006,Bega Valley (A)
10600,34,523,319,4382,111,5367,0,3,3,67,0,77,20,11,0,21,3,58,9,0,0,7,0,23,126,30,21,42,0,216,881,469,321,3840,101,5612,15,0,10,5,0,26,37,15,5,49,3,101,159,28,39,382,10,621,8,8,0,23,3,48,19,4,3,18,0,44,24,4,0,3,0,31,151,128,64,1395,24,1764,39,34,9,130,7,211,3,0,0,0,0,3,3,3,0,5,0,16,4,0,0,0,0,4,8,5,0,22,0,28,16,4,11,6,0,37,33,27,18,21,0,94,32,14,3,19,3,66,16,4,3,12,0,37,212,130,98,1113,15,1571,0,0,4,0,0,5,19,3,8,3,0,28,17,6,6,18,0,46,0,0,0,0,0,0,5,0,0,0,0,3,8,0,3,0,0,11,45,20,8,39,0,110,298,105,68,145,12,625,31,12,3,126,646,815,1788,931,602,8518,872,12709,Bellingen (A)
10650,27,198,151,2985,71,3439,0,0,0,5,0,8,43,3,4,9,0,59,3,0,0,0,0,11,59,13,18,26,4,108,272,192,136,2702,77,3382,32,0,11,0,3,45,13,4,0,15,0,30,46,14,9,223,7,298,3,3,0,5,0,14,3,3,0,3,0,13,27,0,0,3,0,36,67,28,35,914,17,1062,35,24,5,108,8,182,3,0,0,0,0,3,0,0,0,7,0,6,0,0,0,0,0,0,3,4,0,8,0,22,14,0,0,5,0,18,24,13,3,7,0,50,15,9,3,9,0,24,4,0,0,0,0,4,99,58,37,711,12,917,3,0,0,0,0,3,10,0,0,0,0,17,3,0,0,0,0,6,9,3,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,6,11,3,3,21,0,34,123,24,14,81,3,254,20,3,0,152,697,873,801,382,255,6033,860,8335,Berrigan (A)
10750,6221,9133,6146,53560,1232,76285,22,142,49,1154,24,1393,12739,222,420,401,98,13874,1902,230,138,440,28,2735,1330,375,247,666,28,2652,15569,6654,4540,41547,1200,69511,27840,487,1122,174,239,29851,730,89,63,329,13,1224,2752,662,419,3233,109,7178,1890,401,226,936,40,3492,843,135,54,197,9,1236,37159,293,205,139,216,38020,3032,1563,1094,13189,225,19104,3763,1183,502,3104,87,8635,1952,8,29,17,7,2011,3380,779,339,713,37,5247,319,56,27,56,3,455,4571,913,490,2395,79,8448,2742,323,247,135,79,3533,1391,444,289,211,37,2368,1811,206,161,430,19,2628,749,56,54,166,21,1048,3194,1373,1080,9097,171,14914,989,76,45,76,10,1200,1124,126,112,54,12,1432,3056,132,72,138,28,3431,3776,64,51,41,11,3951,2137,223,146,148,15,2667,1291,35,83,19,5,1435,304,103,73,389,9,879,64860,3335,2191,2498,728,73608,2768,154,153,1067,15335,19481,189050,17915,12369,97139,19221,335683,Blacktown (C)
10800,11,117,70,2433,63,2699,0,0,0,17,0,17,23,0,3,10,0,36,3,0,0,3,0,4,16,0,3,12,0,33,142,98,78,2017,59,2403,17,3,0,0,0,21,0,0,0,11,0,9,15,6,11,278,4,320,3,0,0,12,0,19,0,3,0,0,0,6,12,0,0,0,0,12,25,21,9,580,5,635,6,8,0,25,0,39,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,5,0,16,17,0,0,0,0,15,6,3,0,3,0,14,4,0,0,0,0,9,3,0,0,0,0,4,34,25,24,524,6,615,5,0,0,0,0,7,12,0,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,9,0,12,94,21,7,20,11,148,6,0,6,99,654,762,379,184,125,4553,782,6027,Bland (A)
