lga_code_2016,buddhism_m,buddhism_f,buddhism_p,christianity_anglican_m,christianity_anglican_f,christianity_anglican_p,christianity_asyrin_apstlic_m,christianity_asyrin_apstlic_f,christianity_asyrin_apstlic_p,christianity_baptist_m,christianity_baptist_f,christianity_baptist_p,christianity_brethren_m,christianity_brethren_f,christianity_brethren_p,christianity_catholic_m,christianity_catholic_f,christianity_catholic_p,christianity_church_christ_m,christianity_church_christ_f,christianity_church_christ_p,christianity_eastrn_orthdox_m,christianity_eastrn_orthdox_f,christianity_eastrn_orthdox_p,christinty_jehvahs_witnses_m,christinty_jehvahs_witnses_f,christinty_jehvahs_witnses_p,christianity_lattr_day_snts_m,christianity_lattr_day_snts_f,christianity_lattr_day_snts_p,christianity_lutheran_m,christianity_lutheran_f,christianity_lutheran_p,christianity_orintal_orthdx_m,christianity_orintal_orthdx_f,christianity_orintal_orthdx_p,christianity_othr_protestnt_m,christianity_othr_protestnt_f,christianity_othr_protestnt_p,christianity_pentecostal_m,christianity_pentecostal_f,christianity_pentecostal_p,christinty_prsbytrin_refrmd_m,christinty_prsbytrin_refrmd_f,christinty_prsbytrin_refrmd_p,christianity_salvation_army_m,christianity_salvation_army_f,christianity_salvation_army_p,christnty_sevnth_dy_advntst_m,christnty_sevnth_dy_advntst_f,christnty_sevnth_dy_advntst_p,christianity_uniting_church_m,christianity_uniting_church_f,christianity_uniting_church_p,christianity_christian_nfd_m,christianity_christian_nfd_f,christianity_christian_nfd_p,christianity_othr_christian_m,christianity_othr_christian_f,christianity_othr_christian_p,christianity_tot_m,christianity_tot_f,christianity_tot_p,hinduism_m,hinduism_f,hinduism_p,islam_m,islam_f,islam_p,judaism_m,judaism_f,judaism_p,othr_rel_aust_abor_trad_rel_m,othr_rel_aust_abor_trad_rel_f,othr_rel_aust_abor_trad_rel_p,othr_rel_sikhism_m,othr_rel_sikhism_f,othr_rel_sikhism_p,othr_reln_other_reln_groups_m,othr_reln_other_reln_groups_f,othr_reln_other_reln_groups_p,other_religions_tot_m,other_religions_tot_f,other_religions_tot_p,sb_osb_nra_nr_m,sb_osb_nra_nr_f,sb_osb_nra_nr_p,sb_osb_nra_sb_m,sb_osb_nra_sb_f,sb_osb_nra_sb_p,sb_osb_nra_osb_m,sb_osb_nra_osb_f,sb_osb_nra_osb_p,sb_osb_nra_tot_m,sb_osb_nra_tot_f,sb_osb_nra_tot_p,religious_affiliation_ns_m,religious_affiliation_ns_f,religious_affiliation_ns_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p,lga_name16
10050,221,297,517,3844,4702,8547,0,0,0,242,284,524,49,60,110,6070,6892,12953,18,19,34,151,160,307,73,113,184,23,24,45,426,591,1024,8,7,18,48,55,101,230,290,521,813,950,1765,58,83,144,107,102,212,840,1268,2110,487,575,1060,9,17,30,13491,16201,29688,435,412,839,132,108,241,17,10,24,6,6,14,131,118,252,62,73,140,201,199,400,7511,6563,14078,84,71,149,18,38,50,7611,6665,14280,2509,2257,4772,125,110,232,24738,26260,50991,Albury (C)
10130,132,183,319,3042,3637,6681,0,0,0,152,163,316,65,70,137,2800,3189,5994,24,36,59,40,38,82,33,40,77,19,31,57,33,46,73,0,3,3,26,41,67,92,143,232,623,704,1324,69,91,159,79,91,173,384,544,924,288,286,570,21,13,33,7804,9167,16974,137,162,294,259,207,465,10,3,15,7,6,19,28,16,44,55,66,118,93,88,179,4311,3918,8230,55,40,88,21,24,49,4378,3983,8365,1512,1562,3077,175,150,326,14506,15507,30007,Armidale Regional (A)
10250,192,302,493,3631,4382,8012,0,0,0,248,273,520,0,3,3,4311,4901,9218,13,12,27,51,51,108,113,128,239,30,31,59,58,60,119,5,0,5,57,80,137,229,294,524,809,986,1793,38,61,96,104,112,216,809,1032,1844,421,514,930,25,35,59,10946,12952,23903,55,40,93,22,28,53,25,23,45,3,4,6,31,17,49,58,98,155,89,119,206,6653,5969,12618,84,59,136,34,75,113,6764,6098,12870,2062,2159,4220,93,104,190,20246,21829,42080,Ballina (A)
10300,4,13,16,186,183,371,0,0,0,5,3,11,0,0,0,429,391,823,0,3,3,0,0,0,0,3,3,0,0,0,8,8,15,0,0,0,0,4,5,8,7,13,73,86,164,0,0,0,0,0,0,40,50,89,22,39,59,0,0,0,783,777,1562,9,8,9,5,0,9,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,312,230,545,0,0,6,0,0,0,320,231,550,180,159,337,11,6,18,1325,1194,2518,Balranald (A)
10470,133,175,308,3585,4233,7823,0,0,0,252,280,532,89,72,163,6117,6732,12847,16,26,43,83,76,153,72,62,130,29,30,62,45,41,87,8,10,13,75,73,141,123,137,266,807,880,1692,58,56,108,26,48,71,671,819,1493,293,332,625,14,10,15,12364,13910,26267,102,95,201,97,77,173,4,14,16,6,10,18,31,27,60,48,50,100,87,92,180,5026,4267,9294,65,39,105,21,32,54,5111,4333,9450,2736,1885,4615,43,55,98,20685,20634,41317,Bathurst Regional (A)
10550,124,229,351,3367,3843,7211,0,0,0,180,188,366,0,3,3,2872,3082,5946,9,14,22,53,64,110,77,136,210,36,26,54,49,63,116,4,0,5,45,42,85,47,44,91,454,511,957,38,54,89,51,59,110,544,735,1281,289,360,642,13,16,36,8107,9231,17340,31,23,56,12,17,28,8,15,28,8,9,12,0,0,0,47,77,123,53,83,142,6030,5524,11556,68,53,121,35,58,90,6132,5633,11766,1677,1614,3293,56,66,128,16209,16920,33132,Bega Valley (A)
10600,77,129,211,1122,1289,2412,0,0,0,36,38,77,0,0,0,874,1030,1906,5,0,7,5,7,13,13,15,23,0,0,0,11,13,19,0,0,0,17,16,38,59,85,144,164,184,357,10,10,23,16,18,32,295,350,644,110,162,269,11,17,32,2757,3247,6001,13,8,25,9,4,18,13,17,32,7,5,11,3,4,11,27,53,77,35,62,97,2546,2452,4996,26,32,58,21,33,49,2593,2515,5107,615,607,1226,17,21,37,6128,6616,12750,Bellingen (A)
10650,8,9,22,742,834,1577,0,0,0,18,12,27,0,0,0,1084,1128,2216,0,0,0,9,9,22,7,11,17,44,59,100,7,22,34,4,0,4,9,8,14,28,25,49,276,264,540,4,7,12,0,0,0,277,323,599,74,60,130,5,3,8,2589,2769,5351,19,6,24,10,10,18,0,0,0,3,0,3,4,4,9,12,13,20,19,17,32,1067,854,1926,17,9,20,6,11,20,1089,877,1963,470,442,915,19,20,34,4218,4153,8368,Berrigan (A)
10750,2635,3093,5730,16760,18928,35689,90,84,171,2167,2298,4462,44,65,112,46997,50956,97956,457,492,949,2951,3057,6008,535,646,1182,1122,1207,2327,212,241,459,1828,1809,3638,1553,1558,3108,3524,4021,7540,2744,3178,5923,217,275,497,847,978,1823,2972,3284,6259,5093,5563,10656,187,189,376,90291,98838,189131,14708,14001,28708,11526,11139,22668,79,72,150,11,16,25,6156,5250,11410,628,730,1363,6794,6001,12798,27190,23284,50469,290,210,507,112,144,261,27600,23640,51239,13266,11996,25263,1472,2319,3790,168381,171098,339473,Blacktown (C)
10800,12,7,24,728,758,1485,0,0,0,12,20,33,0,0,0,760,776,1541,0,4,3,3,9,8,16,18,35,3,3,9,42,47,83,0,0,3,12,18,34,13,16,22,209,198,400,17,11,24,0,0,6,190,196,381,98,113,210,0,0,0,2098,2181,4275,9,3,16,4,0,4,0,0,0,0,0,0,0,0,3,0,6,5,0,10,11,525,350,876,3,0,5,3,4,6,532,356,895,425,385,813,0,11,11,3088,2960,6040,Bland (A)
