lga_code_2016,neg_nil_inc_fam_households,neg_nil_inc_non_fam_househlds,negative_nil_income_tot,hi_1_149_family_households,hi_1_149_non_family_hseholds,hi_1_149_tot,hi_150_299_family_households,hi_150_299_non_fam_househlds,hi_150_299_tot,hi_300_399_family_households,hi_300_399_non_fam_househlds,hi_300_399_tot,hi_400_499_family_households,hi_400_499_non_fam_househlds,hi_400_499_tot,hi_500_649_family_households,hi_500_649_non_fam_househlds,hi_500_649_tot,hi_650_799_family_households,hi_650_799_non_fam_househlds,hi_650_799_tot,hi_800_999_fam_households,hi_800_999_non_fam_hsehlds,hi_800_999_tot,hi_1000_1249_fam_households,hi_1000_1249_non_fam_hsehlds,hi_1000_1249_tot,hi_1250_1499_fam_households,hi_1250_1499_non_fam_hsehlds,hi_1250_1499_tot,hi_1500_1749_fam_households,hi_1500_1749_non_fam_hsehlds,hi_1500_1749_tot,hi_1750_1999_fam_households,hi_1750_1999_non_fam_hsehlds,hi_1750_1999_tot,hi_2000_2499_fam_households,hi_2000_2499_non_fam_hsehlds,hi_2000_2499_tot,hi_2500_2999_fam_households,hi_2500_2999_non_fam_hsehlds,hi_2500_2999_tot,hi_3000_3499_fam_households,hi_3000_3499_non_fam_hsehlds,hi_3000_3499_tot,hi_3500_3999_fam_households,hi_3500_3999_non_fam_hsehlds,hi_3500_3999_tot,hi_4000_more_fam_households,hi_4000_more_non_fam_hsehlds,hi_4000_more_tot,part_inc_stated_fam_household,part_inc_std_non_fam_hhds,partial_income_stated_tot,all_incomes_ns_famly_househld,all_inc_ns_non_famly_househld,all_incomes_not_stated_tot,tot_family_households,tot_non_family_households,tot_tot,lga_name16
10050,71,154,226,55,95,152,92,416,511,113,654,767,396,1222,1611,409,711,1123,1046,650,1697,880,708,1588,1133,592,1728,1174,436,1613,881,263,1146,870,196,1068,1594,270,1863,1026,49,1075,642,18,658,342,113,454,575,15,590,1136,146,1279,236,361,596,12674,7068,19746,Albury (C)
10130,56,79,138,28,61,81,60,229,294,55,319,376,204,616,818,248,363,616,575,357,935,511,302,821,599,295,890,628,171,795,469,148,624,465,122,593,784,170,957,487,25,508,304,16,317,188,60,250,346,5,351,680,84,771,116,230,347,6803,3666,10472,Armidale Regional (A)
10250,55,97,149,37,56,97,80,247,325,73,491,569,307,1137,1444,339,623,961,1108,543,1652,824,469,1292,1170,462,1628,1050,255,1307,709,179,889,762,163,930,1290,197,1483,750,28,786,467,21,494,264,79,346,592,17,610,994,120,1115,179,376,562,11067,5579,16643,Ballina (A)
10300,10,12,14,0,10,6,6,12,20,0,39,39,8,49,55,20,21,39,40,32,65,45,18,65,50,23,76,58,14,72,57,18,70,39,3,45,55,7,65,41,0,40,10,0,16,3,5,13,20,3,26,83,6,86,18,37,57,563,302,871,Balranald (A)
10470,54,100,156,43,56,102,76,269,347,78,351,431,270,860,1126,320,440,764,724,386,1105,623,405,1025,823,395,1216,872,284,1155,660,226,884,645,181,826,1256,179,1440,899,35,936,619,20,639,339,68,408,525,12,529,942,114,1054,164,234,399,9934,4608,14541,Bathurst Regional (A)
10550,63,98,166,67,82,148,75,278,352,76,480,553,391,1111,1502,337,475,813,999,432,1435,752,436,1183,1035,341,1376,903,219,1123,529,120,653,507,110,625,903,121,1019,472,14,492,266,11,274,130,73,203,233,15,249,976,60,1034,144,321,461,8873,4787,13661,Bega Valley (A)
10600,18,41,62,18,20,34,35,112,148,29,179,214,129,396,525,147,181,335,380,150,536,301,142,442,395,154,546,317,66,382,211,38,245,230,43,278,312,57,369,175,9,187,88,0,88,56,17,75,91,7,103,368,23,388,48,117,164,3370,1752,5115,Bellingen (A)
10650,17,30,51,19,11,28,26,89,120,15,123,139,101,278,372,74,125,199,266,107,378,151,104,254,235,107,340,197,45,238,125,33,150,149,29,176,211,35,249,119,0,120,50,0,49,33,20,50,68,3,73,199,18,215,51,129,180,2103,1274,3379,Berrigan (A)
10750,712,631,1340,326,226,551,612,1159,1775,590,1824,2422,1847,2865,4712,2107,1198,3310,4680,1235,5912,4166,1565,5737,5734,1584,7319,6174,1181,7352,5502,894,6399,5778,685,6464,12099,917,13017,8512,180,8689,5785,89,5874,3793,260,4052,6600,85,6685,7193,396,7590,1163,1087,2253,83375,18082,101459,Blacktown (C)
10800,20,17,30,6,9,12,18,37,57,16,92,106,53,144,194,47,65,118,140,58,195,111,59,163,170,64,238,110,39,151,80,26,105,112,18,132,145,28,169,83,3,89,55,0,56,38,22,57,73,3,76,165,5,170,46,67,113,1486,758,2240,Bland (A)
10850,11,23,29,15,8,18,24,57,85,18,84,98,55,164,216,61,80,143,152,63,219,126,66,192,155,61,212,170,27,199,114,32,144,133,19,148,234,18,257,146,4,148,93,0,93,68,10,80,94,0,98,190,6,195,35,61,100,1905,778,2679,Blayney (A)
10900,105,190,295,65,97,167,95,400,491,101,634,731,404,1544,1944,492,896,1386,1248,748,1999,1180,792,1969,1685,673,2357,1551,522,2071,1271,422,1690,1344,349,1695,2643,433,3083,2043,57,2103,1316,28,1339,953,139,1090,1812,45,1857,1888,149,2039,215,460,680,20389,8592,28988,Blue Mountains (C)
10950,6,3,11,0,5,4,6,20,26,3,34,41,27,74,99,20,24,43,63,19,82,44,35,81,42,29,71,36,17,56,38,19,61,38,13,42,79,17,96,42,0,42,35,0,35,17,8,33,36,0,35,97,8,103,26,38,63,654,370,1020,Bogan (A)
11100,134,307,442,49,88,135,60,298,354,55,480,535,264,693,961,297,282,583,617,294,916,525,322,854,777,373,1148,744,294,1037,684,224,912,692,218,909,1415,343,1761,1112,88,1198,870,60,928,641,148,785,1285,88,1373,1089,217,1308,157,278,436,11477,5098,16578,Botany Bay (C)
