lga_code_2016,num_pns_pres_cen_ngt_1_fam_hh,nu_pn_pre_cen_ngt_1_no_fam_hh,num_pns_pres_cen_ngt_1_tot,num_pns_pres_cen_ngt_2_fam_hh,nu_pn_pre_cen_ngt_2_no_fam_hh,num_pns_pres_cen_ngt_2_tot,num_pns_pres_cen_ngt_3_fam_hh,nu_pn_pre_cen_ngt_3_no_fam_hh,num_pns_pres_cen_ngt_3_tot,num_pns_pres_cen_ngt_4_fam_hh,nu_pn_pre_cen_ngt_4_no_fam_hh,num_pns_pres_cen_ngt_4_tot,num_pns_pres_cen_ngt_5_fam_hh,nu_pn_pre_cen_nt_5_non_fam_hh,nu_pn_pre_cen_ngt_5_tot,num_pn_pres_cen_ngt_6_fam_hh,nu_pn_pre_ce_ngt_6_no_fam_hh,num_pns_pres_cen_ngt_6_tot,tot_family_households,tot_non_family_households,tot_tot,lga_name16
10050,388,6393,6787,5758,1182,6944,2611,332,2945,2438,184,2621,1033,85,1109,445,33,471,12674,8202,20877,Albury (C)
10130,211,3184,3395,3117,666,3790,1355,203,1558,1212,142,1358,571,42,612,338,32,366,6803,4272,11079,Armidale Regional (A)
10250,318,4816,5131,5477,1168,6642,2145,256,2397,1899,159,2060,853,66,919,377,23,399,11067,6487,17555,Ballina (A)
10300,18,261,282,253,90,339,108,18,125,76,7,85,64,6,76,39,7,45,563,383,951,Balranald (A)
10470,240,4081,4321,4222,831,5054,2080,258,2338,1982,151,2128,915,52,970,493,27,526,9934,5404,15333,Bathurst Regional (A)
10550,350,4244,4590,4875,968,5844,1542,160,1696,1258,100,1363,543,48,589,310,15,321,8873,5528,14407,Bega Valley (A)
10600,120,1504,1627,1645,385,2026,681,61,738,573,46,616,227,21,246,124,5,132,3370,2023,5387,Bellingen (A)
10650,60,1187,1249,1135,255,1389,335,44,382,317,30,349,175,14,190,78,10,91,2103,1543,3649,Berrigan (A)
10750,1186,15645,16831,22204,3382,25582,19191,1380,20578,21351,1055,22403,10918,536,11448,8530,335,8872,83375,22333,105709,Blacktown (C)
10800,31,726,760,754,162,920,273,39,315,203,24,230,144,13,160,75,4,82,1486,970,2461,Bland (A)
10850,54,736,793,866,122,990,372,33,402,323,24,351,190,11,195,97,3,98,1905,935,2836,Blayney (A)
10900,558,7618,8176,8951,1409,10364,4193,288,4481,4066,185,4252,1819,71,1890,807,30,834,20389,9599,29996,Blue Mountains (C)
10950,17,322,337,312,92,402,131,22,155,101,10,111,55,6,67,31,3,34,654,454,1112,Bogan (A)
11100,293,3944,4241,3980,1158,5138,2764,474,3234,2731,263,2995,1101,95,1196,608,49,655,11477,5989,17464,Botany Bay (C)
11150,15,315,330,222,178,402,116,39,150,90,25,113,52,15,71,54,8,62,550,583,1135,Bourke (A)
11200,12,178,185,152,48,198,81,10,89,53,6,57,38,3,40,45,0,47,369,247,617,Brewarrina (A)
11250,149,2644,2789,2254,469,2716,891,95,985,715,42,757,311,19,331,154,5,163,4461,3270,7738,Broken Hill (C)
13910,107,2185,2295,2344,426,2766,896,89,986,765,64,821,427,20,453,222,8,235,4759,2798,7562,Hilltops (A)
14000,838,8279,9115,12198,1333,13533,8505,446,8954,10012,281,10292,4271,122,4390,2114,55,2168,37931,10514,48443,Hornsby (A)
14100,90,1119,1206,1239,194,1434,704,49,756,800,45,842,395,20,413,140,4,152,3374,1438,4809,Hunters Hill (A)
14170,1498,20589,22087,18480,6018,24499,10222,2418,12636,8939,1237,10182,2956,378,3333,1358,192,1551,43456,30837,74288,Inner West (A)
14200,113,1797,1912,2015,402,2414,821,80,902,701,65,763,364,32,397,208,15,226,4223,2392,6618,Inverell (A)
14300,31,558,595,612,118,726,258,21,281,232,18,247,138,17,156,78,13,86,1343,753,2096,Junee (A)
14350,188,3264,3457,3551,980,4529,1404,177,1582,1067,107,1169,582,68,650,413,36,441,7205,4631,11837,Kempsey (A)
14400,180,1821,2005,2790,413,3202,1042,102,1139,1118,65,1180,505,28,527,229,9,234,5865,2427,8293,Kiama (A)
14500,680,6161,6840,10436,1053,11485,6797,319,7115,8404,274,8678,3814,100,3915,1595,38,1630,31725,7940,39667,Ku-ring-gai (A)
14550,51,1201,1252,1200,282,1484,412,73,490,328,34,364,189,17,204,90,13,101,2274,1623,3899,Kyogle (A)
14600,51,718,768,709,151,857,288,44,332,244,35,279,145,14,154,85,11,98,1522,963,2487,Lachlan (A)
14650,1352,17602,18948,23351,2891,26247,11257,670,11923,11093,371,11462,4560,141,4697,2093,60,2162,53698,21741,75444,Lake Macquarie (C)
14700,282,3532,3822,3875,759,4633,2132,221,2355,2082,117,2193,840,38,877,304,18,317,9512,4685,14199,Lane Cove (A)
14750,47,1170,1220,1213,227,1441,524,76,603,495,51,544,254,11,265,152,12,162,2690,1547,4232,Leeton (A)
14850,312,5014,5323,4772,1200,5970,2209,331,2539,1941,179,2122,959,79,1040,483,30,513,10672,6833,17508,Lismore (C)
14870,113,2735,2852,2442,488,2932,1053,126,1175,892,104,997,411,44,447,202,16,223,5114,3516,8627,Lithgow (C)
14900,733,9791,10522,12127,2174,14300,10600,967,11563,12463,790,13252,7145,443,7586,5491,219,5709,48556,14379,62933,Liverpool (C)
14920,45,934,975,972,199,1170,373,35,406,327,27,353,168,19,187,70,8,81,1954,1219,3174,Liverpool Plains (A)
14950,25,338,369,379,49,433,125,20,150,154,17,167,67,4,70,42,3,46,797,430,1226,Lockhart (A)
15050,517,6030,6547,8304,1107,9416,4527,305,4836,4418,180,4596,2038,91,2130,956,28,988,20758,7747,28503,Maitland (C)
15240,693,11230,11920,13395,2528,15928,4362,443,4805,3411,227,3633,1650,98,1752,898,55,949,24408,14581,38993,Mid-Coast (A)
15270,177,2832,3004,2754,645,3399,1189,165,1355,1071,105,1174,533,63,601,271,20,287,5993,3836,9825,Mid-Western Regional (A)
15300,88,1487,1571,1311,528,1835,660,117,775,569,82,649,275,40,310,184,24,206,3077,2272,5351,Moree Plains (A)
15350,312,3479,3788,3257,604,3859,1558,149,1710,1544,107,1650,608,44,655,181,10,194,7458,4394,11849,Mosman (A)
15520,88,1367,1456,1678,333,2014,486,70,556,490,57,544,245,12,262,97,12,112,3088,1854,4941,Murray River (A)
15560,28,420,451,437,94,536,189,22,219,143,23,169,88,11,105,50,3,52,941,581,1524,Murrumbidgee (A)
15650,108,1644,1746,1673,342,2014,884,79,963,797,52,851,378,21,403,204,12,223,4038,2159,6199,Muswellbrook (A)
15700,138,2571,2711,2625,654,3276,884,107,996,714,50,767,388,30,422,230,17,244,4981,3428,8410,Nambucca (A)
